spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera,species_name,site_name,nitrogen_fixing,seed_mass_duplicate,Seed_mass_filtered
Helm_zeyl,Ophioglossaceae,Helminthostachys,zeylanica,Short basal,Chamaephyte,0.6,None,None,C3,NA,4200,NA,NA,Mycorrhizal,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,NA,Selaginella,Helminthostachys zeylanica,Siam,no,NA,0.001
Hibi_tili,Malvaceae,Hibiscus,tiliaceus,Short tree,Phanerophyte,12,Clonal aboveground,None,C3,NA,50400,NA,409,Mycorrhizal,Passive,10,Yes,Butterflies,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,1,0,0,0,1,0,0,NA,Pilidiostigma,Hibiscus tiliaceus,McDonald's,no,NA,10
Hipp_barb,Celastraceae,Hippocratea,barbata,Liana,Phanerophyte,NA,None,Spines or thorns,C3,NA,4620,NA,NA,Mycorrhizal,Wind,41.498,Yes,Hymenoptera (bees),"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,1,1,Myrtaceae,Rourea,Hippocratea barbata,Mackay's,no,Duplicate of Kew_2019_1_01294,NA
Homa_novo,Euphorbiaceae,Homalanthus,novoguineensis,Tall tree,Phanerophyte,25,None,None,C3,NA,31740,NA,269,Mycorrhizal,Endozoochory,50,No,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Verbenaceae,Vigna,Homalanthus novoguineensis,McDonald's,no,NA,50
Horn_scot,Zingiberaceae,Hornstedtia,scottiana,Long basal,Phanerophyte,4,Clonal belowground,None,C3,NA,67200,NA,NA,Mycorrhizal,Endozoochory,1.8,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,0,1,1,0,NA,NA,Hornstedtia scottiana,McDonald's,no,NA,1.8
Hoya_aust,Asclepiadaceae,Hoya,australis ssp. tenuipes,Vine,Phanerophyte,NA,None,None,CAM,NA,10800,NA,NA,Mycorrhizal,Wind,4.8,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,NA,0,0,1,1,1,1,0,0,Elaeagnaceae,Cyanthillium,Hoya australis ssp. tenuipes,Zonta,no,NA,4.8
Hoya_pott,Asclepiadaceae,Hoya,pottsii,Vine,Phanerophyte,NA,None,None,CAM,NA,12600,NA,NA,Mycorrhizal,Wind,4.8,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,NA,0,1,0,1,1,0,0,0,Elaeocarpaceae,Eclipta,Hoya pottsii,McDonald's,no,NA,4.8
Hypo_nemo,Cyperaceae,Hypolytrum,nemorum,Tussock,Hemicryptophyte,1,Clonal belowground,None,C3,NA,8400,NA,NA,Hairy root clusters,Passive,0.82,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),1,0,1,0,1,0,1,0,Proteaceae,Sloanea,Hypolytrum nemorum,Harney's,no,NA,0.82
Hyps_decu,Menispermaceae,Hypserpa,decumbens,Liana,Phanerophyte,NA,None,None,C3,NA,12765,NA,NA,Mycorrhizal,Endozoochory,190,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,1,1,NA,Pandanus,Hypserpa decumbens,Mackay's,no,NA,190
Hyps_laur,Menispermaceae,Hypserpa,laurina,Liana,Phanerophyte,NA,None,None,C3,NA,9000,NA,NA,Mycorrhizal,Endozoochory,190,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,NA,Passiflora,Hypserpa laurina,Mackay's,no,NA,190
Hypt_capi,Lamiaceae,Hyptis,capitata,Erect leafy,Phanerophyte,2,None,None,C3,NA,7680,NA,NA,Mycorrhizal,Endozoochory,0.78,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,0,0,0,1,0,0,NA,Pycnarrhena,Hyptis capitata,Shane's,no,NA,0.78
Ichn_frut,Apocynaceae,Ichnocarpus,frutescens,Liana,Phanerophyte,NA,None,None,C3,NA,4095,NA,NA,Mycorrhizal,Wind,27,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,0,1,Asteraceae,Parsonsia,Ichnocarpus frutescens,Weiss,no,NA,27
Ilex_arnh,Aquifoliaceae,Ilex,arnhemensis ssp. ferdinandi,Tall tree,Phanerophyte,25,None,None,C3,NA,4455,NA,429,Mycorrhizal,Endozoochory,NA,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,Capparidaceae,Pothos,Ilex arnhemensis ssp. ferdinandi,Weiss,no,NA,NA
Ipom_tril,Convolvulaceae,Ipomoea,triloba,Vine,Phanerophyte,NA,None,None,C3,NA,8280,NA,NA,Mycorrhizal,Passive,3.3,No,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Philesiaceae,Dillenia,Ipomoea triloba,Mackay's,no,NA,3.3
Ixor_timo,Rubiaceae,Ixora,timorensis,Short tree,Phanerophyte,10,None,None,C3,NA,12540,NA,700,Mycorrhizal,Endozoochory,18,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,NA,NA,Ixora timorensis,McDonald's,no,NA,18
Lasi_stri,Rubiaceae,Lasianthus,strigosus,Shrub,Phanerophyte,3,None,None,C3,NA,5700,NA,700,Mycorrhizal,Endozoochory,6.6,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,1,0,0,NA,NA,Lasianthus strigosus,Mackay's,no,Duplicate of Grubb_1996_048,NA
Leea_indi,Leeaceae,Leea,indica,Shrub,Phanerophyte,4,None,None,C3,NA,12960,NA,NA,Mycorrhizal,Endozoochory,35,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,1,1,0,0,1,NA,Decaspermum,Leea indica,Harney's,no,NA,35
Lepi_hope,Zamiaceae,Lepidozamia,hopei,Tall tree,Phanerophyte,18,None,None,C3,NA,7200,NA,379,NA,Endozoochory,24000,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),1,0,0,0,0,0,0,0,NA,NA,Lepidozamia hopei,Harney's,yes,NA,24000
Licu_rams,Arecaceae,Licuala,ramsayi,Tall tree,Phanerophyte,20,None,None,C3,NA,1920000,NA,529,Mycorrhizal,Endozoochory,70,No,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,1,1,0,1,0,0,Dracaenaceae,Chromolaena,Licuala ramsayi,Harney's,no,NA,70
Lits_bind,Lauraceae,Litsea,bindoniana,Tall tree,Phanerophyte,30,None,None,C3,NA,29700,NA,413,Mycorrhizal,Endozoochory,290,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,NA,Ardisia,Litsea bindoniana,McDonald's,no,Duplicate of Kew_2019_1_04379,NA
Lits_leef,Lauraceae,Litsea,leefeana,Tall tree,Phanerophyte,30,None,None,C3,NA,11685,NA,421,Mycorrhizal,Endozoochory,600,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,1,0,NA,Embelia,Litsea leefeana,Mackay's,no,Duplicate of Kew_2019_1_04382,NA
Loph_suav,Myrtaceae,Lophostemon,suaveolens,Tall tree,Phanerophyte,20,None,None,C3,NA,6630,NA,717,Mycorrhizal,Endozoochory,0.74,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,1,0,1,0,0,NA,Flindersia,Lophostemon suaveolens,McDonald's,no,NA,0.74
Ludw_octo,Onagraceae,Ludwigia,octovalvis,Shrub,Phanerophyte,4,None,None,C3,NA,3600,NA,NA,Mycorrhizal,Passive,0.45,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,1,0,0,1,0,0,1,NA,Lygodium,Ludwigia octovalvis,McDonald's,no,Duplicate of Kew_2019_1_10120,NA
Lygo_reti,Schizaeaceae,Lygodium,reticulatum,Scrambler,Phanerophyte,NA,Clonal aboveground,None,C3,NA,1680,NA,NA,Mycorrhizal,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),1,0,0,1,1,0,0,0,NA,NA,Lygodium reticulatum,Harney's,no,NA,0.001
Maca_inam,Euphorbiaceae,Macaranga,inamoena,Short tree,Phanerophyte,10,Clonal aboveground,None,C3,NA,9450,NA,461,Mycorrhizal,Endozoochory,26,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Vitaceae,Casearia,Macaranga inamoena,Mackay's,no,NA,26
Maca_invo,Euphorbiaceae,Macaranga,involucrata var. mallotoides,Short tree,Phanerophyte,15,Clonal aboveground,None,C3,NA,31020,NA,443,Mycorrhizal,Endozoochory,33,Yes,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Vittariaceae,Scolopia,Macaranga involucrata var. mallotoides,Mackay's,no,NA,33
Maca_poly,Euphorbiaceae,Macaranga,polyadenia,Tall tree,Phanerophyte,28,None,None,C3,NA,20160,NA,464,Mycorrhizal,Endozoochory,26,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Xanthophyllaceae,Flagellaria,Macaranga polyadenia,McDonald's,no,NA,26
Maca_tana,Euphorbiaceae,Macaranga,tanarius,Tall tree,Phanerophyte,28,None,None,C3,NA,133500,NA,461,Mycorrhizal,Endozoochory,18,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),1,0,1,1,0,0,0,1,Zamiaceae,Gomphandra,Macaranga tanarius,Harney's,no,NA,18
Macl_coch,Moraceae,Maclura,cochinchinensis,Liana,Phanerophyte,NA,None,Spines or thorns,C3,NA,7980,NA,NA,Mycorrhizal,Endozoochory,15,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,0,1,NA,Cyclophyllum,Maclura cochinchinensis,Weiss,no,Duplicate of Kew_2019_1_07574,NA
Mall_moll,Euphorbiaceae,Mallotus,mollissimus,Short tree,Phanerophyte,10,None,None,C3,NA,45000,NA,425,Mycorrhizal,Endozoochory,22,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,0,Zingiberaceae,Callicarpa,Mallotus mollissimus,Shane's,no,NA,22
Mega_maxi,Poaceae,Megathyrsus,maximus var. maximus,Long basal,Hemicryptophyte,2,Clonal belowground,None,C4,NA,21000,NA,NA,Mycorrhizal,Passive,1,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,0,0,0,0,1,NA,Triumfetta,Megathyrsus maximus var. maximus,Weiss,no,NA,1
Meli_azed,Meliaceae,Melia,azedarach,Tall tree,Phanerophyte,45,None,None,C3,NA,1260,NA,385,Mycorrhizal,Endozoochory,530,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,0,0,0,0,0,0,0,NA,Helminthostachys,Melia azedarach,Harney's,no,Duplicate of Kew_2019_1_07413,NA
Meli_elle,Rutaceae,Melicope,elleryana,Tall tree,Phanerophyte,35,None,None,C3,NA,17940,NA,501,Mycorrhizal,Endozoochory,33,Yes,Butterflies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Long persistent in soil (more than 5 years),0,1,0,0,0,0,0,0,NA,NA,Melicope elleryana,McDonald's,no,Duplicate of Grubb_1996_088,NA
Meli_viti,Rutaceae,Melicope,vitiflora,Tall tree,Phanerophyte,40,None,None,C3,NA,17160,NA,507,Mycorrhizal,Endozoochory,19,Yes,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,NA,NA,Melicope vitiflora,Weiss,no,Duplicate of Kew_2019_1_12812,NA
Meli_xant,Rutaceae,Melicope,xanthoxyloides,Tall tree,Phanerophyte,21,None,None,C3,NA,39960,NA,408,Mycorrhizal,Endozoochory,26,Yes,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,0,NA,NA,Melicope xanthoxyloides,Shane's,no,NA,26
Melo_aust,Apocynaceae,Melodinus,australis,Liana,Phanerophyte,NA,None,None,C3,NA,7980,NA,NA,Mycorrhizal,Endozoochory,48,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,1,0,0,0,0,Athyriaceae,Tabernaemontana,Melodinus australis,Henry's,no,NA,48
Melo_leic,Annonaceae,Melodorum,leichhardtii,Liana,Phanerophyte,NA,None,None,C3,NA,3780,NA,NA,Mycorrhizal,Endozoochory,120,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,1,1,0,0,0,Apocynaceae,Melodorum,Melodorum leichhardtii,McDonald's,no,NA,120
Melo_uhri,Annonaceae,Melodorum,uhrii,Liana,Phanerophyte,NA,None,None,C3,NA,17100,NA,NA,Mycorrhizal,Endozoochory,120,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,1,0,0,0,0,Aquifoliaceae,Polyalthia,Melodorum uhrii,Harney's,no,NA,120
Merr_pelt,Convolvulaceae,Merremia,peltata,Liana,Phanerophyte,NA,None,None,C3,NA,30000,NA,NA,Mycorrhizal,Wind,37,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,1,Piperaceae,Tetracera,Merremia peltata,Siam,no,NA,37
Mill_pinn,Fabaceae,Millettia,pinnata,Tall tree,Phanerophyte,20,None,None,C3,NA,17940,NA,553,NA,Passive,30000,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),0,0,0,1,1,0,0,0,NA,Leea,Millettia pinnata,Henry's,yes,NA,30000
Mimo_pudi,Mimosaceae,Mimosa,pudica,Erect leafy,Chamaephyte,1,None,Spines or thorns,C3,NA,27,NA,NA,NA,Insect,1.7,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,0,0,0,0,0,1,NA,Pyrrosia,Mimosa pudica,Weiss,yes,NA,1.7
Misc_exan,Sapindaceae,Mischocarpus,exangulatus,Short tree,Phanerophyte,15,None,None,C3,NA,8640,NA,637,Mycorrhizal,Endozoochory,263,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,1,0,NA,NA,Mischocarpus exangulatus,Mackay's,no,NA,263
Misc_lach,Sapindaceae,Mischocarpus,lachnocarpus,Tall tree,Phanerophyte,20,None,None,C3,NA,6090,NA,637,Mycorrhizal,Endozoochory,40,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,NA,NA,Mischocarpus lachnocarpus,Siam,no,Duplicate of Kew_2019_1_13127,NA
Mori_citr,Rubiaceae,Morinda,citrifolia,Short tree,Phanerophyte,10,None,None,C3,NA,16500,NA,700,Mycorrhizal,Endozoochory,34,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,1,1,1,1,0,1,NA,NA,Morinda citrifolia,McDonald's,no,NA,34
Mucu_giga,Fabaceae,Mucuna,gigantea,Liana,Phanerophyte,NA,None,None,C3,NA,7440,NA,NA,NA,Passive,4700,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),1,1,1,1,1,1,1,1,NA,Amyema,Mucuna gigantea,Harney's,yes,Duplicate of Kew_2019_1_06313,NA
Myri_glob,Myristicaceae,Myristica,globosa ssp. muelleri,Tall tree,Phanerophyte,30,None,None,C3,NA,10080,NA,461,Mycorrhizal,Endozoochory,840,No,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,NA,Ixora,Myristica globosa ssp. muelleri,Siam,no,NA,840
Nauc_orie,Rubiaceae,Nauclea,orientalis,Tall tree,Phanerophyte,30,None,None,C3,NA,32400,NA,461,Mycorrhizal,Endozoochory,0.19,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,1,0,0,0,NA,NA,Nauclea orientalis,McDonald's,no,NA,0.19
Neol_deal,Lauraceae,Neolitsea,dealbata,Short tree,Phanerophyte,15,None,None,C3,NA,11220,NA,557,Mycorrhizal,Endozoochory,190,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,1,1,1,0,1,1,NA,Acmena,Neolitsea dealbata,Zonta,no,NA,190
Neos_jucu,Bignoniaceae,Neosepicaea,jucunda,Liana,Phanerophyte,NA,None,None,C3,NA,11730,NA,NA,Mycorrhizal,Wind,21,Yes,Moths,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,0,1,1,0,0,0,0,Leeaceae,Cleome,Neosepicaea jucunda,Zonta,no,NA,21
Pach_long,Menispermaceae,Pachygone,longifolia,Liana,Phanerophyte,NA,None,None,C3,NA,30600,NA,NA,Mycorrhizal,Endozoochory,1300,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,0,0,0,0,0,NA,Eustrephus,Pachygone longifolia,Harney's,no,NA,1300
Pala_gala,Sapotaceae,Palaquium,galactoxylon,Tall tree,Phanerophyte,30,None,None,C3,NA,5760,NA,461,Mycorrhizal,Endozoochory,1200,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,1,1,1,1,0,0,NA,NA,Palaquium galactoxylon,McDonald's,no,NA,1200
Pand_mont,Pandanaceae,Pandanus,monticola,Short tree,Phanerophyte,10,Clonal belowground,Spines or thorns,C3,NA,96600,NA,331,No obvious special uptake strategy,Endozoochory,17,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,1,NA,Smilax,Pandanus monticola,Mackay's,no,(Duplicate of RBGK_2014_410),17
Pand_pand,Bignoniaceae,Pandorea,pandorana,Liana,Phanerophyte,NA,None,None,C3,NA,5460,NA,NA,Mycorrhizal,Wind,NA,Yes,Moths,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,1,0,1,1,0,0,0,Loranthaceae,Cardiopteris,Pandorea pandorana,McDonald's,no,NA,NA
Pand_solm,Pandanaceae,Pandanus,solmslaubachii,Tall tree,Phanerophyte,20,Clonal belowground,Spines or thorns,C3,NA,240000,NA,291,No obvious special uptake strategy,Endozoochory,17,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,0,0,0,0,0,0,1,NA,Solanum,Pandanus solmslaubachii,Harney's,no,NA,17
Para_prui,Mimosaceae,Pararchidendron,pruinosum var. pruinosum,Tall tree,Phanerophyte,20,None,None,C3,NA,3300,NA,501,NA,Insect,93,No,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,0,0,0,0,0,0,0,NA,Cardwellia,Pararchidendron pruinosum var. pruinosum,Harney's,yes,NA,93
Pars_stra,Apocynaceae,Parsonsia,straminea,Liana,Phanerophyte,NA,None,None,C3,NA,12240,NA,NA,Mycorrhizal,Wind,7.8,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,0,Bignoniaceae,Tylophora,Parsonsia straminea,Shane's,no,Duplicate of Kew_2019_1_00582,NA
Pass_foet,Passifloraceae,Passiflora,foetida var. foetida,Vine,Therophyte,NA,None,None,C3,NA,10440,NA,NA,Mycorrhizal,Endozoochory,4.3,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Annual,NA,0,1,0,0,0,1,0,0,NA,Brachychiton,Passiflora foetida var. foetida,McDonald's,no,NA,4.3
Pers_stri,Polygonaceae,Persicaria,strigosa,Erect leafy,Chamaephyte,0.5,Clonal belowground,None,C3,NA,1248,NA,NA,No obvious special uptake strategy,Endozoochory,0.86,No,Flies,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,1,0,0,0,0,0,0,0,NA,Dendrocnide,Persicaria strigosa,Harney's,no,NA,0.86
Pili_tetr,Myrtaceae,Pilidiostigma,tetramerum,Shrub,Phanerophyte,4,None,None,C3,NA,1050,NA,922,Mycorrhizal,Endozoochory,32,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,1,1,0,0,0,NA,Glycosmis,Pilidiostigma tetramerum,Henry's,no,NA,32
Pili_trop,Myrtaceae,Pilidiostigma,tropicum,Tall tree,Phanerophyte,20,None,None,C3,NA,2052,NA,631,Mycorrhizal,Endozoochory,32,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,1,NA,Melicope,Pilidiostigma tropicum,Siam,no,NA,32
Pipe_cani,Piperaceae,Piper,caninum,Vine,Phanerophyte,NA,None,None,C3,NA,10800,NA,NA,Mycorrhizal,Endozoochory,33,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,1,1,0,0,NA,Strychnos,Piper caninum,McDonald's,no,Duplicate of Grubb_1996_106,NA
Pipe_nova,Piperaceae,Piper,novae-hollandiae,Liana,Phanerophyte,NA,None,None,C3,NA,12555,NA,NA,Mycorrhizal,Endozoochory,45,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,0,NA,Symplocos,Piper novae-hollandiae,Siam,no,Duplicate of Grubb_1996_001,NA
Pipt_arge,Urticaceae,Pipturus,argenteus,Short tree,Phanerophyte,10,None,None,C3,NA,8670,NA,NA,Mycorrhizal,Endozoochory,0.2,Yes,Wind,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,NA,NA,Pipturus argenteus,Mackay's,no,NA,0.2
Piso_acul,Nyctaginaceae,Pisonia,aculeata,Liana,Phanerophyte,NA,None,Spines or thorns,C3,NA,5040,NA,NA,Mycorrhizal,Endozoochory,210,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,NA,Toechima,Pisonia aculeata,McDonald's,no,NA,210
Piso_umbe,Nyctaginaceae,Pisonia,umbellifera,Tall tree,Phanerophyte,28,None,None,C3,NA,31500,NA,293,Mycorrhizal,Endozoochory,210,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,1,1,0,1,0,NA,Palaquium,Pisonia umbellifera,McDonald's,no,Duplicate of Kew_2019_1_10056,NA
Pitt_ferr,Pittosporaceae,Pittosporum,ferrugineum,Tall tree,Phanerophyte,20,None,None,C3,NA,6300,NA,697,Mycorrhizal,Endozoochory,9.9,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,NA,Christella,Pittosporum ferrugineum,Mackay's,no,Duplicate of Kew_2019_1_10370,NA
Plat_hill,Polypodiaceae,Platycerium,hillii,Epiphyte,Phanerophyte,1,None,None,C3,NA,324000,NA,NA,Mycorrhizal,Wind,0.001,No,None,Spore,Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,NA,Pipturus,Platycerium hillii,Mackay's,no,NA,0.001
Poll_macr,Commelinaceae,Pollia,macrophylla,Erect leafy,Phanerophyte,2,Clonal belowground,None,C3,NA,7200,NA,NA,Mycorrhizal,Passive,0.62,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Ophioglossaceae,Trichosanthes,Pollia macrophylla,McDonald's,no,NA,0.62
Poly_aust,Araliaceae,Polyscias,australiana,Short tree,Phanerophyte,15,None,None,C3,NA,15840,NA,477,Mycorrhizal,Endozoochory,5.7,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,0,Commelinaceae,Archontophoenix,Polyscias australiana,Siam,no,Duplicate of Kew_2019_1_00621,NA
Poly_niti,Annonaceae,Polyalthia,nitidissima,Tall tree,Phanerophyte,18,None,None,C3,NA,5040,NA,453,Mycorrhizal,Endozoochory,1500,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,1,0,0,1,0,Araceae,Xylopia,Polyalthia nitidissima,Henry's,no,NA,1500
Poly_nodo,Araliaceae,Polyscias,nodosa,Tall tree,Phanerophyte,20,None,None,C3,NA,17100,NA,405,Mycorrhizal,Endozoochory,5.2,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,1,1,0,0,0,0,0,Connaraceae,Calamus,Polyscias nodosa,Harney's,no,NA,5.2
Poth_long,Araceae,Pothos,longipes,Vine,Phanerophyte,NA,None,None,C3,NA,1350,NA,NA,Mycorrhizal,Endozoochory,140,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,0,1,1,1,1,1,1,Celastraceae,Syngonium,Pothos longipes,Harney's,no,Duplicate of Grubb_1996_118,NA
