species_name,Hmax(m),WD,SLA,minseedlength,maxseedlength,fruit size(min).mm2,fruit size(max).mm2,Fruit_Type_2,dispersalmode,dispersal2,Location.n,Rainforest.Type,sla.mean,sla.mean.site,sla.mean.multisite,sla.sd,individual.n,leaf.n,SLA_collection_Location Name,SLA_collection_Location Name_to_match,SLA_collection_Location.n,SLA_collection_QuadratName,SLA_collection_Latitude,SLA_collection_Longitude,SLA_collection_Additional Notes,SLA_no_site,wood_density_unique,plant_height_unique,seed_length_min_unique,seed_length_max_unique
Pseudavarius hylandia,13,0.58,15.11,8,11,238,368,Berry,AVfCHR,Flying,6,WTRf,15.10519193,15.10519193,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.58,13,8,11
Rhodomyrtus trineura.ssp.capensis,6,0.74,8.48,9,9,100,100,Berry,AVmC,Flying,6,WTRf,8.48121217,8.48121217,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.74,6,9,9
Rockinghamia angustifolia,20,0.65,12.13,6,8,150,285,Capsule_N,AVm,Flying,6,WTRf,12.12894021,12.12894021,NA,0.234436312,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.65,NA,NA,NA
Schistocarpaea johnsonii,7,NA,13.27,7,7,80,120,Capsule_R,AVm,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.27,NA,NA,7,NA
Siphonodon australia,30,0.65,7.65,15,15,625,2000,Drupe,CHR,Non.flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65,0.65,30,15,15
Siphonodon membranaceous,25,0.72,9.15,8,9,1600,6580,Drupe,CHR,Non.flying,6,WTRf,9.150515746,9.150515746,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.72,25,8,9
Sloenea langii,25,0.57,10.93,7,10,900,2025,Capsule_R,AVm,Flying,6,WTRf,10.93329306,10.93329306,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.57,25,7,10
Sloenea macbriddii,35,0.48,7.73,11,13,300,375,Capsule_R,AVm,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73,0.48,35,11,13
Steganthera laxiflora,20,0.5,17.41,11,13,130,270,Drupe,AVf,Flying,6,WTRf,17.40920545,17.40920545,NA,2.201214465,3,9,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.5,20,11,13
Symplocus hayesii,3,0.68,16.77,12,15,75,200,Drupe,AVf,Flying,6,WTRf,16.77359294,16.77359294,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.68,3,12,15
Symplocus pauscistamenia,18,0.45,11.56,5,5,24,49,Drupe,AVf,Flying,6,WTRf,11.5555336,11.5555336,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.45,18,5,5
Syzygium gustavoides,40,0.59,7.36279939,50,80,3600,8100,Berry,HR,Non.flying,6,WTRf,7.36279939,7.36279939,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.59,40,50,80
Syzigium mulgraveana,25,0.7,9.45,NA,NA,240,240,Berry,AVm,Flying,6,WTRf,9.453904273,9.453904273,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.7,25,NA,NA
Toechima erythrocarpa,20,0.68,12.66,15,15,300,1365,Capsule_R,AVm,Flying,6,WTRf,12.6550867,12.6550867,NA,1.854282407,2,4,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.68,20,15,15
Vanroyena castanosperma,20,0.8,19.93,25,40,1200,4320,Drupe,R,Non.flying,6,WTRf,19.9308449,19.9308449,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.8,NA,NA,NA
Wilkea chordata,4,0.68,12.74,NA,NA,99,252,Drupe,AVf,Flying,6,WTRf,12.73978514,12.73978514,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.68,4,NA,NA
Xanthophyllum octandrum,25,0.69,16.1,10,12,195,460,Capsule_R,AVm,Flying,6,WTRf,16.09838875,16.09838875,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Codiaeum variegatum var moluccanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,5,5,5
