Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm)
Ophiorrhiza australiana ssp. heterostyla,shrub,1,0,simple,no,evergreen,,,608,1,50,160,20,55,0.5,1,0.5,1,
Pavetta australiensis,shrub,1,0,simple,no,evergreen,,,608,7,40,220,10,95,4,5,4,5,
Pavetta brownii,shrub,1,0,simple,no,evergreen,,,608,5,50,210,20,90,4,7,4,5,
Pavetta granitica,shrub,1,0,simple,no,evergreen,,,608,5,35,165,8,30,4,6,4,5,
Pavetta kimberleyana,shrub,1,0,simple,no,evergreen,,,,4,40,130,15,49,3,4,3,4,
Pavetta platyclada,shrub,1,0,simple,no,evergreen,,,,5,70,160,30,65,4,5,3,4,
Psilanthus brassii,shrub,1,0,simple,no,evergreen,,,608,4,25,100,12,60,4,5,3,4,
Psychotria coelospermum,shrub,1,1,simple,no,evergreen,,,,2,60,140,20,82,5,7,3,4,3
Psychotria Pinnacle-Rock,tree,1,0,simple,no,evergreen,,,608,1.5,100,200,28,70,2,3,2,3,
Psychotria dallachiana,shrub,1,0,simple,no,evergreen,,,608,3,50,130,15,50,5,7,4,5,
Psychotria Danbulla,shrub,1,0,simple,no,evergreen,,,608,4,30,110,10,26,4,5,2,3,
Psychotria daphnoides,shrub,1,0,simple,no,evergreen,,,608,2,10,70,2,7,4,5,2,3,
Psychotria fitzalanii,tree,1,0,simple,no,evergreen,660,690,608,6,35,105,10,40,4,5,2,3,
Psychotria loniceroides,shrub,1,0,simple,no,evergreen,,,608,5,30,145,11,50,3,3,2,2,
Psychotria MtLewis,shrub,1,0,simple,no,evergreen,,,608,3,45,140,14,43,5,6,2,3,
Psychotria nematopoda,shrub,1,0,simple,no,evergreen,,,608,8,15,140,10,65,3,4,2,2,
Psychotria nesophila,tree,1,0,simple,no,evergreen,,690,608,4,45,95,18,40,4,5,3,4,
Psychotria Pajinka,tree,1,0,simple,no,evergreen,,,,1.5,120,200,40,75,4,4,2,2,
Psychotria poliostemma,shrub,1,0,simple,no,evergreen,,,608,5,45,115,17,65,4,5,2,3,
Psychotria Shute-Harbour,shrub,1,0,simple,no,evergreen,,,,5,60,120,15,45,3,4,3,3,
Psydrax lamprophylla,tree,1,0,simple,no,evergreen,,780,608,15,80,150,25,60,4,5,3,4,
Triflorensia australis,tree,1,0,simple,no,evergreen,,,608,10,40,90,15,25,4,5,2,3,
Tarenna dallachiana,tree,1,0,simple,no,evergreen,,,608,20,95,190,30,270,3,3,2,3,
Timonius singularis,tree,1,0,simple,no,evergreen,,520,608,6,40,120,17,47,4,4,1,1,
Timonius timon,tree,1,0,simple,no,evergreen,520,520,608,20,55,180,15,60,3,4,1,1,
Triflorensia cameronii,tree,1,0,simple,no,evergreen,,,,6,50,100,15,40,3,4,3,3,2
Triflorensia ixoroides,tree,1,0,simple,no,evergreen,,,,12,20,75,4,36,2,3,2,3,2
Acronychia eungellensis,tree,1,0,simple,no,evergreen,,,,20,35,105,20,40,4,5,2,3,
Acronychia imperforata,tree,1,0,simple,no,evergreen,,555,659,16,30,150,16,60,4,6,2,3,
Acronychia laevis,tree,1,0,simple,no,evergreen,509,555,659,12,20,95,10,50,4,4,2,3,
Acronychia littoralis,tree,1,0,simple,no,evergreen,,,,8,60,120,30,60,1,2,1,1,
Acronychia oblongifolia,tree,1,0,simple,no,evergreen,537.5,,,20,40,120,14,45,3,5,1,2,
Acronychia parviflora,shrub,1,0,simple,no,evergreen,,555,659,4,30,160,13,45,3,8,2,3,
Acronychia pauciflora,tree,1,0,simple,no,evergreen,,,,10,20,100,10,55,3,5,2,3,
Acronychia vestita,tree,1,0,simple,no,evergreen,484,555,659,20,70,300,50,130,4,5,2,3,
Acronychia wilcoxiana,tree,1,1,simple,no,evergreen,537.5,,,12,60,220,25,90,4,4,3,4,3
Boronia excelsa,shrub,1,0,simple,no,evergreen,,,659,3,14,60,2,6,3,3,2,2,
Boronia lanceolata,shrub,1,0,simple,no,evergreen,,,,4,25,60,5,11,2,3,1,2,
Bosistoa medicinalis,tree,1,0,simple,no,evergreen,,730,659,20,45,200,20,100,8,9,5,6,
Bosistoa transversa,tree,1,0,simple,no,evergreen,,,,22,40,125,25,70,8,10,6,8,5
Brombya Gap-Creek,shrub,0,0,simple,no,evergreen,,,659,7,50,240,20,100,3,4,1,2,
Coatesia paniculata,tree,1,0,simple,no,evergreen,,,,12,30,100,15,45,3,4,3,3,
Dinosperma longifolium,tree,0,1,simple,no,evergreen,,,,7,150,300,30,85,12,13,9,11,
Dinosperma melanophloia,tree,1,0,simple,no,evergreen,,,659,25,65,160,20,80,6,8,3,4,
Dinosperma stipitatum,tree,1,1,simple,no,evergreen,,,659,15,45,180,10,15,8,10,3,5,
Eriostemon banksii,tree,1,0,simple,no,evergreen,,,659,6,17,60,5,17,4,5,2,3,
Euodia hylandii,tree,1,0,simple,no,evergreen,,,659,6,60,180,20,55,2,2,2,2,
Geijera parviflora,tree,1,0,simple,no,evergreen,,,,10,35,180,4,10,2,3,2,2,
Geijera salicifolia-latifolia,tree,1,0,simple,no,evergreen,,,,30,70,130,30,50,5,5,4,4,
Medicosma elliptica,tree,1,0,simple,no,evergreen,,,,8,45,125,20,50,4,5,2,3,
Medicosma fareana,tree,1,0,simple,no,evergreen,630,630,659,10,90,200,25,75,4,5,4,5,
Medicosma glandulosa,tree,1,0,simple,no,evergreen,,630,659,10,30,180,12,65,3,4,3,4,
Medicosma Mt_Mellum,shrub,1,0,simple,no,evergreen,,,,10,80,150,15,50,2,3,1,2,
Medicosma riparia,shrub,1,0,simple,no,evergreen,,630,659,3,30,70,10,35,5,5,5,5,
Medicosma sessiliflora,tree,1,0,simple,no,evergreen,,630,659,10,40,190,16,83,3,3,3,3,
Pitaviaster haplophyllus,tree,1,1,simple,no,evergreen,,,659,13,80,230,25,90,7,10,6,10,
Flacourtia Shiptons-Flat,tree,1,0,simple,no,evergreen,,,622,8,80,140,30,70,5,5,3,4,
Flacourtia territorialis,shrub,1,0,simple,no,evergreen,,,622,5,25,31,14,15,3,3,2,2,
Homalium alnifolium,tree,1,0,simple,no,evergreen,,,,13,45,150,30,70,1,1,1,1,
Homalium brachybotrys,tree,1,0,simple,no,evergreen,,666,622,13,30,60,10,30,1,1,1,1,
Homalium circumpinnatum,tree,1,0,simple,no,evergreen,666,666,622,32,50,100,20,50,1,1,1,1,
Homalium Johnstone-River,tree,1,0,compound,no,evergreen,,,,30,45,150,25,60,1,1,1,1,
Ryparosa javanica,tree,0,1,simple,no,evergreen,,,622,30,100,320,30,80,20,20,15,17,
Scolopia braunii,tree,1,0,simple,no,evergreen,610,610,622,30,40,120,10,50,3,5,3,3,2.5
Xylosma MtLewis,tree,1,0,simple,no,evergreen,,,622,10,60,135,30,60,2,2,1,2,
Xylosma ovatum,tree,1,0,simple,no,evergreen,,,,8,20,50,10,25,2,3,1,2,
Xylosma Temple-Bay,shrub,1,0,simple,no,evergreen,,,622,4,60,200,20,45,2,3,1,2,
Xylosma terrae-reginae,tree,1,0,simple,no,evergreen,,,,15,40,100,25,50,2,3,2,3,
Anthobolus filifolius,shrub,1,0,simple,no,evergreen,,,,3,10,50,0.5,1,3,6,2,4,
Exocarpos latifolius,tree,1,1,simple,no,evergreen,,,,10,30,140,20,70,5,7,4,5,
Santalum lanceolatum,tree,1,1,simple,no,evergreen,,,,7,20,100,5,35,5,9,4,8,
Santalum obtusifolium,tree,1,0,simple,no,evergreen,,,,3,20,65,2,15,5,7,4,5,
Alectryon tropicus,tree,1,0,simple,no,evergreen,,,661,8,30,120,6,35,6,8,6,8,
Dodonaea lanceolata-subsessilifolia,shrub,1,0,simple,no,evergreen,,,661,3,20,100,7,20,3,3,2,3,
Dodonaea platyptera,tree,1,0,simple,no,evergreen,,,661,10,35,120,10,35,1,3,2,3,
Dodonaea polyandra,tree,1,0,simple,no,evergreen,,,661,8,55,125,16,48,1,3,2,3,
Dodonaea triquetra,shrub,1,0,simple,no,evergreen,,,661,3,45,130,10,50,2,3,2,3,
Dodonaea viscosa-viscosa,shrub,1,0,simple,no,evergreen,,,661,2,10,150,20,40,2,3,2,2,
Chrysophyllum roxburghii,tree,0,1,simple,no,evergreen,,,597,30,45,150,15,35,20,24,10,12,5
Manilkara kauki,tree,0,1,simple,no,evergreen,,,597,10,40,125,20,80,18,20,8,9,5
Mimusops elengi,tree,1,1,simple,no,evergreen,,,597,16,40,140,20,60,11,15,6,7,
Niemeyera antiloga,tree,0,1,simple,no,evergreen,,627,597,20,30,125,20,60,25,40,22,26,
Niemeyera chartacea,tree,1,1,simple,no,evergreen,,,,20,50,150,15,35,13,15,8,9,
Niemeyera Churchill-Creek,tree,0,1,simple,no,evergreen,,,,10,70,130,30,50,34,40,30,34,
Niemeyera MtLewis,tree,0,1,simple,no,evergreen,,,597,20,90,150,22,55,35,40,20,25,
Niemeyera prunifera,tree,0,1,simple,no,evergreen,615,627,597,16,50,180,20,50,16,38,20,35,
Niemeyera whitei,tree,0,1,simple,no,evergreen,688,,,40,50,150,20,50,25,50,25,50,
Palaquium galactoxylon,tree,0,1,simple,no,evergreen,460,460,597,30,60,160,25,60,25,35,9,14,
Planchonella asterocarpon,tree,0,1,simple,no,evergreen,,650,597,30,75,135,30,65,11,13,6,7,3
Pouteria australis,tree,0,1,simple,no,evergreen,756.8,,,40,80,160,20,50,15,20,8,10,6
Sersalisia sessiliflora,tree,0,1,simple,no,evergreen,,650,597,5,70,190,30,70,30,45,10,13,9
Pouteria brownlessiana,tree,0,1,simple,no,evergreen,,650,597,30,65,170,20,46,15,18,6,8,6
Vanroyena castanosperma,tree,0,1,simple,no,evergreen,760,650,597,20,40,110,15,50,25,40,20,32,7
Planchonella chartacea,tree,1,1,simple,no,evergreen,,650,597,12,40,190,16,55,9,20,4,5,4
Planchonella pubescens,tree,1,1,simple,no,evergreen,,650,597,15,10,50,5,30,9,12,4,5,
Pouteria eerwah,tree,0,1,simple,no,evergreen,,,,25,40,140,27,70,15,20,8,10,6
Pouteria euphlebia,tree,0,1,simple,no,evergreen,,650,597,25,50,140,15,55,12,22,9,11,7
Planchonella Mt Lewis,tree,0,1,simple,no,evergreen,,650,597,16,30,95,15,40,15,18,5,7,4
Planchonella myrsinifolia,tree,0,1,simple,no,evergreen,,650,597,12,20,120,10,90,8,22,4,11,6
Planchonella myrsinodendron,tree,0,1,simple,no,evergreen,,650,597,25,95,165,30,70,12,25,9,11,
Planchonella obovata,tree,1,1,simple,no,evergreen,,650,597,15,55,160,30,90,8,12,3,4,3
Pouteria papyracea,tree,0,1,simple,no,evergreen,,650,597,35,50,130,25,60,14,18,7,8,6
Pouteria pearsoniorum,tree,0,1,simple,no,evergreen,,651,597,25,60,240,35,85,35,40,12,15,10
Planchonella pohlmaniana-pohlmaniana,tree,0,1,simple,no,evergreen,,650,597,44,35,160,20,50,10,12,6,8,5
Pouteria queenslandica,tree,1,1,simple,no,evergreen,,651,597,40,40,120,20,50,9,15,6,8,6
Sersalisia sericea,tree,0,1,simple,no,evergreen,,650,597,7,20,140,10,70,12,18,7,8,4
Pouteria xerocarpa,tree,0,1,simple,no,evergreen,539,650,597,15,55,160,20,55,12,16,4,6,5
Myoporum acuminatum,tree,1,0,simple,no,evergreen,,,,9,60,180,12,30,2,3,2,2,
Myoporum betcheanum,tree,1,0,simple,no,evergreen,,,,8,50,150,6,19,2,3,2,2,
Myoporum insulare,tree,1,0,simple,no,evergreen,,,,11,30,90,7,22,2,3,2,2,
Myoporum montanum,shrub,1,0,simple,no,evergreen,,,,8,30,140,2,38,3,4,3,4,
Quassia baileyana,tree,0,1,simple,no,evergreen,,,359,10,90,300,30,90,22,24,14,16,
Quassia Barong,tree,1,0,simple,no,evergreen,,,359,10,150,400,50,100,18,20,8,12,
Quassia bidwillii,shrub,1,0,simple,no,evergreen,,,,2,45,185,10,24,5,6,4,5,
Quassia Mt-Goonanaman,shrub,1,0,simple,no,evergreen,,,,1,50,150,15,55,5,6,4,5,
Quassia MtNardi,shrub,1,1,simple,no,evergreen,,,,5,70,160,15,30,12,16,6,10,
Quassia Tozer-Range,shrub,1,1,simple,no,evergreen,,,359,4,50,150,20,40,11,13,4,5,
Duboisia leichhardtii,tree,1,0,simple,no,evergreen,,,,12,30,85,8,28,2,3,1,2,
Duboisia myoporoides,tree,1,0,simple,no,evergreen,375,375,375,24,40,150,8,30,3,3,1,2,
Solanum acanthodapis,shrub,1,1,simple,no,evergreen,,,,0.5,55,95,20,40,1,2,1,2,
Solanum aviculare,shrub,1,0,simple,yes,evergreen,,375,375,4,80,300,15,230,1,1,0.5,1,
Solanum Bamaga,shrub,1,0,simple,yes,evergreen,,,,1,35,105,8,50,0.5,1,0.5,1,
Solanum celatum,shrub,1,1,simple,no,evergreen,,,,2.5,46,125,18,45,0.5,1,0.5,1,
Solanum cookii,shrub,1,0,simple,yes,evergreen,,375,375,1,40,160,24,120,2,2,1,2,
Solanum corifolium,shrub,1,0,simple,no,evergreen,,,,1.5,20,100,8,50,0.5,1,0.5,1,
Solanum curvicuspe,shrub,1,1,simple,no,evergreen,,,,3,70,135,30,45,0.5,1,0.5,1,
Solanum magnifolium,shrub,1,0,simple,yes,evergreen,,375,375,5,65,110,35,90,2,2,1,2,
Solanum defensum,shrub,1,1,simple,no,evergreen,,,,2.5,40,150,22,55,3,4,1,1,
Solanum dimorphispinum,shrub,1,0,simple,yes,evergreen,,375,375,6,27,170,15,110,2,2,2,2,
Solanum discolor,shrub,1,0,simple,yes,evergreen,,375,375,2,50,100,14,45,2,3,2,3,
Solanum dunalianum,shrub,1,0,simple,no,evergreen,,,,4,70,300,30,125,2,3,1,1,
Solanum erianthum,shrub,1,0,simple,no,evergreen,,375,375,8,80,240,40,150,2,2,2,2,
Solanum furfuraceum,shrub,1,1,simple,no,evergreen,,,,2.5,30,70,12,25,0.5,1,0.5,1,
Solanum hamulosum,shrub,1,0,simple,yes,evergreen,,375,375,4,70,150,35,90,2,2,2,2,
Solanum inaequilaterum,shrub,1,0,simple,no,evergreen,,,,2.5,100,200,28,45,0.5,1,0.5,1,
Solanum intonsum,shrub,1,0,simple,no,evergreen,,,,2,50,130,15,45,2,3,1,1,
Solanum macoorai,shrub,1,0,simple,yes,evergreen,,375,375,4,85,220,40,100,3,3,2,2,
Solanum mentiens,shrub,1,0,simple,no,evergreen,,,,0.5,50,75,22,36,1,1,1,1,
Solanum nobile,shrub,1,1,simple,yes,evergreen,,,,4,70,140,37,55,1,1,1,1,
Solanum parvifolium,shrub,1,0,simple,yes,evergreen,,375,375,1,15,110,5,25,2,2,1,2,
Solanum semiarmatum,shrub,1,0,simple,yes,evergreen,,,,3,50,150,24,65,1,1,1,1,
Solanum serpens,shrub,1,0,simple,no,evergreen,,,,0.5,55,100,21,35,1,1,1,1,
Solanum shanesii,shrub,1,0,simple,no,evergreen,,375,375,6,30,160,12,80,2,2,2,2,
Solanum silvestre,shrub,1,0,simple,yes,evergreen,,,,1.8,65,140,20,45,1,1,1,1,
Solanum spirale,shrub,1,0,simple,no,evergreen,,,,5,70,180,12,26,1,1,1,1,
Solanum stelligerum,shrub,1,0,simple,no,evergreen,,375,375,2,30,100,10,32,1,2,1,2,
Solanum stupefacatum,shrub,1,1,simple,no,evergreen,,,,2,50,100,22,45,1,2,1,1,
Solanum tetrandrum,shrub,1,0,simple,yes,evergreen,,375,375,3,55,120,25,70,1,2,1,1,
Solanum viridifolium,tree,1,0,simple,no,evergreen,,375,375,7,30,190,20,70,3,3,3,3,
Cadellia pentastylis,tree,1,0,simple,no,evergreen,,,,25,10,40,5,20,2,3,2,2,
Guilfoylia monostylis,tree,0,1,simple,no,evergreen,,,,20,35,150,15,55,12,15,11,12,
Suriana maritima,shrub,1,0,simple,no,evergreen,,,,4,20,30,3,4,1,2,1,2,
Symplocos ampulliformis,tree,1,1,simple,no,evergreen,,490,490,15,40,130,15,50,6,8,6,8,
Symplocos baeuerlenii,tree,1,0,simple,no,evergreen,468.7,,,7,25,70,7,20,5,6,3,4,
Symplocos Big-Tableland,shrub,1,1,simple,no,evergreen,,490,490,4,80,140,25,60,4,7,4,5,
Symplocos Boonjee,shrub,0,1,simple,no,evergreen,,490,490,3,50,140,16,34,10,18,3,4,
Symplocos cochinchinensis-thwaitesii-gittonsii,tree,1,0,simple,no,evergreen,510,490,490,30,70,200,40,90,5,8,4,6,
Symplocos cochinchinensis-thwaitesii-glaberrima,tree,1,1,simple,no,evergreen,510,490,490,20,35,150,15,55,6,7,4,5,
Symplocos cochinchinensis-thwaitesii-pilosiuscula,tree,1,0,simple,no,evergreen,510,490,490,25,60,170,23,68,6,8,4,5,
Symplocos crassiramifera,shrub,1,0,simple,no,evergreen,,490,490,8,200,450,40,85,5,8,4,5,
Symplocos graniticola,shrub,1,1,simple,no,evergreen,,490,490,3,90,240,20,75,9,14,6,10,
Symplocos harroldii,tree,1,0,simple,no,evergreen,,,,10,30,100,9,20,5,6,5,6,
Symplocos hayesii,shrub,1,1,simple,no,evergreen,,490,490,3,45,120,20,55,12,15,4,5,
Symplocos hylandii,tree,1,0,simple,no,evergreen,,490,490,6,65,150,15,45,7,8,4,5,
Symplocos MtFinnigan,tree,1,0,simple,no,evergreen,,490,490,6,60,90,18,33,5,9,3,4,
Symplocos North-Mary,tree,1,0,simple,no,evergreen,,490,490,15,60,135,20,43,6,8,3,4,
Symplocos paucistaminea,tree,1,0,simple,no,evergreen,,490,490,18,70,280,30,100,4,5,4,5,
Symplocos stawellii-montana,tree,1,1,simple,no,evergreen,450,490,490,8,30,90,11,35,5,14,3,5,
Symplocos stawellii-stawellii,tree,1,0,simple,no,evergreen,450,490,490,25,60,150,25,68,3,5,3,4,
Symplocos thwaitesii,tree,1,0,simple,no,evergreen,,,,8,30,90,11,35,5,13,3,5,
Tetracarpaea tasmanica,shrub,1,0,simple,no,evergreen,,,,1,25,30,8,10,0.5,0.5,0.5,0.5,
Ternstroemia cherryi,tree,0,1,simple,no,evergreen,,550,550,20,60,160,30,65,15,20,10,11,
Lethedon setosa,tree,1,1,simple,no,evergreen,,,,15,55,220,20,90,5,15,3,4,
Phaleria chermsideana,tree,1,1,simple,no,evergreen,,,,10,20,100,10,50,7,8,4,5,
Phaleria clerodendron,tree,0,1,simple,no,evergreen,,,,10,90,210,30,80,18,20,9,11,
Phaleria octandra,shrub,1,1,simple,no,evergreen,,,,3,75,230,20,100,6,7,4,5,
Wikstroemia indica,shrub,1,0,simple,no,evergreen,,,,4,9,60,5,22,4,6,3,4,
Pimelea aquilonia,shrub,1,0,simple,no,evergreen,,,,4,8,35,2,7,2,3,2,3,
Pimelea ligustrina,shrub,1,0,simple,no,evergreen,,,,2.5,30,70,8,14,2,3,2,3,
Pimelea linifolia,shrub,1,0,simple,no,evergreen,,,,1.5,4,30,1,9,2,2,2,2,
Boehmeria macrophylla,shrub,1,0,simple,no,evergreen,,,,2,60,140,20,80,1,1,1,1,
Dendrocnide corallodesme,tree,1,0,simple,no,evergreen,210,210,210,8,110,310,20,70,0.5,0.5,0.5,0.5,
Dendrocnide cordata,shrub,1,0,simple,no,evergreen,,,,2,105,180,70,140,0.5,0.5,0.5,0.5,
Dendrocnide cordifolia,shrub,1,0,simple,no,evergreen,,210,210,4,120,280,120,320,0.5,0.5,0.5,0.5,
Dendrocnide excelsa,tree,1,0,simple,no,evergreen,206.4,,,45,100,250,70,200,0.5,1,0.5,1,
Dendrocnide moroides,shrub,1,0,simple,no,evergreen,,210,210,4,100,300,80,280,0.5,0.5,0.5,0.5,
Dendrocnide photinophylla,tree,1,0,simple,no,evergreen,210,210,210,30,60,145,30,80,0.5,0.5,0.5,0.5,
Hymenanthera dentata,shrub,1,0,simple,no,evergreen,,,,2,15,60,4,10,2,3,1,2,
Rinorea bengalensis,tree,1,0,simple,no,evergreen,,,,11,50,320,20,130,3,3,3,3,
Bubbia queenslandiana-australis,tree,1,0,simple,no,evergreen,,440,440,7,65,160,17,50,5,5,2,3,
Bubbia queenslandiana-queenslandiana,tree,1,0,simple,no,evergreen,,440,440,6,90,140,25,50,3,4,2,3,
Bubbia semecarpoides,tree,1,0,simple,no,evergreen,440,440,440,12,90,350,30,105,4,5,2,3,
Bubbia whiteana,shrub,1,0,simple,no,evergreen,,440,440,3,40,80,13,30,4,5,2,3,
Tasmannia glaucifolia,shrub,1,0,simple,no,evergreen,,,,3,40,60,4,15,2,3,1,2,
Tasmannia insipida,shrub,1,0,simple,no,evergreen,,,440,5,60,210,10,50,3,4,1,2,
Tasmannia lanceolata,shrub,1,0,simple,no,evergreen,,,,10,50,80,7,20,2,2,1,2,
Tasmannia membranea,tree,1,0,simple,no,evergreen,,,440,10,35,220,12,50,2,3,1,2,
Tasmannia MtBellenden-Ker,tree,1,0,simple,no,evergreen,,,440,7,55,160,15,50,3,4,1,2,
Tasmannia purpurascens,tree,1,0,simple,no,evergreen,,,,3,80,180,30,50,3,4,2,2,
Tasmannia stipitata,tree,1,0,simple,no,evergreen,,,,2.5,80,130,10,20,3,4,2,2,
Tasmannia xerophila-robusta,tree,1,0,simple,no,evergreen,,,,4,70,140,10,20,2,3,2,2,
Akania bidwillii,tree,0,1,compound,no,evergreen,571.9,,,25,100,280,20,45,10,12,6,10,
Blepharocarya involucrigera,tree,0,1,compound,no,evergreen,453,453,508,40,50,170,15,45,3,3,2,3,
Euroschinus falcatus,tree,1,0,compound,no,evergreen,412,412,508,30,35,120,8,80,4,5,1.5,2,
Pleiogynium timorense,tree,1,1,compound,no,evergreen,703,703,508,20,40,100,20,60,5,7,5,6,
Rhodosphaera rhodanthema,tree,1,0,compound,no,evergreen,,,,27,30,100,10,25,7,9,4,6,5
Rhus taitensis,tree,1,0,compound,no,evergreen,,,508,30,40,150,15,50,2,3,2,3,
Delarbrea michieana,tree,0,1,compound,no,evergreen,,380,390,8,60,260,20,120,10,12,3,4,
Gastonia spectabilis,tree,1,0,compound,no,evergreen,,,390,30,100,230,40,105,8,9,3,4,1
Mackinlaya confusa,shrub,1,1,compound,no,evergreen,,,390,6,100,210,50,140,6,8,6,8,
Mackinlaya macrosciadea,shrub,1,0,compound,yes,evergreen,,,390,5,60,180,35,60,7,9,5,6,
Polyscias australiana,tree,1,0,compound,no,evergreen,470,380,390,15,70,240,40,110,5,7,2,3,
Polyscias bellendenkerensis,tree,1,0,compound,no,evergreen,,380,390,5,30,90,15,30,6,7,3,3.5,1.5
Polyscias macgillivrayi,shrub,1,0,compound,no,evergreen,,380,390,5,160,280,80,110,4,5,1,2,
Polyscias mollis,tree,1,0,compound,no,evergreen,,380,390,8,100,275,50,120,4,5,2,2,1
Polyscias murrayi,tree,1,0,compound,no,evergreen,270,380,390,30,50,160,20,45,4,4,2,2,1
Polyscias nodosa,tree,1,0,compound,no,evergreen,,380,390,20,120,300,55,95,2,3,1,2,1
Polyscias purpurea,shrub,1,0,compound,no,evergreen,,380,390,5,100,230,45,60,3,3,2,2,
Polyscias sambucifolia,tree,1,0,compound,no,evergreen,,,,4,40,90,20,60,2,2,1,2,
Polyscias willmottii,tree,1,0,compound,no,evergreen,,380,390,8,40,85,15,30,5,8,2,2.2,1.5
Cochlospermum gillivraei,tree,1,1,simple,yes,deciduous,,,,10,50,150,70,180,5,5,3,5,3
Canarium acutifolium,tree,1,1,compound,no,evergreen,,610,585,20,180,360,100,125,9,12,5,8,
Canarium australasicum,tree,1,0,simple,no,evergreen,610,610,585,40,30,130,15,80,6,8,4,5,
Canarium vitiense,tree,1,1,compound,no,evergreen,,610,585,40,30,160,15,50,14,28,8,10,
Garuga floribunda,tree,1,0,compound,no,deciduous,560,560,585,35,30,75,15,30,4,5,4,5,
Cleome viscosa,shrub,1,0,compound,no,evergreen,,,700,1.5,6,60,4,30,1,2,1,2,
Crateva religiosa,tree,0,1,compound,no,evergreen,,,700,30,55,180,25,70,5,17,5,17,5
Sambucus australasica,shrub,1,0,compound,no,evergreen,,,,4,20,120,4,45,3,4,1,2,
Sambucus gaudichaudiana,shrub,1,0,compound,no,evergreen,,,,2,30,150,15,45,2,3,1,2,
Ackama paniculata,tree,1,0,compound,no,evergreen,516,,,45,50,150,10,60,1,1,1,1,
Caldcluvia australiensis,tree,1,0,compound,no,evergreen,470,500,553,30,55,120,20,35,1,1,1,1,
Ceratopetalum corymbosum,tree,1,0,compound,no,evergreen,,576,563,25,50,100,15,30,1,2,1,2,
Ceratopetalum hylandii,tree,1,0,compound,no,evergreen,,576,563,20,40,100,20,40,1,2,1,2,
Pseudoweinmannia lachnocarpa,tree,1,0,compound,no,deciduous,727,727,553,35,45,90,25,40,1,1,1,1,
Vesselowskya rubifolia,tree,1,0,compound,no,evergreen,,,,8,30,120,10,30,2,3,1,2,1
Vesselowskya venusta,tree,1,0,compound,no,evergreen,,,,8,40,170,20,40,2,2,1,1,1
Bischofia javanica,tree,1,0,compound,no,evergreen,530,530,566,30,50,140,30,75,4,5,2,3,
Acacia chrysotricha,tree,0,1,compound,no,evergreen,,,,15,6,8,2,4,2,4,2,4,2
Acacia elata,tree,0,1,compound,no,evergreen,,,,20,30,80,4,10,4,6,4,6,2
Acacia silvestris,tree,1,1,compound,no,evergreen,,,,30,3,10,1,1.5,5,6,4,5,3
Adenanthera pavonina,tree,1,1,compound,no,deciduous,,,523,30,15,55,7,30,7,10,6,8,
Albizia procera,tree,1,0,compound,no,evergreen,,580,523,20,15,60,8,35,5,10,4,5,3
Albizia retusa,tree,1,0,compound,no,evergreen,,580,523,40,8,50,4,36,8,9,4,5,3
Albizia Sir-Charles-Hardy,tree,1,0,compound,no,evergreen,,580,523,20,9,16,5,7,,,,,
Albizia Windsor-Tableland,tree,1,1,compound,no,evergreen,,580,523,35,5,7,1,3,15,17,8,10,4
Archidendron grandiflorum,tree,0,1,compound,no,evergreen,510,457,523,20,15,115,15,45,12,14,7,9,
Archidendron hendersonii,tree,1,1,compound,no,evergreen,500,457,523,30,40,210,20,95,5,14,4,6,
Archidendron hirsutum,tree,1,1,compound,no,deciduous,,457,523,22,40,180,20,105,7,12,5,6,
Archidendron kanisii,tree,1,0,compound,no,evergreen,,457,523,3,70,175,25,65,3,7,3,6,
Archidendron lovelliae,tree,1,1,compound,no,evergreen,,,,15,30,110,10,45,10,16,10,12,
Archidendron lucyi,tree,0,1,compound,no,evergreen,,457,523,20,52,230,35,140,10,17,7,11,
Archidendron muellerianum,tree,0,1,compound,no,evergreen,,,,20,40,130,20,60,12,15,6,8,
Archidendron ramiflorum,tree,0,1,compound,no,evergreen,,457,523,10,90,460,50,145,10,17,8,10,
Archidendron vaillantii,tree,1,1,compound,no,deciduous,360,457,523,25,45,220,30,110,10,15,8,12,
Archidendron whitei,tree,1,1,compound,no,evergreen,,457,523,15,60,125,45,70,9,10,6,7,
Archidendropsis thozetiana,tree,0,1,compound,no,evergreen,,,,20,3,38,2,14,8,9,5,6,4
Archidendropsis xanthoxylon,tree,0,1,compound,no,evergreen,,,523,20,28,110,15,45,8,12,8,11,4
Cajanus acutifolius,shrub,1,0,compound,no,evergreen,,,567,2,25,40,9,15,3,5,3,4,3
Cajanus reticulatus,shrub,1,0,compound,no,evergreen,,,567,2,20,115,20,70,3,6,3,4,
Cassia brewsteri-brewsteri,tree,0,1,compound,no,deciduous,731,,,25,20,110,15,30,12,15,6,8,3
Cassia brewsteri-tomentella,tree,0,1,compound,no,evergreen,,,,10,10,60,8,22,6,7,6,7,3
Cassia Kalpowar,tree,0,1,compound,no,deciduous,,,,9,25,85,18,35,8,10,8,10,3
