Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data
Lasiopetalum macrophyllum,6142,,,c,,Sterculiaceae,D,S,S/R,,basal buds,,a-ant,,,,,,,,,,,spring,Sep-Nov,,,,,,,,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,V T,F W,,,,,,,1,,,,,,,,9M 8E,V-133,68,G,1,4,,,,,,3,4,4,4,5,4
Lasiopetalum parviflorum,6143,,,,,Sterculiaceae,D,S,S/R,,,persistent soil,a-ant,,,,,,,,,I,,spring,Sep-Nov,,,short,,,,,,,,,,1,1,1,-,1,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,,,,,,II-49; IXb-R35,68; R35,GI,1,1,,,,,,3,1,3,4,5,4
Lastreopsis acuminata,8014,,,,,Dryopteridaceae,F,F,R,,has rhizome,transient?,wind,,,,probably no dormancy,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,-,1,1,-,-,-,-,-,Q V T SA,RF WSF,1,1,,,,,,,,,,,,,,IX-39,1,VC,4,4,,,,,,2,4,4,4,5,4
Lastreopsis decomposita,8015,,,,,Dryopteridaceae,F,F,R,,,transient?,wind,,,,,,,,,R,,,,,,,,,,indefinite,,,,,,1,1,1,1,1,-,-,1,-,-,-,-,-,Q V,RF WSF,1,1,,,,,,,,,,,,,9CE,,1; R41,VCR,2,3,,,I,,100,2,1,4,2,1,2
Lastreopsis hispida,8016,E1,,,,Dryopteridaceae,F,F,S,,,transient?,wind,,,,,,,,,,,,,,,,,,,indefinite,,,,,,-,-,-,-,1,-,-,-,-,-,-,-,-,V T,RF,1,,,,,,,,,,,,,,8CE,,1,C,1,4,,,I,,100,2,4,4,2,1,2
Laxmannia compacta,6752,,,,,Anthericaceae,M,H,S,,,persistent soil,,,,,,,,,,,,Aug-Nov,Aug-Nov,,,,,,,,,,,,,1,1,1,1,-,-,1,1,-,-,-,-,-,Q,S H,,,,,,,,1,,,,,,,,II-49,,G,1,4,,,,,,1,4,4,4,5,4
Laxmannia gracilis,3556,,,,,Anthericaceae,M,H,Sr,,rhizome,persistent soil,,,,,,,,,,,,Jul-Nov,Jul-Nov,,,>85% flowering at 4 months,,,,,,,,,,1,1,1,1,1,1,1,1,-,1,-,-,-,Q V SA,W,,,,,,1,1,,,,,,1,,2BW,II-4; IV-105,105,G,1,4,1,,,,,3,4,3,4,5,4
Laxmannia orientalis,10261,,,,,Anthericaceae,M,H,S,,,,,,,,,heat & smoke,,,,,,Sep-Dec,Sep-Dec,,,,,,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,V T SA,H,,,,,,,,1,,,,,,,8WO 8W,,109,G,1,4,,,,,,2,4,4,4,5,4
Laxmannia sessiliflora,3557,,,,"APNI lists as CAVP in NSW, but not in Flora of NSW or PlantNet",Anthericaceae,M,H,Sr,Post-fire abundance increase (M),,,,,,,,,,,,,,,,,,,,,,<15?,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,V T SA WA,,,,,,,,,,,,,,,,8C 8MO 9E 8V 8M,VIII-83,37; M,G,1,4,,,,15,25,2,4,4,3,3,2
Lechenaultia divaricata,3200,,,,,Goodeniaceae,D,S,R,,,,,,,,,,,,,,,summer,Dec-Feb,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,-,1,-,Q SA NT,O-Mulga,,,,,,,,,,,,,,1,9PL,,,V,4,4,,,,,,1,4,4,4,5,4
Leionema ambiens,10724,,,c,Phebalium ambiens,Rutaceae,D,S,S,,,persistent soil,explosive capsule,,,,,,,,yes,,,spring,Sep-Nov,,,,,,,,,,,5,15,1,-,-,1,-,-,1,1,-,1,-,-,-,Q,H,,,,,,,,1,,,,,,,,VIII-69; II-100; II-134,69,G,1,4,,5,,,15,2,4,2,4,2,3
Leionema carruthersii,10725,,,,,Rutaceae,D,S,R,,,,explosive capsule,,,,,,,,,,,sporadically throughout year,all year,,,,,,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,SF,,,,,,,1,,,,,,,,,IX-R15,,V,4,4,,,,,,1,4,4,4,5,4
Leionema dentatum,10727,,,n,,Rutaceae,D,S,S,,,soil,,,,,,,,,,,,spring,Sep-Nov,,5,,,,,,,,,,,-,1,1,1,1,-,-,-,-,-,-,-,-,,DSF,,,,,,1,1,1,,,,,,,,II-134,,GI,1,1,5,,,,,2,2,4,4,5,4
Leionema diosmeum,10728,,,,Phebalium diosmeum,Rutaceae,D,S,S,,,persistent soil,explosive capsule,,,,,,,,,I,,late winter-spring,Aug-Nov,,,,,,,,,,,,,-,1,1,-,1,1,-,-,-,-,-,-,-,V,H DSF,,,,,,,1,1,,,,,,,8KE,II-2,9,GI,1,1,,,,,,1,1,4,4,5,4
Leionema elatius subsp. beckleri,10731,,,,Phebalium elatius subsp. beckleri,Rutaceae,D,S,S,,,"persistent soil, exhausted by disturbance",explosive capsule,,,,,,,,,,,spring,Sep-Nov,,3,,,,,,2-3 yr,,,,,1,-,-,1,-,-,-,-,-,-,-,-,-,Q,RF (WT) WSF,1,1,,,,,,,,,,,,,,II-89,89,G,1,4,3,,,,,1,4,1,4,5,1
Leionema phylicifolium,10734,,,,Phebalium phylicifolium,Rutaceae,D,S,R,,basal,persistent soil,explosive capsule,,,,,,,,,I,,spring,Sep-Nov,,5?,,,,,70?,,,,,,-,-,1,-,-,1,-,-,-,-,-,-,-,V,H DSF,,,,,,,1,1,1,,,,,,,Vb-58,9; 58,VGI,2,1,5,,70,,>80,1,1,2,3,3,2
Leionema ralstonii,10735,V,,,Phebalium ralstonii,Rutaceae,D,S,S,Can resprout from stem bases following disease or drought; can survive cool fires and resprouts vigourously from sub-aerial stems or possibly rootstock (R15),,persistent soil,explosive capsule,,,,,,,,,I (R35) / T (R15: appears to be ongoing in suitable habitats; populations generally uneven-aged),,"sporadically, chiefly winter",Jun-Aug,,,,,,,long,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,OF,,,,,,,1,,,,1,,,,,V-R15?; II-R35,R15; R35,GT,1,3,,,L,,70,1,3,4,2,4,2
Leionema rotundifolium,10736,,,n,,Rutaceae,D,S,R,,basal buds,,,,,,,,,,,,,Late Winter-Spring,Aug-Nov,,,,,,,,,,,,,1,-,-,1,-,-,1,-,-,-,-,-,-,Q,Heath,,,,,,1,1,1,,,,,,,,V-134,,VI,2,1,,,,,,2,2,4,4,5,4
Leionema rotundifolium,10736,,,,Phebalium rotundifolium,Rutaceae,D,S,S,,,persistent soil,explosive capsule,,,,dormant,smoke & heat,,,yes,,,late winter-spring,Aug-Nov,,,,,,,,,,,10,30,1,-,-,1,-,-,1,-,-,-,-,-,-,Q,H S,,,,,,,,1,,,,,,,,II-69; II-100; II-134,69,GI,1,1,,10,,,30,1,2,2,4,2,3
Lepiderema pulchella,8291,V,,,,Sapindaceae,D,T,R,suckers after low-moderate intensity fire (89),root suckers,a-persistent soil,,,,,hard seed coat,a-heat,low,,,,,"Sep-Oct, fruit ripe Dec-Jan",Sep-Oct,Dec-Jan,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,RF (Riv),1,,,,,,,,,,,,,,,IV-89,89,VSI,2,1,,,,,,1,2,4,4,5,4
Lepidium aschersonii,1816,V,,,,Brassicaceae,D,H,R,,,persistent soil,,,,,,,,,yes,T,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,1,-,-,-,V,,,,,,,,,,,,,,,1,9CE,IXb-R38,R38,VGT,3,3,,,,,,1,1,4,4,5,4
Lepidium hyssopifolium,1822,E1,,,,Brassicaceae,D,H,S,,,persistent soil,no dispersal mechanism,local,3731 sd/g,,germinates readily,,,,,"I (64, 72; R42) / T (R35)",,Dec-Feb,Dec-Feb,,,,,,,"mean 4y, up to 10-15y",>2,,,,,-,-,-,-,1,-,-,-,-,-,-,-,-,Q V T SA,G W,,,,1,1,,,,,,,,1,,8CE,II-R35; II-R40,64; 72; 93b; R40; R42,GT,1,3,,,4,15,17,1,3,4,2,1,1
Lepidium monoplocoides,1824,E1,,,,Brassicaceae,D,H,S,,,,,,,,,,,,,,,,,,,,,,,annual,,,,,,-,-,-,-,-,-,-,-,1,1,1,1,1,V SA,BimbleBox,,,,,,,,,,,,,1,,8CE,,,A,5,5,,,,,,5,4,4,2,5,4
Lepidium pseudopapillosum,7033,E1,,,,Brassicaceae,D,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,V SA,,,,,,,,,,,,,,,,8CE,,,G,1,4,,,,,,2,4,4,4,5,4
Lepidium pseudotasmanicum,1830,,,,,Brassiaceae,D,H,S,,,persistent soil,,,,,,,,,yes,T,,,,,,,,,,2-Jan,,,,,,-,1,1,-,-,-,-,-,-,-,-,-,-,Q V T WA,G W,,,,1,1,,,,,,,,,,,II-R35,1; 54; R35; R42,A,5,5,,,,,,5,1,4,1,1,4
Lepidosperma concavum,8380,,,,,Cyperaceae,M,H,R,,rhizome,persistent soil,,,,,,,,,no,,,,,,,2,,,,indefinite,,,,,,1,1,1,-,1,1,-,-,-,-,-,-,-,Q V T SA,H W F,,,,,,1,1,1,,,,,,,9I 9MO 5K 4W,IXb-7; V-38b; IX-39; XI-83; IV-105,7; 9; 10,VGR,2,3,2,,I,,110,1,2,1,2,1,2
Lepidosperma elatius,8379,,,,,Cyperaceae,M,H,R,,rhizome,persistent soil,a-ant,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,1,1,1,-,-,-,-,-,-,-,-,Q V T,F RF margins,,1,1,,,,,,,,,,,,11W 4WA,IX-39; IXb-49,48; 55,VG,4,4,2,,,,,1,4,1,4,5,4
Lepidosperma filiforme,2465,,,,Lepidosperma flexuosum,Cyperaceae,M,H,Rs,,rhizome,,a-ant,,nut 4mm long,,,,,,recruitment mostly post-fire,,,Jan-May,Jan-May,,,0.6-2,,,,,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,V T,H W F,,,,,,1,1,1,,,,,,,11H 4W 5K 8E 9KP 9WO 9KE 9I,IX-2; V-8; IV-52; IX-59,9; 10; 52; 55,U,4,4,1,2,,,,3,4,1,4,5,4
Lepidosperma forsythii,2467,,,,,Cyperaceae,M,H,R,,rhizome,,,,nut 5mm long,,,,,,recruitment mostly post-fire,,facultative,Feb-Aug,Feb-Aug,,,1,,,,,,,,,,1,1,1,-,1,-,-,-,-,-,-,-,-,V T,H,,,,,,,,1,,,,,,,9KE,IX-2,9,U,4,4,2,,,,,1,4,2,4,5,4
Lepidosperma gladiatum,2468,,,,,Cyperaceae,M,H,R,,basal,,,,333 sd/g,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,V T SA WA,,,,,,,,,1,,,,,,,5WJ 9BA,,93b,V,4,4,,,,,,1,4,4,4,5,4
Lepidosperma gunnii,8749,,,,,Cyperaceae,M,H,R,,,persistent soil,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V T,W H,,,,,,1,1,1,,,1,,,,,IXb-3; IX-39; IXb-49; IV-105,9; 105,VG,4,4,1,,,,,1,4,1,4,5,4
Lepidosperma laterale,6402,,,c,,Cyperaceae,M,H,R,,root suckers,persistent soil,a-ant,,nut 4mm long,,,,,,no,,,Anytime of year,all year,,1,1.25,,,,indefinite,,,,,,1,1,1,1,1,-,1,1,-,1,1,-,-,Q V T SA,W F,,1,1,,,1,1,1,,,,,1,,11H 9VE 11M 11WO 11CH,IX-4; IV-9; V-38b&c; IX-39; IXb-49; IX-91; IX-96; IV-105,9; 55; 96; 138,VGR,2,3,1,,I,,110,1,2,1,2,1,2
Lepidosperma limicola,2469,,,,,Cyperaceae,M,H,R,,root suckers,,,,,,,,,,,,facultative,,,,,,,,,indefinite,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,Q V,Swamp,,,,,,,,,,1,,,,,9KE,IV-2; IV-5,9,U,4,4,2,,I,,100,1,4,2,2,1,2
Lepidosperma longitudinale,2470,,,,,Cyperaceae,M,H,R,,basal,,,,,,,,,,no,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,Q V T SA WA,,,,,,,,,,,1,,,,,11H 5WJ 5F 11C 11E,,68,VR,2,3,,,,,,1,2,4,4,5,4
Lepidosperma neesii,2471,,,,,Cyperaceae,M,H,R,,rhizome,persistent soil,,,nut 3mm long,,,,,,no,,facultative,Nov-Mar (only after fire),Nov-Mar,,,2,,,,indefinite,,,,,,1,1,1,-,1,-,-,-,-,-,-,-,-,V,H W,,,,,,1,1,1,,1,,,,,11H 9I 4K 9KE 4W,IV-2; IVb-7; IX-39; IV-105,7; 9; 10,UGR,2,3,2,,I,,110,1,2,1,2,1,2
Lepidosperma semiteres,2473,,,,,Cyperaceae,M,H,R,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,V SA,H W OF,,,,,,1,1,1,,,,,,,11H 9W 9WO,V-38c,,VR,2,3,,,,,,1,2,4,4,5,4
Lepidosperma tortuosum,2474,,,,,Cyperaceae,M,H,R,,root suckers,persistent soil,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,1,1,1,-,-,-,-,-,-,-,V T,H W,,,,,,1,1,1,,,,,,,,IXb-3; IV-R42,9; R42,VG,4,4,,,,,,1,4,4,4,5,4
Lepidosperma urophorum,2475,,,,,Cyperaceae,M,H,R,,,persistent soil,a-ant,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,1,1,-,-,-,-,-,-,-,V,F,,1,1,,,1,1,,,,,,,,,V-38b; IXb-49,49; 55,VG,4,4,,,,,,1,4,4,4,5,4
Lepidosperma viscidum,11028,,,,,Cyperaceae,M,H,R,Vegetative response at 88% of sites (78),basal,persistent soil,a-ant,,nut 3mm long,,,,,,no / present at 33% of sites (78),,,Anytime of year (peak May),all year,,,,,,,indefinite,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,Q V T SA,H W,,,,,,1,1,1,,,,,,,11H 11C 5K 9CH,IX-4; IX-46; IXb-49; IX-78,9; 78,VGT,3,3,,,I,,110,1,3,4,2,1,2
Leptinella filicula,8703,,,,,Asteraceae,D,H,R,,root suckers,persistent soil,,,,,,,,,,T,,spring-summer,Sep-Feb,,1,,,,,10?,,,,,,1,-,-,1,-,1,-,-,-,-,-,-,-,V T,F,,,1,1,,,,,,,,,,,,IV-58,9; 58,VGT,3,3,1,,10,,>20,1,1,1,3,3,2
Leptocarpus tenax,5534,,,c,,Restionaceae,M,H,R,,root suckers,persistent soil,,,,,,,,,,,,spring,Sep-Nov,,,1,,,,,,,,,,1,1,1,1,1,-,1,1,-,-,-,-,-,Q V T SA WA,wet-H Sedgeland W Swamp,,,,,,,,,,1,1,,,,5WJ 9VE 9WO 9I 4BW 9BN 9KE,IVb-6; IV-8; IX-39; IV-59; IX-94; IV-105,6,VG,4,4,1,,,,,1,4,4,4,5,4
Leptomeria acida,5865,,,c,,Santalaceae,D,S,Sr,"Variable (39), Some resprouting with low intensity fire (105)",root suckers,persistent soil,a-vertebrate,wide,,,,,,,,,,summer,Dec-Feb,,,,7,,,25-60,,,,,,1,1,1,-,1,1,-,1,-,-,-,-,-,Q V,DSF,,,,,,,1,,,,,,,,2S 4F 2BW 8KE,VIII-2; II-8; II-38d; VIII&IX-39; V&II-105; II-134,9; 55,D,4,4,,,25,60,70,3,4,1,2,1,2
Leptomeria aphylla,9176,,,,,Santalaceae,D,S,S,,,,,,,,,,,,,,,Jul-Nov,Jul-Nov,,,,,,,,,,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,V T SA,LOF Mallee,,,,,,,1,,,,,,,,8E,,,D,4,4,,,,,,2,4,4,4,5,4
Leptorhynchos elongatus,1554,,,,,Asteraceae,D,H,R,,root suckers,,wind,,,66%,,,,,yes,,,spring-early summer,Sep-Dec,,,,,,,short,,,,,,-,-,-,1,1,1,1,1,1,-,1,-,-,V T SA WA,W G,,,,,1,1,,,,,,,1,,9CE,IV-38d,1; 93b; R42,V,4,4,,,S,,10,1,4,4,2,4,2
Leptorhynchos scaber,11104,,,,Leptorhynchus scabrus,Asteraceae,D,H,S,,,,,,,,,,,,,,,,,,,,,,,annual,,,,,,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,,,,,,,,,,,8CE,,,A,5,5,,,,,,5,4,4,2,5,4
Leptorhynchos squamatus,1557,,,,,Asteraceae,D,H,R,,rhizome,short-lived persistent soil,wind,wide,0.08mg,fresh & stored 1y 93%,,,,,minor (79) / none observed (78),T,,summer-autumn,Dec-May,,1,1,,,,10?,,,,,,1,-,-,1,1,1,1,1,1,-,1,-,-,V T SA WA,G,,,,1,1,,,,1,,,,,,4W 4WA,IX-11; IV-58; IX-78; IX-79,9; 10; 11; 47; 48; 54; 58; 78; 79; 93b,UDT,3,3,1,,10,,>15,1,1,1,3,3,2
Leptorhynchos waitzia,1559,E1,,,,Asteraceae,D,H,S,,,,,,,,,,,,,,,spring,Sep-Nov,,,,,,,annual,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,1,V S,,,,,,,,,1,,,,,,,8CE,,,A,5,5,,,,,,5,4,4,2,5,4
Leptospermum arachnoides,4213,,,c,,Myrtaceae,D,S,Rs,Variable (39),basal,canopy,,,10526-13158 sd/g,,,,,,,I,,Dec-Mar,Dec-Mar,,,<2.5,,,,40-80,,,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,Q,H W F,,,,,,,1,1,,,,,,,5S 9KE,Va-1; IXa-2; IXa-4; IXa-5; VIII&IX-39; VIII-52; I-66; IX-100; V-134,1; 9; 93b; M,VCI,2,1,2,,40,80,80,3,1,2,2,1,2
Leptospermum brevipes,4216,,,c,,Myrtaceae,D,S,R,,basal buds,not canopy,,,,,,,,,,I,,Oct-Dec,Oct-Dec,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,-,1,-,-,Q V,DSF W S,,,,,,,1,1,,,,,1,,,IX-5; IX-100; V-134,1; 9,VI,2,1,,,,,,1,1,4,4,5,4
Leptospermum continentale,7970,,,c,,Myrtaceae,D,S,Rs,Vegetative response at 75% of sites (78),basal,canopy,,,,,,smoke,,,none observed (78),"I (1, 9) T (136)",,Oct-Jan,Oct-Jan,,5,2,,,,40-80,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,V SA,OF H S,,,,,,,1,1,,1,,,,,,Va-1; IXa-2; Va-38b&c; VIII-48; IX-78,"1; 9; 38; 78; 93a,b",VCT,2,1,2,5,40,80,80,3,1,1,2,1,2
Leptospermum coriaceum,4217,,,,,Myrtaceae,D,S,R,,,,,,,,,,,,present at 38% of sites,,,Jun-Oct,Jun-Oct,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,1,1,1,V SA,Mallee,,,,,,,,1,,,,,,1,9C 9CH,IX-78,78,V,4,4,,,,,,1,4,4,4,5,4
Leptospermum divaricatum,7274,,,n,,Myrtaceae,D,S,R,,basal buds,canopy,,,,,,,,,,,,Aug-Oct,Aug-Oct,,,,,,,,,,,,,-,-,-,-,-,-,1,1,-,1,1,-,-,,Scler-W H,,,,,,1,1,1,,,,,1,,,V,,VI,2,1,,,,,,2,2,4,4,5,4
Leptospermum emarginatum,4218,,,,,Myrtaceae,D,S,R,,,canopy,,,,,,,,,,,,Nov-Jan,Nov-Jan,,,,,,,,,,,,,-,1,1,-,1,-,-,-,-,-,-,-,-,V,riparian-S,,,,,,,,,,,1,,,,9CE,,1,VC,4,4,,,,,,1,4,4,4,5,4
Leptospermum grandifolium,7766,,,,,Myrtaceae,D,S,R,,,canopy,,,,,,,,,,I,,Oct-Jan,Oct-Jan,,,3,,,,40-80,,,,,,-,1,1,-,1,1,-,-,1,-,-,-,-,V,S H Swamp,,,,,,,,1,,1,,,,,9KE,IXa-1; IXa-2,1; 9,VCI,2,1,3,,40,80,80,1,1,1,2,1,2
Leptospermum gregarium,8647,,,c,,Myrtaceae,D,S,R,,basal buds,canopy,,,,,,,,,,I,,Nov-Dec,Nov-Dec,,,,,,,,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,Q,Swamp,,,,,,,,,,1,,,,,,IXa-5; IX-100; V-134,9,VCI,2,1,,,,,,1,1,4,4,5,4
Leptospermum juniperinum,4221,,,,,Myrtaceae,D,S,Rs,Variable (39); Post-fire abundance decrease (85),lignotuber,canopy,,,,,none,,,,present at 50% of sites (78),I,,,,,12,2,,,,40-80,,,,,,1,1,1,-,1,1,-,-,-,-,-,-,-,Q,H S Swamp Sedgeland,,,,,,,,1,,1,1,,,,5W 5S 5F 9VE 9BW 9I 9C 9E 9WO 9KE 9BG,IXa-1; IXa-2; IXa-6; Va-8; IX-37; VIII&IX-39; I-66; IX-67; IX-78,1; 6; 9; 10; 78; 85; 93b,VCI,2,1,2,12,40,80,80,3,1,1,2,1,2
Leptospermum laevigatum,4222,,,,,Myrtaceae,D,S,Sr,Variable (39); Choate has as resprouter (CH) and seeder (78) in different sources,,canopy - transient,,,,,,,,,,T (19) / I (38),,Aug-Oct,Aug-Oct,,5,,,,,30-50; 100-150,,,70,,,1,1,1,-,-,-,-,-,-,-,-,-,-,V T SA,S H,,,,,,,,1,,,,,,,1G 8I 8MO 9CH,VIII-1; I-19; I-34; Va-38b; VIII&IX-39; IX-78; VIII-83; I-96,1; 19; 38; 83,CT,1,3,5,,30,150,150,3,3,1,1,1,2
Leptospermum lanigerum,4223,P,,,,Myrtaceae,D,S,R,,basal,canopy,,,108670-11111 sd/g,,,,,,,,,Oct-Jan,Oct-Jan,,,,,,,,,,,,,-,-,1,-,1,1,-,-,-,-,-,-,-,V SA T,OF OW Swamp,,,,,,,1,,,1,,,,,9WO 9BG,Va-38c; IX-39,"93a,b",VC,4,4,,,,,,1,4,4,4,5,4
Leptospermum liversidgei,4224,,,,,Myrtaceae,D,S,R,,basal,canopy,,,,,,,,,,I,,Jan,Jan,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,swampy-H,,,,,,,,,,1,,,,,5F 9BW,IXa-6; Va-8,6; 9,VCI,2,1,,,,,,1,1,4,4,5,4
Leptospermum macrocarpum,10036,,,,,Myrtaceae,D,S,R,,basal,canopy,,,,,,,,,,,,Oct-Dec,Oct-Dec,,,,,,,,,,,,,-,1,-,-,1,-,-,-,-,-,-,-,-,-,DSF H,,,,,,,1,1,,,,,,,,Va-1,1,VC,4,4,,,,,,1,4,4,4,5,4
Leptospermum minutifolium,4227,,,c,,Myrtaceae,D,S,R,,basal buds,,,,,,,,,,,,,Oct-Nov,Oct-Nov,,,,,,,,,,,,,1,1,1,1,1,1,1,1,-,-,-,-,-,Q,Swamp,,,,,,,,,,1,,,,,,IX-100; V-134,,V,4,4,,,,,,1,4,4,4,5,4
Leptospermum multicaule,4228,,,,,Myrtaceae,D,S,R,Post-fire abundance decrease (P),basal,,,,,,,,,,yes,,,Oct-Nov,Oct-Nov,,,2,,,,,,,,,,-,-,-,-,1,1,-,1,1,-,-,-,-,V,W,,,,,,,1,,,,,,,,9P 5PU,,P,V,4,4,2,,,,,1,4,1,4,5,4
Leptospermum myrsinoides,4229,,,,,Myrtaceae,D,S,R,,lignotuber,persistent soil,,,,,,heat & smoke,,,yes (33) / present at 4% of sites (78),I,,Oct-Nov,Oct-Nov,,,2,,,,25-Oct,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,V SA,Mallee H,,,,,,,,1,,,,,,,9C 9VE 9WO 5W 9MO 9E 11CH,IX-33; Vb-34; IX-37; V-38c; IX-67; IX-78; IX-83,"10; 33; 78; 93a,b; 109; 110",VGI,2,1,2,,10,25,35,1,1,1,2,1,2
Leptospermum myrtifolium,4230,,,n,,Myrtaceae,D,S,R,,,canopy,,,,,,,,,,T,,Dec-Feb,Dec-Feb,,,,,,,,,,,,,-,-,-,-,1,1,-,1,1,-,-,-,-,V,W,,,,,,,,,1,,,,,,,,136,WGT,3,3,,,,,,1,4,4,4,5,4
Leptospermum novae-angliae,8478,,,c,,Myrtaceae,D,S,Rs,Killed by 100% scorch (95a),basal buds,canopy,,,,,,,,,,I,,Oct-Nov,Oct-Nov,,,,,,,,,,,,,1,-,1,1,1,1,1,-,1,1,-,-,-,Q,H DSF,,,,,,,1,1,,,,,,,,IXa-5; IX-69; VIII-95a; IX-100; V-134,9,VCI,2,1,,,,,,3,1,4,4,5,4
Leptospermum obovatum,4232,,,,,Myrtaceae,D,S,R,,basal,canopy,,,,,none,,,,,,,Nov-Jan,Nov-Jan,,,,,,,25-50?,,,,,,-,1,1,-,1,1,-,-,-,-,-,-,-,V,OW S,,,,,,,1,1,,1,,,,,9WO,Va-1,1; 93a,VC,4,4,,,25,50,50,1,4,4,3,1,2
Leptospermum parvifolium,4233,,,,,Myrtaceae,D,S,Rs,,basal,transient,,,,,,,,,,I,facultative,Sep-Nov,Sep-Nov,,,<4,,,,40-80,,,,,,1,1,1,1,1,-,1,1,-,1,-,-,-,-,DSF W S H,,,,,,,1,1,,,,,1,1,9BN,V-1; IXd-4; I-66,1; 9,UCI,2,1,4,,40,80,80,3,1,2,2,1,2
Leptospermum petersonii,4234,,,c,,Myrtaceae,D,S,R,,basal buds,canopy,,,,,,,,,,,,Mostly Dec-Jan,Dec-Jan,,,3,,,,,,,,,,-,1,1,-,1,1,-,1,1,-,-,-,-,Q,WSF RF,1,1,,,,,,,,,,,,,,V-134,138,VI,2,1,3,,,,,2,2,4,4,5,4
Leptospermum polygalifolium subsp. cismontanum,8199,,,,,Myrtaceae,D,S or T,Rs,Variable (39),,canopy?,,,,,,,,,,,,Sep-Oct,Sep-Oct,,,,,,,,,,,,,1,1,-,-,-,-,-,-,-,-,-,-,-,Q,DSF,,,,,,,1,,,,,,,,,IX&VIII-39,1,VC,4,4,,,,,,3,4,4,4,5,4
Leptospermum polygalifolium subsp. montanum,8198,,,n,,Myrtaceae,D,S,R,,basal buds,canopy,,,,,,,,,,,,Nov-Jan,Nov-Jan,,,2,,,,,,,,,,1,-,-,1,-,-,1,-,-,-,-,-,-,Q,,,1,,,,,,,,,,,,,,V-134,,VI,2,1,2,,,,,2,2,4,4,5,4
