scientificName,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,...9,partially_woody
Geranium sp. 6,NA,decumbent,NA,perennial,NA,NA,NA,NA,NA
Geranium sp. 7,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Geranium yeoi,NA,erect decumbent,NA,biennial,NA,NA,NA,NA,NA
Gesneriaceae,tree shrub epiphyte herb climber,NA,NA,NA,rhizome,epiphyte,NA,NA,NA
Geum,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Geum urbanum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geum urbanum var. strictum,herb,NA,NA,NA,rhizome,NA,NA,NA,NA
Gingidia,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Gingidia harveyana,herb,erect,NA,NA,NA,NA,NA,NA,NA
Gladiolus,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Gladiolus carneus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus communis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus communis subsp. byzantinus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus gueinzii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus tristis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus undulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus watsonius,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus x colvillei,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glaucium,NA,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Glaucium corniculatum,NA,NA,NA,annual biennial,NA,NA,NA,NA,NA
Glaucium flavum,NA,NA,NA,biennial perennial,NA,NA,NA,NA,NA
Glebionis,herb,NA,NA,annual,NA,NA,NA,NA,NA
Glebionis segetum,NA,erect,NA,annual,NA,NA,NA,NA,NA
Gleditsia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gleditsia triacanthos,tree,NA,NA,NA,NA,NA,NA,NA,NA
Gleichenia,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Gleichenia dicarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gleichenia microphylla,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gleichenia rupestris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gleicheniaceae,fern,dense open,NA,NA,NA,terrestrial,NA,NA,NA
Glinus,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Glinus lotoides,NA,prostrate procumbent,NA,annual,NA,NA,NA,NA,NA
Glinus oppositifolius,NA,prostrate,NA,annual,NA,NA,NA,NA,NA
Glischrocaryon,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Glischrocaryon behrii,herb,NA,NA,NA,NA,NA,NA,NA,NA
Glossocardia,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Glossocardia bidens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glossodia,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Glossodia major,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glossodia minor,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glossostigma,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Glossostigma cleistanthum,aquatic_herb,mat_forming,NA,short_lived_perennial ephemeral,NA,terrestrial,NA,NA,NA
Glossostigma diandrum,aquatic_herb,mat_forming,NA,annual,NA,terrestrial,NA,NA,NA
Glossostigma drummondii,aquatic,mat_forming,NA,annual,NA,terrestrial aquatic,NA,NA,NA
Glossostigma elatinoides,aquatic,mat_forming,NA,perennial,NA,terrestrial,NA,NA,NA
Glyceria,semiaquatic aquatic,NA,NA,annual perennial,rhizome,aquatic semiaquatic,NA,NA,NA
Glyceria australis,NA,stoloniferous tufted erect,NA,annual perennial,rhizome stolon,NA,NA,NA,NA
Glyceria declinata,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Glyceria fluitans,NA,stoloniferous tufted erect,NA,perennial,stolon,NA,NA,NA,NA
Glyceria maxima,NA,erect,NA,perennial,rhizome,NA,NA,NA,NA
Glyceria notata,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Glycine,herb,procumbent,NA,perennial,NA,NA,NA,NA,woody_base
Glycine canescens,herb,stoloniferous trailing twining,NA,NA,stolon,NA,NA,NA,NA
Glycine clandestina,herb,stoloniferous twining,NA,NA,stolon,NA,NA,NA,NA
Glycine latrobeana,herb,stoloniferous decumbent,NA,NA,stolon,NA,NA,NA,NA
Glycine microphylla,herb,stoloniferous twining scrambling,NA,NA,stolon,NA,NA,NA,NA
Glycine tabacina,herb,stoloniferous twining scrambling,NA,NA,stolon,NA,NA,NA,NA
Glycyrrhiza,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Glycyrrhiza acanthocarpa,subshrub,erect,NA,NA,NA,NA,NA,NA,NA
Glycyrrhiza glabra,subshrub,erect,NA,NA,rhizome,NA,NA,NA,NA
Gnaphalium,herb,stoloniferous,NA,annual perennial,stolon,NA,NA,NA,NA
Gnaphalium indutum,NA,NA,NA,annual,NA,NA,NA,NA,NA
Gnaphalium indutum subsp. acuminatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnaphalium indutum subsp. indutum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnaphalium polycaulon,NA,erect,NA,annual,NA,NA,NA,NA,NA
Gnephosis,herb,NA,NA,annual,NA,NA,NA,NA,NA
Gnephosis drummondii,herb,NA,NA,annual,NA,NA,NA,NA,NA
Gnephosis tenuissima,herb,NA,NA,annual,NA,NA,NA,NA,NA
Gnetopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnidia,subshrub shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gnidia squarrosa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gomphocarpus,shrub herb,erect,NA,NA,NA,NA,NA,NA,NA
Gomphocarpus cancellatus,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gomphocarpus fruticosus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomphocarpus fruticosus subsp. fruticosus,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gomphocarpus physocarpus,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gompholobium,shrub,NA,NA,perennial,NA,NA,NA,NA,NA
Gompholobium ecostatum,shrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Gompholobium glabratum,shrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Gompholobium huegelii,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Gompholobium inconspicuum,shrub,prostrate decumbent,NA,NA,NA,NA,NA,NA,NA
Gompholobium latifolium,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Gomphrena,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Gomphrena celosioides,herb,decumbent,NA,annual perennial,NA,NA,NA,NA,NA
Gonocarpus,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Gonocarpus elatus,subshrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Gonocarpus humilis,herb,prostrate,NA,perennial,NA,NA,NA,NA,NA
Gonocarpus mezianus,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Gonocarpus micranthus,herb,prostrate erect,NA,short_lived_perennial perennial,NA,NA,NA,NA,NA
Gonocarpus micranthus subsp. micranthus,herb,prostrate,NA,NA,NA,NA,NA,NA,NA
Gonocarpus micranthus subsp. ramosissimus,herb,erect,NA,NA,NA,NA,NA,NA,NA
Gonocarpus montanus,herb,procumbent,NA,perennial,NA,NA,NA,NA,NA
Gonocarpus serpyllifolius,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Gonocarpus tetragynus,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Gonocarpus teucrioides,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Goodenia,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Goodenia arguta,NA,rosette,NA,perennial,NA,NA,NA,NA,NA
Goodenia bellidifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia bellidifolia subsp. bellidifolia,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Goodenia benthamiana,subshrub,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia blackiana,NA,prostrate stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Goodenia connata,NA,erect rosette,NA,annual,NA,NA,NA,NA,NA
Goodenia elongata,NA,NA,NA,short_lived_perennial,NA,NA,NA,NA,NA
Goodenia fascicularis,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Goodenia geniculata,NA,stoloniferous decumbent,NA,perennial,stolon,NA,NA,NA,NA
Goodenia glauca,NA,erect,NA,perennial,NA,NA,NA,NA,NA
Goodenia gracilis,NA,erect,NA,annual perennial,NA,NA,NA,NA,NA
Goodenia havilandii,NA,prostrate,NA,short_lived_perennial annual,NA,NA,NA,NA,NA
Goodenia hederacea,NA,prostrate,NA,perennial,NA,NA,NA,NA,NA
Goodenia hederacea subsp. alpestris,NA,prostrate,NA,NA,NA,NA,NA,NA,NA
Goodenia hederacea subsp. hederacea,NA,prostrate,NA,NA,NA,NA,NA,NA,NA
Goodenia heteromera,NA,stoloniferous mat_forming rosette,NA,perennial,stolon,NA,NA,NA,NA
Goodenia heterophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia heterophylla subsp. heterophylla,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Goodenia humilis,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Goodenia lanata,NA,prostrate decumbent,NA,perennial,NA,NA,NA,NA,NA
Goodenia lineata,NA,erect,NA,perennial,NA,NA,NA,NA,NA
Goodenia lunata,NA,decumbent,NA,perennial,NA,NA,NA,NA,NA
Goodenia macbarronii,NA,erect,NA,perennial,NA,NA,NA,NA,NA
Goodenia macmillanii,NA,erect,NA,short_lived_perennial,NA,NA,NA,NA,NA
Goodenia montana,herb,rosette,NA,perennial,NA,NA,NA,NA,NA
Goodenia ovata,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Goodenia paniculata,NA,erect,NA,annual perennial,NA,NA,NA,NA,NA
Goodenia paradoxa,NA,decumbent rosette,NA,perennial,NA,NA,NA,NA,NA
Goodenia pinnatifida,NA,decumbent,NA,annual perennial,NA,NA,NA,NA,NA
Goodenia pusilliflora,NA,decumbent,NA,annual,NA,NA,NA,NA,NA
Goodenia radicans,herb,prostrate mat_forming,NA,NA,NA,NA,NA,NA,NA
Goodenia robusta,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Goodenia stelligera,NA,erect,NA,perennial,NA,NA,NA,NA,NA
Goodenia varia,shrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Goodenia willisiana,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Goodeniaceae,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Goodia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Goodia lotifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Goodia medicaginea,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Goodia pubescens,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gratiola,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Gratiola nana,NA,prostrate mat_forming,NA,perennial,NA,NA,NA,NA,NA
Gratiola pedunculata,herb,erect decumbent,NA,NA,NA,NA,NA,NA,NA
Gratiola peruviana,NA,decumbent,NA,perennial,NA,NA,NA,NA,NA
Gratiola pubescens,herb,procumbent,NA,perennial,NA,NA,NA,NA,NA
Gratiola pumilo,herb,prostrate decumbent,NA,perennial,NA,NA,NA,NA,NA
Grevillea,tree shrub,prostrate erect,NA,NA,NA,NA,NA,NA,NA
Grevillea 'Poorinda Constance',shrub,erect,NA,NA,NA,NA,NA,NA,NA
Grevillea 'Poorinda Queen',NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea alpina,shrub,prostrate spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea alpivaga,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea angustiloba,shrub,prostrate erect procumbent,NA,NA,NA,NA,NA,NA,NA
Grevillea angustiloba subsp. angustiloba,shrub,prostrate erect procumbent,NA,NA,NA,NA,NA,NA,NA
Grevillea angustiloba subsp. wirregaensis,shrub,prostrate procumbent,NA,NA,NA,NA,NA,NA,NA
Grevillea aquifolium,shrub,prostrate erect spreading decumbent mat_forming,NA,NA,NA,NA,NA,NA,NA
Grevillea arenaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea arenaria subsp. arenaria,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea australis,shrub,prostrate spreading dense,NA,NA,NA,NA,NA,NA,NA
Grevillea barklyana,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Grevillea bedggoodiana,shrub,prostrate procumbent,NA,NA,NA,NA,NA,NA,NA
Grevillea brevifolia,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea burrowa,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea callichlaena,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea celata,NA,erect dense open,NA,NA,NA,NA,NA,NA,NA
Grevillea chrysophaea,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea confertifolia,shrub,spreading dense,NA,NA,NA,NA,NA,NA,NA
Grevillea dimorpha,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea dryophylla,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea floribunda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea floribunda subsp. floribunda,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea floripendula,shrub,prostrate spreading decumbent,NA,NA,NA,NA,NA,NA,NA
Grevillea gariwerdensis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea huegelii,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Grevillea ilicifolia,shrub,prostrate erect spreading procumbent,NA,NA,NA,NA,NA,NA,NA
Grevillea ilicifolia subsp. ilicifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea ilicifolia subsp. lobata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea infecunda,NA,open,NA,NA,NA,NA,NA,NA,NA
Grevillea jephcottii,shrub,dense spindly,NA,NA,NA,NA,NA,NA,NA
Grevillea juniperina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea juniperina subsp. juniperina,shrub,erect spreading dense,NA,NA,NA,NA,NA,NA,NA
Grevillea lanigera,shrub,spreading dense,NA,NA,NA,NA,NA,NA,NA
Grevillea lavandulacea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea lavandulacea subsp. lavandulacea,shrub,spreading procumbent,NA,NA,NA,NA,NA,NA,NA
Grevillea micrantha,NA,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea microstegia,shrub,prostrate procumbent,NA,NA,NA,NA,NA,NA,NA
Grevillea miqueliana,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea miqueliana subsp. cincta,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea miqueliana subsp. miqueliana,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea miqueliana subsp. moroka,shrub,erect spreading compact,NA,NA,NA,NA,NA,NA,NA
Grevillea monslacana,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea montis-cole,shrub,open,NA,NA,NA,NA,NA,NA,NA
Grevillea montis-cole subsp. brevistyla,shrub,prostrate spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea montis-cole subsp. montis-cole,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea neurophylla,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea neurophylla subsp. fluviatilis,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Grevillea neurophylla subsp. neurophylla,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea obtecta,shrub,prostrate mat_forming,NA,NA,NA,NA,NA,NA,NA
Grevillea oxyantha,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea oxyantha subsp. oxyantha,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea pachylostyla,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Grevillea parvula,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea patulifolia,shrub,erect trailing,NA,NA,NA,NA,NA,NA,NA
Grevillea polybractea,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea polychroma,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea pterosperma,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Grevillea ramosissima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea ramosissima subsp. hypargyrea,NA,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea repens,shrub,prostrate trailing mat_forming,NA,NA,NA,NA,NA,NA,NA
Grevillea robusta,tree,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea rosmarinifolia,shrub,open compact,NA,NA,NA,NA,NA,NA,NA
Grevillea rosmarinifolia subsp. glabella,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea rosmarinifolia subsp. rosmarinifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea steiglitziana,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea victoriae,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grevillea victoriae subsp. nivalis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea victoriae subsp. victoriae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea willisii,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Grindelia,subshrub herb,prostrate erect decumbent,NA,annual biennial perennial,NA,NA,NA,NA,NA
Grindelia squarrosa,subshrub herb,erect,NA,biennial perennial,NA,NA,NA,NA,NA
Grossulariaceae,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Gymnocoronis,herb,erect,NA,annual perennial,NA,NA,NA,NA,NA
Gymnocoronis spilanthoides,herb,decumbent,NA,perennial,rhizome,NA,NA,NA,NA
Gymnoschoenus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Gymnoschoenus sphaerocephalus,tussock,NA,NA,perennial,NA,NA,NA,NA,NA
Gynatrix,tree shrub,NA,NA,perennial,NA,NA,dioecious,NA,NA
Gynatrix macrophylla,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gynatrix pulchella,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gynochthodes,tree climber_woody shrub,NA,NA,NA,NA,NA,NA,NA,NA
Gynochthodes jasminoides,climber_woody shrub,scrambling,NA,NA,NA,NA,NA,NA,NA
Gypsophila,subshrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Gypsophila tubulosa,NA,NA,NA,annual,NA,NA,NA,NA,NA
Gypsophila vaccaria,NA,erect,NA,annual,NA,NA,NA,NA,NA
Gyrostemon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gyrostemon australasicus,shrub,erect,NA,NA,NA,NA,dioecious,NA,NA
Gyrostemonaceae,tree shrub,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Hackelia,herb,decumbent,NA,annual perennial,NA,NA,NA,NA,NA
Hackelia latifolia,NA,trailing,NA,NA,NA,NA,NA,NA,NA
Hackelia suaveolens,herb,tufted,NA,NA,rhizome,NA,NA,NA,NA
Haegiela,herb,NA,NA,annual,NA,NA,NA,NA,NA
Haegiela tatei,herb,erect,NA,NA,NA,NA,NA,NA,NA
Haemodoraceae,herb,stoloniferous,NA,annual perennial,rhizome stolon,NA,NA,NA,NA
Hainardia,NA,NA,NA,annual,NA,NA,NA,NA,NA
Hainardia cylindrica,NA,tufted erect,NA,NA,NA,NA,NA,NA,NA
Hakea,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea asperma,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Hakea dactyloides,tree shrub,erect bushy,NA,NA,NA,NA,NA,NA,NA
Hakea decurrens,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea decurrens subsp. physocarpa,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea decurrens subsp. platytaenia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea drupacea,tree shrub,erect spreading dense,NA,NA,NA,NA,NA,NA,NA
Hakea elliptica,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea eriantha,tree shrub,dense,NA,NA,NA,NA,NA,NA,NA
Hakea laurina,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Hakea leucoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea leucoptera subsp. leucoptera,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea lissosperma,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea macraeana,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea microcarpa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea mitchellii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea nodosa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea oleifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea petiolaris,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Hakea prostrata,shrub,prostrate erect sprawling,NA,NA,NA,NA,NA,NA,NA
Hakea repullulans,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Hakea rostrata,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Hakea rugosa,shrub,dense,NA,NA,NA,NA,NA,NA,NA
Hakea salicifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea salicifolia subsp. salicifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea sericea,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea tephrosperma,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hakea teretifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hakea teretifolia subsp. hirsuta,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Hakea ulicina,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Hakea undulata,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Halgania,shrub,NA,NA,perennial,NA,NA,NA,NA,NA
Halgania andromedifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Halgania cyanea,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Halophila,herb,stoloniferous,NA,annual perennial,stolon,marine,dioecious,NA,NA
Halophila australis,herb,NA,NA,NA,NA,NA,dioecious,NA,NA
Halophila decipiens,herb,NA,NA,NA,NA,NA,monoecious,NA,NA
Haloragaceae,tree shrub herb,NA,NA,annual ephemeral perennial,NA,NA,NA,NA,NA
Haloragis,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Haloragis acutangula,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Haloragis acutangula f. acutangula,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis acutangula f. tetraptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis aspera,herb,erect procumbent,NA,perennial,NA,NA,NA,NA,NA
Haloragis eichleri,subshrub herb,NA,NA,perennial,NA,NA,NA,NA,NA
Haloragis exalata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis exalata var. exalata,shrub,NA,NA,perennial,NA,NA,NA,NA,NA
Haloragis glauca,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis glauca f. glauca,herb,erect procumbent,NA,perennial,NA,NA,NA,NA,NA
Haloragis heterophylla,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Haloragis myriocarpa,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Haloragis odontocarpa,herb,NA,NA,annual,NA,NA,NA,NA,NA
Haloragis odontocarpa f. octoforma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. odontocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. pterocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. rugosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haloragodendron,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Haloragodendron baeuerlenii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hardenbergia,subshrub herb,prostrate trailing,NA,perennial,NA,NA,NA,NA,NA
Hardenbergia violacea,subshrub,prostrate twining,NA,NA,NA,NA,NA,NA,NA
Harmsiodoxa,herb,NA,NA,annual,NA,NA,NA,NA,NA
Harmsiodoxa blennodioides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harmsiodoxa brevipes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harmsiodoxa brevipes var. brevipes,NA,prostrate,NA,NA,NA,NA,NA,NA,NA
Haworthia,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Haworthia attenuata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haworthia attenuata var. attenuata,herb,dense rosette,NA,NA,NA,NA,NA,NA,NA
Hedera,shrub climber,NA,NA,NA,NA,NA,NA,NA,NA
Hedera helix,climber_woody,creeper,NA,NA,NA,NA,NA,NA,NA
Hedera hibernica,climber_woody,creeper,NA,NA,NA,NA,NA,NA,NA
Hedycarya,tree shrub,NA,NA,NA,NA,NA,dioecious,NA,NA
Hedycarya angustifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Hedychium,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Hedychium gardnerianum,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Helianthus,herb,erect,NA,annual perennial,NA,NA,NA,NA,NA
Helianthus annuus,herb,erect,NA,annual biennial,NA,NA,NA,NA,NA
Helianthus tuberosus,herb,erect,NA,annual perennial,NA,NA,NA,NA,NA
Helichrysum,subshrub shrub herb,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Helichrysum leucopsideum,herb,erect,NA,perennial,rhizome,NA,NA,NA,NA
Heliotropium,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Heliotropium amplexicaule,NA,prostrate,NA,perennial,NA,NA,NA,NA,NA
Heliotropium asperrimum,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Heliotropium curassavicum,NA,prostrate,NA,annual perennial,NA,NA,NA,NA,NA
Heliotropium europaeum,NA,NA,NA,annual,NA,NA,NA,NA,NA
Heliotropium supinum,NA,prostrate,NA,annual,NA,NA,NA,NA,NA
Helminthotheca,NA,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Helminthotheca echioides,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Helosciadium,semiaquatic aquatic_herb,prostrate,NA,perennial,NA,aquatic semiaquatic,NA,NA,NA
Helosciadium nodiflorum,semiaquatic aquatic,NA,NA,perennial,NA,aquatic semiaquatic,NA,NA,NA
Hemarthria,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Hemarthria uncinata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemarthria uncinata var. uncinata,NA,erect,NA,perennial,rhizome,NA,NA,NA,NA
Hemichroa,subshrub,NA,NA,perennial,NA,NA,NA,NA,NA
Hemichroa pentandra,NA,prostrate,NA,NA,rhizome,NA,NA,NA,NA
Herniaria,herb,mat_forming,NA,annual perennial,NA,NA,NA,NA,NA
Herniaria cinerea,NA,NA,NA,annual,NA,NA,NA,NA,NA
Herpolirion,herb,NA,NA,perennial,rhizome,NA,NA,NA,NA
