genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,Source
Euphrasia,Euphrasia collina subsp. muelleri,"herb 20-35 cm high,",perennial,inferred_from_species,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by W. R. Barker (1992); Taxon concept: Flora of NSW 3 (1992)
Euphrasia,Euphrasia collina subsp. nandewarensis,"herb 30-50 cm high,",perennial,inferred_from_species,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by W. R. Barker; Taxon concept: Flora of NSW 3 (1992)
Euphrasia,Euphrasia collina subsp. collina,"herb or subshrub 25-60 cm high,",perennial,inferred_from_species,NA,NA,herb subshrub,herb subshrub,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by W. R. Barker; Taxon concept: Flora of NSW 3 (1992)
Euphrasia,Euphrasia collina subsp. glacialis,"herb 7-12 cm high,",perennial,inferred_from_species,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by W. R. Barker; Taxon concept: Flora of NSW 3 (1992)
Euphrasia,Euphrasia collina subsp. lapidosa,herb 5-9 cm high.,perennial,inferred_from_species,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by W. R. Barker; Taxon concept: Flora of NSW 3 (1992)
Euphrasia,Euphrasia collina subsp. paludosa,herb 18-45 cm high;,perennial,inferred_from_species,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by W. R. Barker; Taxon concept: Flora of NSW 3 (1992)
Euphrasia,Euphrasia orthocheila subsp. orthocheila,NA,annual,inferred_from_species,NA,NA,herb,inferred_from_species,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by W. R. Barker; Taxon concept: Flora of NSW 3 (1992)
Eupomatia,Eupomatia,"shrubs or small trees, glabrous, the branchlets zigzag.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by G. J. Harden
Eupomatia,Eupomatia bennettii,"shrub with tuberous roots, frequently single-stemmed, 70-140 cm high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Eupomatia,Eupomatia laurina,"shrub or small tree, branchlets often black.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Eupomatiaceae,Eupomatiaceae,"shrubs or small trees, glabrous, the branchlets zigzag.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by G. J. Harden
Eurychorda,Eurychorda complanata,"dioecious perennial herb, tufted or rhizome shortly creeping, muchbranched.",perennial,perennial,NA,NA,herb graminoid,herb,NA,NA,dioecious,dioecious,creeping rhizomatous,creeping rhizome,herbaceous,NA,Text by A. L. Quirico & B. G. Briggs; Taxon concept: Flora of NSW 4 (1993)
Eurychorda,Eurychorda,descriptive details to be provided,perennial,inferred_from_family,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by KL Wilson (July 2008)
Euryomyrtus,Euryomyrtus,prostrate to decumbent shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,decumbent prostrate,decumbent prostrate,woody,NA,Text by Peter G. Wilson
Euryomyrtus,Euryomyrtus denticulata,"spreading, decumbent or prostrate shrub to 20 cm high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent prostrate spreading,decumbent prostrate spreading,woody,NA,Text by Peter G. Wilson
Euryomyrtus,Euryomyrtus ramosissima,"spreading shrubs to 60 cm high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,Text by Peter G. Wilson
Euryomyrtus,Euryomyrtus ramosissima subsp. prostrata,"spreading, decumbent or prostrate shrub to 20 cm high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent prostrate spreading,decumbent prostrate spreading,woody,NA,Text by Peter G. Wilson
Euryomyrtus,Euryomyrtus ramosissima subsp. ramosissima,prostrate or erect shrub to 60 cm high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect prostrate,erect prostrate,woody,NA,Text by Peter G. Wilson
Euryops,Euryops,"small shrubs, rarely annual or perennial herbs.",annual perennial,annual perennial,NA,NA,herb shrub,herbs shrubs,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,Text by J. A. Scott & E. A. Brown
Euryops,Euryops chrysanthemoides,shrub 0.5-1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by J. A. Scott & E. A. Brown; Taxon concept: Flora of NSW 3 (1992)
Euryops,Euryops virgineus,"woody erect shrub, 1-1.5  metre high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by Louisa Murray
Eustachys,Eustachys,rhizomatous or tufted perennials.,perennial,perennials,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,Text by S. W. L. Jacobs & K. L. McClay
Eustachys,Eustachys distichophylla,rhizomatous perennial to 1.1 m high.,perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,Text by S. W. L. Jacobs & K. L. McClay; Taxon concept: Flora of NSW 4 (1993)
Eutaxia,Eutaxia,shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,Text by M. F. Porteners
Eutaxia,Eutaxia diffusa,"variable shrub, often low, dense and intricate or erect;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect dense,erect dense,woody,NA,Text by M. F. Porteners; Taxon concept: Flora of NSW 2 (1991)
Eutaxia,Eutaxia microphylla,"variable shrub, often low, dense and intricate or erect;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect dense,erect dense,woody,NA,Text by M. F. Porteners; Taxon concept: J.M. Black (1924)
Everistia,Everistia,"shrubs or small trees, erect, scandent or prostrate, usually much branched;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,erect prostrate climbing,erect prostrate scandent,woody,NA,"Text by Louisa Murray; Taxon concept: S.T.Reynolds & R.J.F.Henderson, Austrobaileya 5(2):353-361(1999)"
Everistia,Everistia vacciniifolia,"shrubs or small trees 1-7 m high, erect, scandent or prostrate;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,erect prostrate climbing,erect prostrate scandent,woody,NA,NA
Everistia,Everistia vacciniifolia var. nervosa,"small trees or large shrubs, usually with a straight and slender trunk and spreading layered branching;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,spreading,spreading,woody,NA,Text by Louisa Murray; Taxon concept: Austrobaileya 5(2):353-361(1999) S.T.Reynolds & R.J.F.Henderson
Evolvulus,Evolvulus,perennial subshrubs or herbs [rarely annuals].,annual perennial,annuals perennial,NA,inferred_from_family,herb subshrub,herbs subshrubs,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by R. W. Johnson
Evolvulus,Evolvulus alsinoides var. villosicalyx,perennial herb or subshrub.,perennial,perennial,NA,inferred_from_family,herb subshrub,herb subshrub,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by R. W. Johnson; Taxon concept: Flora of NSW 3 (1992)
Evolvulus,Evolvulus alsinoides var. decumbens,NA,perennial,inferred_from_species,NA,inferred_from_family,herb,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by R. W. Johnson; Taxon concept: Flora of NSW 3 (1992)
Evolvulus,Evolvulus alsinoides,perennial herb or subshrub.,perennial,perennial,NA,inferred_from_family,herb subshrub,herb subshrub,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by R. W. Johnson
Ewartia,Ewartia,dioecious mat-forming perennials;,perennial,perennials,NA,NA,herb,inferred_from_life_history,NA,NA,dioecious,dioecious,mat-forming,matforming,herbaceous,NA,Text by J. Everett
Ewartia,Ewartia nubigena,"creeping mat-forming herb with branches ascending to 10 cm high,",perennial,inferred_from_genus,NA,NA,herb,herb,NA,NA,dioecious,inferred_from_genus,mat-forming creeping decumbent,matforming creeping ascending,herbaceous,NA,Text by J. Everett; Taxon concept: Flora of NSW 3 (1992)
Excoecaria,Excoecaria,"shrubs or trees with milky latex, glabrous; monoecious or dioecious.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,dioecious monoecious,dioecious monoecious,NA,NA,woody,NA,Text by T. A. James & G. J. Harden
Excoecaria,Excoecaria agallocha,"shrub or small tree to 9 m high, dioecious.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,dioecious,dioecious,NA,NA,woody,NA,Text by T. A. James & G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Excoecaria,Excoecaria dallachyana,shrub or small tree to 15 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by T. A. James & G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Exocarpos,Exocarpos,shrubs or trees;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. Wiecek
Exocarpos,Exocarpos aphyllus,"muchbranched shrub or small tree to 5 m high, grey-green or olive-green;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. Wiecek; Taxon concept: Flora of NSW 3 (1992)
Exocarpos,Exocarpos cupressiformis,"shrub or small tree to 8 m high, yellowish green or bronzy;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. Wiecek; Taxon concept: Flora of NSW 3 (1992)
Exocarpos,Exocarpos homalocladus,shrub or small tree to 4 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by B.M. Wiecek; Taxon concept: Flora of Australia Vol. 49, 1994, p. 219."
Exocarpos,Exocarpos latifolius,erect to spreading shrub or small tree 2-10 m high; young growth ± hoary;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by B. Wiecek; Taxon concept: Flora of NSW 3 (1992)
Exocarpos,Exocarpos nanus,prostrate to ascending subshrub to 1 m diam.;,NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,decumbent prostrate,ascending prostrate,NA,NA,Text by B. Wiecek; Taxon concept: Flora of NSW 3 (1992)
Exocarpos,Exocarpos sparteus,"shrub or small tree, often multistemmed, 1.5-6 m high, ± glabrous;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. Wiecek; Taxon concept: Flora of NSW 3 (1992)
Exocarpos,Exocarpos strictus,"erect shrub to 3.5 m high, light green, bronzy, blue-green or greyish, often forming dense thickets;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect dense,erect dense,woody,NA,Text by B. Wiecek; Taxon concept: Flora of NSW 3 (1992)
Exocarya,Exocarya sclerioides,"tall, slender, tuft-forming perennial.",perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,tufted,tuft,herbaceous,NA,NA
Exocarya,Exocarya,rhizomatous perennials.,perennial,perennials,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,Text by K. L. Wilson (1993); Taxon concept: Flora of NSW vol. 4 (1993)
Fabaceae,Fabaceae,"trees, shrubs or herbs, sometimes climbing or trailing, occasionally spiny.",NA,NA,NA,NA,herb shrub tree,herbs shrubs trees,NA,NA,NA,NA,prostrate climbing,trailing climbing,woody herbaceous,NA,Text by  ; Text by  ; Text by  
Fabaceae,Fabaceae,"trees, shrubs or herbs, sometimes climbing or trailing, occasionally spiny.",NA,NA,NA,NA,herb shrub tree,herbs shrubs trees,NA,NA,NA,NA,prostrate climbing,trailing climbing,woody herbaceous,NA,Text by  ; Text by  ; Text by  
Fabaceae,Fabaceae,"trees, shrubs or herbs, sometimes climbing or trailing, occasionally spiny.",NA,NA,NA,NA,herb shrub tree,herbs shrubs trees,NA,NA,NA,NA,prostrate climbing,trailing climbing,woody herbaceous,NA,Text by  ; Text by  ; Text by  
Facelis,Facelis,annual or perennial herbs.,annual perennial,annual perennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by M. F. Porteners
Facelis,Facelis retusa,"annual herb, 5-30 cm high.",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by M. F. Porteners; Taxon concept: Flora of NSW 3 (1992)
Fagaceae,Fagaceae,"trees or rarely shrubs, deciduous or evergreen. mostly monoecious.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,monoecious,monoecious,NA,NA,woody,NA,Text by KL Wilson (Oct 2015); Taxon concept: R Spencer (1997) Horticultural Flora of SE Australia vol. 2
Fagopyrum,Fagopyrum,erect annuals.,annual,annuals,NA,NA,herb,inferred_from_life_history,NA,NA,NA,NA,erect,erect,herbaceous,NA,Text by K. L. Wilson
Fagopyrum,Fagopyrum esculentum,"herb 15-60 cm high,",annual,inferred_from_genus,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 1 (1990)
Fallopia,Fallopia,"rhizomatous perennials with stout erect ba , or more or less slender perennial or annual herbs with twining or decumbent stems.",annual perennial,annual perennials,NA,NA,herb,herbs,NA,NA,NA,NA,erect decumbent rhizomatous,erect decumbent rhizomatous,herbaceous,NA,"Text by K. L. Wilson (1990); edited KL Wilson (Jan 2008, Sept 2017)"
Fallopia,Fallopia convolvulus,"annual herb with twining or decumbent stems to 100 cm long,",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,decumbent,decumbent,herbaceous,NA,Text by K. L. Wilson (1990); edited KL Wilson (Jan 2008); Taxon concept: Flora of NSW 1 (1990)
Fatoua,Fatoua,"monoecious subshrubs or herbs, milky .",NA,NA,NA,NA,herb subshrub,herbs subshrubs,NA,NA,monoecious,monoecious,NA,NA,herbaceous,NA,NA
Fatoua,Fatoua villosa,"annual herbs to 80 cm tall, tap-rooted;",annual,annual,NA,NA,herb,herbs,NA,NA,monoecious,inferred_from_genus,NA,NA,herbaceous,NA,Text by S F McCune (July 2021); Taxon concept: Flora North America vol 3 (1997)
Festuca,Festuca,"tufted perennials, rarely with slender creeping rhizomes.",perennial,perennials,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,creeping rhizomatous,creeping rhizomes,herbaceous,NA,Text by S. W. L. Jacobs & K. L. McClay
Festuca,Festuca rubra subsp. rubra,"rhizomatous, tufted perennial to 0.5 m high.",perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,NA
Festuca,Festuca pratensis,shorted-lived caespitose perennial to 1.4 m high.,perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,caespitose,caespitose,herbaceous,NA,Text by S. W. L. Jacobs & K. L. McClay; Taxon concept: Flora of NSW 4 (1993)
Festuca,Festuca asperula,rhizomatous tufted perennial to 0.9 m high.,perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,Text by S. W. L. Jacobs & K. L. McClay; Taxon concept: Flora of NSW 4 (1993)
Festuca,Festuca muelleri,tufted perennial to 1.4 m high.,perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by S. W. L. Jacobs & K. L. McClay; Taxon concept: Flora of NSW 4 (1993)
Festuca,Festuca nigrescens,tufted perennial to 0.9 m high.,perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by S. W. L. Jacobs & K. L. McClay; Taxon concept: Flora of NSW 4 (1993)
Festuca,Festuca rubra,"rhizomatous, tufted perennial to 0.5 m high.",perennial,perennial,NA,NA,herb graminoid,inferred_from_family,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,Text by S. W. L. Jacobs & K. L. McClay
Festuca,Festuca arundinacea,"tufted perennials, sometimes tussock-forming.",perennial,perennials,NA,NA,tussock graminoid,tussock,NA,NA,NA,NA,caespitose,tussock,herbaceous,inferred_from_growth_form,"Text by Jacobs, S.W.L., Whalley, R.D.B. & Wheeler, D.J.B.; Taxon concept: Grasses of New South Wales, Fourth Edition (2008)."
Ficinia,Ficinia nodosa,rhizomatous perennial.,perennial,perennial,NA,NA,graminoid,inferred_from_genus,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,inferred_from_growth_form,"Text by K. L. Wilson (1993); edited KL Wilson (Oct 2006, March 2014); Taxon concept: Flora of NSW 4 (1993)"
Ficinia,Ficinia,"perennial, tufted or rhizomatous sedges.",perennial,perennial,NA,NA,graminoid,sedges,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,inferred_from_growth_form,Text by KL Wilson (Oct 2006); edited KL Wilson (Jan 2023); Taxon concept: KL Wilson (Oct 2006)
Ficus,Ficus coronata,"shrub or small tree,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,inferred_from_genus,NA,NA,NA,NA,woody,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Ficus,Ficus obliqua var. obliqua,"medium-sized to large strangling tree with massive trunks of coalesced roots,",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,inferred_from_genus,NA,NA,NA,NA,woody,NA,Text by G.J. Harden (1990); Taxon concept: Fl. New South Wales
Ficus,Ficus pumila,"woody creeper climbing by adventitious roots, petioles,",NA,NA,NA,NA,NA,NA,NA,inferred_from_genus,NA,NA,climbing,climbing,woody,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Ficus,Ficus rubiginosa,"small to large spreading tree,",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,inferred_from_genus,NA,NA,spreading,spreading,woody,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Ficus,Ficus henneana,"strangler, usually a tall buttressed tree and ± deciduous.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,inferred_from_genus,NA,NA,NA,NA,woody,NA,NA
Ficus,Ficus superba,"strangler, usually a tall buttressed tree and ± deciduous.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,inferred_from_genus,NA,NA,NA,NA,woody,NA,Text by G. J. Harden
Ficus,Ficus virens,"medium-sized to large tree, often a strangler.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,inferred_from_genus,NA,NA,NA,NA,woody,NA,Text by G. J. Harden
Ficus,Ficus,"trees, shrubs or climbers, some epiphytic or strangling; latex usually milky, sometimes watery; dioecious or monoecious.",perennial,inferred_from_growth_form,NA,NA,shrub tree climber,shrubs trees climbers,epiphyte,epiphytic,dioecious monoecious,dioecious monoecious,NA,NA,woody,NA,Text by G. J. Harden
Ficus,Ficus macrophylla,"large spreading tree, epiphytic and strangling in early stages,",perennial,inferred_from_growth_form,NA,NA,tree,tree,epiphyte,epiphytic,NA,NA,spreading,spreading,woody,NA,Text by G. J. Harden
Ficus,Ficus macrophylla f. macrophylla,"large spreading tree, epiphytic and strangling in early stages,",perennial,inferred_from_growth_form,NA,NA,tree,tree,epiphyte,epiphytic,NA,NA,spreading,spreading,woody,NA,NA
Ficus,Ficus watkinsiana,"large tree with widely buttressed stems,",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,inferred_from_genus,NA,NA,NA,NA,woody,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Ficus,Ficus fraseri,"shrub to medium-sized tree, scabrous but otherwise mostly glabrous.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,inferred_from_genus,NA,NA,NA,NA,woody,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Ficus,Ficus obliqua,"medium-sized to large strangling tree with massive trunks of coalesced roots,",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,inferred_from_genus,NA,NA,NA,NA,woody,NA,Text by G. J. Harden
Fieldia,Fieldia,climbers or epiphytes.,NA,NA,NA,NA,climber,climbers,epiphyte,epiphytes,NA,NA,NA,NA,NA,NA,Text by G. J. Harden
Fieldia,Fieldia australis,small climber or epiphyte growing  by adventitious roots;,NA,NA,NA,NA,climber,climber,epiphyte,epiphyte,NA,NA,NA,NA,NA,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 3 (1992)
Fimbristylis,Fimbristylis polytrichoides,"small, densely tufted perennial, glabrous (except for the ligule).",perennial,perennial,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis cinnamometorum,slender tufted perennial with very short rhizome.,perennial,perennial,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,rhizomatous,rhizome,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis vaginata,"glabrous, tufted perennial.",perennial,perennial,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Fimbristylis,Fimbristylis velata,small densely tufted annual.,annual,annual,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis aestivalis,small densely tufted annual.,annual,annual,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis dichotoma,tufted perennial with very short rhizome.,perennial,perennial,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,rhizomatous,rhizome,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis,"annuals, or perennial herbs with short rhizome.",annual perennial,annuals perennial,NA,NA,herb graminoid,herbs,NA,NA,NA,NA,rhizomatous,rhizome,herbaceous,NA,Text by K. L. Wilson
Fimbristylis,Fimbristylis neilsonii,slender tufted perennial.,perennial,perennial,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis bisumbellata,slender densely tufted annual.,annual,annual,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis nutans,"slender, densely tufted, glabrous perennial with very short rhizome.",perennial,perennial,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,rhizomatous,rhizome,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis ferruginea,tufted perennial with very short rhizome.,perennial,perennial,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,rhizomatous,rhizome,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Fimbristylis,Fimbristylis tristachya,glabrous tufted perennial with short rhizome.,perennial,perennial,NA,NA,herb graminoid,inferred_from_genus,NA,NA,NA,NA,rhizomatous,rhizome,herbaceous,NA,Text by K. L. Wilson; Taxon concept: Flora of NSW 4 (1993)
Flacourtia,Flacourtia,"shrubs or trees, deciduous, often spiny.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,dioecious,inferred_from_family,NA,NA,woody,NA,Text by (compiled) May 2017; Taxon concept: Australian Plant Census (accessed May 2017)
Flacourtia,Flacourtia jangomas,deciduous shrub to small tree to 10 m high. older trees usually unarrmed.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,dioecious,inferred_from_family,NA,NA,woody,NA,"Text by (compiled by) P.G. Kodela, May 2017, based on Flora of China Vol. 13 (at www.eFloras.org); Taxon concept: Australian Plant Census (accessed May 2017)"
Flagellaria,Flagellaria,climbers with solid ba stems rising from a rhizome.,NA,NA,NA,NA,climber,climbers,NA,NA,NA,NA,rhizomatous,rhizome,NA,NA,Text by G. J. Harden
Flagellaria,Flagellaria indica,"robust perennial climber with stems usually to circa 15 m high and 10 mm diam., sparingly branched leaves with lamina mostly 10-40 cm long and 5-20 mm wide, glabrous, apex tapering into a coiled tendril, base constricted and auriculate before encircling the stem; sheath 1-7 cm long.",perennial,perennial,NA,NA,climber,climber,NA,NA,NA,NA,NA,NA,NA,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 4 (1993)
Flagellariaceae,Flagellariaceae,climbers with solid ba stems rising from a rhizome.,NA,NA,NA,NA,climber,climbers,NA,NA,NA,NA,rhizomatous,rhizome,NA,NA,Text by G. J. Harden
Flaveria,Flaveria,"annual and perennial herbs, stems terete,",annual perennial,annual perennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by L. Murray
Flaveria,Flaveria australasica,annual herb 5-50 cm high;,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by L. Murray; Taxon concept: Flora of NSW 3 (1992)
Flindersia,Flindersia,"small to large trees, glabrous or with simple,",perennial,inferred_from_growth_form,NA,NA,tree,trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by M. F. Porteners
Flindersia,Flindersia australis,"tree to 40 m high, larger trees usually moderately buttressed;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by M. F. Porteners; Taxon concept: T.G. Hartley (1969)
Flindersia,Flindersia bennettii,tree to 40 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by M. F. Porteners; Taxon concept: T.G. Hartley (1969)
Flindersia,Flindersia collina,"tree to 40 m high, outer bark shed in oval flakes leaving shallow depressions;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by M. F. Porteners; Taxon concept: T.G. Hartley (1969)
Flindersia,Flindersia maculosa,"tree to 15 m high,",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by M. F. Porteners; Taxon concept: T.G. Hartley (1969)
Flindersia,Flindersia schottiana,"tree to 50 m high, trunk usually with scattered burls or bumps;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by M. F. Porteners; Taxon concept: T.G. Hartley (1969)
