genus,species,form,height,stem diameter,fruits,dispersers,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Acacia,elata,tree,NA,NA,dehiscent pod,NA,NA,NA,NA,NA,NA,NA,NA,Acacia elata,NA,NA
Acacia,fasciculifera,tree,20,NA,dehiscent pod,NA,NA,100,125,8,13,5,7,Acacia fasciculifera,N111NNNNNNNN,NNNN11NNNNNN
Acacia,flavescens,tree,20,NA,dehiscent pod,Crimson Rosella,birds,60,165,15,28,6,7,Acacia flavescens,111111NNNNNN,NNNNNNN1111N
Acacia,fleckeri,tree,16,NA,dehiscent pod,NA,NA,80,120,8,11,4,5,Acacia fleckeri,NNNN11NNNNNN,NNNNNNNNN11N
Acacia,frigescens,tree,26,0.6,pod,NA,NA,40,100,NA,NA,4,5,Acacia frigescens,NNNNNNNN111N,N11NNNNNNNNN
Acacia,harpophylla,tree,NA,NA,dehiscent pod,NA,NA,NA,NA,NA,NA,NA,NA,Acacia harpophylla,NA,NA
Acacia,holosericea,tree,8,NA,dehiscent pod,Red-winged Parrot,birds,30,120,2,5,4,5,Acacia holosericea,NNN1111111NN,NNNNNNN111NN
Acacia,hylonoma,tree,25,NA,dehiscent pod,NA,NA,70,100,9,12,5,5,Acacia hylonoma,NNNNNNN111NN,N111111NNNNN
Acacia,implexa,tree,15,NA,dehiscent pod,"Emerald Dove, Crimson Rosella & Pale-headed Rosela",birds,100,250,4,7,4,5,Acacia implexa,1111NNNNNNN1,NNNNN11111NN
Acacia,leptocarpa,tree,15,NA,dehiscent pod,NA,NA,25,150,2,4,4,5,Acacia leptocarpa,NNN1111111NN,NNNNNNNNN1NN
Acacia,maidenii,tree,20,NA,dehiscent pod,"Lewin's Honeyeater, Silvereye, Regent Bowerbird, Brown Cuckoo-dove, Crimson Rosella & King Parrot",birds,50,150,2,6,5,5,Acacia maidenii,111111NNNNN1,NNNNNNNN1111
Acacia,mangium,tree,30,NA,dehiscent pod,Red-cheeked Parrot,birds,120,120,3,7,4,5,Acacia mangium,NNNN11NNNNNN,NNNNNNNN111N
Acacia,melanoxylon,tree,20,0.9,dehiscent pod,many bird species,birds,30,150,4,8,3,5,Acacia melanoxylon,11111NNNNN11,NNNNNNNN111N
Acacia,mellifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mellifera,NA,NA
Acacia,midgleyi,tree,25,NA,dehiscent pod,NA,NA,50,120,10,25,4,7,Acacia midgleyi,N11111NNNNNN,NNNNNNNNN11N
Acacia,oraria,tree,10,NA,dehiscent pod,NA,NA,40,140,8,16,4,6,Acacia oraria,N11111111NNN,NNNNNNNN11NN
Acacia,orites,tree,30,0.6,pod,NA,NA,60,100,3,4,4,4,Acacia orites,NNNNNNN11NNN,1NNNNNNNNN11
Acacia,pennata,vine,NA,NA,dehiscent pod,NA,NA,100,160,21,30,5,11,Acacia pennata,N11NNNNNNNNN,NNNNNNNNNN1N
Acacia,polystachya,tree,25,NA,dehiscent pod,NA,NA,30,130,6,10,4,4,Acacia polystachya,NNN11111111N,NNNNNNNN1111
Acacia,shirleyi,tree,20,NA,dehiscent pod,NA,NA,60,120,3,8,4,6,Acacia shirleyi,NNNN11NNNNNN,NA
Acacia,spirorbis,tree,12,NA,dehiscent pod,NA,NA,NA,100,3,5,3,5,Acacia spirorbis,NN111111NNNN,NNNNNN111111
Adenanthera,pavonina,tree,30,NA,dehiscent pod,NA,NA,200,250,14,18,7,10,Adenanthera pavonina,1NNNNNNNNNNN,NNNN11111111
Albizia,(Sir Charles Hardy Island),tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albizia (Sir Charles Hardy Island),NA,NA
Albizia,(Windsor Tableland),tree,35,NA,dehiscent pod,Sulphur-crested Cockatoo,birds,80,140,25,40,15,17,Albizia (Windsor Tableland),NNNNNNNN11NN,11111NN11111
Albizia,lebbeck,tree,30,NA,dehiscent pod,NA,NA,150,300,30,65,8,10,Albizia lebbeck,NNNNNNNNNN11,NNNN11111NNN
Albizia,procera,tree,20,NA,dehiscent pod,NA,NA,100,250,12,30,5,10,Albizia procera,111NNNNNNNNN,NNNNN1111NNN
Albizia,retusa,tree,40,NA,dehiscent pod,NA,NA,140,220,20,35,9,9,Albizia retusa,NNNNNN1111NN,1NNNNNNNN111
Archidendron,grandiflorum,tree,20,0.2,dehiscent pod,NA,NA,100,200,25,25,12,14,Archidendron grandiflorum,1111111NNNNN,11NNNNN11111
Archidendron,hendersonii,tree,30,0.6,dehiscent pod,NA,NA,40,110,12,15,5,4,Archidendron hendersonii,1NNNNNNNN111,1NNNNNNNNNN1
Archidendron,hirsutum,tree,22,NA,dehiscent pod,Trumpet Manucode,birds,NA,100,NA,18,7,12,Archidendron hirsutum,NNNNNNNNNN11,11111NNNNNN1
Archidendron,kanisii,tree,3,NA,dehiscent pod,NA,NA,20,66,10,14,3,7,Archidendron kanisii,NNNNNNNNN11N,1NNNNNNNNN11
Archidendron,lucyi,tree,20,NA,dehiscent pod,NA,NA,70,120,15,25,10,17,Archidendron lucyi,11111NNNNNNN,111NNNNN1111
Archidendron,muellerianum,tree,20,0.6,pod,NA,NA,10,130,15,15,NA,NA,Archidendron muellerianum,NNNNNNNNNN11,NNN111111111
Archidendron,pruinosum,tree,15,0.35,pod,NA,NA,100,160,NA,NA,NA,NA,Archidendron pruinosum,1NNNNNNNN111,N11111NNNNNN
Archidendron,ramiflorum,tree,10,NA,dehiscent pod,NA,NA,80,250,20,20,10,17,Archidendron ramiflorum,N1111NNNNNNN,1NNNNNNNN111
Archidendron,vaillantii,tree,25,NA,dehiscent pod,NA,NA,50,135,15,40,10,15,Archidendron vaillantii,NNNNNNNNNN1N,111111NNNNNN
Archidendron,whitei,tree,15,NA,dehiscent pod,King Parrot,birds,80,90,13,25,9,10,Archidendron whitei,NNNNNNNNNN11,1.11111E+11
Archidendropsis,thozetiana,tree,20,NA,dehiscent pod,NA,NA,65,200,10,22,8,9,Archidendropsis thozetiana,111NNNNNNNNN,NNNN1NNNNNNN
Archidendropsis,xanthoxylon,tree,37,NA,dehiscent pod,NA,NA,35,150,15,25,8,13,Archidendropsis xanthoxylon,NNNNNNN111NN,NNNNNNNNNNN1
Cathormion,unbellatum,tree,24,NA,pod,NA,NA,35,210,15,25,11,13,Cathormion unbellatum,NNNNNNNNN111,NNNNNN1NNNNN
Entada,phaseoloides,vine,NA,NA,dehiscent pod,NA,NA,NA,1300,50,150,40,60,Entada phaseoloides,NNNN111111NN,NNNNNNNNN1NN
Entada,rheedii,vine,NA,NA,dehiscent pod,NA,NA,NA,2000,70,150,35,45,Entada rheedii,NNNNNNNNNN11,NNNNNN11111N
Leucaena,leucocephala,tree,6,NA,dehiscent pod,NA,NA,55,170,15,20,5,5,Leucaena leucocephala,1111NNNNNN11,NNNN11111NNN
Mimosa,pudica,herb/shrub,1.2,NA,dehiscent pod,NA,NA,9,20,3,5,3,3,Mimosa pudica,1111111NNNN1,1111111NNNN1
Pararchidendron,pruinosum,tree,20,NA,dehiscent pod,NA,NA,80,120,10,20,4,8,Pararchidendron pruinosum,1NNNNNNN1111,111111NNNN11
Paraserianthes,toona,tree,30,NA,dehiscent pod,NA,NA,90,160,15,33,8,10,Paraserianthes toona,NNNNNN111NNN,NNNNNNNN111N
Samanea,saman,tree,60,NA,indehiscent pod,NA,NA,50,250,15,23,8,15,Samanea saman,NNNNNNNN11NN,NNNNNNNNN1NN
Atherosperma,moschatum,tree,30,0.7,capsule,NA,NA,10,12,8,10,NA,NA,Atherosperma moschatum,NNNNNN111NNN,1NNNNNNNNNNN
Austromatthaea,elegans,tree,7,NA,drupe,NA,NA,15,15,12,12,9,12,Austromatthaea elegans,NNNNNN11111N,NNNN11111NNN
Gen nov (Monimiaceae),(Davies Creek),tree,10,NA,drupe,NA,NA,15,20,10,14,12,15,Gen nov (Monimiaceae) (Davies Creek),NNNNNNNNNNN1,NNNN111111NN
Gen nov (Monimiaceae),(McDowall Range),shrub,2,NA,drupe,NA,NA,13,15,10,13,10,10,Gen nov (Monimiaceae) (McDowall Range),NNNNNNNNNN1N,NNNNNN11111N
Hedycarya,angustifolia,tree,20,0.4,drupe,NA,NA,6,8,6,8,NA,NA,Hedycarya angustifolia,NNNNNNN111NN,1NNNNNNNNNN1
Hedycarya,loxocarya,tree,25,NA,drupe,Golden Bowerbird,birds,7,10,6,9,5,7,Hedycarya loxocarya,NNNN11111NNN,N1111NNNNNNN
Kibara,rigidifolia,tree,10,NA,drupe,NA,NA,10,20,8,14,9,18,Kibara rigidifolia,NN111NNNNNNN,NNNNNNN11111
Levieria,acuminata,tree,20,NA,drupe,Golden Bowerbird & fruit-doves,birds,6,10,4,6,5,9,Levieria acuminata,NNNNNNNNN111,NN111111NNNN
Palmeria,hypotephra,vine,NA,NA,drupe,NA,NA,5,6,5,6,NA,NA,Palmeria hypotephra,NNNN111111NN,1111NNNN1111
Palmeria,scandens,vine,NA,NA,drupe,Regent Bowerbird,birds,5,5,NA,NA,5,5,Palmeria scandens,NNNN11111NNN,111NNNNNNN11
Steganthera,australiana,tree,7,NA,drupe,NA,NA,12,12,9,9,NA,NA,Steganthera australiana,NNNNNNNN1111,111NNNNN1111
Steganthera,hirsuta,tree,20,NA,drupe,NA,NA,12,13,10,10,10,10,Steganthera hirsuta,NNNNN1NNNNNN,NNNNNNNNNNN1
Steganthera,macooraia,tree,12,NA,drupe,NA,NA,15,18,8,9,13,14,Steganthera macooraia,NNNNN1111111,NNNN11111111
Tetrasynandra,(Mt Lewis),tree,10,NA,drupe,NA,NA,17,17,9,9,12,12,Tetrasynandra (Mt Lewis),1NNNNNNN1111,NNNN1111111N
Tetrasynandra,laxiflora,tree,20,NA,drupe,"Cassowary, Wompoo Fruit-dove & Superb Fruit-dove",birds cassowary,13,18,10,15,11,13,Tetrasynandra laxiflora,11111NNNN111,NNNNNNNN1111
Tetrasynandra,longipes,tree,15,NA,drupe,NA,NA,15,20,10,14,13,15,Tetrasynandra longipes,111NNNNNNNNN,111111NNN111
Tetrasynandra,pubescens,tree,9,NA,drupe,NA,NA,13,14,9,11,12,12,Tetrasynandra pubescens,N11111NNNNNN,N11111111NNN
Wilkiea,(Barong),shrub,4,NA,drupe,NA,NA,11,18,9,14,11,15,Wilkiea (Barong),111NNNNNNNNN,N11111111NNN
Wilkiea,(McIlwraith),shrub,3,NA,drupe,NA,NA,15,18,12,14,14,14,Wilkiea (McIlwraith),NNNNNNNN111N,NNNN111111NN
Wilkiea,(Mt Hemmant),shrub,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wilkiea (Mt Hemmant),NNNNNNNNN1NN,NA
Wilkiea,(Mt Lewis),tree,15,NA,drupe,NA,NA,19,19,10,10,16,16,Wilkiea (Mt Lewis),NNNNNNNNNN1N,NNNNNNN11NNN
Wilkiea,(Mt Molloy),tree,10,NA,drupe,NA,NA,11,12,9,10,10,11,Wilkiea (Mt Molloy),NNNNNNN11111,NNN11111111N
Wilkiea,(Palmerston),tree,10,NA,drupe,NA,NA,14,14,10,10,NA,NA,Wilkiea (Palmerston),NA,NN1NNNNNNNNN
Wilkiea,(Russell Gorge),tree,6,NA,drupe,NA,NA,12,16,8,12,NA,NA,Wilkiea (Russell Gorge),11NNNNNNNNN1,NNNNN111NNNN
Wilkiea,angustifolia,tree,6,NA,drupe,NA,NA,12,23,8,15,10,15,Wilkiea angustifolia,11111111NN11,NN11111111NN
Wilkiea,austroqueenslandica,tree,9,0.18,drupe,NA,NA,12,12,NA,NA,NA,NA,Wilkiea austroqueenslandica,NNNNNNN1111N,NNNN111NNNNN
Wilkiea,huegeliana,tree,8,0.1,drupe,NA,NA,12,20,10,14,18,20,Wilkiea huegeliana,NNNNNNN11111,1NN111111111
Wilkiea,macrophylla,tree,10,0.08,drupe,NA,NA,12,24,10,14,18,20,Wilkiea macrophylla,1.11111E+11,N11111111NNN
Wilkiea,wardellii,tree,20,NA,drupe,Golden Bowerbird,birds,10,15,10,10,9,10,Wilkiea wardellii,NNNNNNNN1111,NNNN1111111N
Antiaris,toxicaria,tree,35,NA,drupe,NA,NA,20,45,15,25,18,30,Antiaris toxicaria,NN11111111NN,1NNNNNN11111
Artocarpus,heterophyllus,tree,20,NA,multiple fruit,NA,NA,200,900,200,500,30,30,Artocarpus heterophyllus,NA,NNNNNNNNNNN1
Castilla,elastica,tree,20,NA,multiple fruit,many bird species,birds,18,18,NA,NA,NA,NA,Castilla elastica,NA,1NNNNNNNNN11
Ficus,adenosperma,tree,10,NA,fig,Spectacled Flying-fox,bats,9,10,9,12,NA,NA,Ficus adenosperma,NA,NN11111111NN
Ficus,albipila,tree,45,NA,fig,fruit-doves,birds,12,20,12,20,NA,NA,Ficus albipila,NA,NNNN11111NNN
Ficus,benjamina,tree,20,NA,fig,Spectacled Flying-fox & many bird species,birds bats,8,12,8,12,NA,NA,Ficus benjamina,NA,N11111111111
Ficus,congesta,tree,6,NA,fig,Spectacled Flying-fox,bats,15,28,18,28,NA,NA,Ficus congesta,NA,1.11111E+11
Ficus,copiosa,tree,10,NA,fig,"Double-eyed Fig-parrot, Cassowary & Spectacled Flying-fox",birds bats cassowary,20,40,25,63,NA,NA,Ficus copiosa,NA,11111111111N
Ficus,coronata,tree,15,0.2,fig,many bird species,birds,15,30,20,20,NA,NA,Ficus coronata,NA,111111NNNNNN
Ficus,crassipes,tree,30,NA,fig,"Cassowary, Spotted Catbird, currawongs, Spectacled Flying-fox, Fawn-footed Melomys, Musky Rat-kangaroo & Green Ringtail Possum",birds bats mammals cassowary,40,70,13,32,NA,NA,Ficus crassipes,NA,111111NNNN11
Ficus,destruens,tree,40,NA,fig,many bird species,birds,10,20,10,16,NA,NA,Ficus destruens,NA,1111111N1111
Ficus,drupacea,tree,30,NA,fig,many bird species,birds,10,30,15,23,NA,NA,Ficus drupacea,NA,1111111111NN
Ficus,fraseri,tree,35,0.6,fig,"Spectacled Flying-fox & Brown Cuckoo-Dove, Black-faced Cuckoo-shrike, Green Catbird, Common Koel, Figbird, Lewin's Honeyeater, Olive-backed Oriole, Pied Currawong, Regent Bowerbird, Rose-crowned Fruit-dove, Topknot Pigeon, Wompoo Fruit-dove & Barred Cuckoo-shrike",birds bats mammals,10,20,13,17,NA,NA,Ficus fraseri,NA,1.11111E+11
Ficus,hispida,tree,12,NA,fig,"Cassowary, Double-eyed Fig-parrot & Figbird",birds cassowary,15,30,25,40,NA,NA,Ficus hispida,NA,1.11111E+11
Ficus,leptoclada,tree,15,NA,fig,many bird species,birds,20,20,12,17,NA,NA,Ficus leptoclada,NA,1.11111E+11
Ficus,macrophylla,tree,50,2.4,fig,"Figbird, Green Catbird, Lewin's Honeyeater, Pied Currawong, Regent Bowerbird, Satin Bowerbird, Rose-crowned Fruit-dove, Torresian Crow, Topknot Pigeon, Wompoo Fruit-dove & Barred Cuckoo-shrike",birds,25,25,25,25,NA,NA,Ficus macrophylla,NA,N1111NNNNNNN
Ficus,melinocarpa,tree,35,NA,fig,NA,NA,10,15,10,15,NA,NA,Ficus melinocarpa,NA,NNNNNNNNNNN1
Ficus,microcarpa,tree,20,NA,fig,many bird species,birds,8,10,9,12,NA,NA,Ficus microcarpa,NA,11111111NN11
Ficus,mollior,tree,15,NA,fig,NA,NA,13,15,12,16,NA,NA,Ficus mollior,NA,NN11111111NN
Ficus,nodosa,tree,20,NA,fig,Bare-backed Fruit-bat & many bird species,bats birds,25,55,30,58,NA,NA,Ficus nodosa,NA,1NNNNNN11111
Ficus,obliqua,tree,50,3,fig,many bird species,birds,4,12,4,12,NA,NA,Ficus obliqua,NA,1.11111E+11
Ficus,opposita var. opposita,tree,10,NA,fig,many bird species,birds,10,20,10,20,NA,NA,Ficus opposita var. opposita,NA,111111NNN111
Ficus,pantoniana var. pantoniana,climber,NA,NA,fig,NA,NA,10,15,10,15,NA,NA,Ficus pantoniana var. pantoniana,NA,NN111NNNNNNN
Ficus,pleurocarpa,tree,30,NA,fig,"Musky Rat-kangaroo, Spectacled Flying-fox, Bush Rat, Green Ringtail Possum & many bird species",birds bats mammals,35,65,13,27,NA,NA,Ficus pleurocarpa,NA,1.11111E+11
Ficus,racemosa,tree,35,NA,fig,"Spectacled Flying-fox, pig & many bird species",birds bats mammals,30,35,35,40,NA,NA,Ficus racemosa,NA,11NN11111111
Ficus,rubiginosa,tree,30,1.5,fig,many bird species,birds,7,18,7,18,NA,NA,Ficus rubiginosa,NA,1.11111E+11
Ficus,septica,tree,15,NA,fig,"Double-eyed Fig-parrot, Bush Rat & Spectacled Flying-fox",birds bats mammals,15,24,15,24,NA,NA,Ficus septica,NA,111111NNNNNN
Ficus,subnervosa,tree,20,NA,fig,NA,NA,20,20,20,20,NA,NA,Ficus subnervosa,NA,NA
Ficus,superba henneana,tree,35,NA,fig,many bird species,birds,15,25,15,25,NA,NA,Ficus superba henneana,NA,1.11111E+11
Ficus,triradiata,tree,25,NA,fig,Figbird & Spectacled Flying-fox,birds bats,15,30,12,30,NA,NA,Ficus triradiata,NA,111NN1111111
Ficus,variegata,tree,30,NA,fig,"Cassowary, Double-eyed Fig-parrot & Spectacled Flying-fox",birds bats cassowary,20,30,20,30,NA,NA,Ficus variegata,NA,1.11111E+11
Ficus,virens (sublanceolata),tree,40,1.8,fig,many bird species,birds,8,20,7,20,NA,NA,Ficus virens (sublanceolata),NA,1111111N1111
Ficus,virgata,tree,30,NA,fig,Metallic Starling,birds,10,17,7,18,NA,NA,Ficus virgata,NA,1.11111E+11
Ficus,watkinsiana,tree,45,2.1,fig,Spectacled Flying-fox & many bird species,birds bats,10,40,15,35,NA,NA,Ficus watkinsiana,NA,1111NN111111
Maclura,cochinochinensis,vine,NA,NA,multiple fruit or berry,"Lewin's Honeyeater, Figbird, Regent Bowerbird & Satin Bowerbird",birds,15,30,15,30,4,5,Maclura cochinochinensis,NNNNNNNN111N,11111NNNN111
Streblus,brunonianus,tree,30,0.4,berry,"Scaly-breasted Lorikeet, Brown Cuckoo-dove, Black-faced Cuckoo-shrike, Crimson Rosella, King Parrot & Lewin's Honeyeater",birds,6,11,6,11,4,4,Streblus brunonianus,11111NNN1111,1111NNNNNNN1
Streblus,glaber,tree,15,NA,berry,NA,NA,10,10,11,11,4,5,Streblus glaber,1NNNNNNNNN11,1NNNNNNNNNN1
Troplis,scandens,vine,NA,NA,berry,Regent Bowerbird & Stain Bowerbird,birds,7,9,5,6,8,8,Troplis scandens,111NNNNNNN11,11111NNNN111
Moringa,oleifera,tree,5,NA,capsule,NA,NA,150,450,16,23,10,14,Moringa oleifera,NNNNN11NNNNN,NNNNNNNNNN11
Musa,banksii,banan plant,6,NA,berry,NA,NA,80,140,15,25,4,5,Musa banksii,111111N11111,1111111NN111
Musa,jackeyi,banan plant,10,NA,berry,NA,NA,40,85,24,40,5,8,Musa jackeyi,111NNNN11111,11111111NNNN
Myoporum,acuminatum,tree,9,0.5,drupe,NA,NA,4,6,4,6,NA,NA,Myoporum acuminatum,NNNN1111NNNN,11NNNNNNN111
Myoporum,betcheanum,tree,8,0.2,drupe,NA,NA,5,6,5,6,NA,NA,Myoporum betcheanum,1NNNNNNNNNN1,N11111NNNNNN
Myoporum,insulare,tree,11,0.35,drupe,"Brush Bronzewing, Satin Bowerbird & Silvereye",birds,8,8,8,8,NA,NA,Myoporum insulare,11NNNNNNNNN1,NN1111111NNN
Myoporum,montanum,tree,8,NA,drupe,NA,NA,4,8,4,8,NA,NA,Myoporum montanum,N111111111NN,N111111111NN
Horsfieldia,australiana,tree,30,NA,capsule,Metallic Starling,birds,18,41,11,27,14,22,Horsfieldia australiana,NNNNN1111111,111NNNNNNNNN
Myristica,globosa,tree,30,NA,capsule,Musky Rat-kangaroo & many bird species,birds mammals,25,30,15,25,10,22,Myristica globosa,111111NNN111,NNNNNNN1111N
Myristica,insipida,tree,25,NA,capsule,many bird species,birds,25,40,15,30,20,25,Myristica insipida,111111NNNN11,11NNNNNNNNNN
Aegiceras,corniculatum,tree,7,NA,follicle,NA,NA,20,80,4,6,NA,NA,Aegiceras corniculatum,NNNN1111111N,NN11NNNNNNNN
Ardisia,(South Mary LA),shrub,4,NA,berry,NA,NA,6,6,6,6,6,6,Ardisia (South Mary LA),1111111111NN,N11111111NNN
Ardisia,bakeri,tree,10,0.15,berry,NA,NA,7,7,7,7,NA,NA,Ardisia bakeri,NNNNNNNNN11N,NN111NNNNNNN
Ardisia,bifaria,shrub,2,NA,berry,NA,NA,8,10,8,10,6,6,Ardisia bifaria,111NNNNNNNNN,NNNNN1111111
Ardisia,brevipedata,shrub,3,NA,berry,Cassowary & Victoria's Riflebird,birds cassowary,10,10,8,13,5,6,Ardisia brevipedata,1.11111E+11,1.11111E+11
Ardisia,crenata,shrub,2,NA,berry,NA,NA,5,10,5,10,6,6,Ardisia crenata,11111NNNNN11,N1111111NNNN
Ardisia,pachyrrachis,tree,8,NA,berry,Cassowary,cassowary,8,10,8,14,6,6,Ardisia pachyrrachis,NNNNNNNN111N,111NNNNN1111
Ardisia,solanacea,shrub,2,NA,berry,NA,NA,7,12,10,12,5,6,Ardisia solanacea,NNN11NNNNNNN,NNNNN111NNNN
Embelia,australiana,vine,NA,NA,drupe,NA,NA,6,12,6,13,5,8,Embelia australiana,1111111NNNNN,111111NNNNN1
Embelia,caulialata,vine,NA,NA,drupe,NA,NA,3,6,3,6,2,3,Embelia caulialata,NNN111NNNNNN,NNNNNN1111NN
Embelia,curvinervia,vine,NA,NA,drupe,NA,NA,4,4,4,4,NA,NA,Embelia curvinervia,NNNNNNN111NN,NNNNNNNNN1NN
Embelia,grayi,vine,NA,NA,drupe,"Wompoo Fruit-dove, Victoria's Riflebird, Spotted Catbird & Lewin's Honeyeater",birds,5,6,5,6,4,4,Embelia grayi,NNNNNNNNN111,1111NNNNNNNN
Myrsine,ireneae ireneae,tree,7,NA,drupe,NA,NA,2.5,4,3,4,NA,NA,Myrsine ireneae ireneae,1NNNNNN11111,1111111NNN11
Myrsine,ireneae curvata,tree,4,NA,drupe,NA,NA,2.5,4,3,4.5,NA,NA,Myrsine ireneae curvata,1NNNNNN11111,1111111NNN11
Myrsine,serpenticola,tree,6,NA,drupe,NA,NA,NA,3.5,NA,4.5,NA,NA,Myrsine serpenticola,NNNNNN1NNNNN,NNNNNNN1NNNN
Rapanea,(Atherton),shrub,5,NA,drupe,NA,NA,4,6,4,6,4,4,Rapanea (Atherton),NNNN1111111N,NNNNN1111111
Rapanea,(Emerald),shrub,5,NA,drupe,NA,NA,4,6,4,6,4,4,Rapanea (Emerald),NNNNNNNNN11N,NNNNN1111111
Rapanea,(Mountain Rapanea),tree,20,NA,drupe,NA,NA,4,4,4,5,NA,NA,Rapanea (Mountain Rapanea),NA,NN1NNNNNNNNN
Rapanea,(Mt Bartle Frere),tree,25,NA,drupe,NA,NA,4,5,5,5,NA,NA,Rapanea (Mt Bartle Frere),NNNNNNN111NN,NNNNNNNNNN1N
Rapanea,(Mt Blackwood),shrub,1.5,NA,drupe,NA,NA,4,4,4,4,NA,NA,Rapanea (Mt Blackwood),NA,NN1NNNNNNNNN
Rapanea,(Ravenshoe),shrub,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapanea (Ravenshoe),NNNNNNNNN1NN,NA
Rapanea,(Roaring Meg Creek),shrub,5,NA,drupe,NA,NA,5,5,5,5,4,4,Rapanea (Roaring Meg Creek),NNNNNNNN11NN,11NNNNNNNNNN
Rapanea,achradifolia,tree,20,NA,drupe,Golden Bowerbird,birds,9,9,9,9,4,8,Rapanea achradifolia,NNNN111111NN,N111111111NN
Myrsine,arenaria,shrub,4,NA,drupe,NA,NA,NA,NA,NA,NA,NA,NA,Myrsine arenaria,NNNNNNNNN11N,NA
Rapanea,benthamiana,tree,18,NA,drupe,NA,NA,6,6,6,6,5,5,Rapanea benthamiana,NNNN111NNNNN,NNNNNNN1111N
Rapanea,crassifolia,tree,6,NA,drupe,NA,NA,4,5,4,5,NA,NA,Rapanea crassifolia,NNNN1111111N,11NNN1111111
Rapanea,howittiana,tree,23,0.6,drupe,Rose-crowned Fruit-dove,birds,5,7,5,7,4,6,Rapanea howittiana,1NNNNNNNNN11,111111NNNNN1
Rapanea,porosa,tree,10,NA,drupe,"Figbird, Metallic Starling & Yellow Oriole",birds,4,6,5,7,3,3,Rapanea porosa,NNNNNN11111N,N11NNNNNNNNN
Myrsine,richmondensis,tree,5,NA,drupe,NA,NA,5,5,5,5,NA,NA,Myrsine richmondensis,NNNNNNNNN11N,111NNNNNNNN1
Rapanea,subsessilis cryptostemon,tree,15,NA,drupe,NA,NA,5,8,6,9,2,4,Rapanea subsessilis cryptostemon,11NNN1111111,NN11111111NN
Rapanea,subsessilis subsessilis,tree,15,NA,drupe,NA,NA,5,8,6,9,2,4,Rapanea subsessilis subsessilis,11NNN1111111,NN11111111NN
Rapanea,ureceolata,tree,7,NA,drupe,NA,NA,3,4,3,4,3,3,Rapanea ureceolata,NNN1111111NN,NNNNNN111NNN
Rapanea,variabilis,tree,10,0.5,drupe,Lewin's Honeyeater,birds,4,7,4,7,4,4,Rapanea variabilis,NNNNNN111NNN,111NNNNNNNN1
Tapeinosperma,(Ceder Bay),shrub,5,NA,drupe,NA,NA,7,7,8,8,NA,NA,Tapeinosperma (Ceder Bay),111NNNNNN111,NNN1NNNNNNNN
Tapeinosperma,pseudojambosa,tree,10,NA,drupe,NA,NA,7,7,8,8,NA,NA,Tapeinosperma pseudojambosa,1NNNNNNNN111,1111111NNNNN
Acmena,divaricata,tree,30,NA,berry,Cassowary,cassowary,50,60,50,60,30,40,Acmena divaricata,1NNNNNNNNN11,11111111111N
Acmena,graveolens,tree,35,NA,berry,Cassowary,cassowary,50,60,50,60,30,40,Acmena graveolens,111111NNNNNN,NNN11111111N
Acmena,hemilampra hemilampra,tree,35,1.2,berry,pigeons,birds,11,22,11,22,7,17,Acmena hemilampra hemilampra,1.11111E+11,111111111NNN
Acmena,hemilampra orophila,tree,35,NA,berry,Cassowary & pigeons,birds cassowary,10,16,12,16,9,12,Acmena hemilampra orophila,1NNNNNNNN111,1.11111E+11
Acmena,ingens,tree,40,0.9,berry,"Eastern Rosella, Green Catbird, Pied Currawong, Topknot Pigeon & Wompoo Fruit-dove",birds,25,40,25,40,NA,NA,Acmena ingens,NNNNNNNNNN11,NNNN11111NNN
Acmena,mackinnoniana,tree,30,NA,berry,NA,NA,25,45,40,42,20,30,Acmena mackinnoniana,NNNNNNNN11NN,NNN1111111NN
Acmena,resa,tree,40,NA,berry,Cassowary & Spotted Catbird,birds cassowary,12,16,12,16,9,13,Acmena resa,111111NN1111,N1111111111N
Acmena,smithii,tree,20,0.7,berry,"King Parrot, Crimson Rosella, Pied Currawong, Rose-crowned Fruit-dove, Satin Bowerbird, Superb Fruit-dove, Topknot Pigeon & Wonga Pigeion",birds,8,20,8,20,NA,NA,Acmena smithii,111NNNNNNN11,NNN11111NNNN
Acmena,smithii,tree,20,0.7,berry,many bird species,birds,8,20,8,20,5,12,Acmena smithii,1111NNNNN111,NN1111111111
Acmena,smithii rheophytic type,tree,6,0.2,berry,NA,NA,6,15,6,15,NA,NA,Acmena smithii rheophytic type,NNNNNNNNNN11,NNN1111NNNNN
Acmenosperma,claviflorum,tree,25,NA,berry,"Cassowary, Bush Rat, Giant White-tailed Rat, Fawn-footed Melomys",cassowary mammals,10,14,9,10,3,3,Acmenosperma claviflorum,NN1111111111,1NNNNNNN1111
Acmenosperma,pringlei,tree,10,NA,berry,NA,NA,9,13,6,10,2,9,Acmenosperma pringlei,NNNNNNN111NN,NNNNNNNNNN1N
