"species","trait_name","trait_value","trait_name_standardised","trait_value_standardised","value_type","flowering_time_type","number_records","number_obs","percent_records","commonness","notes"
"Banksia littoralis","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Brown Honeyeater; wattlebird (unspecified); Red Wattlebird; Little Wattlebird","flower_visitor","honeyeater",,,73,33,45,"commonly",""
"Banksia littoralis","specific_pollinator","Honey-possum","flower_visitor","marsupial",,,73,1,1,"rarely",""
"Banksia littoralis","specific_pollinator","Red-tailed Black-Cockatoo","flower_visitor","parrot",,,73,1,1,"rarely",""
"Banksia littoralis","specific_pollinator","Silvereye","flower_visitor","silvereye",,,73,2,3,"rarely",""
"Banksia littoralis","months_flowering_range","Mar-Aug, plus minor records in Jan and Oct","flowering_time","YNYYYYYYNYNN",,"full range",,,,,"text: 'the main flowering period is from March to August with some flowers also recorded as early as January and as late as October'"
"Banksia littoralis","months_flowering_peak","May","flowering_time","NNNNYNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~78%)"
"Banksia littoralis","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia lullfitzii","growth_form","shrub","plant_growth_form","shrub",,,7,,100,"usually",""
"Banksia lullfitzii","growth_response","ground resprout","resprouting_capacity","resprouts",,,1,1,100,,
"Banksia lullfitzii","growth_response","ground resprout","bud_bank_location","basal_buds",,,1,1,100,,
"Banksia lullfitzii","flowering_response","occurred after fire",,,,,1,,,,""
"Banksia lullfitzii","flowering_response","minimum time to flowering: 25-36 months","fire_time_from_fire_to_flowering","30.5","minimum",,1,,,,""
"Banksia lullfitzii","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia lullfitzii","pollinator_type","bird","flower_visitor","bird",,,1,1,100,"usually",""
"Banksia lullfitzii","specific_pollinator","Brown Honeyeater; White-eared Honeyeater; Tawny-crowned Honeyeater; Red Wattlebird","flower_visitor","honeyeater",,,1,4,100,"usually",""
"Banksia lullfitzii","months_flowering_range","Apr-May","flowering_time","NNNYYNNNNNNN",,"full range",,,,,"text: 'Flowering is in autumn when birds were observed on the flower spikes'; chart confirms 'fully open' at 100% in both Apr and May, with only 7 total records (THIN SAMPLE)"
"Banksia lullfitzii","months_flowering_peak","Apr-May (tied)","flowering_time","NNNYYNNNNNNN",,"peak flowering",,,,,"THIN SAMPLE - both months at 100% 'fully open'"
"Banksia lullfitzii","months_fruiting_cones_present","not known",,,,,,,,,"THIN SAMPLE (7 total records)"
"Banksia marginata","growth_form","tree","plant_growth_form","tree",,,3775,,39,"commonly",""
"Banksia marginata","growth_form","shrub","plant_growth_form","shrub",,,3775,,57,"usually",""
"Banksia marginata","growth_form","unspecified",,,,,3775,,5,"rarely",""
"Banksia marginata","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,298,98,33,,
"Banksia marginata","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout; trunk resprout","resprouting_capacity","resprouts",,,298,216,72,,
"Banksia marginata","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,298,94,32,,
"Banksia marginata","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,298,4,1,,
"Banksia marginata","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,298,183,61,,
"Banksia marginata","growth_response","ground resprout and trunk resprout; trunk resprout","bud_bank_location","epicormic_buds",,,298,49,16,,
"Banksia marginata","growth_response","unspecified",,,,,408,,26,,""
"Banksia marginata","flowering_response","occurred after fire",,,,,167,,,,""
"Banksia marginata","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,167,,,,""
"Banksia marginata","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,167,,,,""
"Banksia marginata","flowering_response","not occurred after fire",,,,,159,,,,""
"Banksia marginata","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,159,,,,""
"Banksia marginata","flowering_response","maximum time to no flowering: 85-96 months","fire_time_from_fire_to_no_flowering","90.5","maximum",,159,,,,""
"Banksia marginata","pollinator_type","no pollinator observed",,,,,2469,2123,,,""
"Banksia marginata","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,338,123,36,"commonly",""
"Banksia marginata","pollinator_type","beetles","flower_visitor","beetle",,,338,2,0.6,"rarely",""
"Banksia marginata","pollinator_type","bird","flower_visitor","bird",,,338,198,59,"usually",""
"Banksia marginata","pollinator_type","flies","flower_visitor","fly",,,338,5,1,"rarely",""
"Banksia marginata","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,338,5,1,"rarely",""
"Banksia marginata","pollinator_type","mammals","flower_visitor","mammal",,,338,5,1,"rarely",""
"Banksia marginata","specific_pollinator","ant","flower_visitor","ant",,,338,31,9,"rarely",""
"Banksia marginata","specific_pollinator","bee (unspecified); native bee","flower_visitor","bee",,,338,44,13,"occasionally",""
"Banksia marginata","specific_pollinator","thornbill (unspecified)","flower_visitor","bird",,,338,2,0.6,"rarely",""
"Banksia marginata","specific_pollinator","brown butterfly","flower_visitor","butterfly",,,338,2,0.6,"rarely",""
"Banksia marginata","specific_pollinator","blowfly","flower_visitor","carrion_fly",,,338,3,0.9,"rarely",""
"Banksia marginata","specific_pollinator","European honey bee","flower_visitor","honeybee",,,338,19,6,"rarely",""
"Banksia marginata","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Singing Honeyeater; White-eared Honeyeater; Tawny-crowned Honeyeater; White-naped Honeyeater; Yellow-faced Honeyeater; Crescent Honeyeater; Noisy Miner; wattlebird (unspecified); Red Wattlebird; Little Wattlebird; Yellow Wattlebird; Eastern Spinebill","flower_visitor","honeyeater",,,338,214,63,"usually",""
"Banksia marginata","specific_pollinator","Sugar Glider","flower_visitor","marsupial",,,338,1,0.3,"rarely",""
"Banksia marginata","specific_pollinator","cockatoos and parrots (unspecified); Musk Lorikeet","flower_visitor","parrot",,,338,2,0.6,"rarely",""
"Banksia marginata","months_flowering_range","year-round, main season Feb-Jun","flowering_time","YYYYYYYYYYYY",,"full range",,,,,"no single Discussion sentence gives a flowering season (the long discussion focuses on distribution, variation, and fire-response variability across this very widespread species); chart shows a 'fully open' bar of some size in every month"
"Banksia marginata","months_flowering_peak","Mar-May","flowering_time","NNYYYNNNNNNN",,"peak flowering",,,,,"chart shows Mar, Apr and May all at ~62% 'fully open', the tallest bars"
"Banksia marginata","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia media","growth_form","tree","plant_growth_form","tree",,,336,,13,"occasionally",""
"Banksia media","growth_form","shrub","plant_growth_form","shrub",,,336,,87,"usually",""
"Banksia media","growth_response","killed, new seedlings; killed, no seedlings; killed, no seedlings and killed, new seedlings","resprouting_capacity","fire_killed",,,19,16,84,,
"Banksia media","growth_response","ground resprout","resprouting_capacity","resprouts",,,19,3,16,,
"Banksia media","growth_response","killed, new seedlings; killed, no seedlings and killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,19,15,79,,
"Banksia media","growth_response","killed, no seedlings; killed, no seedlings and killed, new seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,19,5,26,,
"Banksia media","growth_response","ground resprout","bud_bank_location","basal_buds",,,19,3,16,,
"Banksia media","growth_response","unspecified",,,,,26,,27,,""
"Banksia media","flowering_response","occurred after fire",,,,,9,,,,""
"Banksia media","flowering_response","median time to flowering: 37-48 months","fire_time_from_fire_to_flowering","42.5","median",,9,,,,""
"Banksia media","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,9,,,,""
"Banksia media","flowering_response","not occurred after fire",,,,,10,,,,""
"Banksia media","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,10,,,,""
"Banksia media","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,10,,,,""
"Banksia media","pollinator_type","no pollinator observed",,,,,112,80,,,""
"Banksia media","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,31,16,52,"usually",""
"Banksia media","pollinator_type","beetles","flower_visitor","beetle",,,31,1,3,"rarely",""
"Banksia media","pollinator_type","bird","flower_visitor","bird",,,31,10,32,"commonly",""
"Banksia media","pollinator_type","flies","flower_visitor","fly",,,31,4,13,"occasionally",""
"Banksia media","specific_pollinator","ant; meat ant","flower_visitor","ant",,,31,13,42,"commonly",""
"Banksia media","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,31,3,10,"occasionally",""
"Banksia media","specific_pollinator","thornbill (unspecified)","flower_visitor","bird",,,31,1,3,"rarely",""
"Banksia media","specific_pollinator","European honey bee","flower_visitor","honeybee",,,31,2,6,"rarely",""
"Banksia media","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; wattlebird (unspecified); Red Wattlebird; Western Spinebill","flower_visitor","honeyeater",,,31,9,29,"commonly",""
"Banksia media","months_flowering_range","Mar-Jul, plus minor records in Feb and Oct","flowering_time","NYYYYYYNNYNN",,"full range",,,,,"text: 'The main flowering period is from March to July with some flowers recorded in February and some as late as October'"
"Banksia media","months_flowering_peak","Apr","flowering_time","NNNYNNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~78%)"
"Banksia media","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia meisneri","growth_form","shrub","plant_growth_form","shrub",,,52,,100,"usually",""
"Banksia meisneri","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,8,8,100,,
"Banksia meisneri","growth_response","ground resprout and killed, new seedlings","resprouting_capacity","resprouts",,,8,1,12,,
"Banksia meisneri","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,8,6,75,,
"Banksia meisneri","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,8,2,25,,
"Banksia meisneri","growth_response","ground resprout and killed, new seedlings","bud_bank_location","basal_buds",,,8,1,12,,
"Banksia meisneri","growth_response","unspecified",,,,,10,,20,,""
"Banksia meisneri","flowering_response","occurred after fire",,,,,7,,,,""
"Banksia meisneri","flowering_response","median time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","median",,7,,,,""
"Banksia meisneri","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,7,,,,""
"Banksia meisneri","flowering_response","not occurred after fire",,,,,3,,,,""
"Banksia meisneri","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,3,,,,""
"Banksia meisneri","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,3,,,,""
"Banksia meisneri","pollinator_type","no pollinator observed",,,,,24,18,,,""
"Banksia meisneri","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,6,6,100,"usually",""
"Banksia meisneri","specific_pollinator","ant","flower_visitor","ant",,,6,4,67,"usually",""
"Banksia meisneri","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,6,1,17,"occasionally",""
"Banksia meisneri","months_flowering_range","May-Sep","flowering_time","NNNNYYYYYNNN",,"full range",,,,,"no single Discussion sentence for the species as a whole (see the two named varieties, ascendens and meisneri, which each have their own account); chart shows 'fully open' bars May-Sep"
"Banksia meisneri","months_flowering_peak","Jul","flowering_time","NNNNNNYNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~90%)"
"Banksia meisneri","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia meisneri var. ascendens","growth_form","shrub","plant_growth_form","shrub",,,29,,100,"usually",""
"Banksia meisneri var. ascendens","growth_response","killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,3,3,100,,
"Banksia meisneri var. ascendens","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,3,2,67,,
"Banksia meisneri var. ascendens","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,3,1,33,,
"Banksia meisneri var. ascendens","growth_response","killed, new seedlings; killed, no seedlings","bud_bank_location","none",,,3,3,100,,
"Banksia meisneri var. ascendens","growth_response","unspecified",,,,,4,,25,,""
"Banksia meisneri var. ascendens","flowering_response","occurred after fire",,,,,2,,,,""
"Banksia meisneri var. ascendens","flowering_response","median time to flowering: 1 months","fire_time_from_fire_to_flowering","1","median",,2,,,,""
"Banksia meisneri var. ascendens","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,2,,,,""
"Banksia meisneri var. ascendens","flowering_response","not occurred after fire",,,,,2,,,,""
"Banksia meisneri var. ascendens","flowering_response","median time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","median",,2,,,,""
"Banksia meisneri var. ascendens","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,2,,,,""
"Banksia meisneri var. ascendens","pollinator_type","no pollinator observed",,,,,22,17,,,""
"Banksia meisneri var. ascendens","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,5,5,100,"usually",""
"Banksia meisneri var. ascendens","specific_pollinator","ant","flower_visitor","ant",,,5,4,80,"usually",""
"Banksia meisneri var. ascendens","months_flowering_range","Jun","flowering_time","NNNNNYNNNNNN",,"full range",,,,,"DISCREPANCY FLAGGED: text states 'Flowering was recorded in June only, whilst buds were recorded as early as March. This is in contrast to the April-August flowering period suggested by George (1981)' - i.e. the book itself flags that its own Atlas data (Jun only) disagrees with George's broader literature claim"
"Banksia meisneri var. ascendens","months_flowering_peak","Jun","flowering_time","NNNNNYNNNNNN",,"peak flowering",,,,,"only month with 'fully open' records per text"
"Banksia meisneri var. ascendens","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia meisneri var. meisneri","growth_form","shrub","plant_growth_form","shrub",,,22,,100,"usually",""
"Banksia meisneri var. meisneri","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,5,5,100,,
"Banksia meisneri var. meisneri","growth_response","ground resprout and killed, new seedlings","resprouting_capacity","resprouts",,,5,1,20,,
"Banksia meisneri var. meisneri","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,5,4,80,,
"Banksia meisneri var. meisneri","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,5,1,20,,
"Banksia meisneri var. meisneri","growth_response","ground resprout and killed, new seedlings","bud_bank_location","basal_buds",,,5,1,20,,
"Banksia meisneri var. meisneri","growth_response","unspecified",,,,,6,,17,,""
"Banksia meisneri var. meisneri","flowering_response","occurred after fire",,,,,5,,,,""
"Banksia meisneri var. meisneri","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,5,,,,""
"Banksia meisneri var. meisneri","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,5,,,,""
"Banksia meisneri var. meisneri","flowering_response","not occurred after fire",,,,,1,,,,""
"Banksia meisneri var. meisneri","flowering_response","maximum time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","maximum",,1,,,,""
"Banksia meisneri var. meisneri","pollinator_type","no pollinator observed",,,,,2,1,,,""
"Banksia meisneri var. meisneri","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,1,1,100,"usually",""
"Banksia meisneri var. meisneri","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,1,1,100,"usually",""
"Banksia meisneri var. meisneri","months_flowering_range","May, Jul-Aug","flowering_time","NNNNYNYYNNNN",,"full range",,,,,"text: 'Flowering is from late autumn to early spring'; chart shows 'fully open' at May (100%), Jul (100%) and Aug (100%), each on a small per-month sample (22 total records)"
"Banksia meisneri var. meisneri","months_flowering_peak","May, Jul, Aug (tied)","flowering_time","NNNNYNYYNNNN",,"peak flowering",,,,,"THIN per-month SAMPLE - each of the three months shows 100% 'fully open' but on very few records"
"Banksia meisneri var. meisneri","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia menziesii","growth_form","tree","plant_growth_form","tree",,,442,,85,"usually",""
"Banksia menziesii","growth_form","shrub","plant_growth_form","shrub",,,442,,13,"occasionally",""
"Banksia menziesii","growth_form","unspecified",,,,,442,,2,"rarely",""
"Banksia menziesii","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,61,8,13,,
"Banksia menziesii","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout; trunk resprout","resprouting_capacity","resprouts",,,61,57,93,,
"Banksia menziesii","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,61,6,10,,
"Banksia menziesii","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,61,2,3,,
"Banksia menziesii","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,61,32,52,,
"Banksia menziesii","growth_response","ground resprout and trunk resprout; trunk resprout","bud_bank_location","epicormic_buds",,,61,45,74,,
"Banksia menziesii","growth_response","unspecified",,,,,80,,24,,""
"Banksia menziesii","flowering_response","occurred after fire",,,,,51,,,,""
"Banksia menziesii","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,51,,,,""
"Banksia menziesii","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,51,,,,""
"Banksia menziesii","flowering_response","not occurred after fire",,,,,14,,,,""
"Banksia menziesii","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,14,,,,""
"Banksia menziesii","flowering_response","maximum time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","maximum",,14,,,,""
"Banksia menziesii","pollinator_type","no pollinator observed",,,,,134,79,,,""
"Banksia menziesii","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,54,21,39,"commonly",""
"Banksia menziesii","pollinator_type","beetles","flower_visitor","beetle",,,54,1,2,"rarely",""
"Banksia menziesii","pollinator_type","bird","flower_visitor","bird",,,54,31,57,"usually",""
"Banksia menziesii","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,54,1,2,"rarely",""
"Banksia menziesii","specific_pollinator","ant","flower_visitor","ant",,,54,9,17,"occasionally",""
"Banksia menziesii","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,54,12,22,"occasionally",""
"Banksia menziesii","specific_pollinator","Western Warbler","flower_visitor","bird",,,54,1,2,"rarely",""
"Banksia menziesii","specific_pollinator","European honey bee","flower_visitor","honeybee",,,54,3,6,"rarely",""
"Banksia menziesii","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Brown Honeyeater; White-cheeked Honeyeater; Singing Honeyeater; Red Wattlebird; Little Wattlebird; Western Spinebill","flower_visitor","honeyeater",,,54,28,52,"usually",""
"Banksia menziesii","specific_pollinator","cockatoos and parrots (unspecified); Port Lincoln Parrot; Western Rosella; Red-tailed Black-Cockatoo","flower_visitor","parrot",,,54,8,15,"occasionally",""
"Banksia menziesii","months_flowering_range","Mar-Aug","flowering_time","NNYYYYYYNNNN",,"full range",,,,,"text: 'The flowering period is from March-August'"
"Banksia menziesii","months_flowering_peak","May-Jun","flowering_time","NNNNYYNNNNNN",,"peak flowering",,,,,"chart shows May and Jun both at ~90% 'fully open', the tallest bars"
"Banksia menziesii","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia micrantha","growth_form","shrub","plant_growth_form","shrub",,,31,,97,"usually",""
"Banksia micrantha","growth_form","unspecified",,,,,31,,3,"rarely",""
"Banksia micrantha","growth_response","ground resprout","resprouting_capacity","resprouts",,,3,3,100,,
"Banksia micrantha","growth_response","ground resprout","bud_bank_location","basal_buds",,,3,3,100,,
"Banksia micrantha","flowering_response","occurred after fire",,,,,2,,,,""
"Banksia micrantha","flowering_response","median time to flowering: 12-13 months","fire_time_from_fire_to_flowering","12.5","median",,2,,,,""
"Banksia micrantha","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,2,,,,""
"Banksia micrantha","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia micrantha","pollinator_type","no pollinator observed",,,,,10,9,,,""
"Banksia micrantha","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,1,1,100,"usually",""
"Banksia micrantha","months_flowering_range","Dec, Mar-May","flowering_time","NNYYYNNNNNNY",,"full range",,,,,"text: 'Flowering was recorded in December and also from March to May. There is a lack of records from the intervening months of January and February. However, George (1981) stated that the flowering period is from January to May'"
"Banksia micrantha","months_flowering_peak","Dec","flowering_time","NNNNNNNNNNNY",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~100%); Apr also high (~90%)"
"Banksia micrantha","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia nutans","growth_form","shrub","plant_growth_form","shrub",,,360,,98,"usually",""
"Banksia nutans","growth_form","unspecified",,,,,360,,2,"rarely",""
"Banksia nutans","growth_response","killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,14,12,86,,
"Banksia nutans","growth_response","ground resprout; trunk resprout","resprouting_capacity","resprouts",,,14,2,14,,
"Banksia nutans","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,14,11,79,,
"Banksia nutans","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,14,1,7,,
"Banksia nutans","growth_response","ground resprout","bud_bank_location","basal_buds",,,14,1,7,,
"Banksia nutans","growth_response","trunk resprout","bud_bank_location","epicormic_buds",,,14,1,7,,
"Banksia nutans","growth_response","unspecified",,,,,26,,46,,""
"Banksia nutans","flowering_response","occurred after fire",,,,,15,,,,""
"Banksia nutans","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,15,,,,""
"Banksia nutans","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,15,,,,""
"Banksia nutans","flowering_response","not occurred after fire",,,,,9,,,,""
"Banksia nutans","flowering_response","median time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","median",,9,,,,""
"Banksia nutans","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,9,,,,""
"Banksia nutans","pollinator_type","no pollinator observed",,,,,76,75,,,""
"Banksia nutans","pollinator_type","bird","flower_visitor","bird",,,1,1,100,"usually",""
"Banksia nutans","months_flowering_range","Sep-Jun, predominantly summer","flowering_time","YYYYYYNNYYYY",,"full range",,,,,"text: 'B. nutans flowers predominantly in summer though flowers have been recorded as early as September and as late as June'"
"Banksia nutans","months_flowering_peak","Jan","flowering_time","YNNNNNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~65%)"
"Banksia nutans","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia nutans var. cernuella","growth_form","shrub","plant_growth_form","shrub",,,100,,100,"usually",""
"Banksia nutans var. cernuella","growth_response","killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,3,3,100,,
"Banksia nutans var. cernuella","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,3,2,67,,
"Banksia nutans var. cernuella","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,3,1,33,,
"Banksia nutans var. cernuella","growth_response","killed, new seedlings; killed, no seedlings","bud_bank_location","none",,,3,3,100,,
"Banksia nutans var. cernuella","growth_response","unspecified",,,,,6,,50,,""
"Banksia nutans var. cernuella","flowering_response","occurred after fire",,,,,5,,,,""
"Banksia nutans var. cernuella","flowering_response","median time to flowering: 25-36 months","fire_time_from_fire_to_flowering","30.5","median",,5,,,,""
"Banksia nutans var. cernuella","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,5,,,,""
"Banksia nutans var. cernuella","flowering_response","not occurred after fire",,,,,1,,,,""
"Banksia nutans var. cernuella","flowering_response","maximum time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","maximum",,1,,,,""
"Banksia nutans var. cernuella","pollinator_type","no pollinator observed",,,,,27,27,,,""
"Banksia nutans var. cernuella","months_flowering_range","Jan-Apr","flowering_time","YYYYNNNNNNNN",,"full range",,,,,"text: 'The main flowering period is January to April, slightly later than that of var. nutans... A single record of var. cernuella flowering in October is possibly indicative of an incorrect identification'"
"Banksia nutans var. cernuella","months_flowering_peak","Jan-Feb","flowering_time","YYNNNNNNNNNN",,"peak flowering",,,,,"chart shows Jan and Feb both ~90% 'fully open', the tallest bars"
"Banksia nutans var. cernuella","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia nutans var. nutans","growth_form","shrub","plant_growth_form","shrub",,,204,,100,"usually",""
"Banksia nutans var. nutans","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,6,4,67,,
"Banksia nutans var. nutans","growth_response","ground resprout; trunk resprout","resprouting_capacity","resprouts",,,6,2,33,,
"Banksia nutans var. nutans","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,6,4,67,,
"Banksia nutans var. nutans","growth_response","ground resprout","bud_bank_location","basal_buds",,,6,1,17,,
"Banksia nutans var. nutans","growth_response","trunk resprout","bud_bank_location","epicormic_buds",,,6,1,17,,
"Banksia nutans var. nutans","growth_response","unspecified",,,,,13,,54,,""
"Banksia nutans var. nutans","flowering_response","occurred after fire",,,,,8,,,,""
"Banksia nutans var. nutans","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,8,,,,""
"Banksia nutans var. nutans","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,8,,,,""
"Banksia nutans var. nutans","flowering_response","not occurred after fire",,,,,4,,,,""
"Banksia nutans var. nutans","flowering_response","median time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","median",,4,,,,""
"Banksia nutans var. nutans","flowering_response","maximum time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","maximum",,4,,,,""
"Banksia nutans var. nutans","pollinator_type","no pollinator observed",,,,,43,42,,,""
"Banksia nutans var. nutans","pollinator_type","bird","flower_visitor","bird",,,1,1,100,"usually",""
"Banksia nutans var. nutans","months_flowering_range","Nov-Mar","flowering_time","YYYNNNNNNNYY",,"full range",,,,,"text: 'The main flowering period is November to March'"
"Banksia nutans var. nutans","months_flowering_peak","Jan","flowering_time","YNNNNNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~65%)"
"Banksia nutans var. nutans","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia oblongifolia","growth_form","tree","plant_growth_form","tree",,,492,,0.3,"rarely",""
"Banksia oblongifolia","growth_form","shrub","plant_growth_form","shrub",,,492,,99,"usually",""
"Banksia oblongifolia","growth_response","ground resprout and killed, new seedlings","resprouting_capacity","fire_killed",,,74,5,7,,
