taxon_name,original_text,text,leaf_lamina_posture_a,leaf_lamina_posture_f,checked leaf_lamina_posture,leaf_margin_posture_a,leaf_margin_posture_f,checked leaf_margin_posture,plant_photsynthetic_organ_a,plant_photsynthetic_organ_f,checked photosynthetic_organ
Marsdenia australis,"Description: Twining stems to 4 m high, tubers to 16 cm diam.; young stems finely hairy, older stems and leaves finely hairy or rarely glabrous, latex milky. Leaves mostly linear to linear-lanceolate, mostly 3-12 cm long and 2-8 mm wide, 10-18 times as long as broad; rather thick, slightly fleshy; midvein prominent, channelled above, secondary veins obscure or faint; glands minute, 1-5 at base of midvein, rarely absent; petiole slender, 2-15 mm long. Umbels 6-19-flowered; peduncle 3-15 mm long; pedicels 3-15 mm long. Flowers c. 4-5 mm diam., greenish to yellow. Calyx segments 2-4 mm long. Corolla 6-8 mm long, ovoid, the lobes erect or incurved glabrous; lobes 3-4 mm long; tube glabrous inside. Follicles ovoid to oblong, 4-10 cm long, 25-35 mm diam., thick-walled, smooth; coma 20-40 mm long."," leaves mostly linear to linear-lanceolate, mostly 3-12 cm long and 2-8 mm wide, 10-18 times as long as broad; rather thick, slightly fleshy; petiole slender, 2-15 mm long. ",,,,,,,leaf,leaves,checked
Marsdenia flavescens,"Description: Thin-stemmed twiner to 5 m high, stems pubescent, latex milky slightly yellowish. Leaves with lamina oblong or narrow-oblong, 3-12 cm long, 1.5-4.5 cm wide, apex and base shortly narrowed, lower surface softly and densely pubescent, pale yellowish green, veins obscure; petiole 5-12 mm long. Inflorescences open lateral panicles shorter than the leaves, bearing 2-6 umbels; peduncles and pedicels slender, pubescent. Flowers c. 3 mm diam., pale yellow. Corolla rotate; lobes spreading, ovate; tube 1-1.5 mm long, obtuse, glabrous. Corona segments short and broad, with 2 auricles at base. Style head short, obtuse. Follicles narrow, fusiform, 4-6 cm long, 4-8 mm diam."," leaves with lamina oblong or narrowlyoblong, 3-12 cm long, 1.5-4.5 cm wide, apex and base shortly narrowed, lower surface softly and densely pubescent, pale yellowish green, veins obscure; petiole 5-12 mm long. ",,,,,,,leaf,leaves,checked
Marsdenia hemiptera,"Description: Climber with twining stems to 4 m high, latex watery, stems softly pubescent to hirsute, with rusty to fawn hairs, young shoots and leaf buds furry. Leaves with lamina ovate or oblong-ovate, 7-18 cm long, 4-10 cm wide, apex acuminate or mucronate to a fine point, base strongly cordate, soft, rather thin, lower surface softly pubescent with rusty to fawn hairs; lamina glands 5-17; petiole 10-35 mm long, hirsute. Flowers deep purple, 20-25 mm diam., rachis 2-15 cm long, thick, ridged. Calyx c. 4 mm long. Corolla tube much shorter than lobes, lobes narrow, c. 10 mm long. Follicles slender, 10-12 cm long, glabrous."," leaves with lamina ovate or oblong-ovate, 7-18 cm long, 4-10 cm wide, apex acuminate or mucronate to a fine point, base strongly cordate, soft, rather thin, lower surface softly pubescent with rusty to fawn hairs; lamina glands 5-17; petiole 10-35 mm long, hirsute. ",,,,,,,leaf,leaves,checked
Marsdenia liisae,"Description: Climber to 5 m high, latex copious, milky. Leaves with lamina oblong-ovate to oblong or  triangular, 4-16 cm long, 2-8 cm wide, soft, glabrous, apex acuminate to a fine point, base cordate or rounded; petiole 1.5-5 cm long. Flowers 20-40 mm diam., whitish or pale yellow. Corolla rotate; lobes 9-17 mm long, narrow, slightly twisted, hairy at base inside; tube short and broad. Corona segments with free upper part narrow, incurved, slightly shorter than anthers, fused lower part with a hood-shaped wing. Style head conical, 2-fid, much longer than stamens. Follicles fusiform, turgid, 10-13 cm long, 2-2.5 cm diam."," leaves with lamina oblong-ovate to oblong or  triangular, 4-16 cm long, 2-8 cm wide, soft, glabrous, apex acuminate to a fine point, base cordate or rounded; petiole 1.5-5 cm long. ",,,,,,,leaf,leaves,checked
Marsdenia lloydii,"Description: Climber with twining stems, latex milky, stems quickly developing a white fissured corky covering. Leaves oblong to oblong-ovate, 5-11 cm long, 2-5 cm wide; upper surface dark green, glabrous or with scattered hairs, venations obscure; lower surface pale white-green, glabrous or with scattered hairs, venation prominent, apex mucronate or short-acuminate, base mostly broad and cordate, petiole 1.5-3 cm long. Flowers 3-4 mm diam., white. Corolla with throat densely bearded, long hairs obscuring column; corolla lobes 2-3 mm long, reflexed, bearded near base. Corona segments short, basal part without wings or lobes, free upper part thin, broad, obtuse. Style head broad, shortly umbonate, covered by long anther appendages. Follicles ovoid, turgid, c. 6 cm long, c. 3-3.5 mm diam."," leaves oblong to oblong-ovate, 5-11 cm long, 2-5 cm wide; ",,,,,,,leaf,leaves,checked
Marsdenia longiloba,"Description: Slender climber, latex clear, watery. Leaves with lamina lanceolate to ovate, 3-10 cm long, 1-5 cm wide, thin, glabrous, apex acuminate to a fine point, rounded, truncate or cuneate at base; petiole 6-20 mm long, slender. Flowers 7-9 mm diam., whitish. Corolla glabrous, rotate, deeply 5-lobed; lobes 4-5 mm long, slightly twisted, acute, with 5 short, thick scales at base of lobes and alternating with them; tube 1-1.5 mm long. Corona segments with a free, erect, horn-shaped upper part and a fused lower part with 2 basal lobes. Anther appendages erect, longer than style head. Follicles not seen."," leaves with lamina lanceolate to ovate, 3-10 cm long, 1-5 cm wide, thin, glabrous, apex acuminate to a fine point, rounded, truncate or cuneate at base; petiole 6-20 mm long, slender. ",,,,,,,leaf,leaves,checked
Marsdenia pleiadenia,"Description: Scrambling woody climber with twining stems, sometimes shrubby; stems and leaves pubescent. Leaves with lamina ovate to oblong-ovate or elliptic, 2.5-10 cm long, 1.5-5 cm wide, apex shortly acute or acuminate, base rounded to broad-cuneate, thin, soft; secondary veins prominent on lower surface and with small domatia at junctions with midvein; 5-9 raised glands at base of lamina; petiole 6-25 mm long. Umbels 8-25-flowered; pedicels 3-7 mm long, pubescent. Flowers 4-5 mm diam., pale yellow. Calyx 1.5-2 mm long, finely pubescent. Corolla white; lobes 2-3 mm long; tube c. 3 mm long, finely pubescent inside. Corona absent. Follicles terete, slender, 5-6 cm long, green."," leaves with lamina ovate to oblong-ovate or elliptic, 2.5-10 cm long, 1.5-5 cm wide, apex shortly acute or acuminate, base rounded to broadlycuneate, thin, soft; 5-9 raised glands at base of lamina; petiole 6-25 mm long. ",,,,,,,leaf,leaves,checked
Marsdenia viridiflora,"Description: Twining stems to 4 m high, tubers to 16 cm diam.; young stems finely hairy, older stems and most leaves glabrous. Leaves linear to narrow-lanceolate, 2-12 cm long, 2-18 mm wide, 6-15 times as long as broad; rather thick, slightly fleshy; midvein prominent, channelled above, secondary veins obscure or faint; glands minute, 1-5 at base of midvein; petiole slender, 2-11 mm long. Umbels 3-10-flowered; pedicels 7-9 mm long. Flowers c. 3-4 mm diam., greenish or yellow. Calyx segments 1 mm long. Corolla cup-shaped or campanulate with spreading lobes; lobes 1.5-2.5 mm long; tube with 5 dense hair tufts in the throat or  hairless but with a thick fleshy ridge at the throat. Follicles ovoid, 4-8 cm long, 20-35 mm diam., smooth; coma 15-40 mm long."," leaves linear to narrowlylanceolate, 2-12 cm long, 2-18 mm wide, 6-15 times as long as broad; rather thick, slightly fleshy; petiole slender, 2-11 mm long. ",,,,,,,leaf,leaves,checked
Marsdenia viridiflora subsp. viridiflora,"Description: Twining stems to 4 m high, tubers to 16 cm diam.; young stems finely hairy, older stems and most leaves glabrous. Leaves linear to narrow-lanceolate, 2-12 cm long, 2-18 mm wide, 6-15 times as long as broad; rather thick, slightly fleshy; midvein prominent, channelled above, secondary veins obscure or faint; glands minute, 1-5 at base of midvein; petiole slender, 2-11 mm long. Umbels 3-10-flowered; pedicels 7-9 mm long. Flowers c. 3-4 mm diam., greenish or yellow. Calyx segments 1 mm long. Corolla cup-shaped or campanulate with spreading lobes; lobes 1.5-2.5 mm long; tube with 5 dense hair tufts in the throat or  hairless but with a thick fleshy ridge at the throat. Follicles ovoid, 4-8 cm long, 20-35 mm diam., smooth; coma 15-40 mm long."," leaves linear to narrowlylanceolate, 2-12 cm long, 2-18 mm wide, 6-15 times as long as broad; rather thick, slightly fleshy; petiole slender, 2-11 mm long. ",,,,,,,leaf,leaves,checked
Melodinus acutiflorus,"Description: Tall climber, branchlets pubescent. Leaves lanceolate to  oblong-elliptic or elliptic, mostly 4-10 cm long, 15-30 mm wide, apex shortly acute or acuminate, lower surface finely and softly pubescent; petiole c. 5 mm long. Flowers scented, mostly 3 or 5 on each axillary peduncle. Calyx lobes narrow, acute, c. 3 mm long, pubescent. Corolla white or creamy; lobes linear, 6-7 mm long, acute; scales absent at throat. Berry globose, 3-4 cm diam., red to purplish."," leaves lanceolate to  oblong-elliptic or elliptic, mostly 4-10 cm long, 15-30 mm wide, apex shortly acute or acuminate, lower surface finely and softly pubescent; petiole circa 5 mm long. ",,,,,,,leaf,leaves,checked
Neisosperma poweri,"Description: Glabrous shrub or tree to 9 m high, with milky latex; terminal buds enclosed in a firm yellow gum. Leaves oblanceolate to obovate or elliptic, 6-14 cm long, 2-5 cm wide, apex mucronate or short-acuminate, gradually tapered to base, upper surface dark green and glossy, lower surface paler green; venation more prominent on upper surface, secondary veins 12-18 pairs, intramarginal vein present; petiole 2-10 mm long. Flowers white, scented. Corolla tube c. 7 mm long, lobes c. 5 mm long. Drupes ellipsoid to ovoid, 2.5-4 cm long, 12-16 mm diam., bright red, glossy, apex pointed; endocarp thick, hard, nearly smooth; seed 1."," leaves oblanceolate to obovate or elliptic, 6-14 cm long, 2-5 cm wide, apex mucronate or short-acuminate, gradually tapered to base, upper surface dark green and glossy, lower surface paler green; petiole 2-10 mm long. ",,,,,,,leaf,leaves,checked
Nerium oleander,"Description: Shrub, often with many stems from near ground level, up to c. 8 m high, sap watery. Leaves narrow-elliptic to lanceolate, 6-20 cm long, 10-30 mm wide, apex acute, base tapered, margins entire, lamina leathery, both surfaces ?glabrous, lower surface paler; secondary veins > 30; petiole mm long. Inflorescence corymbose. Calyx 3-4 mm long. Corolla usually 3-4 cm diam., usually pink; tube 20-25 mm long; lobes c. 20 mm long, rounded, spreading. Folliscles 8-15 cm long, 5-10 mm wide, reddish brown."," leaves narrowlyelliptic to lanceolate, 6-20 cm long, 10-30 mm wide, apex acute, base tapered, margins entire, lamina leathery, both surfaces , lower surface paler; petiole mm long. ",,,,,,,leaf,leaves,checked
Ochrosia elliptica,"Description: Shrub or small tree to 4 m tall, glabrous. Leaves in whorls of 3, glossy, elliptic to slightly oblanceolate, 5-14 cm long, 2-5 cm wide, attenuate to petiole, obtuse to rounded, rarely very slightly and shortly acuminate; venation of numerous, parallel, secondary veins linking to a strong marginal vein; petiole 0.5-2 cm long. Inflorescence axillary, subterminal, a dense, few-flowered cyme; peduncle 2-7 cm long. Calyx tube and lobes each c. 1 mm long. Corolla white; tube 9-10 mm long; lobes narrowly oblong, 6-7 mm long. Fruit a pair of ellipsoidal drupes, 3-4 cm long, pointed at both ends, with a longitudinal ridge along both sides, red."," leaves in whorls of 3, glossy, elliptic to slightly oblanceolate, 5-14 cm long, 2-5 cm wide, attenuate to petiole, obtuse to rounded, rarely very slightly and shortly acuminate; petiole 0.5-2 cm long. ",,,,,,,leaf,leaves,checked
Oxypetalum coeruleum,"Description: Stiff herb or subshrub to 1 m high, stems and leaves pubescent with pale hairs. Leaves with lamina oblong-lanceolate to  ovate, 3-6 cm long, 1-3 cm wide, apex obtuse, mucronate, base cordate; petiole 2-12 mm long. Flowers 20-25 mm diam., sky-blue. Calyx pubescent. Corolla tube 4-5 mm long; lobes narrow, 10-11 mm long, obtuse, pubescent below, glabrous above. Follicles narrow-ovoid, 9-13 cm long, pubescent; coma long."," leaves with lamina oblong-lanceolate to  ovate, 3-6 cm long, 1-3 cm wide, apex obtuse, mucronate, base cordate; petiole 2-12 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia brownii,"Description: Tall climber, young stems pubescent, sap watery. Leaves lanceolate or narrow-lanceolate, 3-13 cm long, 1-4 cm wide, apex gradually acute or slightly acuminate, base cuneate, lower surface pale yellowish green to fawn, lustrous, with 9-15 pairs of prominent secondary veins; leaves on juvenile plants linear, 6-10 cm long, 0.4-0.7 cm wide; petiole 8-15 mm long. Flowers in loose panicles, pedicellate, minutely pubescent yellow. Corolla lobes c. 3 mm long, with 4 papillose ridges inside; tube c. 2 mm long, hairy at the throat. Anther cone slightly exserted; filaments bent upwards, not twisted. Capsule 5-10 cm long, slender."," leaves lanceolate or narrowlylanceolate, 3-13 cm long, 1-4 cm wide, apex gradually acute or slightly acuminate, base cuneate, lower surface pale yellowish green to fawn, lustrous, with 9-15 pairs of prominent secondary veins; leaves on juvenile plants linear, 6-10 cm long, 0.4-0.7 cm wide; petiole 8-15 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia dorrigoensis,"Description: Climber to 4 m high with slender twining stems, latex milky. Leaves narrow-triangular to  broad-ovate, 4-12 cm long, 1.5-5 cm wide, apex long-acuminate to a fine point, base rounded-truncate to cordate, lamina glabrous, lower surface green to purplish; leaves on juvenile plants narrow, with 2 rounded basal lobes; petiole 10-20 mm long, slender, purplish. Flowers in axillary umbel-like cymes. Corolla tube ovoid, c. 2.5 mm long, bearded at the throat, lobes strongly recurved, 3-4 mm long, glabrous outside, bearded inside at the base. Anther cone with only the tip exserted; filaments twisted. Capsule 5-7 cm long, slender, glabrous."," leaves narrowlytriangular to  widelyovate, 4-12 cm long, 1.5-5 cm wide, apex long-acuminate to a fine point, base rounded-truncate to cordate, lamina glabrous, lower surface green to purplish; leaves on juvenile plants narrow, with 2 rounded basal lobes; petiole 10-20 mm long, slender, purplish. ",,,,,,,leaf,leaves,checked
Parsonsia eucalyptophylla,"Description: Tall woody climber; young plants climbing by clinging roots, older plants with twining stems, sap watery. Leaves linear to lanceolate, 8-24 cm long, 0.5-2 cm wide (ovate-cordate and 2-5 cm long in juvenile plants), gradually attenuate at apex and base, upper surface dull green and usually glabrous, lower surface paler and minutely pubescent; petiole 8-30 mm long. Flowers yellow, pedicellate, in many-flowered terminal and axillary panicles. Corolla tube very short; lobes linear, strongly revolute, c. 8 mm long, hairy inside towards base. Anther cone long-exserted on spirally twisted filaments. Capsule 5-6 cm long, pubescent."," leaves linear to lanceolate, 8-24 cm long, 0.5-2 cm wide (ovate-cordate and 2-5 cm long in juvenile plants), gradually attenuate at apex and base, upper surface dull green and usually glabrous, lower surface paler and minutely pubescent; petiole 8-30 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia fulva,"Description: Large woody climber to 30 m high with twining stems, new growth brown-silky, sap watery. Leaves broad-ovate or elliptic, 8-20 cm long, 5-13 cm wide, apex short-acuminate or acute, base broad-cuneate to rounded or shallowly cordate (2-lobed at the base in leaves on juvenile plants), upper surface glabrous or finely hairy, lower surface softly pubescent with brown hairs, small domatia present; petiole 15-30 mm long. Flowers in loose axillary cymose panicles, on pedicels 3-5 mm long. Corolla lobes pubescent outside, bearded inside at the base, strongly reflexed, c. 3 mm long; tube c. 1.5 mm long. Anther cone about three-quarters exserted, filaments not twisted. Capsule 15-20 cm long, c. 8 mm diam., pubescent."," leaves widelyovate or elliptic, 8-20 cm long, 5-13 cm wide, apex short-acuminate or acute, base broadlycuneate to rounded or shallowly cordate (2-lobed at the base in leaves on juvenile plants), upper surface glabrous or finely hairy, lower surface softly pubescent with brown hairs, small domatia present; petiole 15-30 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia howeana,"Description: Vigorous, twining climber. Young stems finely tomentose. Leaves glossy above, elliptic, 4-9 cm long, 1.5-3 cm wide, acute to obtuse at base, acute at apex; venation reticulate, raised above and below, petiole 5-15 mm long. Inflorescences axillary or terminal on short lateral shoots, tomentose, usually many-flowered. Flowers honey-scented. Calyx tomentose; tube c. 1 mm long; lobes triangular, 1.5 mm long. Corolla orange to reddish brown, rarely yellowish; tube 2 mm long; lobes lanceolate, 4 mm long, acute, reflexed at anthesis, tomentose outside, with a tuft of white, straight hairs at base of lobes inside. Anthers exserted, forming a narrow cone around style. Follicles cylindrical, 10-12 cm long, blunt. Seeds numerous, flattened ellipsoidal, 1.5 cm long, ribbed."," leaves glossy above, elliptic, 4-9 cm long, 1.5-3 cm wide, acute to obtuse at base, acute at apex; ",,,,,,,leaf,leaves,checked
Parsonsia induplicata,"Description: Slender twiner, watery sap. Leaves ovate to narrow-lanceolate, 3-15 cm long, 1-4 cm wide, apex long-acuminate to a fine point, margins entire or crenate; lamina very thin, soft and glabrous; upper surface green, lower surface green or pale brown or purplish when dried; reticulum mostly invisible, secondary veins interconnecting to form an intramarginal vein; juvenile leaves often linear and purplish on lower surface; petiole 3-15 mm long. Flowers in small open panicles, pedicellate. Corolla lobes 1-1.5 mm long, hood-shaped, erect, bearded at base inside; tube c. 2 mm long. Anther cone with tip exserted; filaments straight. Capsule 6-10 cm long, slender."," leaves ovate to narrowlylanceolate, 3-15 cm long, 1-4 cm wide, apex long-acuminate to a fine point, margins entire or crenate; lamina very thin, soft and glabrous; upper surface green, lower surface green or pale brown or purplish when dried; petiole 3-15 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia lanceolata,"Description: Climber with twining stems to 4 m high, sap watery. Leaves variable in shape, lanceolate or narrow- to broad-elliptic, mostly 3-10 cm long, 0.5-5 cm wide; apex obtuse, emarginate or shortly acute and with a short stiff point, base cuneate, both surfaces glabrous or shortly pubescent, dull, leathery to stiff; secondary veins visible but not prominent, reticulum invisible; petiole 2-12 mm long. Flowers in compact axillary cymes, glabrous or shortly pubescent. Corolla glabrous inside, lobes 3-4 mm long,  terete; tube 1-1.5 mm long. Anther cone enclosed in the corolla or only the tip exserted, filaments strongly spirally twisted. Capsule 6-12 cm long, slender."," leaves variable in shape, lanceolate or narrowly to widelyelliptic, mostly 3-10 cm long, 0.5-5 cm wide; apex obtuse, emarginate or shortly acute and with a short stiff point, base cuneate, both surfaces glabrous or shortly pubescent, dull, leathery to stiff; petiole 2-12 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia largiflorens,"Description: Twiner to 5 m high, sap watery. Leaves ovate to broadly ovate, 6-16 cm long, 4-9 cm wide, apex rounded, mucronate or shortly acuminate, cordate or broadly cuneate at base, glabrous, thinly coriaceous; petiole 15-50 mm long. Flowers hairy, c. 5 mm across, on pedicels 3-5 mm long, in compact pubescent few-flowered axillary cymes. Corolla lobes narrow-ovate, mucronate, 2.5-3 mm long, spreading, bearded at base inside; tube 1.5-2 mm long. Anther cone with tip exserted; filaments straight. Capsule 9-14 cm long, fusiform or narrowly conical."," leaves ovate to widelyovate, 6-16 cm long, 4-9 cm wide, apex rounded, mucronate or shortly acuminate, cordate or broadly cuneate at base, glabrous, thinly coriaceous; petiole 15-50 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia longipetiolata,"Description: Climber with twining stems; latex milky. Leaves ovate to broadly oblong-ovate or  triangular, 3.5-8 cm long, 2.5-5 cm wide, 1-2 times as long as broad, apex short-acuminate, base cordate to rounded-truncate (often 2-lobed on juvenile plants), glabrous, evenly green, smooth, soft, with 4-6 pairs of secondary veins; petiole 15-50 mm long. Flowers finely hairy, in terminal panicles, pedicellate. Corolla lobes 4-6 mm long spreading or recurved; tube 1-1.5 mm long. Anther cone half-exserted; filaments almost straight. Capsule 11-15 cm long, slender, hairy."," leaves ovate to broadly oblong-ovate or  triangular, 3.5-8 cm long, 2.5-5 cm wide, 1-2 times as long as broad, apex short-acuminate, base cordate to rounded-truncate (often 2-lobed on juvenile plants), glabrous, evenly green, smooth, soft, with 4-6 pairs of secondary veins; petiole 15-50 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia purpurascens,"Description: Twiner to 5 m high, sap watery. Leaves lanceolate to narrowly ovate, 4-14 cm long, 1.5-4 cm wide, apex acute or acuminate, glabrous, firm, of moderate thickness, green or purplish when fresh, both surfaces purple or purplish black when d ried; coarser reticulum visible; petiole mostly 5-20 mm long. Flowers c. 5 mm across, on pedicels 4-7 mm long, in open panicles. Corolla lobes narrow-ovate, mucronate, c. 2 mm long, spreading, bearded at base inside; tube c. 1.8 mm long. Anther cone with tip exserted; fi laments straight. Capsule 7-10 cm long, slender, blackish when dry."," leaves lanceolate to narrowly ovate, 4-14 cm long, 1.5-4 cm wide, apex acute or acuminate, glabrous, firm, of moderate thickness, green or purplish when fresh, both surfaces purple or purplish black when d ried; coarser reticulum visible; petiole mostly 5-20 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia rotata,"Description: Climber with glabrous twining stems, older stems > 5 mm diam. with prominent corky outgrowths, sap watery. Leaves oblong-lanceolate to lanceolate or oblong-elliptic, 5-15 cm long, 2-5 cm wide, apex abruptly acuminate to short-acute, base rounded to cuneate; lamina glabrous, soft to firm, upper surface dark green and shiny, lower surface paler; secondary veins faintly visible on upper surface and  invisible on lower surface, finer veins invisible; petiole 8-20 mm long. Flowers in axillary cymes, glabrous. Corolla lobes c. 7 mm long; tube 2-3 mm long, bearded at the throat. Anther cone slightly exserted, filaments not twisted. Capsule 15-20 cm long, c. 20 mm diam., glabrous."," leaves oblong-lanceolate to lanceolate or oblong-elliptic, 5-15 cm long, 2-5 cm wide, apex abruptly acuminate to short-acute, base rounded to cuneate; lamina glabrous, soft to firm, upper surface dark green and shiny, lower surface paler; petiole 8-20 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia straminea,"Description: Woody vine climbing by adventitious roots and twinning stems, sap watery. Leaves dimorphic; adult leaves elliptic to oblong-ovate, 4-24 cm long, 1.5-8 cm wide, (larger in shade leaves), base rounded or slightly cordate, lower surface glaucous, yellowish green, leathery to stiff, thick; finely reticulate on both surfaces, reticulum raised in dried leaves; leaves on juvenile plants 1-5 cm long, cordate, thin, purple on lower surface; petiole 5-45 mm long. Flowers pale yellow, in terminal and axillary panicles, minutely pubescent. Corolla lobes 4-5 mm long, spreading or recurved, brown hairy outside, white hairy inside, in the lower half or almost to the tips; tube c. 3 mm long. Anther cone half-exserted to almost fully exserted, filaments not twisted. Capsule 10-20 cm long, slender."," leaves dimorphic; adultleaves elliptic to oblong-ovate, 4-24 cm long, 1.5-8 cm wide, (larger in shade leaves), base rounded or slightly cordate, lower surface glaucous, yellowish green, leathery to stiff, thick; finely reticulate on both surfaces, reticulum raised in dried leaves; leaves on juvenile plants 1-5 cm long, cordate, thin, purple on lower surface; petiole 5-45 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia tenuis,"Description: Slender-stemmed twiner, to 4 m high, sap watery. Leaves oblong-lanceolate, 3.5-11 cm long 1-2.5 cm wide, apex narrow-acuminate, base rounded, truncate to cordate, (linear to narrow-lanceolate in juvenile leaves); margins sometimes toothed near base; lamina thin and soft, upper surface dull and scabrous-hairy to glabrous, lower surface paler and softly pubescent; tertiary veins faint, few and irregular or transverse on lower surface, not forming a regular curving pattern; petiole 7-12 mm long. Flowers in terminal or subterminal loose cymes. Corolla tube c. 2.5 mm long, lobes c. 4 mm long, spreading, bearded inside near the base. Anther cone about half exserted, filaments not twisted. Capsule 4-9 cm long, slender."," leaves oblong-lanceolate, 3.5-11 cm long 1-2.5 cm wide, apex narrowlyacuminate, base rounded, truncate to cordate, (linear to narrowlylanceolate in juvenileleaves); margins sometimes toothed near base; lamina thin and soft, upper surface dull and scabrous-hairy to glabrous, lower surface paler and softly pubescent; petiole 7-12 mm long. ",,,,,,,leaf,leaves,checked
Parsonsia velutina,"Description: Woody climber to 8 m high or more, new growth brown-hairy, sap watery. Leaves ovate, mostly 7-19 cm long, 3.5-9 cm wide, apex acuminate to a fine point, base strongly cordate (2-lobed in leaves on juvenile plants), lower surface softly pubescent with brownish hairs; petiole 10-40 mm. Flowers in condensed axillary cymes, sessile or almost so. Corolla lobes erect, 2-2.5 mm long, bearded inside at base; tube 1-2 mm long. Anther cone almost wholly enclosed within the corolla, filaments not twisted. Capsule suberect, 7-15 cm long, c. 10 mm diam., glabrous or pubescent."," leaves ovate, mostly 7-19 cm long, 3.5-9 cm wide, apex acuminate to a fine point, base strongly cordate (2-lobed in leaves on juvenile plants), lower surface softly pubescent with brownish hairs; petiole 10-40 mm. ",,,,,,,leaf,leaves,checked
Parsonsia ventricosa,"Description: Climber with twining stems to 6 m high, sap watery. Leaves lanceolate to oblong-lanceolate or ovate, 4-15 cm long, 1.5-5 cm wide, apex long-acuminate, base cordate or rounded, lamina glabrous or pubescent, soft; tertiary veins of leaves numerous and prominent on lower surface forming backwardly curving connections between secondary veins; petiole 7-12 mm long. Flowers in short, axillary umbel-like cymes. Corolla tube inflated, globose, c. 3.5 mm diam., hairy inside; lobes spreading, 2.5-3 mm long, glabrous. Anther cone half-exserted, each anther with a prominent dorsal ridge and 2 spreading basal lobes, filaments not twisted. Capsule 9-14 cm long, slender."," leaves lanceolate to oblong-lanceolate or ovate, 4-15 cm long, 1.5-5 cm wide, apex long-acuminate, base cordate or rounded, lamina glabrous or pubescent, soft; petiole 7-12 mm long. ",,,,,,,leaf,leaves,checked
Secamone elliptica,"Description: Glabrous climber, sometimes tall; old stems with thick, fissured, soft corky bark; latex opaque, milky. Leaves with lamina narrow-lanceolate to ovate, 2-5.5 cm long, 8-20 mm wide, thin, soft to firm, apex acute or acuminate, base rounded or cuneate, veins faint, lamina glands absent; petiole 1-4 mm long, slender. Cymes branched, shorter than leaves. Flowers 3.5-5 mm diam., pale yellow. Calyx lobes c. 1 mm long. Corolla c. 3 mm long. Follicles paired, lanceolate, 3.5-6.5 cm long."," leaves with lamina narrowlylanceolate to ovate, 2-5.5 cm long, 8-20 mm wide, thin, soft to firm, apex acute or acuminate, base rounded or cuneate, veins faint, lamina ; petiole 1-4 mm long, slender. ",,,,,,,leaf,leaves,checked
Tabernaemontana pandacaqui,"Description: Shrub to 3 m high, glabrous. Leaves elliptic to oblanceolate, 5-18 cm long, 2-5 cm wide, apex  short-acuminate, base gradually narrowed, lamina soft, glabrous; base of petiole expanded into a small erect, ovate appendage appressed to the branchlet and enclosing the axillary bud; petiole 3-15 mm long. Cymes axillary, shorter than leaves. Flowers 15-20 mm diam., white, fragrant. Calyx lobes c. 2 mm long. Corolla tube 10-15 mm long, lobes 6-8 mm long, asymmetric. Follicles narrow-ovoid or narrow ellipsoid with acuminate apex, 1-4 cm long, 8-10 mm diam., green and turning yellow; seeds 3-16, embedded in sticky red pulp."," leaves elliptic to oblanceolate, 5-18 cm long, 2-5 cm wide, apex  short-acuminate, base gradually narrowed, lamina soft, glabrous; base of petiole expanded into a small erect, ovate appendage appressed to the branchlet and enclosing the axillary bud; petiole 3-15 mm long. ",,,,,,,leaf,leaves,checked
Tylophora barbata,"Description: Slender twiner or trailer, stems  glabrous, latex milky or watery. Leaves with lamina broad-lanceolate to ovate, 2.5-6 cm long, 1-3.5 cm wide, apex acuminate, base mostly cuneate or rounded, thin, both surfaces  glabrous; petiole 7-20 mm long, sparsely hairy. Flowers in 1 or 2 short umbels, each 3-5-flowered; primary peduncles 15-25 mm long; pedicels c. 10 mm long. Corolla 5-6 mm diam., purple-red; lobes spreading, 2-3 mm long, shortly hairy. Corona glabrous. Follicles slender, 5-7 cm long, rarely seen."," leaves with lamina widelylanceolate to ovate, 2.5-6 cm long, 1-3.5 cm wide, apex acuminate, base mostly cuneate or rounded, thin, both surfaces  glabrous; petiole 7-20 mm long. sparsely hairy. ",,,,,,,leaf,leaves,checked
