taxon_name,original_text,text,absolute_min,min,max,absolute_max,units,checked
Marsdenia hemiptera,"Description: Climber with twining stems to 4 m high, latex watery, stems softly pubescent to hirsute, with rusty to fawn hairs, young shoots and leaf buds furry. Leaves with lamina ovate or oblong-ovate, 7â€“18 cm long, 4â€“10 cm wide, apex acuminate or mucronate to a fine point, base strongly cordate, soft, rather thin, lower surface softly pubescent with rusty to fawn hairs; lamina glands 5â€“17; petiole 10â€“35 mm long, hirsute. Flowers deep purple, 20â€“25 mm diam., rachis 2â€“15 cm long, thick, ridged. Calyx c. 4 mm long. Corolla tube much shorter than lobes, lobes narrow, c. 10 mm long. Follicles slender, 10â€“12 cm long, glabrous.",climber with twining stems to 4 m high latex watery,,,4,,m,checked
Marsdenia liisae,"Description: Climber to 5 m high, latex copious, milky. Leaves with lamina oblong-ovate to oblong or ± triangular, 4â€“16 cm long, 2â€“8 cm wide, soft, glabrous, apex acuminate to a fine point, base cordate or rounded; petiole 1.5â€“5 cm long. Flowers 20â€“40 mm diam., whitish or pale yellow. Corolla rotate; lobes 9â€“17 mm long, narrow, slightly twisted, hairy at base inside; tube short and broad. Corona segments with free upper part narrow, incurved, slightly shorter than anthers, fused lower part with a hood-shaped wing. Style head conical, 2-fid, much longer than stamens. Follicles fusiform, turgid, 10â€“13 cm long, 2â€“2.5 cm diam.","climber to 5 m high latex copious, milky.",,,5,,m,checked
Marsdenia rostrata,"Description: Climber to c. 10 m high, latex copious, milky. Leaves with lamina oblong-elliptic to broad-ovate, sometimes ± circular, 1.2â€“3 times as long as broad, 4â€“13 cm long, 2â€“7 cm wide, apex mostly abruptly narrowed to a short or long obtuse point, base rounded or slightly cordate, glabrous, margins flat; larger net veins distinct on lower surface; petiole 10â€“40 mm long. Flowers 7â€“12 mm diam., pale yellow. Corolla lobes spreading, oblong-obtuse, hairy inside to middle or above, 3â€“6 mm long; tube c. 2 mm long. Style head narrow-conical, 2-fid, much longer than anthers. Free part of corona segments erect, incurved, nearly as long as the anthers; wings and auricles absent. Follicles turgid, ovoid, obtuse or with a short point, 5â€“7 cm long, 2â€“4 cm diam.","climber to circa 10 m high latex copious, milky.",,,10,,m,checked
Mesembryanthemum guerichianum,"Description: Annual or biennial shrub to 1 m high and 2.4 m across. Prominent succulent epidermal bladder cells, 1â€“2 mm across, that dry scaly. Central stem erect 30â€“60(-100) cm high. Leaves opposite, decussate, petiole 18â€“55 mm long and base partly ensheathing stem, succulent with slightly unpleasant scent, margins undulate; blade to 11 (rarely to 15.5) cm long, to 4.5 (rarely to 5.5) cm wide and 2â€“3 mm thick. Flowers (15-)40â€“60(-70) mm diameter. Perianth lobes 9â€“12 mm long. Petaloid staminodes fused in the lower part, ca. 180â€“220. Stamens much shorter than staminodes. Ovary 5-ridged at top. Flowers open mid afternnon and close around dusk. Fruit a broad oblong capsule, 15â€“20 mm diameter and succulent when submature, 10â€“15 mm diameter and dry when mature.","annual or biennial shrub to 1 m high and 2.4 m across. prominent succulent epidermal bladder cells 1â€“2 mm across, that dry scaly.",,,1,,m,checked
Monstera deliciosa,Description: Woody vine or herb mostly to 1.5 m high.,woodyvine or herb mostly to 1.5 m high.,,,1.5,,m,checked
Muscari armeniacum,"Description: Erect herb to 45 cm high; bulb 15â€“30 mm diam. Leaves 3â€“8, to 40 cm long, 2â€“10 mm wide, narrowly channelled. Scape to 40 cm long; flowers crowded, scented. Fertile flowers with pedicels 2â€“5 mm long; perianth broad-urceolate, dark blue with paler or white lobes, 4â€“6 mm long. Sterile flowers with pedicels 1â€“2 mm long; perianth obovoid, deep blue, 2â€“4 mm long. Staminal filaments 0.75â€“1 mm long Capsule 7â€“9 mm long, broad-obovoid.",erect herb to 45 cm high;,,,45,,cm,checked
Neisosperma poweri,"Description: Glabrous shrub or tree to 9 m high, with milky latex; terminal buds enclosed in a firm yellow gum. Leaves oblanceolate to obovate or elliptic, 6â€“14 cm long, 2â€“5 cm wide, apex mucronate or short-acuminate, gradually tapered to base, upper surface dark green and glossy, lower surface paler green; venation more prominent on upper surface, secondary veins 12â€“18 pairs, intramarginal vein present; petiole 2â€“10 mm long. Flowers white, scented. Corolla tube c. 7 mm long, lobes c. 5 mm long. Drupes ellipsoid to ovoid, 2.5â€“4 cm long, 12â€“16 mm diam., bright red, glossy, apex pointed; endocarp thick, hard, nearly smooth; seed 1.",glabrous shrub or tree to 9 m high,,,9,,m,checked
Nerium oleander,"Description: Shrub, often with many stems from near ground level, up to c. 8 m high, sap watery. Leaves narrow-elliptic to lanceolate, 6â€“20 cm long, 10â€“30 mm wide, apex acute, base tapered, margins entire, lamina leathery, both surfaces ?glabrous, lower surface paler; secondary veins > 30; petiole mm long. Inflorescence corymbose. Calyx 3â€“4 mm long. Corolla usually 3â€“4 cm diam., usually pink; tube 20â€“25 mm long; lobes c. 20 mm long, rounded, spreading. Folliscles 8â€“15 cm long, 5â€“10 mm wide, reddish brown.","shrub often with many stems from near ground level, up to circa 8 m high, sap watery.",,,8,,m,checked
Ochrosia elliptica,"Description: Shrub or small tree to 4 m tall, glabrous. Leaves in whorls of 3, glossy, elliptic to slightly oblanceolate, 5â€“14 cm long, 2â€“5 cm wide, attenuate to petiole, obtuse to rounded, rarely very slightly and shortly acuminate; venation of numerous, parallel, secondary veins linking to a strong marginal vein; petiole 0.5â€“2 cm long. Inflorescence axillary, subterminal, a dense, few-flowered cyme; peduncle 2â€“7 cm long. Calyx tube and lobes each c. 1 mm long. Corolla white; tube 9â€“10 mm long; lobes narrowly oblong, 6â€“7 mm long. Fruit a pair of ellipsoidal drupes, 3â€“4 cm long, pointed at both ends, with a longitudinal ridge along both sides, red.",shrub or small tree to 4 m tall glabrous.,,,4,,m,checked
Ochrosia moorei,"Description: Erect shrub or small tree to 9 m high, shoots glabrous; terminal leaf buds enclosed in a sticky exudate. Leaves oblanceolate to narrow-oblanceolate, 6â€“18 cm long, 18â€“40 mm wide, apex acuminate, gradually tapering to the base, lamina soft, with 16â€“40 pairs secondary veins, upper surface dark green and glossy, lower surface paler; petiole 2â€“14 mm long, green. Flowers white, c. 14 mm diam. Calyx c. 3 mm long. Corolla tube c. 8 mm long. Drupes ± ellipsoid to ovoid, 4â€“8 cm long, 20â€“25 mm diam., bright red, the endocarp hard, with smooth fine grooves or shallow ribs.",erect shrub or small tree to 9 m high shoots glabrous;,,,9,,m,checked
Odontonema cuspidatum,"Description: Shrub to 5 m tall, young stems 4-sided, sparsely pubescent, hairs more or less in 2 lines. Leaves with petioles to 30 mm long, ovate-elliptic to elliptic to obovate-elliptic, 40â€“310 mm long, 15â€“30 mm wide; surfaces pubescent or glabrate. Inflorescence of loose to dense, terminal, pedunculate, often basally branched racemes to 50 cm long; racemes (dichasia) opposite at nodes 1â€“3 or more flowered; peduncles 25 mm long, pubescent like the rachis or nearly glabrous. Bracteoles and secondary bracteoles triangular. Flowers pedicillate, corolla red 21â€“35 mm long with a more or less distinct throat, upper lip 2â€“5 mm long. Capsule 16â€“27 mm long, glabrous.",shrub to 5 m tall young stems 4-sided.,,,5,,m,checked
Oschatzia cuneifolia,"Description: Herb to 20 cm high with loose rhizomatous base, glabrous. Leaves with lamina narrow-spathulate, 2.5â€“4 cm long, 3â€“10 mm wide, with usually 3â€“6 irregular acute teeth or lobes at the apex, glabrous; petiole 3â€“7 cm long, shortly sheathing. Umbels irregularly compound, 3â€“9-flowered; peduncle 10â€“15 cm long; rays 2 or 3, 2.5â€“4 cm long; pedicels 5â€“10 mm long; bracts cuneate, 2- or 3-lobed, 1â€“2.5 cm long; bracteoles narrow-ovate, 2.5â€“5 mm long. Flowers 3â€“5 mm diam. Sepals minute. Petals ovate, 1.5â€“2 mm long, white. Fruit ovoid, c. 3.5â€“4 mm long, c. 1.5 mm wide, evenly ribbed, glabrous.",herb to 20 cm high with loose rhizomatous base glabrous.,,,20,,cm,checked
Oxypetalum coeruleum,"Description: Stiff herb or subshrub to 1 m high, stems and leaves pubescent with pale hairs. Leaves with lamina oblong-lanceolate to ± ovate, 3â€“6 cm long, 1â€“3 cm wide, apex obtuse, mucronate, base cordate; petiole 2â€“12 mm long. Flowers 20â€“25 mm diam., sky-blue. Calyx pubescent. Corolla tube 4â€“5 mm long; lobes narrow, 10â€“11 mm long, obtuse, pubescent below, glabrous above. Follicles narrow-ovoid, 9â€“13 cm long, pubescent; coma long.",stiff herb or subshrub to 1 m high,,,1,,m,checked
Parsonsia dorrigoensis,"Description: Climber to 4 m high with slender twining stems, latex milky. Leaves narrow-triangular to ± broad-ovate, 4â€“12 cm long, 1.5â€“5 cm wide, apex long-acuminate to a fine point, base rounded-truncate to cordate, lamina glabrous, lower surface green to purplish; leaves on juvenile plants narrow, with 2 rounded basal lobes; petiole 10â€“20 mm long, slender, purplish. Flowers in axillary umbel-like cymes. Corolla tube ovoid, c. 2.5 mm long, bearded at the throat, lobes strongly recurved, 3â€“4 mm long, glabrous outside, bearded inside at the base. Anther cone with only the tip exserted; filaments twisted. Capsule 5â€“7 cm long, slender, glabrous.",climber to 4 m high with slender twining stems latex milky.,,,4,,m,checked
Parsonsia fulva,"Description: Large woody climber to 30 m high with twining stems, new growth brown-silky, sap watery. Leaves broad-ovate or elliptic, 8â€“20 cm long, 5â€“13 cm wide, apex short-acuminate or acute, base broad-cuneate to rounded or shallowly cordate (2-lobed at the base in leaves on juvenile plants), upper surface glabrous or finely hairy, lower surface softly pubescent with brown hairs, small domatia present; petiole 15â€“30 mm long. Flowers in loose axillary cymose panicles, on pedicels 3â€“5 mm long. Corolla lobes pubescent outside, bearded inside at the base, strongly reflexed, c. 3 mm long; tube c. 1.5 mm long. Anther cone about three-quarters exserted, filaments not twisted. Capsule 15â€“20 cm long, c. 8 mm diam., pubescent.","large woodyclimber to 30 m high with twining stems new growth brown-silky, sap watery.",,,30,,m,checked
Parsonsia lanceolata,"Description: Climber with twining stems to 4 m high, sap watery. Leaves variable in shape, lanceolate or narrow- to broad-elliptic, mostly 3â€“10 cm long, 0.5â€“5 cm wide; apex obtuse, emarginate or shortly acute and with a short stiff point, base cuneate, both surfaces glabrous or shortly pubescent, dull, leathery to stiff; secondary veins visible but not prominent, reticulum invisible; petiole 2â€“12 mm long. Flowers in compact axillary cymes, glabrous or shortly pubescent. Corolla glabrous inside, lobes 3â€“4 mm long, ± terete; tube 1â€“1.5 mm long. Anther cone enclosed in the corolla or only the tip exserted, filaments strongly spirally twisted. Capsule 6â€“12 cm long, slender.",climber with twining stems to 4 m high sap watery.,,,4,,m,checked
Parsonsia largiflorens,"Description: Twiner to 5 m high, sap watery. Leaves ovate to broadly ovate, 6â€“16 cm long, 4â€“9 cm wide, apex rounded, mucronate or shortly acuminate, cordate or broadly cuneate at base, glabrous, thinly coriaceous; petiole 15â€“50 mm long. Flowers hairy, c. 5 mm across, on pedicels 3â€“5 mm long, in compact pubescent few-flowered axillary cymes. Corolla lobes narrow-ovate, mucronate, 2.5â€“3 mm long, spreading, bearded at base inside; tube 1.5â€“2 mm long. Anther cone with tip exserted; filaments straight. Capsule 9â€“14 cm long, fusiform or narrowly conical.",twiner to 5 m high sap watery.,,,5,,m,checked
Parsonsia purpurascens,"Description: Twiner to 5 m high, sap watery. Leaves lanceolate to narrowly ovate, 4â€“14 cm long, 1.5â€“4 cm wide, apex acute or acuminate, glabrous, firm, of moderate thickness, green or purplish when fresh, both surfaces purple or purplish black when d ried; coarser reticulum visible; petiole mostly 5â€“20 mm long. Flowers c. 5 mm across, on pedicels 4â€“7 mm long, in open panicles. Corolla lobes narrow-ovate, mucronate, c. 2 mm long, spreading, bearded at base inside; tube c. 1.8 mm long. Anther cone with tip exserted; fi laments straight. Capsule 7â€“10 cm long, slender, blackish when dry.",twiner to 5 m high sap watery.,,,5,,m,checked
Parsonsia tenuis,"Description: Slender-stemmed twiner, to 4 m high, sap watery. Leaves oblong-lanceolate, 3.5â€“11 cm long 1â€“2.5 cm wide, apex narrow-acuminate, base rounded, truncate to cordate, (linear to narrow-lanceolate in juvenile leaves); margins sometimes toothed near base; lamina thin and soft, upper surface dull and scabrous-hairy to glabrous, lower surface paler and softly pubescent; tertiary veins faint, few and irregular or transverse on lower surface, not forming a regular curving pattern; petiole 7â€“12 mm long. Flowers in terminal or subterminal loose cymes. Corolla tube c. 2.5 mm long, lobes c. 4 mm long, spreading, bearded inside near the base. Anther cone about half exserted, filaments not twisted. Capsule 4â€“9 cm long, slender.","slender-stemmed twiner to 4 m high, sap watery.",,,4,,m,checked
Parsonsia velutina,"Description: Woody climber to 8 m high or more, new growth brown-hairy, sap watery. Leaves ovate, mostly 7â€“19 cm long, 3.5â€“9 cm wide, apex acuminate to a fine point, base strongly cordate (2-lobed in leaves on juvenile plants), lower surface softly pubescent with brownish hairs; petiole 10â€“40 mm. Flowers in condensed axillary cymes, sessile or almost so. Corolla lobes erect, 2â€“2.5 mm long, bearded inside at base; tube 1â€“2 mm long. Anther cone almost wholly enclosed within the corolla, filaments not twisted. Capsule suberect, 7â€“15 cm long, c. 10 mm diam., glabrous or pubescent.",woodyclimber to 8 m high or more,,,8,,m,checked
Parsonsia ventricosa,"Description: Climber with twining stems to 6 m high, sap watery. Leaves lanceolate to oblong-lanceolate or ovate, 4â€“15 cm long, 1.5â€“5 cm wide, apex long-acuminate, base cordate or rounded, lamina glabrous or pubescent, soft; tertiary veins of leaves numerous and prominent on lower surface forming backwardly curving connections between secondary veins; petiole 7â€“12 mm long. Flowers in short, axillary umbel-like cymes. Corolla tube inflated, globose, c. 3.5 mm diam., hairy inside; lobes spreading, 2.5â€“3 mm long, glabrous. Anther cone half-exserted, each anther with a prominent dorsal ridge and 2 spreading basal lobes, filaments not twisted. Capsule 9â€“14 cm long, slender.",climber with twining stems to 6 m high sap watery.,,,6,,m,checked
Pastinaca sativa,"Description: Erect, stout biennial herb to 1.8 m high, ± pubescent, with swollen taproot; stem striate, strongly angled. Leaves pinnate; leaflets 9â€“23, oblong or ovate, 5â€“10 cm long, 2.5â€“8 cm wide, often deeply lobed segments with coarsely toothed margins; petiole 5â€“12 cm long, shorter than lamina. Umbel 3â€“20 cm diam.; peduncle stout with clasping base, 7â€“15 cm long; rays of terminal umbel 9â€“20, very unequal, to 20 mm long; bracts if present pinnately lobed; pedicels 5â€“10 mm long. Petals c. 1 mm long, yellow. Fruit broad-elliptic, 5â€“7 mm long; wing to 0.5 mm broad.",erect stout biennial herb to 1.8 m high,,,1.8,,m,checked
Pastinaca sativa subsp. sativa,"Description: Erect, stout biennial herb to 1.8 m high, ± pubescent, with swollen taproot; stem striate, strongly angled. Leaves pinnate; leaflets 9â€“23, oblong or ovate, 5â€“10 cm long, 2.5â€“8 cm wide, often deeply lobed segments with coarsely toothed margins; petiole 5â€“12 cm long, shorter than lamina. Umbel 3â€“20 cm diam.; peduncle stout with clasping base, 7â€“15 cm long; rays of terminal umbel 9â€“20, very unequal, to 20 mm long; bracts if present pinnately lobed; pedicels 5â€“10 mm long. Petals c. 1 mm long, yellow. Fruit broad-elliptic, 5â€“7 mm long; wing to 0.5 mm broad.",erect stout biennial herb to 1.8 m high,,,1.8,,m,checked
Patersonia rosea,"Description: Loosely tufted rhizomatous perennial herb to c. 50 cm high. Leaves basal, linear to linear-ensiform, 23â€“66 cm long, 1.4â€“2.8 (â€“4.0) mm wide, dull green, with matted appressed fawn-coloured hairs on the faces, longer white hairs on the margins. Scapes (0.5â€“) 21â€“60 cm long, pubescent. Spathe pair 35â€“50 mm long, greyish-brown to mid-brown, with numerous close parallel veins. Perianth tube white 5â€“20 mm long; outer tepals, broadly elliptic-obovate, 16â€“25(â€“30) mm long, 12â€“20(â€“25) mm wide pink; inner lobes obovate to obcuneate, c. 2 mm long. Filaments 3.5â€“5.0 mm long, connate. Ovary ± cylindrical, hairy. Capsules narrowly ovoid to ellipsoid or narrowly obovoid, 13â€“21 mm long. Seeds cylindrical-fusiform to narrowly ovoid, 3.2â€“4.8 mm long, pale brown, aril extending from the non-attachment to almost the opposite end, linear, cream-stramineous when dry.",loosely tufted rhizomatous perennial herb to circa 50 cm high.,,,50,,cm,checked
Persicaria chinensis,"Description: Rhizomatous perennial, stems ascending to erect to 1 m, sometimes climbing. Leaf blade ovate or elliptic, 4â€“15 cm long, 2â€“8 cm wide, yellow-green, often with a central darker green V-shaped blotch (with a pale margin) towards the base, glabrous; petiole 1â€“2.5 cm long; ocreas without cilia. Inflorescences paniculate, open, with 1â€“3 flowers per distant cluster; branches glandular-hairy; perianth segments 3â€“4 mm long, white or pale pink. Achene trigonous, 2.8â€“4 mm long, 2â€“3 mm diam., black, enclosed by enlarged succulent, blue-black persistent perianth.","rhizomatous perennial, stems ascending to erect to 1 m, sometimes climbing.",,,1,,m,checked
Phoenix canariensis,"Description: Palm-tree to 15(-20) m high; trunk single, erect, stout, to at least 1 m diam. Leaves spreading, to c. 6 m long, 50 cm wide, broadest in the middle one-third; petiole very short; pinnae stiff, deeply channelled, to c. 40 cm long, 3 cm wide (when flattened), basal pinnae short, thick and extremely sharp-pointed. Inflorescence a panicle to c. 80 cm long or more. Flowers yellowish; perianth segments obtuse, inner and outer whorls subequal, 4â€“5 mm long. Fruit ellipsoid, yellow to reddish, 1.5â€“2.3 cm long, fleshy layer rather thin.",palm-tree to 15(-20) m high;,,,15,20,m,checked
Pistacia chinensis,"Description: Deciduous tree to 20 m high, branchlets finely hairy; leaves turning crimson in autumn. Leaves 10â€“25 cm long; leaflets 8â€“14, lanceolate, 5â€“9 cm long, 15â€“25 mm wide, apex long-acuminate, base asymmetric, margins entire, both surfaces ± glabrous except for scattered bristles along veins, lower surface not glaucous; petiole 4â€“10 cm long, petiolules c. 1 mm long. Panicles 5â€“10 cm long, glabrous. Flowers yellowish green. Drupe ± globose to ovoid, compressed laterally, 5â€“6 mm long, red finally turning purple.",deciduous tree to 20 m high,,,20,,m,checked
Platanus x hispanica,"Description: Tree to 30 m high. Bark on trunk and larger branches smooth, exfoliating in large flakes leaving a mottled red, grey and yellow pattern; bark on lower trunk becoming grey and fibrous. Leaves with stipules to 1.2 cm long, densely pubescent with dendritic hairs; petiole to 8 cm long, densely pubescent with dendritic hairs; lamina broadly to very broadly ovate, palmately 3â€“5-lobed with lobes themselves coarsely toothed or lobed, 8â€“20 cm long, 10â€“22 cm wide, truncate to subcordate at base, with palmate venation, glabrescent, with dense indumentum of dendritic hairs persistent only on veins. Flowers usually 4-merous. Male flowers: sepals ovate, pubescent; petals oblong; stamens c. 4. Female flowers: calyx cupular; petals present, strap-like; carpels c. 6. Fruiting heads 1â€“3 (â€“4) per inflorescence, 2â€“3 cm diam. Achenes surrounded by numerous long hairs attached to receptacle, narrowly obovate, 7â€“9 mm long, glabrous and rugose at apex, otherwise densely hairy with dendritic hairs.",tree to 30 m high.,,,30,,m,checked
Platanus x hispanica cv. Acerifolia,"Description: Tree to 30 m high. Bark on trunk and larger branches smooth, exfoliating in large flakes leaving a mottled red, grey and yellow pattern; bark on lower trunk becoming grey and fibrous. Leaves with stipules to 1.2 cm long, densely pubescent with dendritic hairs; petiole to 8 cm long, densely pubescent with dendritic hairs; lamina broadly to very broadly ovate, palmately 3â€“5-lobed with lobes themselves coarsely toothed or lobed, 8â€“20 cm long, 10â€“22 cm wide, truncate to subcordate at base, with palmate venation, glabrescent, with dense indumentum of dendritic hairs persistent only on veins. Flowers usually 4-merous. Male flowers: sepals ovate, pubescent; petals oblong; stamens c. 4. Female flowers: calyx cupular; petals present, strap-like; carpels c. 6. Fruiting heads 1â€“3 (â€“4) per inflorescence, 2â€“3 cm diam. Achenes surrounded by numerous long hairs attached to receptacle, narrowly obovate, 7â€“9 mm long, glabrous and rugose at apex, otherwise densely hairy with dendritic hairs.",tree to 30 m high.,,,30,,m,checked
Platylobium parviflorum,"Description: Erect shrub to c. 2 m high. Leaves narrow ovate, narrow elliptic or lanceolate 2â€“6.5 cm long, 1â€“3 cm wide; base cuneate to broadly rounded. Inflorescences 1â€“3 per axil. Inflorescence scales 8â€“12, glabrous, or sparsely hairy; bracts 2.5â€“3.5 mm long; bracteoles 2.5â€“6 mm long; pedicles 5â€“15(-20) mm long. Calyx 5â€“7 mm long, with scattered appressed hairs. Standsard petal 10â€“12 mm long, 15 mm wide, mostly orange-yellow with back of standard purple-brown with narrow to broad yellow bands; wings yellow; keel purplish. Pods oblong, 15â€“30 mm long, on stipes 4â€“12 mm long, hairy on sutures, and either glabrous, hairy or over, or hairs only on zone overlaying the seeds.",erect shrub to circa 2 m high.,,,2,,m,checked
Platysace heterophylla var. heterophylla,"Description: Weak subshrub, to 30 cm high; glabrous, scabrous or rarely shortly pubescent. Leaves 3(â€“5)-fid at base of the plant, becoming simple; lamina linear, 4â€“40 mm long, segments 0.2â€“0.7 mm wide. Umbels compound, lax, each head 6â€“25 mm diam.; peduncle 15â€“35 mm long; rays 3â€“5, 1â€“9 mm long; bracts linear, 0.5â€“2 mm long; bracteoles linear, 0.6â€“1.1 mm long. Petals 0.7â€“1.5 mm long, white, pink in bud. Fruit broad elliptic, 1.2â€“1.8 mm long, 1.8â€“2.7 mm wide, brown. Mericarps 0.9â€“1.3 mm wide, sparsely tuberculate to almost smooth.",weak subshrub to 30 cm high; glabrous,,,30,,cm,checked
Polyscias cissodendron,"Description: Tree to 12 m or more tall, dioecious. Leaves imparipinnate, 10â€“35 cm long; leaflets (7-) 11â€“13, narrowly ovate to lanceolate, strongly oblique, (3-) 4â€“8 (-10) cm long, (1.5-) 1.8â€“2.5 (-4.5) cm broad, acute at base, coarsely crenulate-dentate, especially upper margin, acute to acuminate at apex Inflorescence terminal, paniculate, 10â€“30 cm long, umbellules 4â€“7 (-9)-flowered; pedicels 2â€“3 mm long, articulated at base of flowers. Petals (4 or) 5, ±triangular, yellow, becoming reflexed. Stamens c. 2 mm long. Ovary 2-locular; styles 2, basally united, c. 1 mm long Fruit laterally compressed-spheroidal, 3.5â€“4.5 mm long, bluntly ribbed, purple-maroon.",tree to 12 m or more tall dioecious.,,,12,,m,checked
Polyscias elegans,"Description: Sparingly branched tree to 30 m high, glabrescent. Leaves usually 2-pinnate (except for some on flowering shoots only 1-pinnate and with 5â€“9 leaflets), up to 100 cm long, secondary rachises to 12 cm long, commonly subtended by leaflets; petiole circular in cross section; leaflets with branched hairs when young, ovate to elliptic, mostly 5â€“12 cm long, mostly 3â€“6.5 cm wide, apex acuminate, base ± rounded, margins entire; aromatic when crushed. Inflorescence a terminal panicle, branching 1â€“3 times, with a grey indumentum, flowers solitary and arranged racemosely along inflorescence branches. Calyx an undulate rim. Petals purple-black. Ovary 2-locular. Fruit globose, 5â€“6 mm long, purple-black when ripe.",sparingly branched tree to 30 m high glabrescent.,,,30,,m,checked
Polyscias murrayi,"Description: Sparingly branched tree to 24 m high, glabrous. Leaves 1-pinnate, to 1.3 m long with 11â€“17 pairs of leaflets; leaflets narrow-ovate to elliptic, 6â€“16 cm long, 3â€“9 cm wide, apex acute to acuminate, base truncate or shortly attenuate and often asymmetric, margins minutely toothed, not aromatic when crushed; petiole U-shaped in cross section. Inflorescence a large compound panicle with umbels of flowers arranged more or less racemosely along the branches, covered with minute simple hairs. Calyx with 5 small teeth. Petals cream to light green. Ovary 2- or 3-locular. Fruit sub-globose, c. 4 mm long, purple-blue when ripe.",sparingly branched tree to 24 m high glabrous.,,,24,,m,checked
Polyscias sambucifolia,"Description: Much-branched, often root-suckering shrub or small tree to 5 m high; glabrescent. Leaves variable in form, 1- or 2-pinnate or rarely 3-pinnate, with 2â€“10 pairs of sessile or petiolulate leaflets, major leaflets and secondary rachises sometimes subtended by stipels, petiolules up to 2.5 cm long; sessile. Inflorescence a compound panicle or rarely a simple umbel, umbels terminating all inflorescence branches. Flowers bisexual or male. Calyx a rim with 5 minute teeth. Petals 5, cream to light green or greenish yellow, sometimes united apically. Ovary 2- or 3-locular. Fruit globose, c. 4 mm long, translucent steely blue when ripe, edible.",muchbranched often root-suckering shrub or small tree to 5 m high;,,,5,,m,checked
Polyscias sambucifolia subsp. Bipinnate leaves (J.H.Ross 3967) Vic. Herbarium,"Description: Leaves 2-pinnate or rarely 3-pinnate. Diffusely branched shrub to 2 m high. Leaves 10â€“30 cm long; secondary rachises up to 20 cm long, primary and secondary rachises sometimes ± winged for all or part of their length; leaflets linear or elliptic or occasionally falcate, 15â€“30 (rarely to 70) mm long, 5â€“15 mm wide, margins entire to deeply pinnatifid. Inflorescence branched up to the third order (never a primary axis only).",diffusely branched shrub to 2 m high.,,,2,,m,checked
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,"Description: Small tree or shrub to 5 m high; glabrescent. Leaves 1-pinnate, 5â€“40 cm long, usually with 5â€“11 leaflets; leaflets usually 4â€“9 cm long and 20â€“60 mm wide, with basal pair of leaflets smaller (terminal leaflets to 20 cm long and nearly as broad on plants in sheletered sites near Sassafras (NSW) and in Vic.), leaflets commonly petiolulate, occasionally subtended by a stipel, ovate or elliptic to broad elliptic, margins ± toothed. Inflorescences terminal, compound, commonly branched to third order. Flowers aggregated into umbels or solitary; pedicellate [or sessile]; pedicels usually articulated with the ovary base, bisexual or unisexual. Calyx minutely toothed or with an undulate rim. Petals and stamens 4 or 5 [to 8 or more]. Ovary usually 2â€“5-locular; styles as many as ovary loculi, free or variously fused, persistent. Fruit globose, c. 4 mm long, steely blue when ripe, edible.",small tree or shrub to 5 m high; glabrescent.,,,5,,m,checked
Polyscias sambucifolia subsp. Short leaflets (V.Stajsic 196) Vic. Herbarium,"Description: Leaves 1-pinnate Leaves with (6 pairs of leaflets; leaflets usually 20â€“40 mm long and 3â€“7 mm wide, rarely to 70 mm long and 20 mm wide. Densely branched shrub rarely exceeding 1.5 m high. Leaves 6â€“30 cm long; leaflets sessile (or rarely petiolulate); without stipels, oblong-linear and occasionally slightly falcate, margins entire or rarely lobed. Inflorescence with first order branching only, or rarely with second order branching.",densely branched shrub exceeding 1.5 m high.,,,1.5,,m,checked
Ptilotus erubescens,"Description: Erect perennial with a woody rootstock, stems to c. 25 cm high, hairy especially when young. Leaves cauline, erect, linear to broad-linear, to 3 cm long, to 3 mm wide, acute, with scattered hairs. Inflorescence globose or ovoid, 2â€“3 cm diam. Bracts ovate, acute, with scattered hairs. Perianth segments acute, c. 12 mm long; outer surface densely long-hairy; inner surface woolly at the base, the remainder with scattered hairs. Stamens 4, staminode 1. Ovary sessile, tomentose.",erect perennial with a woodyrootstock stems to circa 25 cm high,,,25,,cm,checked
