taxon_name,genus,family,life_history_scored,scoring,source,citation,notes,citation2,ABRS_2022,ATRP_2020,NHNSW_2022,NTH_2022,RBGV_2022,SAH_2022,WAH_2022_1,WAH_2022_2
Melaleuca fulgens subsp. steedmanii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca genialis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca gibbosa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,perennial,perennial,,
Melaleuca glaberrima,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca glena,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca globifera,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca glomerata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,perennial,,perennial,,perennial
Melaleuca grieveana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca groveana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Melaleuca halmaturorum,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,perennial,perennial,,perennial
Melaleuca halophila,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca hamata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca hamulosa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca haplantha,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca hnatiukii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca hollidayi,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca holosericea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca howeana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,perennial,,perennial,,,,,
Melaleuca huegelii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca huegelii subsp. huegelii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca huegelii subsp. pristicensis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca huttensis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca hypericifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Melaleuca idana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca incana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca incana subsp. Gingilup (N.Gibson & M.Lyons 593),Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca incana subsp. incana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,perennial,,,perennial
Melaleuca incana subsp. tenella,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca interioris,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,perennial,,,,perennial
Melaleuca irbyana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Melaleuca johnsonii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca keigheryi,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca kunzeoides,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca laetifica,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca lanceolata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,perennial,perennial
Melaleuca lara,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca lasiandra,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca lateralis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca lateriflora,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca lateriflora subsp. lateriflora,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca lateritia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca laxiflora,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca lecanantha,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca leiocarpa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,perennial,,perennial
Melaleuca leiopyxis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca leptospermoides,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca leucadendra,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,perennial,perennial
Melaleuca leuropoma,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca linariifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,perennial,perennial
Melaleuca linguiformis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca linophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca longistaminea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca longistaminea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca lophocoracorum,Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca lutea,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca macronychia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca macronychia subsp. macronychia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca macronychia subsp. trygonoides,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca manglesii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca marginata,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca megacephala,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca micromera,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca microphylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca minutifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca monantha,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca nanophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,perennial,,perennial
Melaleuca nematophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca nervosa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Melaleuca nesophila,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,perennial,,,perennial
Melaleuca nodosa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Melaleuca ochroma,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca oldfieldii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca orbicularis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca ordinifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca osullivanii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca oxyphylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,perennial,,
Melaleuca pallescens,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca papillosa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca parviceps,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca parvistaminea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Melaleuca pauciflora,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pauperiflora,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,perennial,,perennial
Melaleuca pauperiflora subsp. fastigiata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pauperiflora subsp. mutica,Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca pauperiflora subsp. pauperiflora,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca penicula,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pentagona,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pentagona var. latifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pentagona var. pentagona,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pentagona var. raggedensis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca phoidophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca platycalyx,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca plumea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca podiocarpa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca polycephala,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pomphostoma,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca preissiana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pritzelii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca procera,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca protrusa,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca psammophila,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pulchella,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pungens,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pungens var. obtusifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pungens var. pungens,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca pustulata,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca quadrifaria,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca quinquenervia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Melaleuca radula,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca rhaphiophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,perennial,,perennial
Melaleuca rigidifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca ringens,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca ryeae,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca saligna,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca sapientes,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca scabra,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca scalena,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca sciotostyla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca sclerophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca sculponeata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca seriata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca sericea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Melaleuca sheathiana,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca sieberi,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Melaleuca similis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca societatis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca sophisma,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca sp. Carnarvon NP (M.B.Thomas 115),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Cudmore (E.J.Thompson+ GAL174),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Marlborough Creek (G.N.Batianoff+ MC9108006),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Mt Abbot (A.R.Bean 5186),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Mt Coolon (T.D.Stanley+ 78374),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Mt Walsh (P.I.Forster+ PIF7477),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Ropers Peak (P.I.Forster PIF7208),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Spirit Hills (R.K.Harwood 548),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Wanneroo (G.J.Keighery 16705),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sp. Windsor (E.J.Thompson+ CHA206),Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca sparsiflora,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca spathulata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca spectabilis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca spicigera,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca squamea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,,
Melaleuca squamophloia,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca squarrosa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,,
Melaleuca stenostachya,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca stereophloia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca stipitata,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca stramentosa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca striata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca strobophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca styphelioides,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Melaleuca subalaris,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca suberosa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca subfalcata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca subtrigona,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca sylvana,Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca systena,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca tamariscina,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca teretifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca teuthidoides,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca thapsina,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca thymifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Melaleuca thymoides,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca thyoides,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca tinkeri,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca torquata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca tortifolia,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Melaleuca trichophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca trichostachya,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,perennial,,,,
Melaleuca triumphalis,Melaleuca,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Melaleuca tuberculata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca tuberculata var. arenaria,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca tuberculata var. macrophylla,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca tuberculata var. tuberculata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca ulicoides,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca uncinata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,,perennial
Melaleuca undulata,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca urceolaris,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca uxorum,Melaleuca,Myrtaceae,perennial,scored from family,floras-scraped,,,,,,,,,,,
Melaleuca venusta,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca villosisepala,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca viminea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca viminea subsp. appressa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca viminea subsp. demissa,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca viminea subsp. viminea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,perennial,,,perennial
Melaleuca vinnula,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca violacea,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca viridiflora,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Melaleuca wilsonii,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,perennial,perennial,,
Melaleuca wonganensis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca x arenicola,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca xerophila,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca zeteticorum,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Melaleuca zonalis,Melaleuca,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Metrosideros excelsa,Metrosideros,Myrtaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,,,
Metrosideros excelsa x Metrosideros kermadecensis,Metrosideros,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Metrosideros kermadecensis,Metrosideros,Myrtaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,,
Metrosideros nervulosa,Metrosideros,Myrtaceae,perennial,species description,floras-scraped,,,,perennial,,perennial,,,,,
Metrosideros sclerocarpa,Metrosideros,Myrtaceae,perennial,species description,floras-scraped,,,,perennial,,perennial,,,,,
Micromyrtus acuta,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus albicans,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus arenicola,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus barbata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus blakelyi,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Micromyrtus capricornia,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus carinata,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus chrysodema,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus ciliata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,,
Micromyrtus clavata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus collina,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus delicata,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus elobata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus elobata subsp. elobata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus elobata subsp. scopula,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus erichsenii,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus fimbrisepala,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,perennial,,perennial
Micromyrtus flaviflora,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,perennial,,perennial,,perennial
Micromyrtus forsteri,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus gracilis,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus grandis,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Micromyrtus greeniana,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus helmsii,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus hexamera,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Micromyrtus hymenonema,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus imbricata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus leptocalyx,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus littoralis,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus minutiflora,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Micromyrtus monotaxis,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus mucronulata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus navicularis,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus ninghanensis,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus obovata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus papillosa,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus patula,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus placoides,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus prochytes,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus racemosa,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus racemosa var. Jingemarra (R.J.Cranfield 5253a),Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus redita,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus rogeri,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus rotundifolia,Micromyrtus,Myrtaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Micromyrtus rubricalyx,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Micromyrtus serrulata,Micromyrtus,Myrtaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
