Species,Site,Species_code,Sample,Area(cm2),fresh_weight(g),dry_weight(g),leaf_mass_per_area(g/cm2),ldmc(g/g),"Remark(area,weight)",Height(cm),Cover(%),Remark2,Date,Treatment,root_density,root_branching_intensity,specific_root_length,RDMC,root_air_porosity
Eurychorda complanata,S16,EURY,S2,5.5,0.3364,0.1587,0.028854545,0.47175981,NA,50,0,NA,1/23/2017,UI,,,,,
Eurychorda complanata,S16,EURY,S3,15.046,0.9056,0.3969,0.026379104,0.438272968,NA,56,0,NA,1/23/2017,UI,,,,,
Leptospermum squarrosum,S16,LEPTO,S1,0.157,0.0055,0.0026,0.01656051,0.472727273,NA,30,2,seedling,1/23/2017,UI,,,,,
Leptospermum squarrosum,S16,LEPTO,S2,0.162,0.0055,0.0019,0.011728395,0.345454545,NA,31,2,seedling,1/23/2017,UI,,,,,
Leptospermum squarrosum,S16,LEPTO,S3,0.145,0.0047,0.0022,0.015172414,0.468085106,NA,190,2,adult,1/23/2017,UI,,,,,
Lepyrodia scariosa,S16,LEPY,S1,11.799,1.1495,0.662,0.05610645,0.575902566,NA,75,4,NA,1/23/2017,UI,,,,,
Lepyrodia scariosa,S16,LEPY,S2,8.816,0.4184,0.2802,0.031783122,0.669694073,NA,50,4,NA,1/23/2017,UI,,,,,
Lepyrodia scariosa,S16,LEPY,S3,6.4,0.4014,0.2593,0.040515625,0.645989038,NA,36,4,NA,1/23/2017,UI,,,,,
Banksia oblongifolia,S16,OBL,S1,8.474,0.366,0.1896,0.022374321,0.518032787,NA,84,6,NA,1/23/2017,UI,,,,,
Banksia oblongifolia,S16,OBL,S2,6.579,0.2337,0.1137,0.017282262,0.486521181,NA,130,6,NA,1/23/2017,UI,,,,,
Banksia oblongifolia,S16,OBL,S3,10.326,0.5735,0.3635,0.035202402,0.633827376,NA,124,6,NA,1/23/2017,UI,,,,,
Ptilothrix deusta,S16,PTI,S1,1.451,0.0968,0.0554,0.038180565,0.57231405,NA,28,8,NA,1/23/2017,UI,,,,,
Ptilothrix deusta,S16,PTI,S2,2.155,0.1088,0.0725,0.033642691,0.666360294,NA,28,8,NA,1/23/2017,UI,,,,,
Ptilothrix deusta,S16,PTI,S3,?,0.0414,0.0299,#VALUE!,0.722222222,NA,30,8,NA,1/23/2017,UI,,,,,
Leptocarpus tenax,S16,TENAX,S1,4.062,0.2577,0.1258,0.030969966,0.488164532,NA,31,2,NA,1/23/2017,UI,,,,,
Leptocarpus tenax,S16,TENAX,S2,4.48,0.2825,0.1702,0.037991071,0.602477876,NA,28,2,NA,1/23/2017,UI,,,,,
Leptocarpus tenax,S16,TENAX,S3,2.234,0.1719,0.0997,0.044628469,0.579988365,NA,22,2,NA,1/23/2017,UI,,,,,
Gonocarpus tetragynus,S16,TETRA,S1,0.495,0.0149,0.0051,0.01030303,0.342281879,NA,13,2,NA,1/23/2017,UI,,,,,
Gonocarpus tetragynus,S16,TETRA,S2,0.543,0.0145,0.0034,0.00626151,0.234482759,NA,21,2,NA,1/23/2017,UI,,,,,
Gonocarpus tetragynus,S16,TETRA,S3,0.378,0.0111,0.0041,0.010846561,0.369369369,NA,22,2,NA,1/23/2017,UI,,,,,
Xyris bracteata,S16,XYR,S1,2.024,0.0575,0.0303,0.014970356,0.526956522,NA,12,3,NA,1/23/2017,UI,,,,,
Xyris bracteata,S16,XYR,S2,4.976,0.1929,0.0631,0.012680868,0.327112494,NA,9,3,NA,1/23/2017,UI,,,,,
Xyris bracteata,S16,XYR,S3,4.359,0.1905,0.0555,0.012732278,0.291338583,NA,12,3,NA,1/23/2017,UI,,,,,
Cyathochaeta diandra,S17,CYA,S1,12.148,1.2096,0.5252,0.043233454,0.434193122,NA,93,4,NA,1/16/2017,UI,,,,,
Cyathochaeta diandra,S17,CYA,S2,6.047,0.3659,0.2236,0.036977013,0.611095928,NA,47,4,NA,1/16/2017,UI,,,,,
Cyathochaeta diandra,S17,CYA,S3,7.29,0.5201,0.2136,0.029300412,0.410690252,NA,50,4,NA,1/16/2017,UI,,,,,
Entolasia stricta,S17,ENTO,S1,1.379,0.0341,0.0104,0.007541697,0.304985337,NA,25,2,NA,1/16/2017,UI,,,,,
Entolasia stricta,S17,ENTO,S2,1.001,0.0251,0.0078,0.007792208,0.310756972,NA,53,2,NA,1/16/2017,UI,,,,,
Entolasia stricta,S17,ENTO,S3,0.937,0.0214,0.0074,0.007897545,0.345794393,NA,58,2,NA,1/16/2017,UI,,,,,
Banksia ericifolia,S17,ERIC,S1,0.198,0.0097,0.0055,0.027777778,0.567010309,NA,400,0,"adult,ONLY TWO IN THE SITE",1/16/2017,UI,,,,,
Banksia ericifolia,S17,ERIC,S2,0.907,0.0212,0.0083,0.009151047,0.391509434,NA,50,0,"seedling,ONLY TWO IN THE SITE",1/16/2017,UI,,,,,
Eurychorda complanata,S17,EURY,S1,8.182,0.6693,0.287,0.035076998,0.428806215,NA,33,0,NA,1/16/2017,UI,,,,,
Eurychorda complanata,S17,EURY,S2,9.867,0.8858,0.347,0.035167731,0.391736284,NA,63,0,NA,1/16/2017,UI,,,,,
Eurychorda complanata,S17,EURY,S3,6.654,0.8492,0.3181,0.047805831,0.374587847,NA,50,0,NA,1/16/2017,UI,,,,,
Lepyrodia scariosa,S17,LEPY,S1,4.638,0.2707,0.1332,0.028719276,0.492057628,NA,60,1,NA,1/16/2017,UI,,,,,
Lepyrodia scariosa,S17,LEPY,S2,4.535,0.2425,0.1189,0.026218302,0.490309278,NA,40,1,NA,1/16/2017,UI,,,,,
Lepyrodia scariosa,S17,LEPY,S3,3.97,0.2565,0.1222,0.030780856,0.476413255,NA,25,1,NA,1/16/2017,UI,,,,,
Banksia oblongifolia,S17,OBL,S1,5.798,0.1588,0.0542,0.009348051,0.341309824,NA,68,0,ONLY TWO IN THE SITE,1/16/2017,UI,,,,,
Banksia oblongifolia,S17,OBL,S2,12.036,0.4001,0.2143,0.017804919,0.535616096,NA,75,0,ONLY TWO IN THE SITE,1/16/2017,UI,,,,,
Ptilothrix deusta,S17,PTI,S1,2.023,0.1992,0.1162,0.057439446,0.583333333,NA,55,20,NA,1/16/2017,UI,,,,,
Ptilothrix deusta,S17,PTI,S2,7.177,0.1769,0.0949,0.013222795,0.536461278,NA,60,20,NA,1/16/2017,UI,,,,,
Ptilothrix deusta,S17,PTI,S3,2.079,0.0735,0.0407,0.01957672,0.553741497,NA,54,20,NA,1/16/2017,UI,,,,,
Leptocarpus tenax,S17,TENAX,S1,7.496,0.5956,0.2885,0.038487193,0.484385494,NA,77,0,NA,1/16/2017,UI,,,,,
Leptocarpus tenax,S17,TENAX,S2,11.247,0.8044,0.4781,0.042509114,0.594356042,NA,75,0,NA,1/16/2017,UI,,,,,
Leptocarpus tenax,S17,TENAX,S3,12.632,1.0695,0.6413,0.050767891,0.599625993,NA,83,0,NA,1/16/2017,UI,,,,,
Gonocarpus tetragynus,S17,TETRA,S1,0.266,0.0082,0.0017,0.006390977,0.207317073,NA,14,1,NA,1/16/2017,UI,,,,,
Gonocarpus tetragynus,S17,TETRA,S2,0.215,0.006,0.0018,0.008372093,0.3,NA,20,1,NA,1/16/2017,UI,,,,,
Gonocarpus tetragynus,S17,TETRA,S3,0.564,0.0202,0.0068,0.012056738,0.336633663,NA,39,1,NA,1/16/2017,UI,,,,,
Xyris bracteata,S17,XYR,S1,5.448,0.1662,0.0447,0.008204846,0.268953069,NA,18,4,NA,1/16/2017,UI,,,,,
Xyris bracteata,S17,XYR,S2,4.104,0.1409,0.0473,0.011525341,0.335699077,NA,10,4,NA,1/16/2017,UI,,,,,
Xyris bracteata,S17,XYR,S3,3.088,0.0829,0.0272,0.00880829,0.328106152,NA,47,4,NA,1/16/2017,UI,,,,,
Cyathochaeta diandra,S18,CYA,S1,5.67,0.4936,0.18,0.031746032,0.364667747,NA,33,2,NA,1/16/2017,BI,,,,,
Cyathochaeta diandra,S18,CYA,S2,5.047,0.3659,0.1529,0.030295225,0.417873736,NA,42,2,NA,1/16/2017,BI,,,,,
Cyathochaeta diandra,S18,CYA,S3,4.577,0.1816,0.0738,0.016124099,0.406387665,NA,42,2,NA,1/16/2017,BI,,,,,
Empodisma minus,S18,EMP,S1,0.91,0.0534,0.0254,0.027912088,0.475655431,NA,35,1,NA,1/16/2017,BI,,,,,
Empodisma minus,S18,EMP,S2,2.149,0.1238,0.0549,0.025546766,0.443457189,NA,22,1,NA,1/16/2017,BI,,,,,
Empodisma minus,S18,EMP,S3,?,0.032,0.0171,#VALUE!,0.534375,NA,21,1,NA,1/16/2017,BI,,,,,
Entolasia stricta,S18,ENTO,S1,0.278,0.0092,0.0031,0.011151079,0.336956522,NA,31,0,NA,1/16/2017,BI,,,,,
Entolasia stricta,S18,ENTO,S2,1.943,0.045,0.0138,0.007102419,0.306666667,NA,65,0,NA,1/16/2017,BI,,,,,
Entolasia stricta,S18,ENTO,S3,0.932,0.0209,0.0062,0.006652361,0.296650718,NA,47,0,NA,1/16/2017,BI,,,,,
Banksia ericifolia,S18,ERIC,S1,0.074,0.019,0.0078,0.105405405,0.410526316,NA,17,3,seedling,1/16/2017,BI,,,,,
Banksia ericifolia,S18,ERIC,S2,0.145,0.0057,0.0021,0.014482759,0.368421053,NA,27,3,seedling,1/16/2017,BI,,,,,
Banksia ericifolia,S18,ERIC,S3,0.149,0.0056,0.0023,0.015436242,0.410714286,NA,25,3,seedling,1/16/2017,BI,,,,,
Eurychorda complanata,S18,EURY,S1,4.611,0.3733,0.1542,0.03344177,0.413072596,NA,34,3,NA,1/16/2017,BI,,,,,
Eurychorda complanata,S18,EURY,S2,3.948,0.5515,0.1876,0.04751773,0.340163191,NA,51,3,NA,1/16/2017,BI,,,,,
Eurychorda complanata,S18,EURY,S3,6.555,0.427,0.1888,0.028802441,0.442154567,NA,43,3,NA,1/16/2017,BI,,,,,
Gonocarpus micranthus,S18,GONO,S1,0.227,0.0056,0.0018,0.007929515,0.321428571,NA,6,0,NA,1/16/2017,BI,,,,,
Gonocarpus micranthus,S18,GONO,S2,0.251,0.0064,0.0024,0.009561753,0.375,NA,4,0,NA,1/16/2017,BI,,,,,
Gonocarpus micranthus,S18,GONO,S3,0.162,0.0037,0.0012,0.007407407,0.324324324,NA,4,0,NA,1/16/2017,BI,,,,,
Leptospermum squarrosum,S18,LEPTO,S1,0.216,0.0059,0.0022,0.010185185,0.372881356,NA,17,0,NA,1/16/2017,BI,,,,,
Leptospermum squarrosum,S18,LEPTO,S2,0.274,0.0076,0.003,0.010948905,0.394736842,NA,24,0,NA,1/16/2017,BI,,,,,
Leptospermum squarrosum,S18,LEPTO,S3,0.24,0.0068,0.0023,0.009583333,0.338235294,NA,24,0,NA,1/16/2017,BI,,,,,
Lepyrodia scariosa,S18,LEPY,S1,7.258,0.5994,0.2836,0.039074125,0.473139806,NA,37,3,NA,1/16/2017,BI,,,,,
Lepyrodia scariosa,S18,LEPY,S2,8.274,0.7661,0.3489,0.042168238,0.455423574,NA,47,3,NA,1/16/2017,BI,,,,,
Lepyrodia scariosa,S18,LEPY,S3,6.166,0.3615,0.1726,0.027992215,0.477455048,NA,40,3,NA,1/16/2017,BI,,,,,
Banksia oblongifolia,S18,OBL,S1,20.132,0.9885,0.5037,0.025019869,0.509559939,NA,68,15,NA,1/16/2017,BI,,,,,
Banksia oblongifolia,S18,OBL,S2,11.773,0.3662,0.2148,0.018245137,0.586564719,NA,37,15,NA,1/16/2017,BI,,,,,
Banksia oblongifolia,S18,OBL,S3,16.186,0.7924,0.3825,0.023631533,0.482710752,NA,73,15,NA,1/16/2017,BI,,,,,
Ptilothrix deusta,S18,PTI,S1,2.172,0.1449,0.0649,0.029880295,0.4478951,NA,30,4,NA,1/16/2017,BI,,,,,
Ptilothrix deusta,S18,PTI,S2,2.677,0.1344,0.0727,0.027157266,0.540922619,NA,33,4,NA,1/16/2017,BI,,,,,
Ptilothrix deusta,S18,PTI,S3,1.534,0.0605,0.0354,0.023076923,0.585123967,NA,29,4,NA,1/16/2017,BI,,,,,
Banksia serrata,S18,SERR,S1,10.127,0.3713,0.2034,0.020084921,0.547805009,NA,26,0,seedling,1/16/2017,BI,,,,,
Banksia serrata,S18,SERR,S2,9.623,0.2796,0.1363,0.014163982,0.487482117,NA,8,0,seedling,1/16/2017,BI,,,,,
Banksia serrata,S18,SERR,S3,10.484,0.3513,0.1588,0.01514689,0.452035297,NA,10,0,seedling,1/16/2017,BI,,,,,
Leptocarpus tenax,S18,TENAX,S1,1.161,0.1433,0.0359,0.030921619,0.250523378,NA,17,1,NA,1/16/2017,BI,,,,,
Leptocarpus tenax,S18,TENAX,S2,1.829,0.1481,0.0706,0.038600328,0.476704929,NA,14,1,NA,1/16/2017,BI,,,,,
Leptocarpus tenax,S18,TENAX,S3,2.291,0.3357,0.1584,0.069140113,0.471849866,NA,37,1,NA,1/16/2017,BI,,,,,
Gonocarpus tetragynus,S18,TETRA,S1,0.449,0.0107,0.0021,0.00467706,0.196261682,NA,20,1,NA,1/16/2017,BI,,,,,
Gonocarpus tetragynus,S18,TETRA,S2,0.225,0.0065,0.0016,0.007111111,0.246153846,NA,12,1,NA,1/16/2017,BI,,,,,
Gonocarpus tetragynus,S18,TETRA,S3,0.517,0.0169,0.0033,0.006382979,0.195266272,NA,13,1,NA,1/16/2017,BI,,,,,
Xyris bracteata,S18,XYR,S1,1.979,0.0856,0.0251,0.012683173,0.293224299,NA,11,1,NA,1/16/2017,BI,,,,,
Xyris bracteata,S18,XYR,S2,2.146,0.0798,0.0238,0.011090401,0.298245614,NA,14,1,NA,1/16/2017,BI,,,,,
Xyris bracteata,S18,XYR,S3,2.557,0.0902,0.0248,0.009698866,0.274944568,NA,11,1,NA,1/16/2017,BI,,,,,
Haemodorum corymbosum,S19,CORY,S1,5.665,0.4488,0.0978,0.017263901,0.217914439,NA,29,0,ONLY ONE IN THE SITE,1/25/2017,UI,,,,,
Cyathochaeta diandra,S19,CYA,S1,7.727,0.5524,0.218,0.02821276,0.394641564,NA,43,2,NA,1/25/2017,UI,,,,,
Cyathochaeta diandra,S19,CYA,S2,6.23,0.6125,0.1845,0.029614767,0.30122449,NA,62,2,NA,1/25/2017,UI,,,,,
Cyathochaeta diandra,S19,CYA,S3,8.45,0.6683,0.2794,0.033065089,0.418075714,NA,59,2,NA,1/25/2017,UI,,,,,
Empodisma minus,S19,EMP,S1,2.026,0.1582,0.076,0.03751234,0.480404551,NA,28,2,NA,1/25/2017,UI,,,,,
Empodisma minus,S19,EMP,S2,0.546,0.0226,0.0104,0.019047619,0.460176991,NA,60,2,NA,1/25/2017,UI,,,,,
Empodisma minus,S19,EMP,S3,1.55,0.0732,0.042,0.027096774,0.573770492,NA,30,2,NA,1/25/2017,UI,,,,,
Entolasia stricta,S19,ENTO,S1,1.639,0.0302,0.0091,0.005552166,0.301324503,NA,46,1,NA,1/25/2017,UI,,,,,
Entolasia stricta,S19,ENTO,S2,0.271,0.0033,0.001,0.003690037,0.303030303,NA,26,1,NA,1/25/2017,UI,,,,,
Entolasia stricta,S19,ENTO,S3,0.419,0.0049,0.0027,0.006443914,0.551020408,NA,53,1,NA,1/25/2017,UI,,,,,
Banksia ericifolia,S19,ERIC,S1,0.198,0.0087,0.0046,0.023232323,0.528735632,NA,2,0,ONLY TWO IN THE SITE,1/25/2017,UI,,,,,
Banksia ericifolia,S19,ERIC,S2,0.131,0.0041,0.0023,0.017557252,0.56097561,NA,210,0,NA,1/25/2017,UI,,,,,
Eurychorda complanata,S19,EURY,S1,13.077,0.7596,0.3257,0.024906324,0.428778304,NA,76,10,NA,1/25/2017,UI,,,,,
Eurychorda complanata,S19,EURY,S2,8.367,0.6542,0.3244,0.038771364,0.495872822,NA,56,10,NA,1/25/2017,UI,,,,,
Eurychorda complanata,S19,EURY,S3,6.323,0.3383,0.2232,0.0352997,0.659769435,NA,43,10,NA,1/25/2017,UI,,,,,
Leptospermum squarrosum,S19,LEPTO,S1,0.19,0.5057,0.0015,0.007894737,0.002966185,NA,49,0,NA,1/25/2017,UI,,,,,
Leptospermum squarrosum,S19,LEPTO,S2,0.145,0.0036,0.001,0.006896552,0.277777778,NA,29,0,NA,1/25/2017,UI,,,,,
Leptospermum squarrosum,S19,LEPTO,S3,0.237,0.0085,0.0033,0.013924051,0.388235294,NA,190,0,NA,1/25/2017,UI,,,,,
Lepyrodia scariosa,S19,LEPY,S1,4.274,0.2943,0.1466,0.034300421,0.498131159,NA,38,2,NA,1/25/2017,UI,,,,,
Lepyrodia scariosa,S19,LEPY,S2,5.505,0.2957,0.1611,0.029264305,0.544808928,NA,29,2,NA,1/25/2017,UI,,,,,
Lepyrodia scariosa,S19,LEPY,S3,6.628,0.5057,0.2286,0.034490042,0.452046668,NA,39,2,NA,1/25/2017,UI,,,,,
Lepidosperma neesii,S19,NEE,S1,7.531,0.4755,0.2825,0.037511619,0.594111462,NA,59,1,NA,1/25/2017,UI,,,,,
Lepidosperma neesii,S19,NEE,S2,5.812,0.3506,0.2019,0.034738472,0.575869937,NA,58,1,NA,1/25/2017,UI,,,,,
Lepidosperma neesii,S19,NEE,S3,6.781,0.3788,0.2085,0.030747677,0.550422386,NA,41,1,NA,1/25/2017,UI,,,,,
Banksia oblongifolia,S19,OBL,S1,16.753,0.7753,0.4509,0.026914582,0.581581323,NA,106,3,NA,1/25/2017,UI,,,,,
Banksia oblongifolia,S19,OBL,S2,23.377,0.9018,0.3804,0.016272405,0.421823021,NA,90,3,NA,1/25/2017,UI,,,,,
Banksia oblongifolia,S19,OBL,S3,18.766,0.6796,0.2779,0.014808697,0.40891701,NA,134,3,NA,1/25/2017,UI,,,,,
Ptilothrix deusta,S19,PTI,S1,lost,lost,lost,,,lost,20,5,NA,1/25/2017,UI,,,,,
Ptilothrix deusta,S19,PTI,S2,2.364,0.0749,0.0489,0.020685279,0.652870494,NA,20,5,NA,1/25/2017,UI,,,,,
Ptilothrix deusta,S19,PTI,S3,2.141,0.1071,0.0564,0.02634283,0.526610644,NA,23,5,NA,1/25/2017,UI,,,,,
Leptocarpus tenax,S19,TENAX,S1,5.472,0.6619,0.3456,0.063157895,0.522133253,NA,49,1,NA,1/25/2017,UI,,,,,
Leptocarpus tenax,S19,TENAX,S2,5.285,0.3363,0.1642,0.031069063,0.488254535,NA,28,1,NA,1/25/2017,UI,,,,,
Leptocarpus tenax,S19,TENAX,S3,3.664,0.2879,0.1267,0.034579694,0.440083362,NA,28,1,NA,1/25/2017,UI,,,,,
Gonocarpus tetragynus,S19,TETRA,S1,0.375,0.0115,0.0023,0.006133333,0.2,NA,29,2,NA,1/25/2017,UI,,,,,
Gonocarpus tetragynus,S19,TETRA,S2,0.227,0.0075,0.0012,0.005286344,0.16,NA,19,2,NA,1/25/2017,UI,,,,,
Gonocarpus tetragynus,S19,TETRA,S3,0.338,0.0102,0.0025,0.00739645,0.245098039,NA,33,2,NA,1/25/2017,UI,,,,,
Cyathochaeta diandra,S20,CYA,S1,6.483,0.3871,0.1668,0.025728829,0.430896409,NA,13,2,NA,2/1/2017,BI,,,,,
Cyathochaeta diandra,S20,CYA,S2,5.732,0.2256,0.1617,0.028210049,0.716755319,NA,30,2,NA,2/1/2017,BI,,,,,
Cyathochaeta diandra,S20,CYA,S3,8.37,0.6032,0.2619,0.031290323,0.43418435,NA,10,2,NA,2/1/2017,BI,,,,,
Empodisma minus,S20,EMP,S1,1.174,0.0529,0.0274,0.023339012,0.517958412,NA,25,0,NA,2/1/2017,BI,,,,,
Empodisma minus,S20,EMP,S2,0.951,0.0418,0.0223,0.023449001,0.533492823,NA,22,0,NA,2/1/2017,BI,,,,,
Empodisma minus,S20,EMP,S3,2.238,0.1007,0.0439,0.019615728,0.435948361,NA,20,0,NA,2/1/2017,BI,,,,,
Entolasia stricta,S20,ENTO,S1,0.319,0.0036,0.0018,0.005642633,0.5,NA,10,1,NA,2/1/2017,BI,,,,,
Entolasia stricta,S20,ENTO,S2,0.081,0.002,0.0008,0.009876543,0.4,NA,15,1,NA,2/1/2017,BI,,,,,
Entolasia stricta,S20,ENTO,S3,0.911,0.0161,0.0053,0.005817783,0.329192547,NA,20,1,NA,2/1/2017,BI,,,,,
Banksia ericifolia,S20,ERIC,S1,0.014,0.0036,0.0016,0.114285714,0.444444444,NA,35,3,NA,2/1/2017,BI,,,,,
Banksia ericifolia,S20,ERIC,S2,0.11,0.004,0.0017,0.015454545,0.425,NA,29,3,NA,2/1/2017,BI,,,,,
Banksia ericifolia,S20,ERIC,S3,0.107,0.0042,0.0017,0.01588785,0.404761905,NA,30,3,NA,2/1/2017,BI,,,,,
Eurychorda complanata,S20,EURY,S1,8.081,0.4757,0.1653,0.020455389,0.347487913,NA,32,2,NA,2/1/2017,BI,,,,,
Eurychorda complanata,S20,EURY,S2,7.089,0.4389,0.1474,0.020792778,0.335839599,NA,23,2,NA,2/1/2017,BI,,,,,
Eurychorda complanata,S20,EURY,S3,8.047,0.5523,0.2015,0.025040388,0.36483795,NA,28,2,NA,2/1/2017,BI,,,,,
Gonocarpus micranthus,S20,GONO,S1,0.194,0.0034,0.0011,0.005670103,0.323529412,NA,0.1,0,NA,2/1/2017,BI,,,,,
Gonocarpus micranthus,S20,GONO,S2,0.238,0.0045,0.0012,0.005042017,0.266666667,NA,0.1,0,NA,2/1/2017,BI,,,,,
Gonocarpus micranthus,S20,GONO,S3,0.214,0.0041,0.0011,0.005140187,0.268292683,NA,0.2,0,NA,2/1/2017,BI,,,,,
Leptospermum squarrosum,S20,LEPTO,S1,0.209,0.0029,0.0016,0.007655502,0.551724138,NA,15,0.5,NA,2/1/2017,BI,,,,,
Leptospermum squarrosum,S20,LEPTO,S2,0.212,0.0041,0.0022,0.010377358,0.536585366,NA,17,0.5,NA,2/1/2017,BI,,,,,
Leptospermum squarrosum,S20,LEPTO,S3,0.225,0.0045,0.0021,0.009333333,0.466666667,NA,14,0.5,NA,2/1/2017,BI,,,,,
Lepyrodia scariosa,S20,LEPY,S1,3.449,0.244,0.109,0.031603363,0.446721311,NA,12,1,NA,2/1/2017,BI,,,,,
Lepyrodia scariosa,S20,LEPY,S2,3.185,0.2327,0.0899,0.02822606,0.386334336,NA,19,1,NA,2/1/2017,BI,,,,,
Lepyrodia scariosa,S20,LEPY,S3,1.011,0.0547,0.0298,0.029475767,0.544789762,NA,11,1,NA,2/1/2017,BI,,,,,
Lepidosperma neesii,S20,NEE,S1,8.738,0.9026,0.4696,0.053742275,0.520274762,NA,62,3,NA,2/1/2017,BI,,,,,
Lepidosperma neesii,S20,NEE,S2,6.747,0.448,0.2882,0.042715281,0.643303571,NA,78,3,NA,2/1/2017,BI,,,,,
Lepidosperma neesii,S20,NEE,S3,15.382,1.8539,1.0017,0.065121571,0.540320406,NA,69,3,NA,2/1/2017,BI,,,,,
Banksia oblongifolia,S20,OBL,S1,6.365,0.2429,0.1108,0.017407698,0.456154796,NA,3,0,NA,2/1/2017,BI,,,,,
Banksia oblongifolia,S20,OBL,S2,6.194,0.1765,0.0852,0.013755247,0.482719547,NA,24,0,NA,2/1/2017,BI,,,,,
Banksia oblongifolia,S20,OBL,S3,14.203,0.5149,0.2574,0.018122932,0.499902894,NA,29,0,NA,2/1/2017,BI,,,,,
Plinthanthesis paradoxa,S20,PLIN,S1,2.599,0.0317,0.0174,0.006694883,0.548895899,NA,29,1,NA,2/1/2017,BI,,,,,
Plinthanthesis paradoxa,S20,PLIN,S2,3.022,0.0278,0.0218,0.007213766,0.784172662,NA,38,1,NA,2/1/2017,BI,,,,,
Plinthanthesis paradoxa,S20,PLIN,S3,0.617,0.0139,0.0083,0.013452188,0.597122302,NA,8,1,NA,2/1/2017,BI,,,,,
Ptilothrix deusta,S20,PTI,S1,2.775,0.1256,0.0688,0.024792793,0.547770701,NA,50,5,NA,2/1/2017,BI,,,,,
Ptilothrix deusta,S20,PTI,S2,3.324,0.1701,0.0947,0.028489771,0.556731335,NA,42,5,NA,2/1/2017,BI,,,,,
Ptilothrix deusta,S20,PTI,S3,4.13,0.1525,0.0878,0.02125908,0.575737705,NA,37,5,NA,2/1/2017,BI,,,,,
Banksia serrata,S20,SERR,S1,9.762,0.3533,0.19,0.019463225,0.537786584,NA,230,0,ADULT,2/1/2017,BI,,,,,
Gonocarpus tetragynus,S20,TATRA,S1,0.809,0.0206,0.0037,0.004573548,0.17961165,NA,8,1,NA,2/1/2017,BI,,,,,
Gonocarpus tetragynus,S20,TATRA,S2,0.619,0.0133,0.0028,0.004523425,0.210526316,NA,7,1,NA,2/1/2017,BI,,,,,
Gonocarpus tetragynus,S20,TATRA,S3,0.591,0.0104,0.0038,0.00642978,0.365384615,NA,10,1,NA,2/1/2017,BI,,,,,
Leptocarpus tenax,S20,TENAX,S1,1.122,0.1125,0.0549,0.048930481,0.488,NA,23,1,NA,2/1/2017,BI,,,,,
Leptocarpus tenax,S20,TENAX,S2,4.816,0.3523,0.1738,0.03608804,0.493329549,NA,37,1,NA,2/1/2017,BI,,,,,
Leptocarpus tenax,S20,TENAX,S3,4.801,0.3258,0.149,0.031035201,0.457335789,NA,38,1,NA,2/1/2017,BI,,,,,
Xyris bracteata,S20,XYR,S1,2.478,0.0825,0.0239,0.009644875,0.28969697,NA,8,0,NA,2/1/2017,BI,,,,,
Xyris bracteata,S20,XYR,S2,1.395,0.0397,0.01,0.007168459,0.251889169,NA,5,0,NA,2/1/2017,BI,,,,,
Xyris bracteata,S20,XYR,S3,3.528,0.1135,0.0342,0.009693878,0.301321586,NA,3,0,NA,2/1/2017,BI,,,,,
