site_id,site_TEXT,name_original,TRAIT Growth Form CATEGORICAL EP epiphyte (mistletoe) F fern G grass H herb S shrub T tree V vine,TRAIT SLA UNITS mm2/g,TRAIT Leaf Size UNITS mm2,TRAIT Leaf Dry Mass UNITS g,TRAIT LeafWidth UNITS mm,TRAIT Height UNITS m
45,Macquarie Pass,Melicytus dentatus,,25.1,108.6,0.004,6,3
45,Macquarie Pass,Livistona australis,T,11.5,1795.9,0.157,10.6,22
45,Macquarie Pass,Morinda jasminoides,V,23.4,1006.5,0.043,23.9,20
45,Macquarie Pass,Palmeria scandens,,17.2,2674.1,0.155,43.2,1
45,Macquarie Pass,Pandorea pandorana,V,42,568.6,0.014,20,1.6
45,Macquarie Pass,Pittosporum undulatum,T,16.5,3923.7,0.238,46.2,2.3
45,Macquarie Pass,Rubus rosifolius,,31.5,1955.3,0.062,35.8,0.4
45,Macquarie Pass,Schizomeria ovata,T,12.8,1761,0.137,30.2,20
45,Macquarie Pass,Smilax australis,V,13.1,1977.9,0.151,40.6,0.7
45,Macquarie Pass,Stenocarpus salignus,T,8,2951.2,0.368,33.9,21
45,Macquarie Pass,Syncarpia glomulifera,T,9.7,2566.5,0.264,41.5,23
45,Macquarie Pass,Synoum glandulosum,S,14.1,1867.1,0.132,34.2,13
45,Macquarie Pass,Syzygium oleosum,T,11.1,3109.6,0.281,49.4,17
45,Macquarie Pass,Tylophora barbata,V,20.9,1046.8,0.05,25.8,0.5
45,Macquarie Pass,unk45_10 sp,,38.9,255.8,0.007,10.6,0.05
45,Macquarie Pass,unk45_12 sp,,31.2,1832.7,0.059,40.8,1
45,Macquarie Pass,unk45_17 sp,,17.1,2752.6,0.161,40.5,3
45,Macquarie Pass,unk45_23 sp,,26.2,32.4,0.001,3.3,1
45,Macquarie Pass,unk45_29 sp,,9.9,1614,0.164,33.1,20
45,Macquarie Pass,unk45_33 sp,,37.8,1617.5,0.043,31,1
45,Macquarie Pass,unk45_34 sp,,21.9,616.4,0.028,14.8,2.5
45,Macquarie Pass,unk45_36 sp,,22,191.4,0.009,5.4,0.2
45,Macquarie Pass,unk45_38 sp,,14.5,604,0.042,22.7,2.2
45,Macquarie Pass,unk45_4 sp,,19,2121.9,0.112,38.4,1.1
45,Macquarie Pass,unk45_40 sp,,9.6,383.9,0.04,1,0.3
45,Macquarie Pass,unk45_43 sp,,44.2,388.6,0.009,17.4,0.25
45,Macquarie Pass,unk45_44 sp,,14.3,184.9,0.013,11.8,3.5
45,Macquarie Pass,unk45_46 sp,,24.2,2762.6,0.114,44.2,0.8
45,Macquarie Pass,unk45_8 sp,,14.8,154.1,0.01,6.4,0.2
45,Macquarie Pass,unk45_9 sp,,52.5,102.8,0.002,8,0.5
46,Ourimbah,Actinotus minor,H,8.1,20.4,0.003,1.6,0.4
46,Ourimbah,Banksia serrata,T,5,1542.8,0.308,24.7,5
46,Ourimbah,Banksia spinulosa collina,S,5,185.9,0.037,4.3,1.3
46,Ourimbah,Boronia ledifolia,S,5.2,30.8,0.006,2.9,0.6
46,Ourimbah,Boronia pinnata,S,5.2,43.5,0.008,2.8,0.8
46,Ourimbah,Bossiaea heterophylla,S,6.5,20.3,0.003,1.5,0.7
46,Ourimbah,Bossiaea obcordata,S,7.3,16.8,0.002,4.1,1.2
46,Ourimbah,Conospermum longifolium longifolium,S,7.4,1027.8,0.139,15,0.5
46,Ourimbah,Cyathochaeta diandra,F,2.6,1199,0.47,1.9,0.6
46,Ourimbah,Dampiera stricta,S,7,42.9,0.006,3.5,0.25
46,Ourimbah,Epacris pulchella,S,10.5,12.6,0.001,3.2,1
46,Ourimbah,Eucalyptus gummifera,T,5.1,1620.2,0.315,24,15
46,Ourimbah,Eucalyptus haemastoma,T,3.3,2864.4,0.876,27.5,7
46,Ourimbah,Eucalyptus sp,T,4.7,1602.3,0.342,26.3,11.5
46,Ourimbah,Gompholobium grandiflorum,S,4.7,16,0.003,0.7,1.2
46,Ourimbah,Goodenia bellidifolia,H,6.4,240.7,0.037,7.6,0.2
46,Ourimbah,Hibbertia empetrifolia,S,7.5,17.6,0.002,3.1,0.3
46,Ourimbah,Isopogon anemonifolius,S,4.7,824.6,0.176,4.5,0.7
46,Ourimbah,Lambertia formosa,S,4.7,74.6,0.016,4.2,1.5
46,Ourimbah,Leptospermum trinervium,S,7.3,22.6,0.003,2.5,3.5
46,Ourimbah,Lomandra obliqua,G,2.4,6.3,0.003,0.5,0.1
46,Ourimbah,Lomandra sp,G,3.7,88.4,0.024,1,0.1
46,Ourimbah,Lomatia silaifolia,S,6.1,263.5,0.043,4.5,0.25
46,Ourimbah,Olax stricta,S,5.5,20.6,0.004,2.3,1.3
46,Ourimbah,Patersonia sericea longifolia,,2.9,714,0.25,2.3,0.3
46,Ourimbah,Persoonia isophylla,S,5.4,13.9,0.003,0.8,1.4
46,Ourimbah,Persoonia levis,S,5,2516.9,0.505,32.9,3.5
46,Ourimbah,Petrophile pulchella,S,3.3,59.1,0.018,1.2,1.7
46,Ourimbah,Phyllota phylicoides,S,7.2,7.9,0.001,1.2,1.2
46,Ourimbah,Platysace linearifolia,S,6.8,7.5,0.001,0.5,0.8
46,Ourimbah,Scaevola ramosissima,H,5.9,27.8,0.005,1.3,0.4
46,Ourimbah,Thelymitra ixioides,H,30.3,579.2,0.019,9.1,0.9
46,Ourimbah,Xanthorrhoea sp,S,2.4,1993.9,0.822,2.8,0.8
46,Ourimbah,Xylomelum pyriforme,T,3.8,4717,1.246,41.4,1
47,Coffs Harbour,Acacia longissima,S,6.4,283.6,0.044,2.3,1.1
47,Coffs Harbour,Allocasuarina torulosa,T,6,70.1,0.012,0.6,4
47,Coffs Harbour,Alpinia caerulea,H,12.4,12971.7,1.045,50,1.55
47,Coffs Harbour,Archirhodomyrtus beckleri,T,13.2,864,0.066,25.3,8
47,Coffs Harbour,Archontophoenix cunninghamiana,T,11.1,11408.6,1.031,28.6,15
47,Coffs Harbour,Blechnum cartilagineum,F,16,791.7,0.05,11.7,0.5
47,Coffs Harbour,Breynia oblongifolia,S,17.2,628.1,0.037,21.5,0.4
47,Coffs Harbour,Callicoma serratifolia,T,15.8,2725.7,0.172,32.6,0.8
47,Coffs Harbour,Cissus hypoglauca,V,15.8,2875.6,0.182,44.9,1
47,Coffs Harbour,Clematis aristata,V,30.8,3407,0.111,48.5,8
47,Coffs Harbour,Cordyline congesta,G,10.3,3235.5,0.314,15.5,1.1
47,Coffs Harbour,Cryptocarya glaucescens,S,9.8,3270.6,0.335,41.4,1.2
47,Coffs Harbour,Cryptocarya microneura,S,9.9,2685.5,0.271,35.9,5.9
47,Coffs Harbour,Desmodium varians,T,23,81.1,0.004,8.7,0.1
47,Coffs Harbour,Dianella caerulea,H,10.5,1159.6,0.111,5.9,0.3
47,Coffs Harbour,Dioscorea transversa,V,51.6,1277.7,0.025,27.5,1.5
47,Coffs Harbour,Elaeocarpus reticulatus,T,9.3,2005.8,0.216,27.8,0.5
47,Coffs Harbour,Eucalyptus sp,T,10.8,2342.7,0.217,29.9,23.5
47,Coffs Harbour,Eupomatia laurina,T,14.4,3463.9,0.24,42.3,4.5
47,Coffs Harbour,Ficus coronata,S,15.6,3671.6,0.235,42.3,1.8
47,Coffs Harbour,Geitonoplesium cymosum,V,25.8,904.1,0.035,19.1,0.25
47,Coffs Harbour,Glycine clandestina,V,40.6,94.3,0.002,4.9,0.2
47,Coffs Harbour,Gymnostachys anceps,,5,4902.9,0.973,8.5,0.6
47,Coffs Harbour,Hibbertia scandens,V,18,2316.2,0.129,32.5,1.04
47,Coffs Harbour,Imperata cylindrica,G,11.6,819.7,0.071,4.7,0.7
47,Coffs Harbour,Lantana camara,V,19,2749.1,0.145,48.7,2.5
47,Coffs Harbour,Lobelia trigonocaulis,H,46.8,322.6,0.007,14,0.15
47,Coffs Harbour,Lomandra longifolia,G,2.5,1954.1,0.789,5.6,1
47,Coffs Harbour,Parsonsia straminea,V,12.2,5003,0.41,50.2,17
47,Coffs Harbour,Psychotria loniceroides,S,14.3,1918.4,0.135,29,1.03
47,Coffs Harbour,Pteridium esculentum,F,10.8,572.8,0.053,2.5,0.6
47,Coffs Harbour,Ripogonum fawcettianum,V,10.4,466.8,0.045,13.8,0.3
47,Coffs Harbour,Rubus hillii,V,20.3,1684.2,0.083,29.3,0.3
47,Coffs Harbour,Smilax australis,V,8,3999.8,0.502,49.9,4
47,Coffs Harbour,Smilax glyciphylla,V,13.7,1283.2,0.094,27.5,0.5
47,Coffs Harbour,Solanum sp,,20.9,1055.8,0.051,26.6,1
47,Coffs Harbour,Stephania japonica,V,26,2211.6,0.085,45.5,0.05
47,Coffs Harbour,Syncarpia glomulifera,T,10,1357.2,0.136,26.4,15
47,Coffs Harbour,Synoum glandulosum,S,10.1,1900.4,0.188,33.3,1.2
47,Coffs Harbour,unk47_22 sp,,37.2,94.3,0.003,3.6,0.2
47,Coffs Harbour,unk47_28 sp,,14,993.4,0.071,22.4,1.3
47,Coffs Harbour,unk47_3 sp,,17.3,9.8,0.001,1.6,1.5
47,Coffs Harbour,unk47_35 sp,,33.6,194,0.006,14,0.1
47,Coffs Harbour,unk47_39 sp,,25.9,109.9,0.004,4.5,0.05
47,Coffs Harbour,unk47_4 sp,,15.7,59.2,0.004,4.4,1.8
47,Coffs Harbour,unk47_54 sp,,12.8,2807.9,0.22,40.1,4.5
47,Coffs Harbour,unk47_56 sp,,11.5,1308.5,0.114,27.8,9
47,Coffs Harbour,Viola hederacea,H,33,188.2,0.006,9.5,0.1
47,Coffs Harbour,Wilkiea huegeliana,S,10.2,2012.1,0.196,30.7,1.6
48,Nambucca Heads,Acacia longissima,S,3.9,435,0.11,3,1.8
48,Nambucca Heads,Allocasuarina torulosa,T,6.3,52.7,0.008,0.8,10
48,Nambucca Heads,Archirhodomyrtus beckleri,T,11.9,647.6,0.054,21.2,5.5
48,Nambucca Heads,Blechnum cartilagineum,F,11.7,132.1,0.011,5.6,0.3
48,Nambucca Heads,Breynia oblongifolia,S,12,318,0.027,14.1,0.35
48,Nambucca Heads,Callicoma serratifolia,T,11.1,3744.6,0.336,45.9,8
48,Nambucca Heads,Calochlaena dubia,F,27.8,191.2,0.007,2.7,0.8
48,Nambucca Heads,Cassytha glabella,V,7.2,148.5,0.021,1,1.8
48,Nambucca Heads,Cordyline congesta,G,8.5,5905.3,0.697,21.1,3.5
48,Nambucca Heads,Cyperus sp,G,17,634.4,0.037,1.9,0.3
48,Nambucca Heads,Desmodium varians,T,44.1,138.3,0.003,11.3,0.1
48,Nambucca Heads,Dianella caerulea,H,8,1730.8,0.216,7.1,1
48,Nambucca Heads,Dioscorea transversa,V,44.2,803.5,0.018,20.7,0.2
48,Nambucca Heads,Elaeocarpus reticulatus,T,10.5,1261.4,0.12,23.2,5
48,Nambucca Heads,Entolasia stricta,G,17.3,59.9,0.003,1.7,1.1
48,Nambucca Heads,Tabernaemontana angustisepala,,19.1,2304.7,0.121,36.1,1.8
48,Nambucca Heads,Eucalyptus acmenoides,T,4.7,1178.5,0.251,19.2,30
48,Nambucca Heads,Eucalyptus botryoides,T,8.2,3165.3,0.387,36.9,8
48,Nambucca Heads,Eucalyptus sp,T,8.4,1233.2,0.146,25.1,23.75
48,Nambucca Heads,Eupomatia laurina,T,15.7,3052.1,0.195,41.5,3
48,Nambucca Heads,Ficus coronata,S,15.4,2541.2,0.165,36.3,2.5
48,Nambucca Heads,Geitonoplesium cymosum,V,53.1,220.9,0.004,4.7,0.2
48,Nambucca Heads,Glycine microphylla,V,30.8,110.3,0.004,4.9,0.1
48,Nambucca Heads,Hibbertia scandens,V,15,3423.7,0.228,42.2,2
48,Nambucca Heads,Imperata cylindrica,G,7.2,1411.9,0.195,3.2,1.8
48,Nambucca Heads,Kennedia rubicunda,V,29.5,603.6,0.02,22.6,0.5
48,Nambucca Heads,Lantana camara,V,22.6,3596.1,0.159,53,4
48,Nambucca Heads,Lepidosperma laterale,G,6.3,4666.7,0.743,4.5,1.3
48,Nambucca Heads,Lomandra longifolia,G,6.4,2338.5,0.364,5.4,1
48,Nambucca Heads,Lomatia silaifolia,S,13.7,315,0.023,5,0.8
48,Nambucca Heads,Neolitsea australiensis,T,16.1,2607.2,0.162,38.6,1.2
48,Nambucca Heads,Neolitsea dealbata,S,12.2,2761.8,0.227,40,3.5
48,Nambucca Heads,Ochna serrulata,S,21.1,531.3,0.025,13.5,0.3
48,Nambucca Heads,Oxalis corniculata,H,43.2,22.7,0.001,2.6,0.15
48,Nambucca Heads,Pandorea pandorana,V,29.1,218.2,0.008,7.3,0.23
48,Nambucca Heads,Persoonia levis,S,7.7,1364.3,0.176,22.5,4
48,Nambucca Heads,Pittosporum undulatum,T,10.1,3424.5,0.339,44.8,7
48,Nambucca Heads,Polyscias sambucifolia,S,13,575.4,0.044,17.7,0.8
48,Nambucca Heads,Pomaderris lanigera,S,14.7,1872,0.127,30.7,1
48,Nambucca Heads,Pomax umbellata,S,25.6,120.9,0.005,8.7,0.1
48,Nambucca Heads,Pultenaea linophylla,S,16.7,30.7,0.002,2.7,0.4
48,Nambucca Heads,Rubus hillii,V,18,3154.1,0.175,42.4,0.6
48,Nambucca Heads,Rubus parvifolius,S,23.6,107.6,0.005,9,0.05
48,Nambucca Heads,Smilax glyciphylla,V,21.2,1578.6,0.074,25.1,0.4
48,Nambucca Heads,Synoum glandulosum,S,12.1,1692,0.14,29,8.5
48,Nambucca Heads,Syzygium crebrinerve,T,9.1,1481.1,0.163,26.8,4
48,Nambucca Heads,unk48_26 sp,,35.3,67,0.002,3.1,0.2
48,Nambucca Heads,unk48_27 sp,,11.8,604.9,0.051,1.4,0.5
48,Nambucca Heads,unk48_31 sp,,26,724.5,0.028,20.2,0.3
48,Nambucca Heads,unk48_42 sp,,39.7,116,0.003,3.8,0.25
48,Nambucca Heads,unk48_44 sp,,33,8.5,0,1.4,0.2
48,Nambucca Heads,unk48_45 sp,,24.7,310.7,0.013,13.8,0.05
48,Nambucca Heads,unk48_51 sp,,19.4,122,0.006,9.1,0.6
48,Nambucca Heads,unk48_57 sp,,8.1,2997.4,0.369,40.2,1.7
48,Nambucca Heads,unk48_61 sp,,14.2,34.9,0.002,2.4,1.8
48,Nambucca Heads,unk48_63 sp,,19.5,696.2,0.036,23.6,0.2
48,Nambucca Heads,unk48_64 sp,,11.9,19138.6,1.604,95.1,1.5
48,Nambucca Heads,unk48_67 sp,,21.7,48.5,0.002,3.1,0.2
48,Nambucca Heads,unk48_68 sp,,21.1,68.4,0.003,4.8,0.25
48,Nambucca Heads,unk48_69 sp,,17.1,45.4,0.003,5.3,0.4
48,Nambucca Heads,unk48_70 sp,,16.1,207.7,0.013,3,1.5
48,Nambucca Heads,unk48_71 sp,,29.9,1429.4,0.048,19.9,0.3
48,Nambucca Heads,unk48_72 sp,,22.8,133.5,0.006,9.2,0.1
48,Nambucca Heads,Viola hederacea,H,36,319.7,0.009,11,0.05
48,Nambucca Heads,Wilkiea huegeliana,S,8.4,5848.1,0.695,53.3,1
48,Nambucca Heads,Zieria smithii,S,19.6,207.2,0.011,7.6,0.5
49,Stuart Point,Allocasuarina littoralis,T,4.7,111,0.024,0.6,8
49,Stuart Point,Banksia aemula,T,5.2,1275.2,0.247,15.2,7
49,Stuart Point,Caustis recurvata,G,8.7,15.3,0.002,0.6,1.3
49,Stuart Point,Dillwynia retorta,S,7.8,2.6,0,0.5,1.3
49,Stuart Point,Hibbertia fasciculata,S,10.6,3.4,0,0.4,0.3
49,Stuart Point,Leptospermum obovatum,T,9.1,13.4,0.001,2.1,3
49,Stuart Point,Leptospermum trinervium,S,7.9,23,0.003,2.8,5
49,Stuart Point,Leucopogon esquamatus,S,8.6,15.9,0.002,2.2,0.4
49,Stuart Point,Monotoca elliptica,S,6.8,19.5,0.003,2.4,2.5
49,Stuart Point,Monotoca scoparia,S,8.4,9.7,0.001,1.3,1.2
49,Stuart Point,Persoonia linearis,S,7.7,35.1,0.005,1.3,2.5
49,Stuart Point,Phyllota phylicoides,S,5.8,4.1,0.001,0.8,0.21
5,Danu,Acacia cultriformis,,2.5,87.3,0.035,7.7,1.5
5,Danu,Acacia paradoxa,S,8.6,32,0.004,3.2,0.6
5,Danu,Acacia sp,S,4,929.8,0.235,7.8,10
5,Danu,Beyeria viscosa,S,4.4,110.4,0.025,5.4,2.5
5,Danu,Brachychiton populneus,T,9.3,2276.1,0.245,45.9,8
5,Danu,Bursaria spinosa,S,11.3,16.3,0.001,2.9,1.5
5,Danu,Callitris endlicheri,T,1.6,38.8,0.025,1.5,7
5,Danu,Cassinia quinquefaria,S,5.2,11.4,0.002,0.6,1.5
5,Danu,Clematis glycinoides,V,7.3,1352.6,0.186,28,2
5,Danu,Danthonia setacea,G,2,133.7,0.068,1.3,0.6
5,Danu,Dodonaea viscosa,S,7.4,440.5,0.059,6.4,0.5
5,Danu,Eucalyptus blakelyi,T,4.3,1618.2,0.376,24,8
5,Danu,Eucalyptus goniocalyx,T,4.4,4067.3,0.934,30.7,8
5,Danu,Gahnia aspera,,1.1,375,0.34,3.3,0.8
5,Danu,Lepidosperma laterale,G,9,1072.7,0.12,5.8,0.8
5,Danu,Lomandra longifolia,G,1.7,153.9,0.093,1.7,0.33
5,Danu,Notelaea microcarpa,,5.1,480.1,0.095,7.9,2
50,Morton NP,Actinotus minor,H,11.2,75.9,0.007,2.9,0.3
50,Morton NP,Allocasuarina sp,T,4.6,41.6,0.009,0.6,5.5
50,Morton NP,Anisopogon avenaceus,G,4.6,286.1,0.063,3.2,1.1
50,Morton NP,Baeckea diosmifolia,S,7.3,5.6,0.001,1.4,0.5
50,Morton NP,Banksia oblongifolia,S,4.8,1733.6,0.361,22.5,0.8
50,Morton NP,Banksia spinulosa,S,4.1,67.5,0.016,1.3,1.3
50,Morton NP,Bossiaea ensata,S,6.6,8.4,0.001,1.2,0.8
50,Morton NP,Bossiaea obcordata,S,8.8,9.8,0.001,2.4,1.3
50,Morton NP,Caustis flexuosa,G,13.1,27.4,0.002,0.4,0.25
50,Morton NP,Cryptostylis subulata,H,14,1218.3,0.087,20.8,0.6
50,Morton NP,Cyathochaeta diandra,F,2.6,1199,0.47,1.9,0.4
50,Morton NP,Dampiera scottiana,S,6.9,19.5,0.003,1.9,0.25
50,Morton NP,Dampiera stricta,S,7.6,35.4,0.005,2.7,0.35
50,Morton NP,Entolasia stricta,G,13.2,96.2,0.007,3.6,1
50,Morton NP,Epacris sp,S,11.3,7.5,0.001,2.2,0.5
50,Morton NP,Eucalyptus gummifera,T,4.2,1235.9,0.292,24.1,11
50,Morton NP,Eucalyptus sclerophylla,T,3.2,1450.6,0.448,23.3,11
50,Morton NP,Eucalyptus sp,T,3.7,1520.9,0.407,20.2,11
50,Morton NP,Gompholobium grandiflorum,S,5.2,41,0.008,1.6,0.5
50,Morton NP,Goodenia bellidifolia,H,5,260.8,0.052,8.4,0.4
50,Morton NP,Hakea dactyloides,S,3.6,748.9,0.21,16.9,1.8
50,Morton NP,Haloragis aspera,S,7.2,26.8,0.004,3,0.25
50,Morton NP,Hibbertia riparia,S,5.8,6,0.001,1.1,0.25
50,Morton NP,Isopogon anemonifolius,S,3.9,383.9,0.098,4.9,0.7
50,Morton NP,Lambertia formosa,S,3.7,147.7,0.04,2.8,1.6
50,Morton NP,Leptospermum lanigerum,T,7.5,26.4,0.004,2.9,3.5
50,Morton NP,Leptospermum rotundifolium,S,9.6,12.7,0.001,3.4,0.5
50,Morton NP,Lomandra obliqua,G,8.1,9.5,0.001,0.7,0.1
50,Morton NP,Lomandra sp,G,6,92.8,0.015,1.1,0.1
50,Morton NP,Mirbelia speciosa,S,10.9,23.1,0.002,2.1,0.25
50,Morton NP,Mitrasacme polymorpha,H,11.3,7.6,0.001,1.2,0.2
50,Morton NP,Monotoca scoparia,S,7.9,28,0.004,2.7,0.6
50,Morton NP,Patersonia sericea longifolia,,2.9,714,0.25,2.3,0.35
50,Morton NP,Persoonia levis,S,5.2,2281.4,0.44,29,4
50,Morton NP,Persoonia mollis,S,4.8,40.4,0.008,2.2,1.2
50,Morton NP,Petrophile pedunculata,S,3.5,167.6,0.047,1.1,1
50,Morton NP,Phyllota phylicoides,S,7.9,19.9,0.003,2.4,0.4
50,Morton NP,Pimelea linifolia,S,10.4,20.1,0.002,1.9,0.7
50,Morton NP,Pimelea sp,S,16.2,29.6,0.002,2.3,0.3
50,Morton NP,Platysace ericoides,S,7,9.6,0.001,1.3,0.25
50,Morton NP,Platysace linearifolia,S,10.4,10.6,0.001,0.6,0.5
50,Morton NP,Poranthera ericifolia,S,10.3,6.8,0.001,1.1,0.05
50,Morton NP,Pultenaea sp,,9.8,34.8,0.004,3,0.7
50,Morton NP,Restio dimorphus,G,14.2,8.5,0.001,0.9,0.5
50,Morton NP,Stylidium lineare,G,8.9,6.2,0.001,0.3,0.05
50,Morton NP,Tricoryne simplex,H,17.8,286.9,0.016,2.5,0.25
50,Morton NP,unk50_30 sp,,4.7,36.8,0.008,1.4,0.3
50,Morton NP,unk50_47 sp,,9.2,85.6,0.009,4.8,0.25
50,Morton NP,Xanthorrhoea sp,S,1.7,3793,2.294,2.8,2.5
50,Morton NP,Xanthosia tridentata,T,13.8,15.9,0.001,2.4,0.4
6,Honeysuckle,Acacia doratoxylon,T,3.5,428.3,0.123,4,2.5
6,Honeysuckle,Acacia muelleriana,S,3.1,9.9,0.003,0.8,0.5
6,Honeysuckle,Acacia penninervis,T,4.9,1261.1,0.257,21.1,2
6,Honeysuckle,Acacia sp,S,5,127.1,0.025,4.3,2
6,Honeysuckle,Acacia uncinata,S,5.9,110.2,0.019,9.9,1.5
6,Honeysuckle,Acrotriche rigida,S,4,6.6,0.002,1.2,0.75
6,Honeysuckle,Allocasuarina littoralis,T,2.2,28.6,0.013,0.9,4
6,Honeysuckle,Angophora floribunda,T,8.9,1064.1,0.119,19.1,10
6,Honeysuckle,Callitris sp,T,2.5,23.5,0.009,1.1,2
6,Honeysuckle,Cassinia cunninghamii,S,3.4,11.4,0.003,0.9,1.5
6,Honeysuckle,Dianella caerulea,H,3.4,1557.1,0.454,11.8,1.5
6,Honeysuckle,Dodonaea triangularis,S,5.8,114.2,0.02,7.2,1
6,Honeysuckle,Eucalyptus sp,T,3.9,2155.8,0.546,29,15
6,Honeysuckle,Hardenbergia violacea,V,7.5,997.2,0.133,17,1.5
6,Honeysuckle,Hibbertia sp,V,9.4,6.4,0.001,2.2,0.15
6,Honeysuckle,Hovea lanceolata,S,5.2,832.3,0.159,15.9,1
6,Honeysuckle,Lomandra confertifolia,G,2,67.6,0.033,1.2,0.3
6,Honeysuckle,Phebalium glandulosum,S,5.5,5.2,0.001,1.1,1.5
6,Honeysuckle,Phebalium squamulosum,S,4.7,26.7,0.006,2.3,1.25
7,Kuringai-Chase NP,Acacia brownii/ulicifolia,,4,3.2,0.001,0.8,0.2
7,Kuringai-Chase NP,Acacia suaveolens,S,2.5,246.4,0.098,4.4,0.75
7,Kuringai-Chase NP,Actinotus minor,H,2.9,18.8,0.007,1.2,0.5
7,Kuringai-Chase NP,Allocasuarina distyla,S,1,83.5,0.087,3,0.75
7,Kuringai-Chase NP,Allocasuarina littoralis,T,2.5,20.8,0.008,0.7,3
7,Kuringai-Chase NP,Baeckea brevifolia,S,2.9,0.7,0,0.7,0.7
7,Kuringai-Chase NP,Banksia ericifolia,S,3.8,11.7,0.003,1.1,2
7,Kuringai-Chase NP,Boronia pinnata,S,4.6,12.1,0.003,1.6,0.3
7,Kuringai-Chase NP,Brachyloma daphnoides,S,5,14,0.003,2.6,0.75
7,Kuringai-Chase NP,Dillwynia floribunda,S,2.9,8.7,0.003,0.9,1.5
7,Kuringai-Chase NP,Entolasia stricta,G,3.4,32.5,0.009,1.6,0.1
7,Kuringai-Chase NP,Eucalyptus gummifera,T,4.8,2642.6,0.554,34.2,5
7,Kuringai-Chase NP,Eucalyptus umbra,T,2.9,2905.2,0.992,35.6,4.25
7,Kuringai-Chase NP,Goodenia bellidifolia,H,2.4,86.3,0.036,5.5,0.1
7,Kuringai-Chase NP,Grevillea buxifolia,S,5.9,49.1,0.008,5.9,0.75
7,Kuringai-Chase NP,Grevillea speciosa,S,5.8,45.3,0.008,5.6,1
7,Kuringai-Chase NP,Hakea sericea,S,1.3,25.2,0.019,1.4,1.5
7,Kuringai-Chase NP,Hakea teretifolia,S,1.4,55.1,0.039,1.3,2
7,Kuringai-Chase NP,Hibbertia bracteata,S,5.9,73.8,0.013,5.8,0.3
7,Kuringai-Chase NP,Hibbertia linearis,S,5.5,19.3,0.004,2.7,0.5
7,Kuringai-Chase NP,Isopogon anethifolius,S,2.6,10.2,0.004,0.9,1.25
7,Kuringai-Chase NP,Lambertia formosa,S,3,103.4,0.034,3.8,1.5
7,Kuringai-Chase NP,Lepidosperma laterale,G,2.7,1152.7,0.42,7,0.5
7,Kuringai-Chase NP,Leptospermum parvifolium,S,6.2,2.5,0,1,1.5
7,Kuringai-Chase NP,Leptospermum sp,S,6,16.6,0.003,2.8,2
7,Kuringai-Chase NP,Leptospermum trinervium,S,6.7,23.2,0.003,3.4,0.6
7,Kuringai-Chase NP,Leucopogon microphyllus,S,5.8,2.9,0.001,1.4,0.3
7,Kuringai-Chase NP,Lomandra glauca,G,3,49,0.016,1.3,0.15
7,Kuringai-Chase NP,Lomandra sp,G,1.5,139.1,0.092,1.4,0.13
7,Kuringai-Chase NP,Micrantheum ericoides,S,5.8,4.5,0.001,1.4,0.15
7,Kuringai-Chase NP,Oplismenus imbecillis,G,4.7,51.5,0.011,1.6,0.15
7,Kuringai-Chase NP,Patersonia glabrata,,3.6,263.1,0.073,2.7,0.2
7,Kuringai-Chase NP,Patersonia sericea,,2.3,546.8,0.239,3.7,0.3
7,Kuringai-Chase NP,Phyllota phylicoides,S,7.3,10.5,0.001,1.2,0.5
7,Kuringai-Chase NP,Platysace linearifolia,S,5.8,8.6,0.001,0.7,0.75
7,Kuringai-Chase NP,Poaceae sp,G,4.8,36.5,0.008,0.8,
7,Kuringai-Chase NP,Ptilanthelium deusteum,,2.5,28.8,0.012,0.8,0.2
7,Kuringai-Chase NP,Pultenaea elliptica,S,10,12.4,0.001,2.9,0.5
7,Kuringai-Chase NP,Schoenus imberbis,,3,27.1,0.009,0.6,0.15
7,Kuringai-Chase NP,Tetratheca ericifolia,S,4.1,2.8,0.001,0.8,0.15
7,Kuringai-Chase NP,unk7_11 sp,,8.3,114.5,0.014,7.6,0.5
7,Kuringai-Chase NP,Woollsia pungens,S,9.6,22.1,0.002,4.5,1.5
7,Kuringai-Chase NP,Xanthorrhoea media,S,2,359.4,0.183,2.6,0.5
7,Kuringai-Chase NP,Zieria laevigata,S,2.8,16.6,0.006,1.4,0.5
8,Mt Keira,Brachychiton acerifolius,T,29.2,1811,0.062,32.5,4
8,Mt Keira,Cephalaria cephalobotrys,,38.8,448.1,0.012,19.6,0.05
8,Mt Keira,Ceratopetalum apetalum,T,10.2,4551.2,0.445,45.9,10
8,Mt Keira,Citriobatus pauciflorus,S,16.2,49.5,0.003,7.1,1
8,Mt Keira,Claoxylon australe,,20.2,3409.9,0.169,43.8,1.5
8,Mt Keira,Cryptocarya microneura/glaucescens,S,10.6,3989.6,0.375,49.9,1.8
8,Mt Keira,Doryphora sassafras,T,9.5,4613,0.487,52.1,12.5
8,Mt Keira,Eupomatia laurina,T,12.7,4243.7,0.334,47.6,15
8,Mt Keira,Gymnostachys anceps,,4.2,2271.4,0.547,11.5,1
8,Mt Keira,Morinda jasminoides,V,31.3,471.7,0.015,12.9,0.11
8,Mt Keira,Palmeria scandens,,20.2,3811.1,0.188,52.2,1.5
8,Mt Keira,Parsonsia straminea,V,37.3,512.6,0.014,16.4,1.5
