species,Fruit.Type.Botany,Fruit.Type.Specific,Fruit.Type.Function,Adaptive.Trait,Fruit.Length (mm),Fruit.Diameter (mm),Seed.Length (mm),Seed.Diameter (mm),Flowering time
Goodenia argillacea,dry,capsule,dry,,,,,,`5
Goodenia armitiana,dry,capsule,dry,seed winged,,,,,`1-12
Goodenia armstrongiana,dry,capsule,dry,,,,,,`1-7
Goodenia arthrotricha,dry,capsule,dry,,,,,,`10-11
Goodenia azurea,dry,capsule,dry,,,,,,`4-10
Goodenia bellidifolia,dry,capsule,dry,,,,,,
Goodenia benthamiana,dry,capsule,dry,,,,,,`1-12
Goodenia berardiana,dry,capsule,dry,seed winged,,,,,`5-10
Goodenia berringbinensis,dry,capsule,dry,,,,,,`10
Goodenia bicolor,dry,capsule,dry,,,,,,`3-6
Goodenia blackiana,dry,capsule,dry,,,,,,`9-1
Goodenia brachypoda,dry,capsule,dry,,,3.5,2.5,,`7-9
Goodenia brunnea,dry,capsule,dry,,,,,,`6-11
Goodenia byrnesii,dry,capsule,dry,,,,,,`1-6
Goodenia caerulea,dry,capsule,dry,,,,,,`9-1
Goodenia calcarata,dry,capsule,dry,,,,,,`6-12
Goodenia campestris,dry,capsule,dry,,,,,,`5
Goodenia centralis,dry,capsule,dry,,,,,,`6-9
Goodenia chambersii,dry,capsule,dry,,,,,,`9-10
Goodenia chthonocephalata,dry,capsule,dry,,,,,,`7
Goodenia cirrifica,dry,capsule,dry,seed winged,,,,,`3-10
Goodenia claytoniacea,dry,capsule,dry,,,,,,`10-2
Goodenia concinna,dry,capsule,dry,,,,,,`8-12
Goodenia convexa,dry,capsule,dry,,,,,,`8-11
Goodenia coronopifolia,dry,capsule,dry,,,,,,`5-10
Goodenia corynocarpa,dry,capsule,dry,,,,,,`8
Goodenia cusackiana,dry,capsule,dry,,,,,,`7-9
Goodenia cycloptera,dry,capsule,dry,,,,,,`1-12
Goodenia decurrens,dry,capsule,dry,,,,,,`10-3
Goodenia decursiva,dry,capsule,dry,,,,,,`9-1
Goodenia delicata,dry,capsule,dry,,,,,,`10-6
Goodenia dimorpha,dry,capsule,dry,,,,,,
Goodenia disperma,dry,capsule,dry,,,,,,`11-5
Goodenia drummondii,dry,capsule,dry,,,,,,`9-1
Goodenia durackiana,dry,capsule,dry,,,,,,`1-12
Goodenia dyeri,dry,capsule,dry,,,,,,`8-11
Goodenia eatoniana,dry,capsule,dry,,,,,,`10-1
Goodenia elderi,dry,capsule,dry,,,,,,`9-1
Goodenia elongata,dry,capsule,dry,,,,,,`10-2
Goodenia eremophila,dry,capsule,dry,,,,,,`10-12
Goodenia fascicularis,dry,capsule,dry,,,,,,`1-12
Goodenia fasciculata,dry,capsule,dry,,,,,,`9-12
Goodenia faucium,dry,capsule,dry,,,,,,`7
Goodenia filiformis,dry,capsule,dry,,,,,,`11-1
Goodenia fordiana,dry,capsule,dry,,,,,,`10-12
Goodenia forrestii,dry,capsule,dry,,,,,,`5-9
Goodenia geniculata,dry,capsule,dry,,,,,,`9-1
Goodenia gibbosa,dry,capsule,dry,,,,,,`5-10
Goodenia glabra,dry,capsule,dry,,,,,,`1-12
Goodenia glandulosa,dry,capsule,dry,,,,,,`7-10
Goodenia glareicola,dry,capsule,dry,,,,,,`10-1
Goodenia glauca,dry,capsule,dry,,,,,,`1-12
Goodenia gloeophylla,dry,capsule,dry,,,,,,`4-5
Goodenia glomerata,dry,capsule,dry,,,,,,`10-1
Goodenia goodeniacea,dry,capsule,dry,,,,,,`5-8
Goodenia gracilis,dry,capsule,dry,,,,,,`1-12
Goodenia grandiflora,dry,capsule,dry,,,,,,`5-11
Goodenia hassallii,dry,capsule,dry,,,,,,`10-1
Goodenia havilandii,dry,capsule,dry,,,,,,`1-12
Goodenia hederacea,dry,capsule,dry,,,,,,
Goodenia helmsii,dry,capsule,dry,,,,,,`7-12
Goodenia heppleana,dry,capsule,dry,,,,,,`2-6
Goodenia heterochila,dry,capsule,dry,,,,,,`1-12
Goodenia heteromera,dry,capsule,dry,,,,,,`5-11
Goodenia heterophylla,dry,capsule,dry,,,,,,
Goodenia heteroptera,dry,capsule,dry,,,,,,
Goodenia hirsuta,dry,capsule,dry,,,,,,`7-10
Goodenia hispida,dry,capsule,dry,,,,,,`2-5
Goodenia holtzeana,dry,capsule,dry,,,,,,`2-6
Goodenia humilis,dry,capsule,dry,,,,,,`11-3
Goodenia incana,dry,capsule,dry,,,,,,`9-1
Goodenia integerrima,dry,capsule,dry,,,,,,`11
Goodenia iyouta,dry,capsule,dry,,,,,,`6-9
Goodenia janamba,dry,capsule,dry,,,,,,`4-7
Goodenia kakadu,dry,capsule,dry,,,,,,`4-5
Goodenia kingiana,dry,capsule,dry,,,,,,`7-10
Goodenia krauseana,dry,capsule,dry,,,,,,`10-12
Goodenia laevis,dry,capsule,dry,,,,,,`8-12
Goodenia lamprosperma,dry,capsule,dry,,,,,,`4-8
Goodenia lanata,dry,capsule,dry,,,,,,`9-3
Goodenia larapinta,dry,capsule,dry,,,,,,`4-9
Goodenia leiosperma,dry,capsule,dry,,,,,,`2-6
Goodenia leptoclada,dry,capsule,dry,,,,,,`11-1
Goodenia lineata,dry,capsule,dry,,,,,,`11-2
Goodenia lobata,dry,capsule,dry,,,,,,`7-9
Goodenia lunata,dry,capsule,dry,,,,,,`3-9
Goodenia lyrata,dry,capsule,dry,,,,,,`8
Goodenia macbarronii,dry,capsule,dry,,,,,,`10-3
Goodenia macmillanii,dry,capsule,dry,,,,,,`11-2
Goodenia macroplectra,dry,capsule,dry,,,,,,`8-9
Goodenia maideniana,dry,capsule,dry,,,,,,`6-10
Goodenia malvina,dry,capsule,dry,,,,,,`3-5
Goodenia megasepala,dry,capsule,dry,,,,,,`8
Goodenia micrantha,dry,capsule,dry,,,,,,`9-12
Goodenia microptera,dry,capsule,dry,,,,,,`3-8
Goodenia mimuloides,dry,capsule,dry,,,,,,`6-10
Goodenia minutiflora,dry,capsule,dry,,,,,,`3-5
Goodenia modesta,dry,capsule,dry,,,,,,`1-12
Goodenia mueckeana,dry,capsule,dry,,,,,,`5-9
Goodenia muelleriana,dry,capsule,dry,,,,,,`5-9
Goodenia neglecta,dry,capsule,dry,,,,,,`2-4
Goodenia neogoodenia,dry,capsule,dry,,,,,,`8
Goodenia nigrescens,dry,capsule,dry,,,,,,`5-8
Goodenia nuda,dry,capsule,dry,,,,,,`4-8
Goodenia occidentalis,dry,capsule,dry,,,,,,`6-9
Goodenia ochracea,dry,capsule,dry,,,,,,`6-10
Goodenia odonnellii,dry,capsule,dry,,,,,,`1-7
Goodenia ovata,dry,capsule,dry,,,,,,`10-3
Goodenia pallida,dry,capsule,dry,,,,,,`8
Goodenia paludicola,dry,capsule,dry,,,,,,`3-5
Goodenia paniculata,dry,capsule,dry,,,,,,`10-4
Goodenia pascua,dry,capsule,dry,,,,,,`5-8
Goodenia peacockiana,dry,capsule,dry,,,,,,`6-10
Goodenia perryi,dry,capsule,dry,,,,,,`10
Goodenia phillipsiae,dry,capsule,dry,,,,,,`11
Goodenia pilosa,dry,capsule,dry,,,,,,`5-8
Goodenia pinifolia,dry,capsule,dry,,,,,,`10-12
Goodenia pinnatifida,dry,capsule,dry,,,,,,`5-11
Goodenia porphyrea,dry,capsule,dry,,,,,,`5-4
Goodenia potamica,dry,capsule,dry,,,,,,`6
Goodenia prostrata,dry,capsule,dry,,,,,,`5-9
Goodenia pterigosperma,dry,capsule,dry,,,,,,`9-1
Goodenia pulchella,dry,capsule,dry,,,,,,`9-1
Goodenia pumilio,dry,capsule,dry,,,,,,`4-7
Goodenia purpurascens,dry,capsule,dry,,,,,,`1-5
Goodenia purpurea,dry,capsule,dry,,,,,,`2-6
Goodenia pusilla,dry,capsule,dry,,,,,,`10-12
Goodenia pusilliflora,dry,capsule,dry,,,,,,`7-10
Goodenia quadrifida,dry,capsule,dry,,,,,,`5
Goodenia quadrilocularis,dry,capsule,dry,,,,,,`9-12
Goodenia quasilibera,dry,capsule,dry,,,,,,`8-1
Goodenia racemosa,dry,capsule,dry,,,,,,
Goodenia ramelii,dry,capsule,dry,,,,,,`3-9
Goodenia redacta,dry,capsule,dry,,,,,,`4-5
Goodenia robusta,dry,capsule,dry,,,,,,`9-1
Goodenia rostrivalvis,dry,capsule,dry,,,,,,`10-4
Goodenia rotundifolia,dry,capsule,dry,,,,,,`9-3
Goodenia rupestris,dry,capsule,dry,,,,,,`8
Goodenia saccata,dry,capsule,dry,,,,,,`9-11
Goodenia salmoniana,dry,capsule,dry,,,,,,
Goodenia scaevolina,dry,capsule,dry,,,,,,`3-8
Goodenia scapigera,dry,capsule,dry,,,,,,`9-1
Goodenia schwerinensis,dry,capsule,dry,,,,,,`5-9
Goodenia sepalosa,dry,capsule,dry,,,,,,
Goodenia sericostachya,dry,capsule,dry,,,,,,`10-1
Goodenia stellata,dry,capsule,dry,,,,,,`7-10
Goodenia stelligera,dry,capsule,dry,,,,,,`8-2
Goodenia stenophylla,dry,capsule,dry,,,,,,`9-1
Goodenia stephensonii,dry,capsule,dry,,,,,,`10-1
Goodenia stirlingii,dry,capsule,dry,,,,,,`3-7
Goodenia stobbsiana,dry,capsule,dry,,,,,,`3-10
Goodenia strangfordii,dry,capsule,dry,,,,,,`5-10
Goodenia subauriculata,dry,capsule,dry,,,,,,`4
Goodenia suffrutescens,dry,capsule,dry,,,,,,`8
Goodenia symonii,dry,capsule,dry,,,,,,`2-6
Goodenia tenuiloba,dry,capsule,dry,,,,,,`5-9
Goodenia trichophylla,dry,capsule,dry,,,,,,`8-12
Goodenia triodiophila,dry,capsule,dry,,,,,,`4-10
Goodenia tripartita,dry,capsule,dry,,,,,,`8-10
Goodenia varia,dry,capsule,dry,,,,,,`1-12
Goodenia vernicosa,dry,capsule,dry,,,,,,`9-1
Goodenia vilmorinae,dry,capsule,dry,,,,,,`4-9
Goodenia virgata,dry,capsule,dry,,,,,,`5-11
Goodenia viridula,dry,capsule,dry,,,,,,`11-5
Goodenia viscida,dry,capsule,dry,,,,,,`10-1
Goodenia viscidula,dry,capsule,dry,,,,,,`3-5
Goodenia watsonii,dry,capsule,dry,,,,,,
Goodenia willisiana,dry,capsule,dry,,,,,,`8-2
Goodenia wilunensis,dry,capsule,dry,,,,,,`7-10
Goodenia xanthosperma,dry,capsule,dry,,,,,,`5-10
Goodenia xanthotricha,dry,capsule,dry,,,,,,`11-2
Grevillea acacioides,dry,follicle,dry,,,,,,`7-9
Grevillea acanthifolia,dry,follicle,dry,,,,,,
Grevillea acerata,dry,follicle,dry,,,,,,`9-12
Grevillea acrobotrya,dry,follicle,dry,,,,,,`6-9
Grevillea acropogon,dry,follicle,dry,,,,,,`6-9
Grevillea acuaria,dry,follicle,dry,,,,,,`5-10
Grevillea adenotricha,dry,follicle,dry,,,,,,`5-8
Grevillea agrifolia,dry,follicle,dry,,,,,,
Grevillea albiflora,dry,follicle,dry,,,,,,`11-1
Grevillea alpina,dry,follicle,dry,,,,,,`7-12
Grevillea alpivaga,dry,follicle,dry,,,,,,`10-2
Grevillea althoferorum,dry,follicle,dry,,,,,,`9-10
Grevillea amplexans,dry,follicle,dry,,,,,,
Grevillea anethifolia,dry,follicle,dry,,,,,,`7-12
Grevillea aneura,dry,follicle,dry,,,,,,`8-1
Grevillea angulata,dry,follicle,dry,,,,,,`3-9
Grevillea annulifera,dry,follicle,dry,,,,,,`6-10
Grevillea aquifolium,dry,follicle,dry,,,,,,`9-12
Grevillea arenaria,dry,follicle,dry,,,,,,
Grevillea argyrophylla,dry,follicle,dry,,,,,,`7-10
Grevillea armigera,dry,follicle,dry,,,,,,`6-2
Grevillea asparagoides,dry,follicle,dry,,,,,,`7-12
Grevillea aspera,dry,follicle,dry,,,,,,`5-11
Grevillea aspleniifolia,dry,follicle,dry,,,,,,`7-11
Grevillea asteriscosa,dry,follicle,dry,,,,,,`5-11
Grevillea aurea,dry,follicle,dry,,,,,,`4-8
Grevillea australis,dry,follicle,dry,,,,,,`9-1
Grevillea baileyana,dry,follicle,dry,,,,,,`8-12
Grevillea banksii,dry,follicle,dry,,,,,,`8-10
Grevillea banyabba,dry,follicle,dry,,,,,,`8-10
Grevillea barklyana,dry,follicle,dry,,,,,,`10-12
Grevillea batrachioides,dry,follicle,dry,,,,,,`10-12
Grevillea baueri,dry,follicle,dry,,,,,,
Grevillea baxteri,dry,follicle,dry,,,,,,`7-11
Grevillea beadleana,dry,follicle,dry,,,,,,
Grevillea beardiana,dry,follicle,dry,,,,,,`9-12
Grevillea bedggoodiana,dry,follicle,dry,,,,,,`10-11
Grevillea benthamiana,dry,follicle,dry,,,,,,`6-8
Grevillea berryana,dry,follicle,dry,,,,,,
Grevillea biformis,dry,follicle,dry,,,,,,
Grevillea bipinnatifida,dry,follicle,dry,,,,,,`6-12
Grevillea biternata,dry,follicle,dry,,,,,,`7-11
Grevillea brachystachya,dry,follicle,dry,,,,,,`6-11
Grevillea brachystylis,dry,follicle,dry,,,,,,
Grevillea bracteosa,dry,follicle,dry,,,,,,`8-10
Grevillea brevifolia,dry,follicle,dry,,,,,,
Grevillea brevis,dry,follicle,dry,,,,,,`3-7
Grevillea bronwenae,dry,follicle,dry,,,,,,`6-11
Grevillea buxifolia,dry,follicle,dry,,,,,,
Grevillea byrnesii,dry,follicle,dry,,,,,,`5-8
Grevillea cagiana,dry,follicle,dry,,,,,,`6-3
Grevillea calcicola,dry,follicle,dry,,,,,,`5-8
Grevillea caleyi,dry,follicle,dry,,,,,,`8-12
Grevillea calliantha,dry,follicle,dry,,,,,,`8-11
Grevillea candelabroides,dry,follicle,dry,,,,,,`8-1
Grevillea candicans,dry,follicle,dry,,,,,,`8-11
Grevillea candolleana,dry,follicle,dry,,,,,,`8-11
Grevillea capitellata,dry,follicle,dry,,,,,,`7-12
Grevillea celata,dry,follicle,dry,,,,,,`7-2
Grevillea centristigma,dry,follicle,dry,,,,,,`6-11
Grevillea ceratocarpa,dry,follicle,dry,,,,,,`8-10
Grevillea cheilocarpa,dry,follicle,dry,,,,,,
Grevillea christinae,dry,follicle,dry,,,,,,`7-9
Grevillea chrysophaea,dry,follicle,dry,,,,,,`6-12
Grevillea cirsiifolia,dry,follicle,dry,,,,,,`10-12
Grevillea coccinea,dry,follicle,dry,,,,,,
Grevillea commutata,dry,follicle,dry,,,,,,
Grevillea concinna,dry,follicle,dry,,,,,,
Grevillea confertifolia,dry,follicle,dry,,,,,,`8-12
Grevillea coriacea,dry,follicle,dry,,,,,,`7-9
Grevillea corrugata,dry,follicle,dry,,,,,,`8-9
Grevillea costata,dry,follicle,dry,,,,,,`5-9
Grevillea crassifolia,dry,follicle,dry,,,,,,`6-12
Grevillea cravenii,dry,follicle,dry,,,,,,`12-3
Grevillea crithmifolia,dry,follicle,dry,,,,,,`6-9
Grevillea crowleyae,dry,follicle,dry,,,,,,`8-11
Grevillea cunninghamii,dry,follicle,dry,,,,,,`5-9
Grevillea curviloba,dry,follicle,dry,,,,,,
Grevillea cyranostigma,dry,follicle,dry,,,,,,`6-10
Grevillea decipiens,dry,follicle,dry,,,,,,`5-8
Grevillea decora,dry,follicle,dry,,,,,,
Grevillea decurrens,dry,follicle,dry,,,,,,`11-3
Grevillea deflexa,dry,follicle,dry,,,,,,`5-10
Grevillea delta,dry,follicle,dry,,,,,,`7-10
Grevillea depauperata,dry,follicle,dry,,,,,,`5-10
Grevillea didymobotrya,dry,follicle,dry,,,,,,
Grevillea dielsiana,dry,follicle,dry,,,,,,`8-9
Grevillea diffusa,dry,follicle,dry,,,,,,
Grevillea dimidiata,dry,follicle,dry,,,,,,`5-10
Grevillea diminuta,dry,follicle,dry,,,,,,`9-12
Grevillea dimorpha,dry,follicle,dry,,,,,,`8-12
Grevillea disjuncta,dry,follicle,dry,,,,,,`4-9
Grevillea dissecta,dry,follicle,dry,,,,,,`9-2
Grevillea divaricata,dry,follicle,dry,,,,,,
Grevillea diversifolia,dry,follicle,dry,,,,,,
Grevillea dolichopoda,dry,follicle,dry,,,,,,`4-11
Grevillea donaldiana,dry,follicle,dry,,,,,,`5-7
Grevillea drummondii,dry,follicle,dry,,,,,,`6-12
Grevillea dryandri,dry,follicle,dry,,,,,,
Grevillea dryandroides,dry,follicle,dry,,,,,,
Grevillea dryophylla,dry,follicle,dry,,,,,,`8-11
Grevillea dunlopii,dry,follicle,dry,,,,,,`12-5
Grevillea elongata,dry,follicle,dry,,,,,,`10-12
Grevillea endlicheriana,dry,follicle,dry,,,,,,`7-11
Grevillea epicroca,dry,follicle,dry,,,,,,`11-5
Grevillea erectiloba,dry,follicle,dry,,,,,,`9-11
Grevillea eremophila,dry,follicle,dry,,,,,,`9-11
Grevillea erinacea,dry,follicle,dry,,,,,,`7-10
Grevillea eriobotrya,dry,follicle,dry,,,,,,`9-12
Grevillea eriostachya,dry,follicle,dry,,,,,,`1-12
Grevillea eryngioides,dry,follicle,dry,,,,,,`9-11
Grevillea erythroclada,dry,follicle,dry,,,,,,`9-10
Grevillea evanescens,dry,follicle,dry,,,,,,
Grevillea evansiana,dry,follicle,dry,,,,,,`8-12
Grevillea excelsior,dry,follicle,dry,,,,,,`8-11
Grevillea exposita,dry,follicle,dry,,,,,,
Grevillea extorris,dry,follicle,dry,,,,,,`4-9
Grevillea fasciculata,dry,follicle,dry,,,,,,`5-11
Grevillea fastigiata,dry,follicle,dry,,,,,,`9-3
Grevillea fililoba,dry,follicle,dry,,,,,,`7-9
Grevillea fistulosa,dry,follicle,dry,,,,,,`7-12
Grevillea flexuosa,dry,follicle,dry,,,,,,
Grevillea floribunda,dry,follicle,dry,,,,,,
Grevillea florida,dry,follicle,dry,,,,,,`8-12
Grevillea floripendula,dry,follicle,dry,,,,,,`10-12
Grevillea formosa,dry,follicle,dry,,,,,,`1-3
Grevillea fulgens,dry,follicle,dry,,,,,,`6-10
Grevillea fuscolutea,dry,follicle,dry,,,,,,`5-12
Grevillea gariwerdensis,dry,follicle,dry,,,,,,`10-1
Grevillea georgeana,dry,follicle,dry,,,,,,`7-10
Grevillea glabrescens,dry,follicle,dry,,,,,,`5-7
Grevillea glauca,dry,follicle,dry,,,,,,`4-8
Grevillea globosa,dry,follicle,dry,,,,,,`1-12
Grevillea glossadenia,dry,follicle,dry,,,,,,`4-8
Grevillea goodii,dry,follicle,dry,,,,,,`11-4
Grevillea gordoniana,dry,follicle,dry,,,,,,`9-12
Grevillea granulifera,dry,follicle,dry,,,,,,`9-11
Grevillea granulosa,dry,follicle,dry,,,,,,`7-10
Grevillea guthrieana,dry,follicle,dry,,,,,,`8-10
Grevillea hakeoides,dry,follicle,dry,,,,,,
Grevillea halmaturina,dry,follicle,dry,,,,,,
Grevillea haplantha,dry,follicle,dry,,,,,,
Grevillea heliosperma,dry,follicle,dry,,,,,,`3-9
Grevillea helmsiae,dry,follicle,dry,,,,,,`10-4
Grevillea hilliana,dry,follicle,dry,,,,,,`7-10
Grevillea hirtella,dry,follicle,dry,,,,,,`8-11
Grevillea hockingsii,dry,follicle,dry,,,,,,`6-12
Grevillea hodgei,dry,follicle,dry,,,,,,`5-10
Grevillea hookeriana,dry,follicle,dry,,,,,,
Grevillea huegelii,dry,follicle,dry,,,,,,`7-12
Grevillea humifusa,dry,follicle,dry,,,,,,`7-10
Grevillea humilis,dry,follicle,dry,,,,,,
Grevillea iaspicula,dry,follicle,dry,,,,,,`5-11
Grevillea ilicifolia,dry,follicle,dry,,,,,,`9-11
Grevillea imberbis,dry,follicle,dry,,,,,,`8-2
Grevillea inconspicua,dry,follicle,dry,,,,,,`7-9
Grevillea incrassata,dry,follicle,dry,,,,,,`9-11
Grevillea incurva,dry,follicle,dry,,,,,,
Grevillea infecunda,dry,follicle,dry,,,,,,`10-12
Grevillea infundibularis,dry,follicle,dry,,,,,,`10-5
Grevillea insignis,dry,follicle,dry,,,,,,
Grevillea integrifolia,dry,follicle,dry,,,,,,`10-12
Grevillea intricata,dry,follicle,dry,,,,,,`5-10
Grevillea involucrata,dry,follicle,dry,,,,,,`6-10
Grevillea irrasa,dry,follicle,dry,,,,,,
Grevillea jephcottii,dry,follicle,dry,,,,,,`7-11
Grevillea johnsonii,dry,follicle,dry,,,,,,`8-11
Grevillea juncifolia,dry,follicle,dry,,,,,,
Grevillea juniperina,dry,follicle,dry,,,,,,
Grevillea kedumbensis,dry,follicle,dry,,,,,,`6-10
Grevillea kenneallyi,dry,follicle,dry,,,,,,`7-9
Grevillea kennedyana,dry,follicle,dry,,,,,,`7-11
Grevillea lanigera,dry,follicle,dry,,,,,,`7-12
Grevillea latifolia,dry,follicle,dry,,,,,,`3-9
Grevillea laurifolia,dry,follicle,dry,,,,,,`9-1
Grevillea lavandulacea,dry,follicle,dry,,,,,,
Grevillea leiophylla,dry,follicle,dry,,,,,,`8-11
Grevillea leptobotrys,dry,follicle,dry,,,,,,`10-12
Grevillea leptopoda,dry,follicle,dry,,,,,,`8-11
Grevillea leucoclada,dry,follicle,dry,,,,,,`8-12
Grevillea leucopteris,dry,follicle,dry,,,,,,`7-1
Grevillea levis,dry,follicle,dry,,,,,,`5-10
Grevillea linearifolia,dry,follicle,dry,,,,,,`8-12
Grevillea linsmithii,dry,follicle,dry,,,,,,`3-11
Grevillea lissopleura,dry,follicle,dry,,,,,,`8
Grevillea longicuspis,dry,follicle,dry,,,,,,`8-12
Grevillea longifolia,dry,follicle,dry,,,,,,`7-1
Grevillea longistyla,dry,follicle,dry,,,,,,`8-11
Grevillea lullfitzii,dry,follicle,dry,,,,,,`9-12
Grevillea macleayana,dry,follicle,dry,,,,,,`9-1
Grevillea maherae,dry,follicle,dry,,,,,,`12-3
Grevillea makinsonii,dry,follicle,dry,,,,,,`9
Grevillea manglesii,dry,follicle,dry,,,,,,
Grevillea manglesioides,dry,follicle,dry,,,,,,
Grevillea marriottii,dry,follicle,dry,,,,,,`7-10
Grevillea masonii,dry,follicle,dry,,,,,,`7-11
Grevillea maxwellii,dry,follicle,dry,,,,,,`9-11
Grevillea mccutcheonii,dry,follicle,dry,,,,,,`7-11
Grevillea metamorpha,dry,follicle,dry,,,,,,
Grevillea micrantha,dry,follicle,dry,,,,,,`8-1
Grevillea microstegia,dry,follicle,dry,,,,,,`11-12
Grevillea microstyla,dry,follicle,dry,,,,,,`12-6
Grevillea mimosoides,dry,follicle,dry,,,,,,`7-9
Grevillea miniata,dry,follicle,dry,,,,,,`4-8
Grevillea minutiflora,dry,follicle,dry,,,,,,`4-9
Grevillea miqueliana,dry,follicle,dry,,,,,,
Grevillea mollis,dry,follicle,dry,,,,,,`8-11
Grevillea molyneuxii,dry,follicle,dry,,,,,,`8-11
Grevillea monslacana,dry,follicle,dry,,,,,,`10-4
Grevillea montana,dry,follicle,dry,,,,,,`9-10
Grevillea monticola,dry,follicle,dry,,,,,,`6-10
Grevillea montis-cole,dry,follicle,dry,,,,,,
Grevillea mucronulata,dry,follicle,dry,,,,,,`5-10
Grevillea muelleri,dry,follicle,dry,,,,,,`7-9
Grevillea murex,dry,follicle,dry,,,,,,`7-10
Grevillea muricata,dry,follicle,dry,,,,,,`8-11
Grevillea myosodes,dry,follicle,dry,,,,,,`5-7
Grevillea nana,dry,follicle,dry,,,,,,
Grevillea nematophylla,dry,follicle,dry,,,,,,
Grevillea neurophylla,dry,follicle,dry,,,,,,
Grevillea newbeyi,dry,follicle,dry,,,,,,`6-11
Grevillea nudiflora,dry,follicle,dry,,,,,,`7-11
Grevillea obliquistigma,dry,follicle,dry,,,,,,
Grevillea obtecta,dry,follicle,dry,,,,,,`8-11
Grevillea obtusiflora,dry,follicle,dry,,,,,,
Grevillea obtusifolia,dry,follicle,dry,,,,,,`8-11
Grevillea occidentalis,dry,follicle,dry,,,,,,`8-2
Grevillea oldei,dry,follicle,dry,,,,,,`6-2
Grevillea oleoides,dry,follicle,dry,,,,,,`8-11
Grevillea oligantha,dry,follicle,dry,,,,,,`5-11
Grevillea oligomera,dry,follicle,dry,,,,,,`7-12
Grevillea olivacea,dry,follicle,dry,,,,,,`6-10
Grevillea oncogyne,dry,follicle,dry,,,,,,`10-12
Grevillea oxyantha,dry,follicle,dry,,,,,,
Grevillea pachylostyla,dry,follicle,dry,,,,,,`10-2
Grevillea paniculata,dry,follicle,dry,,,,,,`5-10
Grevillea papillosa,dry,follicle,dry,,,,,,`12-4
Grevillea paradoxa,dry,follicle,dry,,,,,,`6-10
Grevillea parallela,dry,follicle,dry,,,,,,`6-10
Grevillea parallelinervis,dry,follicle,dry,,,,,,`8-10
Grevillea parviflora,dry,follicle,dry,,,,,,
Grevillea parvula,dry,follicle,dry,,,,,,`10-3
Grevillea patentiloba,dry,follicle,dry,,,,,,
Grevillea patulifolia,dry,follicle,dry,,,,,,`7-2
Grevillea pauciflora,dry,follicle,dry,,,,,,
Grevillea pectinata,dry,follicle,dry,,,,,,`6-1
Grevillea petrophiloides,dry,follicle,dry,,,,,,
Grevillea phanerophlebia,dry,follicle,dry,,,,,,`8-9
Grevillea phillipsiana,dry,follicle,dry,,,,,,`7-9
Grevillea phylicoides,dry,follicle,dry,,,,,,`7-3
Grevillea pilosa,dry,follicle,dry,,,,,,
Grevillea pilulifera,dry,follicle,dry,,,,,,`4-12
Grevillea pimeleoides,dry,follicle,dry,,,,,,`7-11
Grevillea pinaster,dry,follicle,dry,,,,,,`5-9
Grevillea pinifolia,dry,follicle,dry,,,,,,`7-10
Grevillea pityophylla,dry,follicle,dry,,,,,,`7-10
Grevillea pluricaulis,dry,follicle,dry,,,,,,`4-10
Grevillea plurijuga,dry,follicle,dry,,,,,,
Grevillea polyacida,dry,follicle,dry,,,,,,`7-10
Grevillea polybotrya,dry,follicle,dry,,,,,,`9-12
Grevillea polybractea,dry,follicle,dry,,,,,,`9-12
Grevillea prasina,dry,follicle,dry,,,,,,`5-10
Grevillea preissii,dry,follicle,dry,,,,,,
Grevillea prominens,dry,follicle,dry,,,,,,`9-10
Grevillea prostrata,dry,follicle,dry,,,,,,`9-11
Grevillea psilantha,dry,follicle,dry,,,,,,`4-7
Grevillea pteridifolia,dry,follicle,dry,,,,,,`5-9
Grevillea pterosperma,dry,follicle,dry,,,,,,`6-1
Grevillea pulchella,dry,follicle,dry,,,,,,
Grevillea punctata,dry,follicle,dry,,,,,,`6-11
Grevillea pungens,dry,follicle,dry,,,,,,`7-11
Grevillea pyramidalis,dry,follicle,dry,,,,,,
Grevillea pythara,dry,follicle,dry,,,,,,`5-10
Grevillea quadricauda,dry,follicle,dry,,,,,,`7-11
Grevillea quercifolia,dry,follicle,dry,,,,,,`9-11
Grevillea quinquenervis,dry,follicle,dry,,,,,,`8-2
Grevillea ramosissima,dry,follicle,dry,,,,,,
Grevillea rara,dry,follicle,dry,,,,,,`8-11
Grevillea raybrownii,dry,follicle,dry,,,,,,`8-11
Grevillea refracta,dry,follicle,dry,,,,,,
Grevillea renwickiana,dry,follicle,dry,,,,,,`11-12
Grevillea repens,dry,follicle,dry,,,,,,`10-4
Grevillea reptans,dry,follicle,dry,,,,,,`8-11
Grevillea rhizomatosa,dry,follicle,dry,,,,,,`9-11
Grevillea rhyolitica,dry,follicle,dry,,,,,,
Grevillea rigida,dry,follicle,dry,,,,,,
Grevillea ripicola,dry,follicle,dry,,,,,,`10-11
Grevillea rivularis,dry,follicle,dry,,,,,,`9-4
Grevillea robusta,dry,follicle,dry,,,,,,`9-11
Grevillea rogersoniana,dry,follicle,dry,,,,,,`8-10
Grevillea rosieri,dry,follicle,dry,,,,,,`7-9
Grevillea rosmarinifolia,dry,follicle,dry,,,,,,
Grevillea roycei,dry,follicle,dry,,,,,,`8-10
Grevillea rubicunda,dry,follicle,dry,,,,,,`12-5
Grevillea rudis,dry,follicle,dry,,,,,,
Grevillea saccata,dry,follicle,dry,,,,,,`6-11
