taxon_name,fire_response_LCR,fire_response_NL,seedlings_first_observed,first_flowering_resp,first_flowering_seed,first_flowering_unknown,first_fruiting_resp,first_fruiting_seed,first_fruiting_unknown,primary_juvenile_period,secondary_juvenile_period,page,peak_flowering_resp,peak_flowering_seed,peak_flowering_unknown,peak_fruiting_resp,peak_fruiting_seed,peak_fruiting_unknown,notes,advanced_seedlings,fire intensity,large_prop_flowering
Pomaderris discolor,K,,,,140w,,,249w,,,,28,,(prob.pk.pf.flower.c.4-6y),,,,,,,,
Pomaderris elliptica,,K,,,195w,,,,,,,28,,,,,,,,,,
Pomaderris ferruginea,K,,63w-adv,,140w,,,149w,,c.2-3y,,28,,(prob.pk.pf.flower.c.4-6y),,,,,,advanced seedlings,,
Pomaderris intermedia,K,,50w,,89w,,,143w,,,,28,,(prob.pk.pf.flower.c.4-6y),,,,,,,,
Rosaceae,,,,,,,,,,,,28,,,,,,,,,,
*Potentilla indica,R,,,,,,23w,,,,,28,,,,,,,,,,
*Rubus ?discolor,R,,,38w,,,49w,,,,c.1y,28,,,,,,,,,,
Rubiaceae,,,,,,,,,,,,28,,,,,,,,,,
*Galium aparine,?K,,,,44w,,,44w,,c.1y,,28,,,,,,,,,,
Galium binifolium,,,36w,,,,,,,,,28,,,,,,,,,,
Morinda jasminoides,R,,,101w-grn,,,,,,,c.2y,28,,,,(poss.pk.pf.fruit.c.5+y),,,,,,
Opercularia aspera,R,R,21w,,,,23w,,,,,28,,,,,,,,,,
Opercularia varia,pR,,,,,33w,,,33w,,,28,,,,,,,,,,
Pomax umbellata,pK,pK,15w,,38w,,,49w,,c.1y-(shd),,28,,,,,,,,,,
*Richardia stellaris,?R,,,,,,,,25w,,,28,,,,,,,,,,
Rutaceae,,,,,,,,,,,,28,,,,,,,,,,
Asterolasia correifolia,,K,,,,,,,,,,28,,,,,,,,,,
Boronia ledifolia,K,K,23w,,85w,,,c.2y,,97w-(shd),,29,,(prob.pk.pf.flower.c.4-5y),,,,,,,,
Boronia mollis,,pK,35w,,,,,,,,,29,,,,,,,,,,
Boronia pinnata,R,R,,37w,,,97w-(shd),,,,c.2y,29,(poss.pk.pf.flower.c.3+y),,,,,,,,,89w
Boronia polygalifolia,pR,,,,,,,,,,,29,,,,,,,,,,
Boronia rigens,K,pK,,,,,,,,,,29,,,,,,,,,,
Correa reflexa,pK,pK,85w,,131w,,,89w-grn,,c.2y,,29,,(prob.pk.pf.flower.c.4-5y),,,,,,,,
Crowea saligna,,?K,22w,,,,,,,,,29,,,,,,,,,,
Eriostemon australasius,,K/r,17w,,,,,,,,,29,,,,,,,,,,
Leionema dentatum,K,K,30w,,189w,,,247w,,c.4-5y,,29,,(poss.pk.pf.flower.c.10+y),,,,,,,,
Phebalium squamulosum subsp. squamulosum,,K,,,,,,,,,,29,,,,,,,,,,
Philotheca salsolifolia subsp. salsolifolia,pK,K,,,89w,,,141w-grn,,c.2-3y,,29,,(prob.pk.pf.flower.c.5-6y),,,,,,,,135w
Zieria laevigata,,?K,17w,,,,,97w,,,,29,,,,,,,,,,
Zieria pilosa,pK,,15w,,63w,,,85w,,c.2y,,29,,,,,(poss.pk.pf.fruit.c.3y),,,,,85w
Zieria smithii,K,,26w,,88w,,,143w,,c.2-3y,,29,,(poss.pk.pf.flower.c.3-5y),,,,,,,,
Salicaceae,,,,,,,,,,,,29,,,,,,,,,,
*Populus alba,R,,,,,,,,,,,29,,,,,,,,,,
*Salix ?alba,,R,,,,,,,,,,29,,,,,,,,,,
*Salix babylonica (s.lat.),R,,,,,,,,,,,29,,,,,,,,,,
Santalaceae,,,,,,,,,,,,29,,,,,,,,,,
Exocarpos cupressiformis,R,R,26w,61w,,,,,190w,,,29,,,,,,,,,,
Leptomeria acida,K,,122w-adv,,163w,,,190w,,c.3-5y,,29,,,,,,,,advanced seedlings,,
Sapindaceae,,,,,,,,,,,,29,,,,,,,,,,
*Cardiospermum grandiflorum,R,,7w,,,63w,,,89w,,,29,,,,,,,,,,
Dodonaea pinnata,,pK,31w,,,,,,,,,29,,,,,,,,,,
Dodonaea triquetra,K,pK,6w,,63w,,,87w-grn,,c.2-3y,,29,,,,,(prob.pk.pf.fruit.c.4-5y),,,,,
Scrophulariaceae,,,,,,,,,,,,29,,,,,,,,,,
*Verbascum virgatum,,,,,,,,,51w,,,29,,,,,,,,,,
*Veronica persica,,,,,38w,,,38w,,,,29,,,,,,,,,,
Veronica plebeia,R,,19w,,,39w,,,44w(grn),,,29,,,,,,,,,,
Simaroubaceae,,,,,,,,,,,,29,,,,,,,,,,
*Ailanthus altissima,R,R,,,,,,,,,,29,,,,,,,,,,
Solanaceae,,,,,,,,,,,,29,,,,,,,,,,
*Cestrum parqui,R,,,41w,,,51w,,,,c.1y-grn,29,,,,,,,,,,
*Datura ferox,,,,,,,,,16w(grn),,,29,,,,,,,,,,
*Datura stramonium,,,8w,,,8w,,,12w(grn),,,29,,,,,,,,,,
Duboisia myoporoides,,R,,,,,,,,,,29,,,,,,,,,,
*Lycopersicon esculentum,,,12w,,15w,,,29w,,,,29,,,,,,,,,,
*Petunia ?(hybrid),,,,,35w,,,,,,,29,,,,,,,,,,
*Physalis peruviana,,,,,140w,,,140w,,,,29,,,,,,,,,,
Solanum americanum,,,,,,37w,,,37w,,,29,,,,,,,,,,
Solanum aviculare,,,16w,,,50w,,,94w(grn),,,29,,,,,,,,,,
*Solanum chenopodioides,R,,,7w,,,50w,,,,,29,,,,,,,,,,
*Solanum mauritianum,R,pR,,36w,,,41w,,,,c.1y,29,,,,,,,,,,
Solanum prinophyllum,,,13w,,35w,,,35w,,,,29,,,,,,,,,,
Solanum vescum,,,20w,,38w,,,38w,,,,29,,,,,,,,,,
Stackhousiaceae,,,,,,,,,,,,30,,,,,,,,,,
Stackhousia nuda,,R,,17w(1),,,,,,,,30,,,,,,,,,,
Stackhousia viminea,pK,pK,32w,,37w,,,42w,,c.1y,,30,,,,,,,,,,
Sterculiaceae,,,,,,,,,,,,30,,,,,,,,,,
Commersonia fraseri,R,,,63w,,,,,,,,30,,,,,,,,,,
Lasiopetalum ferrugineum,K,K,22w,,87w,,,97w,,c.2y(shd),,30,,(prob.pk.pf.flower.c.4-5y),,,,,,,,
Lasiopetalum parviflorum,K,,,,144w,,,,,,,30,,,,,,,,,,
Rulingia dasyphylla,,,20w,,38w,,,92w,,c.2y(shd),,30,,(prob.pk.pf.flower.c.3-4y),,,,,,,,
Stylidiaceae,,,,,,,,,,,,30,,,,,,,,,,
Stylidium graminifolium,R,,,30w,,,51w,,,,c.1-2y,30,,,,,,,,,,
Stylidium lineare,?K,K/r,?75w,?42w,93w,,,104w,,c.2y(shd),,30,,(poss.pk.pf.flower.c.3y),,,,,,,,
Stylidium productum,R,pR,26w,,,97w,,,101w(grn),,c.2-3y?,30,,,,,,,,,,
Thymelaeaceae,,,,,,,,,,,,30,,,,,,,,,,
Pimelea curviflora,,,,,56w,,,61w,,,,30,,(poss.pk.pf.flower.c.2y),,,,,,,,
Pimelea linifolia,K,K,22w,,56w,,,75w,,c.2y(shd),,30,,(prob.pk.pf.flower.c.3-5y),,,,,,,,
Wikstroemia indica,,?K,,,,,,,,,,30,,,,,,,,,,
Tremandraceae,,,,,,,,,,,,30,,,,,,,,,,
Tetratheca ericifolia,,K,,,,,,,,,,30,,,,,,,,,,
Tetratheca glandulosa,R,R,,90w,,,,,,,,30,,,,,,,,,,
Tetratheca thymifolia,R/?k,R,38w,,,,,,,,,30,,,,,,,,,,
Tropaeolaceae,,,,,,,,,,,,30,,,,,,,,,,
*Tropaeolum majus,,,,,26w,,,26w,,,,30,,,,,,,,,,
Ulmaceae,,,,,,,,,,,,30,,,,,,,,,,
*Celtis australis,R,,,,,,,,,,,30,,,,,,,,,,
Trema tomentosa var. viridis,,?K,10w,,,,,,,,,30,,,,,,,,,,
Urticaceae,,,,,,,,,,,,30,,,,,,,,,,
Urtica incisa,,,,,,38w,,,,,,30,,,,,,,,,,
Verbenaceae,,,,,,,,,,,,30,,,,,,,,,,
Clerodendrum tomentosum,R,R,,143w-buds,,,4y-grn.,,,,,30,,,,,,,,,,
*Lantana camara,R,R,,16w,,,20w-grn,,,,,30,,,,,,,,,,
*Verbena bonariensis (s.lat.),R,,11w,,,37w,,,56w,,,30,,,,,,,,,,
*Verbena litoralis (s.lat.),R,,,7w,,,10w,,,,,30,,,,,,,,,,
*Verbena rigida,,,,,,12w,,,23w-(shd),,,30,,,,,,,,,,
Violaceae,,,,,,,,,,,,30,,,,,,,,,,
Hybanthus monopetalus,R,,,36w,,,43w- grn,,,,c.1y,30,(prob.pk.pf.flower.c.2-3y),,,,,,,,,
Viola hederacea,R,,10w,,,10w,,,38w,,,30,,,,,,,,,,
*Viola odorata,R,,,,,,,,,,,30,,,,,,,,,,
Vitaceae,,,,,,,,,,,,30,,,,,,,,,,
Cayatia clematidea,R,R,,51w,,,51w-grn,,,,c.1y,30,,,,,,,,,,
Cissus hypoglauca,R,R,,,,,,,,,,30,,,,,,,,,,
*Vitis sp.,,R,,,,,,,,,,30,,,,,,,,,,
Agavaceae,,,,,,,,,,,,30,,,,,,,,,,
*Agave americana,R,,,19w,,,,,,,,30,,,,,,,,,,
*Yucca aloifolia,R,,,,,,,,,,,30,,,,,,,,,,
Alliaceae,,,,,,,,,,,,30,,,,,,,,,,
*Nothoscordum borbonicum,pR,pR,,9w,,,18w,,,,,30,,,,,,,,,,
Alstroemeriaceae,,,,,,,,,,,,30,,,,,,,,,,
*Alstroemeria pulchella,pR,,,49w,,,49w,,,,,30,,,,,,,,,,
Amaryllidaceae,,,,,,,,,,,,30,,,,,,,,,,
*Amaryllis belladonna,pR,,,,,,12w,,,,,30,,,,,,,,,,
*Clivia miniata,R,,,,,,,,,,,31,,,,,,,,,,
*Narcissus sp.,pR,pR,,18w,,,,,,,,31,,,,,,,,,,
Anthericaceae,,,,,,,,,,,,31,,,,,,,,,,
Caesia parviflora,R,R,,37w,,,49w,,,,c.1y,31,,,,,,,,,,42w
*Chlorophytum comosum,pR,,,16w,,,,,,,c.1y,31,,,,,,,,,,
Laxmannia gracilis (s.str.),?K,,,,,43w(1),,,51w-(shd),,,31,,,,,,,,,,46w
Sowerbaea juncea,,R,,32w,,,,,,,,31,,,,,,,,,,
Thysanotus juncifolius,pR,pR,,17w,,,,,64w-(shd),,,31,,,,,,,,,,
Thysanotus tuberosus,R,,,46w,,,,,,,,31,,,,,,,,,,
Tricoryne simplex,R,,,16w,,,41w,,,,c.1y,31,,,,,,,,,,
Araceae,,,,,,,,,,,,31,,,,,,,,,,
*Colocasia esculenta,pR,pR,,,,,,,,,,31,,,,,,,,,,
Gymnostachys anceps,,R,,35w,,,35w,,,,,31,,,,,,,,,,
Arecaceae,,,,,,,,,,,,31,,,,,,,,,,
Livistona australis,,R,,35w,,,,,,,,31,,,,,,,,,,
*Phoenix ?canariensis,R,,,,,,,,,,,31,,,,,,,,,,
Asparagaceae,,,,,,,,,,,,31,,,,,,,,,,
*Asparagus aethiopicus,R,,,50w,,,,,,,,31,,,,,,,,,,
*Asparagus asparagoides,R,,,,,,46w,,,,c.1y,31,,,,,,,,,,
*Asparagus officinalis,pR,,,,,,18w,,,,,31,,,,,,,,,,
*Asparagus scandens,R,,,,,,,,,,,31,,,,,,,,,,
Blandfordiaceae,,,,,,,,,,,,31,,,,,,,,,,
Blandfordia nobilis,R,R,,46w,,,56w-(shd),,,,56w-(shd),31,(prob.pk.pf.flower.c.2y),,,,,,,,,49w
Cannaceae,,,,,,,,,,,,31,,,,,,,,,,
*Canna indica,R,R,,38w,,,,,,,,31,,,,,,,,,,
Centrolepidaceae,,,,,,,,,,,,31,,,,,,,,,,
Centrolepis strigosa,pK,,,36w,,,44w,,,,44w-(shd),31,,,,,,,,,,
Colchicaceae,,,,,,,,,,,,31,,,,,,,,,,
Burchardia umbellata,R,R,,36w,,,46w,,,,46w-(shd),31,,,,,,,,,,
Commelinaceae,,,,,,,,,,,,31,,,,,,,,,,
Commelina cyanea,R,R,,10w,,,,,,,,31,,,,,,,,,,
*Tradescantia fluminensis,R,,,43w,,,,,,,,31,(poss.pk.pf.flower.c.3y),,,,,,,,,
Cyperaceae,,,,,,,,,,,,31,,,,,,,,,,
Baumea juncea,R,R,,49w,,,51w,,,,,31,,,,,,,,,,
Baumea rubiginosa,R,R,,38w,,,,,,,,31,,,,,,,,,,
Carex inversa,?R,,,,,15w,,,,,,31,,,,,,,,,,
Caustis flexuosa,K,K,56w,,c.2-3y,,,,,,,31,,,,,,,,,,
Caustis pentandra,K,K,,,,,,198w,,c.4y,,31,,,,,,,,,,
Chorizandra cymbaria,R,R,,31w,,,42w,,,,c.1y,31,,,,,,,,,,
Chorizandra sphaerocephala,,R,,17w,,,32w,,,,32w-(shd),31,,,,,,,,,,
Cyathochaeta diandra,R,R,,45w,,,56w,,,,,31,(prob.pk.pf.flower.c.1y),,,,,,,,,
*Cyperus albostriatus,pR,pR,,26w,,,,,,,,31,,,,,,,,,,
*Cyperus brevifolius,R,,,10w,,,10w,,,,,31,,,,,,,,,,
*Cyperus eragrostis,R,,,10w,,,10w,,,,,31,,,,,,,,,,
Cyperus ?polystachyos,R,,,10w,,,,,,,,31,,,,,,,,,,
Fimbristylis dichotoma,pR,,,,,,,,71w-(shd),,,31,,,,,,,,,,
Gahnia clarkei,R,,,,,,159w,,,,c.3y,31,,,,,,,,,,
Gahnia erythrocarpa,R,R,,91w,,,201w,,,,c.3-4y,31,,,,,,,,,,
Gahnia melanocarpa,R,,,,,,125w,,,,c.2-3y,31,,,,,,,,,,
Gahnia radula,R,R,,90w,,,,,,,c.2-3y,31,,,,,,,,,,
Gymnoschoenus sphaerocephalus,,R,,,,,,,,,,31,,,,,,,,,,
Isolepis ?cernua,R,,,10w,,,,,,,,31,,,,,,,,,,
Isolepis inundata,,,,,,28w,,,,,,31,,,,,,,,,,
*Isolepis prolifera,pR,,,,,,,,63w,,,32,,,,,,,,,,
Lepidosperma filiforme,,?K,,,,,,,,,,32,,,,,,,,,,
Lepidosperma gunnii,pR,,,,,,61w,,,,,32,,,,,,,,,,
Lepidosperma laterale,R,,,49w,,,56w,,,,56w,32,,,,,,,,,,
Lepidosperma limicola,,R,,32w,,,,,,,,32,,,,,,,,,,
Lepidosperma neesii,R,R,,35w,,,63w,,,,,32,,,,,,,,,,
Ptilothrix deusta,R,R,,10w,,,32w,,,,c.1y-(shd),32,(prob.pk.pf.flower.c.1y),,,,,,,,,
Schoenus apogon,?K,?K,,,,38w,,,,,,32,,,,,,,,,,
Schoenus brevifolius,R,,,41w,,,63w,,,,,32,,,,,,,,,,
Schoenus ericetorum,R,,,36w,,,,,,,,32,,,,,,,,,,
Schoenus imberbis,R,R,,37w,,,76w,,,,,32,,,,,,,,,,
Schoenus melanostachys,R,R,,35w,,,51w,,,,c.1y,32,,,,,,,,,,
Schoenus moorei,R,R,,32w,,,51w,,,,c.1y,32,,,,,,,,,,
Schoenus paludosus,,K,,,,,,,,,,32,,,,,,,,,,
Schoenus turbinatus,,,,,,104w-buds,,,,,,32,,,,,,,,,,
Schoenus villosus,R,,,56w-buds,,,,,,,,32,,,,,,,,,,
Tetraria capillaris,R,,,50w,,,,,,,,32,,,,,,,,,,
Tricostularia pauciflora,pR,,,,,,104w,,,,,32,,,,,,,,,,
Haemodoraceae,,,,,,,,,,,,32,,,,,,,,,,
Haemodorum corymbosum,R,R,,42w,,,64w,,,,,32,,,,,,,,,,
Haemodorum planifolium,R,R,,42w,,,56w,,,,56w-(shd),32,(prob.pk.pf.flower.c.1y),,,,,,,,,
Hypoxidaceae,,,,,,,,,,,,32,,,,,,,,,,
Hypoxis hygrometrica (s.lat.),pR,,,16w,,,,,,,,32,,,,,,,,,,
Iridaceae,,,,,,,,,,,,32,,,,,,,,,,
*Anomatheca laxa,pR,,,40w,,,,,,,,32,,,,,,,,,,
*Aristea ecklonii,pR,R,,41w,,,44w,,,,,32,,,,,,,,,,
*Crocosmia X crocosmiiflora,pR,pR,,18w,,,38w-grn,,,,,32,,,,,,,,,,
*Freesia hybrid,pR,,,33w,,,38w,,,,,32,,,,,,,,,,
*Gladiolus angustus,pR,pR,,40w,,,,,,,,32,,,,,,,,,,
Patersonia glabrata,R,R,,38w,,,49w,,,,c.1y-(shd),32,,,,,,,,,,
Patersonia sericea,R,R,,31w,,,44w,,,,c.1y-(shd),32,,,,,,,,,,
*Romulea rosea,pR,,,33w,,,,,,,,32,,,,,,,,,,
*Sisyrinchium iridifolium,,?K,,,,42w,,,42w,,,32,,,,,,,,,,
*Sisyrinchium species A,?K,?K,,,,42w,,,44w,,,32,,,,,,,,,,
*Watsonia meriana cv. Bulbillifera,pR,pR,,38w,,,,,,,,32,,,,,,,Note: Bulbils began to be shed within 50w of fire.,,,
Juncaceae,,,,,,,,,,,,32,,,,,,,,,,
*Juncus articulatus,R,,,10w,,,,,,,,32,,,,,,,,,,
*Juncus bufonius,,,,,,,,,38w(grn),,,32,,,,,,,,,,
Juncus continuus,,R,,42w-buds,,,,,,,,32,,,,,,,,,,
Juncus planifolius,,,,,,,,,40w,,,32,,,,,,,,,,
Juncaginaceae,,,,,,,,,,,,32,,,,,,,,,,
Triglochin procerum (s.str.),,pR,,20w,,,20w,,,,20w,32,,,,,,,,,,
Liliaceae,,,,,,,,,,,,32,,,,,,,,,,
*Lilium formosanum,R,R,,26w,,,29w-grn,,,,,32,,,,,,,,,,
Lomandraceae,,,,,,,,,,,,32,,,,,,,,,,
Lomandra cylindrica,R,,,40w,,,56w,,,,56w-(shd),32,,,,,,,,,,
Lomandra filiformis subsp. filiformis,R,R,,35w,,,51w,,,,c.1y,32,,,,,,,,,,
Lomandra fluviatilis,R,,,,,,,,,,,32,,,,,,,,,,
Lomandra glauca,R,R,,36w,,,49w,,,,c.1y,32,,,,,,,,,,
Lomandra gracilis,R,R,,38w,,,51w,,,,c.1y-(shd),32,,,,,,,,,,
Lomandra longifolia,R,R,131w,34w,,,50w,,,,c.1y-(shd),32,,,,,,,,,,
Lomandra micrantha,R,,,64w,,,,,,,,32,,,,,,,,,,
Lomandra multiflora,R,R,,41w,,,51w,,,,c.1y,32,,,,,,,,,,
Lomandra obliqua,R,R,,41w,,,49w,,,,c.1y,33,,,,,,,,,,
Luzuriagaceae,,,,,,,,,,,,33,,,,,,,,,,
Eustrephus latifolius,R,pR,,15w,,,35w,,,,35w-ri,33,,,,,,,,,,
Geitonoplesium cymosum,,R,,35w-buds,,,,,,,,33,,,,,,,,,,
Orchidaceae,,,,,,,,,,,,33,,,,,,,,,,
Acianthus caudatus,pR,,,28w,,,38w,,,,,33,,,,,,,,,,
Acianthus fornicatus,pR,,,23w,,,33w,,,,,33,,,,,,,,,,
Acianthus pusillus,pR,,,16w,,,26w,,,,,33,,,,,,,,,,
Caladenia carnea,pR,,,36w,,,,,,,,33,,,,,,,,,,
Caladenia catenata,pR,,,34w,,,39w,,,,,33,,,,,,,,,,
Caladenia testacea,,,,,,86w (1),,,,,,33,,,,,,,,,,
Caleana major,pR,pR,,37w,,,49w,,,,,33,,,,,,,,,,
Calochilus campestris,pR,pR,,37w,,,42w,,,,,33,,,,,,,,,,
Calochilus paludosus,pR,pR,,37w,,,41w,,,,,33,,,,,,,,,,
Calochilus robertsonii,pR,,,39w,,,,,,,,33,,,,,,,,,,
Cestichis reflexa,,R,,,,,,,,,,33,,,,,,,Lightly burnt plants resprouted from pseudobulbs -NL.,,low,
Cestichis reflexa,,K,,,,,,,,,,33,,,,,,,,,,
Chiloglottis sp.,,pR,,10w,,,,,,,,33,,,,,,,,,,
Corybas pruinosus,,pR,,,,,,,,,,33,,,,,,,Leaves emerged within 35w of fire.,,,
Cryptostylis erecta,pR,,,46w,,,108w,,,,,33,,,,,,,,,,
Cryptostylis subulata,pR,,,,,101w,,,101w-grn,,,33,,,,,,,,,,
Cymbidium suave,R,R,,92w,,,,,,,,33,,,,,,,,,low,
Cymbidium suave,pK,pK,,,,,,,,,,33,,,,,,,,,,
Dipodium roseum,pR,,,,,101w,,,,,,33,,,,,,,,,,
Dipodium variegatum,pR,,,49w,,,,,,,,33,,,,,,,,,,
Diuris aurea,,pR,,37w,,,42w,,,,,33,,,,,,,,,,
Diuris maculata,pR,,,30w,,,36w,,,,,33,(prob.pk.pf.flower.c.1y),,,,,,,,,
Dockrillia linguiformis,K,K,,,,143w-buds,,,,,,33,,,,,,,,,,
Eriochilus petricola,pR,,,64w,,,,,,,,33,,,,,,,,,,
Genoplesium fimbriatum,,pR,,10w,,,21w,,,,,33,,,,,,,,,,
Genoplesium pumilum,,pR,,,,,17w,,,,,33,,,,,,,,,,
Genoplesium rufum,pR,pR,,16w,,,24w,,,,,33,,,,,,,,,,
Glossodia major,pR,,,31w,,,,,,,,33,,,,,,,,,,
Glossodia minor,pR,pR,,31w,,,36w,,,,,33,,,,,,,,,,
Lyperanthus suaveolens,pR,,,36w,,,,,,,,33,,,,,,,,,,
Microtis unifolia (s.lat.),pR,pR,,36w,,,43w,,,,,33,,,,,,,,,,
Orthoceras strictum,,,,,,,,,104w,,,33,,,,,,,,,,
Prasophyllum elatum,pR,pR,,36w,,,43w,,,,,33,,,,,,,,,,
Prasophyllum striatum,,pR,,,,,22w,,,,,33,,,,,,,,,,
Pterostylis acuminata,pR,,,18w,,,,,,,,33,,,,,,,,,,
Pterostylis concinna,pR,,,29w,,,30w,,,,,33,,,,,,,,,,
Pterostylis daintreana,,pR,,22w,,,31w,,,,,33,,,,,,,,,,
Pterostylis longifolia,pR,,,24w,,,,,,,,33,,,,,,,,,,
Pterostylis nutans,pR,pR,,30w,,,36w,,,,,33,,,,,,,,,,
Rimacola elliptica,pR,pR,,38w,,,,,,,,33,,,,,,,,,,
Thelymitra ixioides,pR,pR,,31w,,,43w-(shd),,,,,33,,,,,,,,,,
Thelymitra pauciflora,pR,pR,,37w,,,42w,,,,,33,,,,,,,,,,
Philydraceae,,,,,,,,,,,,33,,,,,,,,,,
Philydrum lanuginosum,,pR,,,,,20w,,,,,33,,,,,,,,,,
Phormiaceae,,,,,,,,,,,,33,,,,,,,,,,
Dianella caerulea,R,R,,41w,,,49w,,,,c.1y,33,,,,,,,,,,
Dianella prunina,R,R,,43w,,,51w,,,,c.1y,33,,,,,,,,,,
Dianella revoluta,R,,,94w,,,,,,,,33,,,,,,,,,,
Thelionema caespitosum,R,,,91w,,,100w,,,,,33,,,,,,,,,,
Poaceae,,,,,,,,,,,,33,,,,,,,,,,
*Agrostis capillaris,,,,,,43w,,,,,,33,,,,,,,,,,
*Agrostis stolonifera,,,,,,43w,,,,,,33,,,,,,,,,,
*Andropogon virginicus,R,R,,15w,,,20w,,,,20w,33,,,,,,,,,,
Anisopogon avenaceus,R,R,,41w,,,49w,,,,c.1y-(shd),34,(poss.pk.pf.flower.c.1-2y),,,,,,,,,
Aristida benthamii,,R,,17w,,,32w,,,,32w-(shd),34,,,,,,,,,,
Aristida calycina var. calycina,R,,,,,,26w,,,,26w-(shd),34,,,,,,,,,,
Aristida ramosa,R,R,,8w,,,17w,,,,17w,34,,,,,,,,,,
Aristida vagans,R,,,6w,,,15w,,,,15w-(shd),34,,,,,,,,,,
Aristida warburgii,R,,,11w,,,16w,,,,16w,34,,,,,,,,,,
*Arundo donax,R,,,,,,,,,,,34,,,,,,,,,,
Austrodathonia ?linkii,,,,,,,,,30w-(shd),,,34,,,,,,,,,,
Austrodanthonia tenuior,R,,,11w,,,18w,,,,18w,34,,,,,,,,,,
Austrostipa pubescens,R,,,,,,49w,,,,c.1y-(shd),34,,,,,,,,,,
*Avena sativa,,,,,,23w,,,43w-(shd),,,34,,,,,,,,,,
*Briza maxima,?K,,,,43w,,,50w,,1y-(shd),,34,,,,,,,,,,
*Briza minor,?K,?K,,,28w,,,43w,,43w,,34,,,,,,,,,,
*Briza subaristata,,,,,,,,,51w,,,34,,,,,,,,,,
*Bromus catharticus,,,,,,39w,,,,,,34,,,,,,,,,,
*Bromus diandrus,,,,,,41w,,,,,,34,,,,,,,,,,
*Chloris gayana,,R,,13w,,,35w,,,,,34,,,,,,,,,,
*Cortaderia selloana,R,R,,18w,,,20w,,,,,34,,,,,,,,,,
Cymbopogon refractus,R,,,9w,,,19w,,,,19w,34,,,,,,,,,,
Deyeuxia quadriseta,,,,,,39w,,,44w,,,34,,,,,,,,,,
Dichelachne crinita,R,pR,,37w,,,49w,,,,c.1y-(shd),34,,,,,,,,,,
Dichelachne micrantha,R,,,16w,,,,,,,,34,,,,,,,,,,
Dichelachne parva,,,,,,39w,,,,,,34,,,,,,,,,,
Dichelachne rara,,,,,,41w,,,,,,34,,,,,,,,,,
Digitaria parviflora,R,R,,13w,,,30w,,,,30w-(shd),34,,,,,,,,,,
Echinopogon caespitosus,R,,,8w,,,15w,,,,15w,34,,,,,,,,,,
*Ehrharta erecta,R,,,12w,,,,,38w,,,34,,,,,,,,,,
*Eleusine indica,,,,,,15w,,,,,,34,,,,,,,,,,
Entolasia marginata,R,,,9w,,,28w,,,,28w-(shd),34,,,,,,,,,,
Entolasia stricta,R,R,,8w,,,22w,,,,22w,34,,,,,,,,,,
Eragrostis ?brownii,R,,,8w,,,,,,,,34,,,,,,,,,,
Eragrostis leptostachya,R,,,9w,,,,,,,,34,,,,,,,,,,
Hemarthria uncinata,R,R,,11w,,,,,,,,34,,,,,,,,,,
*Hordeum distichon,,,,,,12w,,,40w,,,34,,,,,,,,,,
Imperata cylindrica var. major,R,,,6w,,,11w,,,,11w,34,,,,,,,,,,
Lachnagrostis filiformis,,,,,,39w,,,44w,,,34,,,,,,,,,,
*Lolium multiflorum,,,,,,38w,,,,,,34,,,,,,,,,,
*Lolium perenne,,,,,,44w,,,,,,34,,,,,,,,,,
*Melinis repens,R,,,19w,,,26w,,,,,34,,,,,,,,,,
Microlaena stipoides,R,,,8w,,,15w,,,,15w,34,,,,,,,,,,
Oplismenus aemulus,?K,,,,,19w,,,,,,34,,,,,,,,,,
Panicum simile,R,,,15w,,,16w,,,,,34,,,,,,,,,,
*Paspalum dilatatum,R,,,10w,,,15w,,,,15w,34,,,,,,,,,,
*Paspalum quadrifarium,R,R,,11w,,,28w,,,,28w-(shd),34,,,,,,,,,,
*Paspalum urvillei,R,,,9w,,,9w,,,,,34,,,,,,,,,,
*Pennisetum clandestinum,R,pR,,,,,,,,,,34,,,,,,,,,,
*Pennisetum macrourum,R,,,50w,,,,,,,,34,,,,,,,,,,
Phragmites australis,R,,,,,,71w,,,,c. 1-2y,34,,,,,,,,,,
*Phyllostachys aurea,R,,,,,,,,,,,34,,,,,,,,,,
*Poa annua,,,,,30w,,,,,,,34,,,,,,,,,,
Poa labillardieri,R,,,9w,,,,,,,,34,,,,,,,,,,
*Setaria gracilis,R,,,9w,,,10w,,,,,34,,,,,,,,,,
*Setaria palmifolia,R,R,,16w,,,30w,,,,,34,,,,,,,,,,
*Setaria sphacelata,,R,,38w,,,38w,,,,,34,,,,,,,,,,
*Sorghum bicolor,,,,,23w,,,23w,,,,35,,,,,,,,,,
*Sporobolus africanus,,,,,,19w,,,,,,35,,,,,,,,,,
Sporobolus creber,pR,,,15w,,,,,,,,35,,,,,,,,,,
Themda australis,R,R,,13w,,,49w,,,,c.1y,35,,,,,,,,,,
*Vulpia bromoides,,,,,,43w,,,,,,35,,,,,,,,,,
Restionaceae,,,,,,,,,,,,35,,,,,,,,,,
Baloskion tetraphyllum subsp. meiostachyum,,R,,,,,,,,,,35,,,,,,,,,,
Chordifex dimorphus,,K/r,,,,,,,,,,35,,,,,,,One plant resprouted. Others apparently killed.,,,
Chordifex fastigiatus,,K,,,,,,,,,,35,,,,,,,"One plant resprouted, but it was not 100% scorched.",,,
Empodisma minus,R,,,,,,,,,,,35,,,,,,,,,,
