SPECIES,growth form,plant longevity,extreme min height (m),min height (m),max height (m),extreme max height (m),flowering start (month),flowering finish (month),leaf type (compound/simple),leaf longevity (evergreen/deciduous)
Halgania argyrophylla,shrub,perennial assumed,,0.1,0.6,,MAY,DEC,,
Halgania bebrana,shrub,perennial assumed,,,1,,SEP,SEP,,
Halgania corymbosa,shrub,perennial assumed,,0.35,1,,AUG,NOV,,
Halgania cyanea,shrub,perennial assumed,,0.1,1,,JAN,DEC,,
Halgania erecta,shrub,perennial assumed,,,0.3,,MAR,APR,,
Halgania glabra,shrub,perennial assumed,,0.3,1.2,,APR,OCT,,
Halgania gustafsenii,shrub,perennial assumed,,0.2,1,,JUN,DEC,,
Halgania integerrima,shrub,perennial assumed,,0.1,1.5,,JAN,DEC,,
Halgania lavandulacea,shrub,perennial assumed,,0.2,1.3,2.4,AUG,APR,,
Halgania littoralis,shrub,perennial assumed,,0.2,0.6,,JUL,NOV,,
Halgania sericiflora,shrub,perennial assumed,0.12,0.2,1,2,JUL,OCT,,
Halgania solanacea,herb/shrub,perennial,,0.15,0.8,1,JAN,NOV,,
Halodule pinifolia,herb,perennial,,,,,,,,
Halodule uninervis,herb,perennial,,,,,,,,
Halophila australis,herb,perennial,,,,,OCT,JAN,,
Halophila decipiens,herb,perennial,,,,,OCT,DEC,,
Halophila minor,herb,perennial,,,,,OCT,OCT,,
Halophila ovalis,herb,perennial,,,,,AUG,APR,,
Halophila spinulosa,herb,perennial,,,,,,,,
Haloragis aculeolata,herb,perennial,,,0.4,,SEP,DEC,,
Haloragis acutangula,shrub,perennial assumed,,,,,,,,
Haloragis digyna,herb,perennial,,0.15,0.6,,OCT,JAN,,
Haloragis dura,herb,perennial,,0.1,0.35,,OCT,OCT,,
Haloragis foliosa,herb/shrub,perennial,,0.2,0.5,,,,,
Haloragis glauca,herb,perennial,,,0.25,,NOV,NOV,,
Haloragis gossei,herb,annual/perennial,,,0.4,,APR,SEP,,
Haloragis hamata,shrub,perennial assumed,,0.1,0.6,,OCT,APR,,
Haloragis maierae,herb,annual,,,0.2,,JUL,SEP,,
Haloragis odontocarpa,herb,annual,,0.1,0.5,0.9,JUL,SEP,,
Haloragis platycarpa,herb,perennial,,,0.3,,,,,
Haloragis scoparia,herb,perennial,,0.3,0.6,,,,,
Haloragis trigonocarpa,herb,annual,,0.05,0.4,,AUG,NOV,,
Haloragis uncatipila,herb/shrub,perennial,,0.4,0.8,,,,,
Haloragodendron glandulosum,shrub,perennial assumed,,0.2,1.5,,OCT,OCT,,
Haloragodendron racemosum,shrub/tree,perennial assumed,,1.5,4,,OCT,DEC,,
Hannafordia bissillii,shrub,perennial assumed,,0.3,1,,MAR,DEC,,
Hannafordia quadrivalvis,shrub,perennial assumed,,0.2,1,,MAY,SEP,,
Haptotrichion colwillii,herb,annual,,0.1,0.3,0.5,AUG,OCT,,
Haptotrichion conicum,herb,annual,,,0.35,,JUL,AUG,,
Harmogia parviflora,shrub,perennial assumed,,,,,,,,
Harmsiodoxa brevipes,herb,annual,,0.03,0.15,0.4,JUL,AUG,,
Harnieria kempeana,shrub,perennial assumed,,0.15,1.2,,MAY,SEPT,,
Harperia confertospicata,herb,perennial,,,0.5,,MAY,OCT,,
Harperia eyreana,herb,,,,1.2,,,,,
Harperia ferruginipes,herb,perennial,,,0.5,,APR,MAY,,
Harperia lateriflora,herb,perennial,,0.05,0.2,,JAN,MAY,,
Harrisonia brownii,shrub/tree,perennial assumed,,1,4,,DEC,APR,,
Helichrysum leucopsideum,herb,perennial,0.05,0.1,0.5,0.8,SEP,DEC,,
Helichrysum luteoalbum,herb,annual,,,0.7,,,,,
Helichrysum macranthum,herb,perennial,,0.3,2,,AUG,JUN,,
Helichrysum oligochaetum,herb,annual,,,0.25,,AUG,DEC,,
Helicteres angustifolia,shrub,perennial assumed,,,2,,,,,
Helicteres cana,shrub,perennial assumed,,0.5,2,,DEC,JUN,,
Helicteres rhynchocarpa,shrub,perennial assumed,,0.5,3,,FEB,AUG,,
Heliotropium aenigmatum,herb,,,,,,APR,AUG,,
Heliotropium alcyonium,herb,annual,,,0.3,,FEB,MAY,,
Heliotropium ammophilum,herb,annual/perennial,,0.07,0.3,0.5,APR,JUL,,
Heliotropium apertum,herb,annual,,,0.15,,,,,
Heliotropium argyreum,shrub,perennial assumed,,,0.2,,,,,
Heliotropium asperrimum,herb,perennial,,0.3,0.5,1,AUG,SEP,,
Heliotropium brachythrix,herb,annual,,0.1,0.45,,FEB,MAR,,
Heliotropium calvariavis,herb,annual,,,0.15,,,,,
Heliotropium chrysocarpum,herb,perennial,,0.2,0.4,,MAR,SEP,,
Heliotropium conocarpum,herb,annual,,,0.6,,JAN,JUL,,
Heliotropium crispatum,herb,annual/perennial,,0.1,0.7,,MAR,SEP,,
Heliotropium cunninghamii,herb,annual,0.07,0.15,0.6,,MAR,OCT,,
Heliotropium cupressinum,herb,perennial,,,0.6,,MAR,MAY,,
Heliotropium curassavicum,herb,annual/perennial,,0.1,0.2,0.6,MAY,JAN,,
Heliotropium dichotomum,herb,annual/perennial,,,0.45,,MAY,MAR,,
Heliotropium discorde,herb,annual,,,0.25,,FEB,JUN,,
Heliotropium diversifolium,herb,annual,,,0.3,,APR,JUN,,
Heliotropium epacrideum,herb/shrub,perennial,,0.2,0.5,0.8,APR,OCT,,
Heliotropium euodes,herb,annual/perennial,,0.15,0.4,,JAN,MAY,,
Heliotropium flintii,herb,perennial,,,0.25,,OCT,OCT,,
Heliotropium foliatum,herb,annual,,,0.45,,FEB,NOV,,
Heliotropium foveolatum,herb,annual,,,0.3,,FEB,JUL,,
Heliotropium galioides,herb,annual,,,0.15,,DEC,FEB,,
Heliotropium geocharis,herb,annual,,,0.5,,JAN,APR,,
Heliotropium glabellum,herb,annual/perennial,,0.2,1,,JAN,NOV,,
Heliotropium glanduliferum,herb/shrub,perennial,,0.1,0.6,,JUL,SEP,,
Heliotropium haesum,herb,annual,,,0.3,,MAY,SEP,,
Heliotropium heteranthum,herb,annual,,0.01,0.2,,FEB,OCT,,
Heliotropium inexplicitum,herb,annual/perennial,,0.1,0.2,,APR,SEP,,
Heliotropium leptaleum,herb,annual/perennial,,0.2,0.6,,JAN,OCT,,
Heliotropium microsalsoloides,shrub,perennial assumed,,,0.35,,,,,
Heliotropium mitchellii,herb/shrub,perennial,,,0.3,,MAY,JUN,,
Heliotropium moorei,herb,annual,,,0.3,,APR,JUN,,
Heliotropium murinum,herb,perennial,,,0.4,,MAY,SEP,,
Heliotropium muticum,herb,perennial,,,0.3,,,,,
Heliotropium nesopelydum,herb,perennial,,,0.2,,JUL,JUL,,
Heliotropium nexosum,herb,perennial,,,0.3,,MAY,MAY,,
Heliotropium ovalifolium,herb,annual/perennial,,0.15,0.8,,JAN,DEC,,
Heliotropium pachyphyllum,herb,perennial,0.1,0.15,0.6,0.9,JAN,DEC,,
Heliotropium paniculatum,herb,annual,,0.1,0.3,,JAN,SEP,,
Heliotropium parviantrum,herb,annual,,,0.15,,FEB,JAN,,
Heliotropium peckhamii,herb,perennial,,,0.3,,MAY,MAY,,
Heliotropium pleiopterum,herb,annual/perennial,,,0.7,,,,,
Heliotropium protensum,herb,perennial,,,0.2,,APR,MAY,,
Heliotropium ramulipatens,herb,perennial,,,0.2,,APR,MAY,,
Heliotropium skeleton,herb,perennial,,,1,,FEB,NOV,,
Heliotropium sphaericum,herb,annual,,,0.2,,MAY,MAY,,
Heliotropium synaimon,herb,annual,,,0.3,,APR,APR,,
Heliotropium tachyglossoides,herb,annual,,,0.25,,JAN,APR,,
Heliotropium tanythrix,herb,annual/perennial,,,0.35,,,,,
Heliotropium tenuifolium,herb,annual/perennial,,0.15,0.6,0.8,JAN,OCT,,
Heliotropium transforme,herb/shrub,,,,1,,MAR,NOV,,
Heliotropium uniflorum,herb,annual/biennial,,,0.3,,MAR,DEC,,
Heliotropium ventricosum,herb,annual,,0.1,0.35,,JAN,MAY,,
Heliotropium vestitum,herb/shrub,perennial,,0.2,0.45,,APR,SEP,,
Heliotropium viator,herb,annual/perennial,,,0.4,,,,,
Helipterum craspedioides,herb,annual,,0.15,0.4,,MAY,AUG,,
Hemiandra coccinea,shrub,perennial assumed,,0.15,0.5,,JUL,DEC,,
Hemiandra gardneri,shrub,perennial assumed,,0.1,0.2,,AUG,OCT,,
Hemiandra glabra,shrub,perennial assumed,,0.15,1.5,,SEP,NOV,,
Hemiandra incana,shrub,perennial assumed,,0.2,1,,SEP,JAN,,
Hemiandra leiantha,shrub,perennial assumed,,0.6,0.8,,AUG,SEP,,
Hemiandra linearis,shrub,perennial assumed,,,0.6,,OCT,DEC,,
Hemiandra pungens,shrub,perennial assumed,,0.05,1,,JAN,DEC,,
Hemiandra rubriflora,shrub,perennial assumed,,0.1,0.6,,JUN,NOV,,
Hemiandra rutilans,shrub,perennial assumed,,0.08,0.3,,OCT,NOV,,
Hemichroa pentandra,herb,perennial,,0.05,0.1,,NOV,NOV,,
Hemigenia barbata,shrub,perennial assumed,,0.2,1,,JUL,DEC,,
Hemigenia brachyphylla,shrub,perennial assumed,,0.2,0.5,,SEP,NOV,,
Hemigenia canescens,shrub,perennial assumed,,0.3,0.6,,,,,
Hemigenia coccinea,shrub,perennial assumed,,0.2,0.45,1.5,AUG,OCT,,
Hemigenia conferta,shrub,perennial assumed,,0.3,1.4,,SEP,OCT,,
Hemigenia curvifolia,shrub,perennial assumed,,0.2,0.7,,SEP,OCT,,
Hemigenia dielsii,shrub,perennial assumed,,0.2,1,,SEP,NOV,,
Hemigenia diplanthera,shrub,perennial assumed,,0.15,1.2,,JUL,DEC,,
Hemigenia divaricata,shrub,perennial assumed,0.25,0.4,1.5,,MAY,OCT,,
Hemigenia drummondii,shrub,perennial assumed,,0.2,0.6,,SEP,JAN,,
Hemigenia exilis,shrub,perennial assumed,,0.5,2,,APR,NOV,,
Hemigenia glabrescens,shrub,perennial assumed,,0.2,1.2,,OCT,NOV,,
Hemigenia humilis,shrub,perennial assumed,,,1.5,,SEP,FEB,,
Hemigenia incana,shrub,perennial assumed,,0.25,1.4,,AUG,NOV,,
Hemigenia macphersonii,shrub,perennial assumed,0.4,0.6,3,,JUL,NOV,,
Hemigenia macrantha,shrub,perennial assumed,0.2,0.3,1.5,2,AUG,JAN,,
Hemigenia microphylla,shrub,perennial assumed,,0.4,1.8,,SEP,DEC,,
Hemigenia obovata,shrub,perennial assumed,,,0.5,,OCT,NOV,,
Hemigenia obtusa,shrub,perennial assumed,,,,,,,,
Hemigenia parviflora,shrub,perennial assumed,,,0.9,,,,,
Hemigenia pedunculata,shrub,perennial assumed,,0.1,0.5,0.9,JUL,JAN,,
Hemigenia pimelifolia,shrub,perennial assumed,,0.2,1,,JUL,OCT,,
Hemigenia platyphylla,shrub,perennial assumed,,0.2,1.5,,SEP,NOV,,
Hemigenia podalyrina,shrub,perennial assumed,,0.3,2,,AUG,NOV,,
Hemigenia pritzelii,shrub,perennial assumed,,,0.7,,,,,
Hemigenia ramosissima,shrub,perennial assumed,,,0.5,,NOV,JAN,,
Hemigenia rigida,shrub,perennial assumed,,0.1,0.6,1,AUG,JAN,,
Hemigenia saligna,shrub,perennial assumed,,0.3,1,,JUL,OCT,,
Hemigenia scabra,shrub,perennial assumed,,0.3,1.2,,AUG,OCT,,
Hemigenia sericea,shrub,perennial assumed,,,1.5,,AUG,DEC,,
Hemigenia teretiuscula,shrub,perennial assumed,,0.1,0.8,1.2,AUG,MAR,,
Hemigenia tysonii,shrub,perennial assumed,,,0.5,,MAY,DEC,,
Hemigenia viscida,shrub,perennial assumed,,0.3,0.9,,JAN,FEB,,
Hemigenia westringioides,shrub,perennial assumed,,0.3,1.5,3,JUN,DEC,,
Hemiphora elderi,shrub,perennial assumed,,0.2,0.45,0.6,JUL,NOV,,
Hensmania chapmanii,herb,perennial,,,0.3,,DEC,JAN,,
Hensmania stoniella,herb,perennial,,0.1,0.2,,SEP,NOV,,
Hensmania turbinata,herb,perennial,,,0.2,,NOV,JAN,,
Herissantia crispa,herb,annual/perennial,,0.2,0.9,,MAR,AUG,,
Hibbertia acerosa,shrub,perennial assumed,0.02,0.1,0.6,,JUL,FEB,,
Hibbertia acrotrichion,shrub,perennial assumed,,0.15,0.3,,AUG,SEP,,
Hibbertia amplexicaulis,shrub,perennial assumed,,0.1,0.6,1.2,AUG,MAR,,
Hibbertia ancistrophylla,shrub,perennial assumed,,,0.3,,,,,
Hibbertia ancistrotricha,shrub,perennial assumed,,,0.3,,MAY,MAY,,
Hibbertia andrewsiana,shrub,perennial assumed,,0.15,0.6,,SEP,JAN,,
Hibbertia arcuata,shrub,perennial assumed,,0.3,1.3,,JUL,OCT,,
Hibbertia argentea,shrub,perennial assumed,,0.3,1.2,,SEP,DEC,,
Hibbertia aurea,shrub,perennial assumed,,0.25,1,,JUL,OCT,,
Hibbertia avonensis,shrub,perennial assumed,,,,,SEP,SEP,,
Hibbertia axillibarba,shrub,perennial assumed,,,0.7,,SEP,OCT,,
Hibbertia carinata,shrub,perennial assumed,,,0.4,,AUG,SEP,,
Hibbertia charlesii,shrub,perennial assumed,,,1,,OCT,NOV,,
Hibbertia chartacea,shrub,perennial assumed,,,0.5,,SEP,SEP,,
Hibbertia commutata,shrub,perennial assumed,,0.1,0.6,1,NOV,NOV,,
Hibbertia conspicua,shrub,perennial assumed,,0.2,0.6,0.9,SEP,JAN,,
Hibbertia crassifolia,shrub,perennial assumed,,0.2,0.6,0.9,APR,SEP,,
Hibbertia cuneiformis,shrub,perennial assumed,0.5,1,3,,JAN,NOV,,
Hibbertia cunninghamii,shrub,perennial assumed,,0.2,0.7,,AUG,DEC,,
Hibbertia depressa,shrub,perennial assumed,,,0.3,,APR,FEB,,
Hibbertia desmophylla,shrub,perennial assumed,,,1,,JUN,DEC,,
Hibbertia diamesogenos,shrub,perennial assumed,,,0.6,,SEP,DEC,,
Hibbertia drummondii,shrub,perennial assumed,,0.3,1,,SEP,OCT,,
Hibbertia eatoniae,shrub,perennial assumed,,0.15,0.6,,MAY,OCT,,
Hibbertia echiifolia,shrub,perennial assumed,,0.2,1,,APR,JUL,,
Hibbertia exasperata,shrub,perennial assumed,,0.1,0.6,1.5,JUN,OCT,,
Hibbertia ferruginea,shrub,perennial assumed,,0.1,0.6,,JUL,NOV,,
Hibbertia fitzgeraldensis,shrub,perennial assumed,,,0.3,,APR,OCT,,
Hibbertia furfuracea,shrub,perennial assumed,,0.5,2,,AUG,DEC,,
Hibbertia glaberrima,shrub,perennial assumed,,0.3,0.6,,JUL,SEP,,
Hibbertia glabrisepala,shrub,perennial assumed,,0.45,1,,MAY,SEP,,
Hibbertia glabriuscula,shrub,perennial assumed,,0.2,0.5,,SEP,SEP,,
Hibbertia glomerata,shrub,perennial assumed,,,1,,AUG,DEC,,
Hibbertia glomerosa,shrub,perennial assumed,,0.6,1,,JUL,NOV,,
Hibbertia gracilipes,shrub,perennial assumed,,0.15,0.6,,MAR,DEC,,
Hibbertia graniticola,shrub,perennial assumed,,0.7,1.5,,AUG,NOV,,
Hibbertia grossulariifolia,shrub,perennial assumed,,,,,AUG,NOV,,
Hibbertia hamata,shrub,perennial assumed,,,0.5,,OCT,DEC,,
Hibbertia hamulosa,shrub,perennial assumed,,,1,,JAN,OCT,,
Hibbertia helianthemoides,shrub,perennial assumed,,,0.3,,JUL,OCT,,
Hibbertia hemignosta,shrub,perennial assumed,,,0.3,0.5,JUN,OCT,,
Hibbertia hibbertioides,shrub,perennial assumed,,,0.3,0.7,JAN,DEC,,
Hibbertia hooglandii,shrub,perennial assumed,0.1,0.5,1.5,,JAN,OCT,,
Hibbertia huegelii,shrub,perennial assumed,,0.1,0.6,1.5,JUL,DEC,,
Hibbertia hypericoides,shrub,perennial assumed,,0.2,1,1.5,APR,DEC,,
Hibbertia inclusa,shrub,perennial assumed,,0.2,0.9,,JUL,NOV,,
Hibbertia inconspicua,shrub,perennial assumed,,0.1,0.6,,AUG,DEC,,
Hibbertia lasiopus,shrub,perennial assumed,,0.1,0.5,,JUL,NOV,,
Hibbertia ledifolia,shrub,perennial assumed,,1,2,,APR,JUN,,
Hibbertia lepidocalyx,shrub,perennial assumed,,,0.3,,,,,
Hibbertia lepidota,shrub,perennial assumed,,0.3,1.5,,MAR,JUN,,
Hibbertia lineata,shrub,perennial assumed,,0.3,0.7,,AUG,NOV,,
Hibbertia lividula,shrub,perennial assumed,,0.2,0.6,,MAY,SEP,,
Hibbertia microphylla,shrub,perennial assumed,,0.1,0.6,0.9,AUG,DEC,,
Hibbertia miniata,shrub,perennial assumed,,0.1,1,,AUG,NOV,,
Hibbertia montana,shrub,perennial assumed,,0.1,0.7,,JUL,OCT,,
Hibbertia mucronata,shrub,perennial assumed,,,1,,MAR,JAN,,
Hibbertia mylnei,shrub,perennial assumed,,0.15,0.35,,JUL,SEP,,
Hibbertia notibractea,shrub,perennial assumed,,0.2,0.45,,SEP,NOV,,
Hibbertia nutans,shrub,perennial assumed,,0.2,1,,AUG,OCT,,
Hibbertia nymphaea,shrub,perennial assumed,,,0.4,,AUG,DEC,,
Hibbertia oblongata,shrub,perennial assumed,,0.3,1.5,2,JAN,AUG,,
Hibbertia oligantha,shrub,perennial assumed,,,0.5,,SEP,NOV,,
Hibbertia ovata,shrub,perennial assumed,,0.1,0.6,,JUL,NOV,,
Hibbertia pachyphylla,shrub,perennial assumed,,,0.5,,SEP,NOV,,
Hibbertia pachyrrhiza,shrub,perennial assumed,,,0.3,,SEP,JAN,,
Hibbertia papillata,shrub,perennial assumed,,,0.3,,SEP,JAN,,
Hibbertia perfoliata,shrub,perennial assumed,,,0.4,,SEP,MAR,,
Hibbertia pilosa,shrub,perennial assumed,,0.3,1.5,,SEP,DEC,,
Hibbertia polystachya,shrub,perennial assumed,,0.1,0.7,,AUG,DEC,,
Hibbertia porongurupensis,shrub,perennial assumed,,,1.5,,SEP,OCT,,
Hibbertia potentilliflora,shrub,perennial assumed,,0.15,0.6,,MAY,OCT,,
Hibbertia priceana,shrub,perennial assumed,,,0.15,,JUN,AUG,,
Hibbertia psilocarpa,shrub,perennial assumed,,,0.2,,,,,
Hibbertia pulchra,shrub,perennial assumed,,,0.6,,JUL,NOV,,
Hibbertia pungens,shrub,perennial assumed,,0.2,2,,JUN,NOV,,
Hibbertia quadricolor,shrub,perennial assumed,,0.1,0.5,,JUL,OCT,,
Hibbertia racemosa,shrub,perennial assumed,,0.1,0.75,,JUL,DEC,,
Hibbertia recurvifolia,shrub,perennial assumed,0.05,0.1,0.5,,AUG,NOV,,
Hibbertia rostellata,shrub,perennial assumed,,0.15,0.5,,JUN,NOV,,
Hibbertia rupicola,shrub,perennial assumed,,,0.7,1,MAR,DEC,,
Hibbertia selkii,shrub,perennial assumed,,0.15,0.3,,MAY,JUN,,
Hibbertia serrata,shrub,perennial assumed,0.1,0.3,2,,AUG,DEC,,
Hibbertia silvestris,shrub,perennial assumed,,0.1,0.4,,AUG,JAN,,
Hibbertia spicata,shrub,perennial assumed,,0.2,0.7,,JUL,NOV,,
Hibbertia stellaris,shrub,perennial assumed,,0.15,1.5,,AUG,DEC,,
Hibbertia stenophylla,shrub,perennial assumed,,,0.6,,MAY,MAY,,
Hibbertia stowardii,shrub,perennial assumed,,,0.3,,JUL,OCT,,
Hibbertia subvaginata,shrub,perennial assumed,,0.15,1.2,,JUL,DEC,,
Hibbertia trichocalyx,shrub,perennial assumed,,0.15,0.6,,SEP,NOV,,
Hibbertia turleyana,shrub,perennial assumed,,,0.2,,AUG,AUG,,
Hibbertia ulicifolia (Hibbertia ulicifolia (Benth.) J.R.Wheeler ),shrub,perennial assumed,,,1.2,2,FEB,NOV,,
Hibbertia uncinata,shrub,perennial assumed,,0.2,1,,JUL,OCT,,
Hibbertia vaginata,shrub,perennial assumed,,0.2,0.75,1,JUL,OCT,,
Hibbertia verrucosa,shrub,perennial assumed,,0.15,0.7,0.9,AUG,DEC,,
Hibiscus aphelus,shrub,perennial assumed,,,3,,APR,AUG,,
Hibiscus apodus,shrub,perennial assumed,,,2,,,,,
Hibiscus arenicola,shrub,perennial assumed,,0.2,1,,FEB,OCT,,
Hibiscus austrinus,shrub,perennial assumed,,,2,,,,,
Hibiscus brachychlaenus,herb/shrub,perennial,,0.4,1.8,,MAR,NOV,,
Hibiscus brachysiphonius,herb/shrub,perennial,,0.1,0.3,,AUG,OCT,,
Hibiscus burtonii,shrub,perennial assumed,,0.3,1.5,,MAR,SEP,,
Hibiscus calcicola,shrub,perennial assumed,,,1.5,,,,,
Hibiscus coatesii,herb/shrub,perennial,0.1,0.3,1.6,,FEB,NOV,,
Hibiscus drummondii,shrub,perennial assumed,,0.3,1,,AUG,OCT,,
Hibiscus fluvialis,shrub,perennial assumed,,,3,,,,,
Hibiscus fryxellii,shrub,perennial assumed,,,3,,APR,AUG,,
Hibiscus geranioides,herb/shrub,annual/perennial,,0.05,1,,NOV,AUG,,
Hibiscus goldsworthii,herb/shrub,perennial,,0.5,2,,MAR,OCT,,
Hibiscus haynaldii,herb,annual/biennial/perennial,,0.8,2.7,,MAY,AUG,,
Hibiscus kenneallyi,shrub,perennial assumed,,,2,,MAY,JUN,,
Hibiscus krichauffianus,shrub,perennial assumed,0.03,0.2,0.7,,MAR,OCT,,
Hibiscus leptocladus,herb/shrub,perennial,,0.1,2,,JAN,DEC,,
Hibiscus marenitensis,shrub,perennial assumed,,,2,,MAY,JUN,,
Hibiscus meraukensis,herb/shrub,annual/perennial,,0.5,3,,MAR,OCT,,
Hibiscus minutibracteolus,shrub,perennial assumed,,,4,,DEC,JUL,,
Hibiscus pentaphyllus,shrub,perennial assumed,0.3,1,2,,JAN,OCT,,
Hibiscus peralbus,shrub,perennial assumed,,0.5,2.5,,FEB,MAY,,
Hibiscus reflexus,shrub,perennial assumed,,,2.5,,MAY,MAY,,
Hibiscus setulosus,shrub,perennial assumed,,0.5,2,,MAR,SEP,,
Hibiscus solanifolius,shrub,perennial assumed,,0.3,1.3,,JAN,OCT,,
Hibiscus squarrulosus,shrub,perennial assumed,,,3,,JUL,NOV,,
Hibiscus stewartii,shrub,perennial assumed,,,4,,MAY,MAY,,
Hibiscus sturtii,shrub,perennial assumed,,0.15,3,,JAN,DEC,,
Hibiscus superbus,shrub,perennial assumed,,1.8,3,,FEB,JUN,,
Hibiscus tiliaceus,tree,perennial assumed,,,5,,AUG,AUG,,
Hibiscus vitifolius (Fioria vitifolia (L.) Mattei ),herb/shrub,perennial,,1,2,,FEB,OCT,,
Hodgsoniola junciformis,herb,perennial,,0.2,0.5,1,SEP,DEC,,
Homalocalyx aureus,shrub,perennial assumed,,0.4,2,,7,11,,
Homalocalyx chapmanii,shrub,perennial assumed,,0.2,0.5,,9,10,,
Homalocalyx coarctatus,shrub,perennial assumed,,0.3,0.7,,9,11,,
Homalocalyx echinulatus,shrub,perennial assumed,,0.45,1,,6,9,,
Homalocalyx ericaeus,shrub,perennial assumed,,0.3,1,,2,8,,
Homalocalyx grandiflorus,shrub,perennial assumed,,0.2,0.5,2,10,12,,
Homalocalyx inerrabundus,shrub,perennial assumed,,,0.5,,9,11,,
Homalocalyx pulcherrimus,shrub,perennial assumed,,0.1,0.6,,9,12,,
Homalocalyx staminosus,shrub,perennial assumed,,0.45,1.2,,7,9,,
Homalocalyx thryptomenoides,shrub,perennial assumed,,0.2,1,,7,11,,
Homalosciadium homalocarpum,herb,annual,,0.02,0.1,0.16,AUG,DEC,,
Homalospermum firmum,shrub,perennial assumed,0.3,1,4,8,8,12,,
Homoranthus wilhelmii,shrub,perennial assumed,,,,,,,,
Hopkinsia adscendens,herb,perennial,,,0.4,,,,,
Hopkinsia anoectocolea,herb,perennial,,0.5,1,,SEP,DEC,,
Hoya australis,shrub,perennial assumed,,,,,JAN,AUG,,
Hullsia argillicola,herb,perennial,,,1,,,,,
Hyalochlamys globifera,herb,annual,,,0.03,,AUG,NOV,,
Hyalosperma cotula,herb,annual,,0.05,0.25,,JUL,DEC,,
Hyalosperma demissum,herb,annual,,,0.02,,AUG,NOV,,
Hyalosperma glutinosum,herb,annual,,0.03,0.2,0.27,JUL,AUG,,
Hyalosperma pusillum,herb,annual,,,0.2,,SEP,DEC,,
Hyalosperma simplex,herb,annual,,0.1,0.15,,SEP,DEC,,
Hyalosperma stoveae,herb,annual,,,,,,,,
Hyalosperma zacchaeus,herb,annual,,0.01,0.05,,JUL,OCT,,
Hybanthus aurantiacus,shrub,perennial assumed,,0.15,1,,JAN,DEC,,
Hybanthus calycinus,herb,perennial,,0.1,0.6,,JUL,OCT,,
Hybanthus cymulosus,herb,perennial,,0.15,0.9,,MAY,JUL,,
Hybanthus debilissimus,herb,perennial,,,,,,,,
Hybanthus enneaspermus,herb/shrub,perennial,,0.15,0.5,1,JAN,OCT,,
Hybanthus epacroides,shrub,perennial assumed,,0.1,0.5,,MAY,OCT,,
Hybanthus floribundus,shrub,perennial assumed,,0.15,2,,APR,NOV,,
Hybanthus volubilis,herb,perennial,,0.3,1,4,SEP,DEC,,
Hydrilla verticillata,herb,perennial,,,,,APR,JUL,,
Hydrocotyle alata,herb,annual,,0.01,0.05,0.1,AUG,NOV,,
Hydrocotyle blepharocarpa,herb,annual,,0.02,0.1,,AUG,NOV,,
Hydrocotyle callicarpa,herb,annual,,0.01,0.08,,AUG,NOV,,
Hydrocotyle corynophora,herb,annual,,,0.25,,,,,
Hydrocotyle diantha,herb,annual,,0.01,0.1,,AUG,NOV,,
Hydrocotyle grammatocarpa,herb,annual,,,,,JUN,JUN,,
Hydrocotyle hirta,herb,perennial,,0.02,0.1,,JAN,MAR,,
Hydrocotyle hispidula,herb,annual,,0.03,0.2,,SEP,NOV,,
Hydrocotyle lemnoides,herb,annual,,,,,AUG,OCT,,
Hydrocotyle medicaginoides,herb,annual,,0.01,0.15,,SEP,NOV,,
Hydrocotyle muriculata,herb,annual,,,,,SEP,SEP,,
Hydrocotyle pilifera,herb,annual,,0.01,0.2,,AUG,NOV,,
Hydrocotyle rugulosa,herb,annual,,0.015,0.12,,AUG,OCT,,
Hydrocotyle scutellifera,herb,annual,,0.3,0.8,,,,,
Hydrocotyle striata,herb,,,,,,,,,
Hydrocotyle tetragonocarpa,herb,annual,,0.01,0.1,,AUG,DEC,,
Hydrocotyle trachycarpa,herb,annual,,,,,JUL,SEP,,
Hydrolea zeylanica,herb,perennial,,,1.5,,,,,
Hygrophila angustifolia,herb,annual,,0.2,0.5,1,APRIL,AUG,,
Hypericum gramineum,herb,perennial,,0.1,0.5,0.8,JAN,DEC,,
Hypericum japonicum,herb,annual,,0.02,0.12,,OCT,NOV,,
Hypocalymma angustifolium,shrub,perennial assumed,,,1.5,,6,10,,
Hypocalymma asperum,shrub,perennial assumed,,0.3,0.9,,2,3,,
Hypocalymma cordifolium,shrub,perennial assumed,,0.2,2,6,9,6,,
Hypocalymma elongatum,shrub,perennial assumed,,,,,,,,
Hypocalymma ericifolium,shrub,perennial assumed,,0.25,1.1,,8,11,,
Hypocalymma gardneri,shrub,perennial assumed,,,0.3,,8,9,,
Hypocalymma hirsutum,shrub,perennial assumed,,,0.7,,7,10,,
Hypocalymma jessicae,shrub,perennial assumed,,,1.5,,9,4,,
Hypocalymma linifolium,shrub,perennial assumed,,,0.6,,,,,
Hypocalymma longifolium,shrub,perennial assumed,,,1,,8,9,,
Hypocalymma melaleucoides,shrub,perennial assumed,,0.5,0.7,,9,11,,
Hypocalymma minus,shrub,perennial assumed,,,,,,,,
Hypocalymma myrtifolium,shrub,perennial assumed,,0.3,0.6,1.5,7,11,,
Hypocalymma phillipsii,shrub,perennial assumed,,0.25,0.7,,9,11,,
Hypocalymma puniceum,shrub,perennial assumed,,0.15,1,,12,4,,
