sample,tree,taxon,date_time,locality,locality_edited,longitude (deg),latitude (deg),collector,longitude_gda94,latitude_gda94,elevation (m),height_m,stem_density_g_per_ml,stem_mass_g,stem_volume_ml,bark_mass_g,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_wall_width_mm,fruit_diameter_mm,fruit_height_mm,seed_mass_mg,seed_mass_total_mg,number_of_seeds,leaf_notes,seed_notes,max_height_m,notes
MEL_LSB1_NA_4_5_leaf,NA,Eucalyptus melliodora,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.16017316,9.61,0.231,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
MEL_LSB1_NA_5_5_leaf,NA,Eucalyptus melliodora,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.157894737,7.84,0.152,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
MEL_LSB1_NA_1_6_leaf,NA,Eucalyptus melliodora,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.88028169,6.93,0.142,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
MEL_LSB1_NA_2_6_leaf,NA,Eucalyptus melliodora,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.993006993,7.14,0.143,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
MEL_LSB1_NA_3_6_leaf,NA,Eucalyptus melliodora,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.915555556,11.06,0.225,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
MEL_LSB1_NA_4_6_leaf,NA,Eucalyptus melliodora,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.615853659,7.57,0.164,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
MEL_LSB1_NA_5_6_leaf,NA,Eucalyptus melliodora,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.366972477,5.85,0.109,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_1_1_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.908315565,18.33,0.469,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_2_1_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.239215686,21.62,0.51,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_3_1_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.35371179,19.94,0.458,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_4_1_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.306226175,33.89,0.787,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_5_1_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.007751938,20.68,0.516,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_1_2_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.214765101,18.84,0.447,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_2_2_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.398081535,18.34,0.417,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_3_2_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.53021978,16.49,0.364,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_4_2_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.50990099,9.11,0.202,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_5_2_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.357933579,11.81,0.271,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_1_3_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.187931034,24.29,0.58,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_2_3_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.188976378,10.64,0.254,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_3_3_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.022312373,19.83,0.493,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_4_3_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.951219512,9.72,0.246,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_5_3_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.007853403,15.31,0.382,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_1_4_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.307407407,11.63,0.27,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_2_4_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.12849162,14.78,0.358,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_3_4_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.254237288,12.55,0.295,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_4_4_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.78778135,14.89,0.311,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_5_4_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.55785124,11.03,0.242,NA,NA,NA,NA,NA,NA,NA,TOP of tree,NA,NA,
CAM_LSB1_NA_1_5_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,10.10810811,11.22,0.111,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_2_5_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,9.259541985,12.13,0.131,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_3_5_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,8.202531646,19.44,0.237,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_4_5_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,8.751937984,11.29,0.129,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_5_5_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,9.373493976,15.56,0.166,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_1_6_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.358208955,17.95,0.335,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_2_6_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,6.503731343,17.43,0.268,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_3_6_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.616438356,24.6,0.438,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_4_6_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,6.154166667,14.77,0.24,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_1_7_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.772925764,13.22,0.229,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_2_7_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.438053097,12.29,0.226,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_3_7_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.87654321,9.52,0.162,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_4_7_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.420512821,21.14,0.39,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_5_6_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.924107143,13.27,0.224,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_6_1_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.928813559,17.49,0.295,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
CAM_LSB1_NA_7_1_leaf,NA,Eucalyptus camaldulensis subsp. camaldulensis,2008-07-31T14:00:00Z,LSB1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.676328502,11.75,0.207,NA,NA,NA,NA,NA,NA,NA,seedling,NA,NA,
VIC_VICB_1_1_1_leaf,VIC_VICB_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,1.644736842,13.75,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_1_2_1_leaf,VIC_VICB_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.597560976,17.04,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_1_3_1_leaf,VIC_VICB_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.544354839,18.93,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_1_4_1_leaf,VIC_VICB_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.768115942,26.74,0.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_1_5_1_leaf,VIC_VICB_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.813653137,30.5,1.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICA_1_1_1_leaf,VIC_VICA_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICA,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.207048458,21.84,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICA_1_2_1_leaf,VIC_VICA_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICA,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.635706914,25.54,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICA_1_3_1_leaf,VIC_VICA_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICA,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.649717514,28.14,1.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICA_1_4_1_leaf,VIC_VICA_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICA,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.54893617,5.99,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICA_1_5_1_leaf,VIC_VICA_1_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICA,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.583866837,20.18,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_2_1_1_leaf,VIC_VICB_2_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.54338843,12.31,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_2_2_1_leaf,VIC_VICB_2_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.751211632,17.03,0.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_2_3_1_leaf,VIC_VICB_2_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.405797101,13.28,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_2_4_1_leaf,VIC_VICB_2_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.882235529,14.44,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_2_5_1_leaf,VIC_VICB_2_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.498850575,10.87,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_2_6_1_leaf,VIC_VICB_2_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.454320988,19.88,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_3_1_1_leaf,VIC_VICB_3_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.53323486,17.15,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_3_2_1_leaf,VIC_VICB_3_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.689690722,26.09,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_3_3_1_leaf,VIC_VICB_3_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.831024931,20.44,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_3_4_1_leaf,VIC_VICB_3_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.869415808,8.35,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_3_5_1_leaf,VIC_VICB_3_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.833702882,25.56,0.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_3_6_1_leaf,VIC_VICB_3_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.449152542,17.34,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_3_7_1_leaf,VIC_VICB_3_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.679310345,7.77,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_VICB_3_8_1_leaf,VIC_VICB_3_leaf,Eucalyptus victoriana,2008-07-31T14:00:00Z,VICB,GVICA,142.344792,-37.276878,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.778061224,21.78,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OVA_Q13_1_1_1_leaf,OVA_Q13_1_leaf,Eucalyptus ovata var. ovata,2009-03-31T13:00:00Z,Q13,Q13,142.3858,-37.47935,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.848712446,35.87,0.932,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,
OVA_TOP_1_2_1_leaf,OVA_TOP_1_leaf,Eucalyptus ovata var. ovata,2009-03-31T13:00:00Z,TOP,TOP,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.752949853,50.89,1.356,NA,NA,NA,NA,NA,NA,NA,Q13,NA,NA,generic Grampians lat/lon
OVA_Q13_1_3_1_leaf,OVA_Q13_1_leaf,Eucalyptus ovata var. ovata,2009-03-31T13:00:00Z,Q13,Q13,142.3858,-37.47935,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.123089983,48.57,1.178,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,
OVA_TOP_1_4_1_leaf,OVA_TOP_1_leaf,Eucalyptus ovata var. ovata,2009-03-31T13:00:00Z,TOP,TOP,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.332620321,40.51,0.935,NA,NA,NA,NA,NA,NA,NA,Q13,NA,NA,generic Grampians lat/lon
OVA_Q13_1_5_1_leaf,OVA_Q13_1_leaf,Eucalyptus ovata var. ovata,2009-03-31T13:00:00Z,Q13,Q13,142.3858,-37.47935,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.282988871,26.94,0.629,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,
OVA_TOP_1_6_1_leaf,OVA_TOP_1_leaf,Eucalyptus ovata var. ovata,2009-03-31T13:00:00Z,TOP,TOP,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.34828496,32.96,0.758,NA,NA,NA,NA,NA,NA,NA,Q13,NA,NA,generic Grampians lat/lon
OVA_Q13_1_7_1_leaf,OVA_Q13_1_leaf,Eucalyptus ovata var. ovata,2009-03-31T13:00:00Z,Q13,Q13,142.3858,-37.47935,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.647840532,27.98,0.602,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,
ARE_BLK1_1_1_1_leaf,ARE_BLK1_1_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,BLK1,BLK1,142.4895,-37.1851,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.42921147,38.27,1.116,NA,NA,NA,NA,NA,NA,NA,BLK-1,NA,NA,
ARE_TOP_1_2_1_leaf,ARE_TOP_1_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,TOP,TOP,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.553278689,17.34,0.488,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,generic Grampians lat/lon
ARE_BLK1_1_3_1_leaf,ARE_BLK1_1_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,BLK1,BLK1,142.4895,-37.1851,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.62215478,23.87,0.659,NA,NA,NA,NA,NA,NA,NA,BLK-1,NA,NA,
ARE_TOP_1_4_1_leaf,ARE_TOP_1_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,TOP,TOP,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.657142857,20.48,0.56,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,generic Grampians lat/lon
ARE_BLK1_1_5_1_leaf,ARE_BLK1_1_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,BLK1,BLK1,142.4895,-37.1851,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.560897436,22.22,0.624,NA,NA,NA,NA,NA,NA,NA,BLK-1,NA,NA,
ARE_TOP_2_1_1_leaf,ARE_TOP_2_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,TOP,TOP,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.673024523,13.48,0.367,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,generic Grampians lat/lon
ARE_BLK1_2_2_1_leaf,ARE_BLK1_2_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,BLK1,BLK1,142.4895,-37.1851,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.458773784,16.36,0.473,NA,NA,NA,NA,NA,NA,NA,BLK-1,NA,NA,
ARE_TOP_2_3_1_leaf,ARE_TOP_2_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,TOP,TOP,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.414910859,21.07,0.617,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,generic Grampians lat/lon
ARE_BLK1_2_4_1_leaf,ARE_BLK1_2_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,BLK1,BLK1,142.4895,-37.1851,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.488888889,14.13,0.405,NA,NA,NA,NA,NA,NA,NA,BLK-1,NA,NA,
ARE_TOP_2_5_1_leaf,ARE_TOP_2_leaf,Eucalyptus arenacea,2009-03-31T13:00:00Z,TOP,TOP,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.274939173,13.46,0.411,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,generic Grampians lat/lon
CAM_DC1_1_1_1_leaf,CAM_DC1_1_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2009-03-31T13:00:00Z,DC1,DC1,142.4113,-37.1779,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.520661157,6.68,0.121,NA,NA,NA,NA,NA,NA,NA,TOP,NA,NA,
