spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera
Macl_coch,Moraceae,Maclura,cochinchinensis  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,7980,,NA,Mycorrhizal ,Endozoochory,15,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,0,1,,Cyclophyllum
Mall_moll,Euphorbiaceae,Mallotus,mollissimus  ,Short tree,Phanerophyte,10,None,None,C3,,45000,,425,Mycorrhizal ,Endozoochory,22,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,0,Zingiberaceae,Callicarpa
Mega_maxi,Poaceae,Megathyrsus,maximus var. maximus,Long basal,Hemicryptophyte,2,Clonal belowground,None,C4,,21000,,NA,Mycorrhizal ,Passive,1.0,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,0,0,0,0,1,,Triumfetta
Meli_azed,Meliaceae,Melia,azedarach  ,Tall tree,Phanerophyte,45,None,None,C3,,1260,,385,Mycorrhizal ,Endozoochory,530,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,0,0,0,0,0,0,0,,Helminthostachys
Meli_elle,Rutaceae,Melicope,elleryana  ,Tall tree,Phanerophyte,35,None,None,C3,,17940,,501,Mycorrhizal ,Endozoochory,33,Yes,Butterflies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Long persistent in soil (more than 5 years),0,1,0,0,0,0,0,0,,
Meli_viti,Rutaceae,Melicope,vitiflora  ,Tall tree,Phanerophyte,40,None,None,C3,,17160,,507,Mycorrhizal ,Endozoochory,19,Yes,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,,
Meli_xant,Rutaceae,Melicope,xanthoxyloides  ,Tall tree,Phanerophyte,21,None,None,C3,,39960,,408,Mycorrhizal ,Endozoochory,26,Yes,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,0,,
Melo_aust,Apocynaceae,Melodinus,australis  ,Liana,Phanerophyte,NA,None,None,C3,,7980,,NA,Mycorrhizal ,Endozoochory,48,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,1,0,0,0,0,Athyriaceae,Tabernaemontana
Melo_leic,Annonaceae,Melodorum,leichhardtii  ,Liana,Phanerophyte,NA,None,None,C3,,3780,,NA,Mycorrhizal ,Endozoochory,120,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,1,1,0,0,0,Apocynaceae,Melodorum
Melo_uhri,Annonaceae,Melodorum,uhrii  ,Liana,Phanerophyte,NA,None,None,C3,,17100,,NA,Mycorrhizal ,Endozoochory,120,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,1,0,0,0,0,Aquifoliaceae,Polyalthia
Merr_pelt,Convolvulaceae,Merremia,peltata  ,Liana,Phanerophyte,NA,None,None,C3,,30000,,NA,Mycorrhizal ,Wind,37,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,1,Piperaceae,Tetracera
Mill_pinn,Fabaceae,Millettia,pinnata  ,Tall tree,Phanerophyte,20,None,None,C3,,17940,,553,Nitrogen fixer,Passive,30000,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),0,0,0,1,1,0,0,0,,Leea
Mimo_pudi,Mimosaceae,Mimosa,pudica  ,Erect leafy,Chamaephyte,1,None,Spines or thorns,C3,,27,,NA,Nitrogen fixer,Insect,1.7,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,0,0,0,0,0,1,,Pyrrosia
Misc_exan,Sapindaceae,Mischocarpus,exangulatus  ,Short tree,Phanerophyte,15,None,None,C3,,8640,,637,Mycorrhizal ,Endozoochory,263,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,1,0,,
Misc_lach,Sapindaceae,Mischocarpus,lachnocarpus  ,Tall tree,Phanerophyte,20,None,None,C3,,6090,,637,Mycorrhizal ,Endozoochory,40,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,,
Mori_citr,Rubiaceae,Morinda,citrifolia  ,Short tree,Phanerophyte,10,None,None,C3,,16500,,700,Mycorrhizal ,Endozoochory,34,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,1,1,1,1,0,1,,
Mucu_giga,Fabaceae,Mucuna,gigantea  ,Liana,Phanerophyte,NA,None,None,C3,,7440,,NA,Nitrogen fixer,Passive,4700,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),1,1,1,1,1,1,1,1,,Amyema
Myri_glob,Myristicaceae,Myristica,globosa ssp. muelleri,Tall tree,Phanerophyte,30,None,None,C3,,10080,,461,Mycorrhizal ,Endozoochory,840,No,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,,Ixora
Nauc_orie,Rubiaceae,Nauclea,orientalis  ,Tall tree,Phanerophyte,30,None,None,C3,,32400,,461,Mycorrhizal ,Endozoochory,0.19,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,1,0,0,0,,
Neol_deal,Lauraceae,Neolitsea,dealbata  ,Short tree,Phanerophyte,15,None,None,C3,,11220,,557,Mycorrhizal ,Endozoochory,190,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,1,1,1,0,1,1,,Acmena
Neos_jucu,Bignoniaceae,Neosepicaea,jucunda  ,Liana,Phanerophyte,NA,None,None,C3,,11730,,NA,Mycorrhizal ,Wind,21,Yes,Moths,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,0,1,1,0,0,0,0,Leeaceae,Cleome
Pach_long,Menispermaceae,Pachygone,longifolia  ,Liana,Phanerophyte,NA,None,None,C3,,30600,,NA,Mycorrhizal ,Endozoochory,1300,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,0,0,0,0,0,,Eustrephus
Pala_gala,Sapotaceae,Palaquium,galactoxylon  ,Tall tree,Phanerophyte,30,None,None,C3,,5760,,461,Mycorrhizal ,Endozoochory,1200,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,1,1,1,1,0,0,,
Pand_mont,Pandanaceae,Pandanus,monticola  ,Short tree,Phanerophyte,10,Clonal belowground,Spines or thorns,C3,,96600,,331,No obvious special uptake strategy,Endozoochory,17,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,1,,Smilax
Pand_pand,Bignoniaceae,Pandorea,pandorana  ,Liana,Phanerophyte,NA,None,None,C3,,5460,,NA,Mycorrhizal ,Wind,NA,Yes,Moths,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,1,0,1,1,0,0,0,Loranthaceae,Cardiopteris
Pand_solm,Pandanaceae,Pandanus,solmslaubachii  ,Tall tree,Phanerophyte,20,Clonal belowground,Spines or thorns,C3,,240000,,291,No obvious special uptake strategy,Endozoochory,17,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,0,0,0,0,0,0,1,,Solanum
Para_prui,Mimosaceae,Pararchidendron,pruinosum var. pruinosum,Tall tree,Phanerophyte,20,None,None,C3,,3300,,501,Nitrogen fixer,Insect,93,No,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,0,0,0,0,0,0,0,,Cardwellia
Pars_stra,Apocynaceae,Parsonsia,straminea  ,Liana,Phanerophyte,NA,None,None,C3,,12240,,NA,Mycorrhizal ,Wind,7.8,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,0,Bignoniaceae,Tylophora
Pass_foet,Passifloraceae,Passiflora,foetida var. foetida,Vine,Therophyte,NA,None,None,C3,,10440,,NA,Mycorrhizal ,Endozoochory,4.3,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Annual,NA,0,1,0,0,0,1,0,0,,Brachychiton
Pers_stri,Polygonaceae,Persicaria,strigosa  ,Erect leafy,Chamaephyte,0.5,Clonal belowground,None,C3,,1248,,NA,No obvious special uptake strategy,Endozoochory,0.86,No,Flies,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,1,0,0,0,0,0,0,0,,Dendrocnide
Pili_tetr,Myrtaceae,Pilidiostigma,tetramerum  ,Shrub,Phanerophyte,4,None,None,C3,,1050,,922,Mycorrhizal ,Endozoochory,32,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,1,1,0,0,0,,Glycosmis
Pili_trop,Myrtaceae,Pilidiostigma,tropicum  ,Tall tree,Phanerophyte,20,None,None,C3,,2052,,631,Mycorrhizal ,Endozoochory,32,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,1,,Melicope
Pipe_cani,Piperaceae,Piper,caninum  ,Vine,Phanerophyte,NA,None,None,C3,,10800,,NA,Mycorrhizal ,Endozoochory,33,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,1,1,0,0,,Strychnos
Pipe_nova,Piperaceae,Piper,novae-hollandiae  ,Liana,Phanerophyte,NA,None,None,C3,,12555,,NA,Mycorrhizal ,Endozoochory,45,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,0,,Symplocos
Pipt_arge,Urticaceae,Pipturus,argenteus  ,Short tree,Phanerophyte,10,None,None,C3,,8670,,NA,Mycorrhizal ,Endozoochory,0.20,Yes,Wind,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,,
Piso_acul,Nyctaginaceae,Pisonia,aculeata  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,5040,,NA,Mycorrhizal ,Endozoochory,210,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,,Toechima
Piso_umbe,Nyctaginaceae,Pisonia,umbellifera  ,Tall tree,Phanerophyte,28,None,None,C3,,31500,,293,Mycorrhizal ,Endozoochory,210,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,1,1,0,1,0,,Palaquium
Pitt_ferr,Pittosporaceae,Pittosporum,ferrugineum  ,Tall tree,Phanerophyte,20,None,None,C3,,6300,,697,Mycorrhizal ,Endozoochory,9.9,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,,Christella
Plat_hill,Polypodiaceae,Platycerium,hillii  ,Epiphyte,Phanerophyte,1,None,None,C3,,324000,,NA,Mycorrhizal ,Wind,0.001,No,None,Spore,Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,Pipturus
Poll_macr,Commelinaceae,Pollia,macrophylla  ,Erect leafy,Phanerophyte,2,Clonal belowground,None,C3,,7200,,NA,Mycorrhizal ,Passive,0.62,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Ophioglossaceae,Trichosanthes
Poly_aust,Araliaceae,Polyscias,australiana  ,Short tree,Phanerophyte,15,None,None,C3,,15840,,477,Mycorrhizal ,Endozoochory,5.7,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,0,Commelinaceae,Archontophoenix
Poly_niti,Annonaceae,Polyalthia,nitidissima  ,Tall tree,Phanerophyte,18,None,None,C3,,5040,,453,Mycorrhizal ,Endozoochory,1500,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,1,0,0,1,0,Araceae,Xylopia
Poly_nodo,Araliaceae,Polyscias,nodosa,Tall tree,Phanerophyte,20,None,None,C3,,17100,,405,Mycorrhizal ,Endozoochory,5.2,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,1,1,0,0,0,0,0,Connaraceae,Calamus
Poth_long,Araceae,Pothos,longipes  ,Vine,Phanerophyte,NA,None,None,C3,,1350,,NA,Mycorrhizal ,Endozoochory,140,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,0,1,1,1,1,1,1,Celastraceae,Syngonium
Pout_char,Sapotaceae,Pouteria,chartacea  ,Short tree,Phanerophyte,12,None,None,C3,,6270,,705,Mycorrhizal ,Endozoochory,1500,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,0,1,0,,
Pout_myrs,Sapotaceae,Pouteria,myrsinodendron  ,Tall tree,Phanerophyte,25,None,None,C3,,6930,,830,Mycorrhizal ,Endozoochory,680,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,0,1,,
Pout_xero,Sapotaceae,Pouteria,xerocarpa  ,Short tree,Phanerophyte,15,None,None,C3,,5280,,581,Mycorrhizal ,Endozoochory,82,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,
Prem_limb,Lamiaceae,Premna,limbata  ,Liana,Phanerophyte,NA,None,None,C3,,10560,,NA,Mycorrhizal ,Endozoochory,2.2,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,1,1,0,1,1,0,0,0,,Tinospora
Prem_serr,Lamiaceae,Premna,serratifolia  ,Short tree,Phanerophyte,10,None,None,C3,,19200,,400,Mycorrhizal ,Endozoochory,19,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,0,1,0,0,0,,Acacia
Pron_aspe,Thelypteridaceae,Pronephrium,asperum  ,Short basal,Phanerophyte,2,Clonal belowground,None,C3,,9000,,NA,No obvious special uptake strategy,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,1,0,0,0,1,0,0,,
Pseu_vari,Acanthaceae,Pseuderanthemum,variabile  ,Shrub,Phanerophyte,1,None,None,C3,,6300,,NA,Mycorrhizal ,Passive,0.86,No,Butterflies,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,1,0,0,0,0,Acanthaceae,Pseuderanthemum
Psid_guaj,Myrtaceae,Psidium,guajava  ,Shrub,Phanerophyte,8,None,None,C3,,6975,,712,Mycorrhizal ,Endozoochory,1.7,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,,Arytera
Psyc_coel,Rubiaceae,Psychotria,coelospermum  ,Vine,Phanerophyte,NA,None,None,C3,,6888,,NA,Mycorrhizal ,Endozoochory,13,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,1,,
Psyc_dall,Rubiaceae,Psychotria,dallachiana  ,Shrub,Phanerophyte,3,None,None,C3,,3900,,701,Mycorrhizal ,Endozoochory,13,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,,
Ptyc_eleg,Arecaceae,Ptychosperma,elegans  ,Short tree,Phanerophyte,15,None,None,C3,,43200,,350,Mycorrhizal ,Endozoochory,300,No,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,1,0,0,Dryopteridaceae,Crassocephalum
Pycn_novo,Menispermaceae,Pycnarrhena,novoguineensis  ,Liana,Phanerophyte,NA,None,None,C3,,17640,,NA,Mycorrhizal ,Endozoochory,160,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,,Piper
Pyrr_long,Polypodiaceae,Pyrrosia,longifolia  ,Epiphyte,Phanerophyte,0.6,Clonal aboveground,None,CAM,,3000,,NA,Mycorrhizal ,Wind,0.001,No,None,Spore,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,Stachytarpheta
Rham_viti,Rhamnaceae,Rhamnella,vitiensis  ,Liana,Phanerophyte,NA,None,None,C3,,3795,,NA,Mycorrhizal ,Endozoochory,23,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,1,0,1,0,0,0,0,1,,Hornstedtia
Rhap_aust,Araceae,Rhaphidophora,australasica  ,Vine,Phanerophyte,NA,None,None,C3,,45000,,NA,Mycorrhizal ,Endozoochory,0.18,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,Clusiaceae,Polyscias
Rhod_macr,Myrtaceae,Rhodomyrtus,macrocarpa  ,Short tree,Phanerophyte,8,None,None,C3,,15180,,741,Mycorrhizal ,Endozoochory,0.8,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,1,1,0,1,0,1,,Diploglottis
Rhod_sess,Myrtaceae,Rhodamnia,sessiliflora  ,Short tree,Phanerophyte,10,None,None,C3,,6600,,797,Mycorrhizal ,Endozoochory,30,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,1,,Castanospora
Rhus_tait,Anacardiaceae,Rhus,taitensis  ,Tall tree,Phanerophyte,30,None,None,C3,,4500,,NA,Mycorrhizal ,Endozoochory,12,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,0,1,Annonaceae,Rhus
Rhys_flav,Sapindaceae,Rhysotoechia,flavescens  ,Short tree,Phanerophyte,15,None,None,C3,,14250,,667,Mycorrhizal ,Endozoochory,320,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,0,0,0,0,0,0,0,,
Rhys_robe,Sapindaceae,Rhysotoechia,robertsonii  ,Tall tree,Phanerophyte,16,None,None,C3,,10710,,667,Mycorrhizal ,Endozoochory,320,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,
Rour_brac,Connaraceae,Rourea,brachyandra  ,Liana,Phanerophyte,NA,None,None,C3,,5070,,NA,Mycorrhizal ,Endozoochory,40,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,Pandanaceae,Hypolytrum
Sage_hamo,Rhamnaceae,Sageretia,hamosa  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,7020,,NA,Mycorrhizal ,Endozoochory,19,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,0,1,0,0,0,,Tapeinochilos
Sala_dise,Celastraceae,Salacia,disepala  ,Liana,Phanerophyte,NA,None,None,C3,,9600,,NA,Mycorrhizal ,Endozoochory,3600,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,0,1,Nephrolepidaceae,Erycibe
Sarc_mart,Sapindaceae,Sarcopteryx,martyana  ,Tall tree,Phanerophyte,20,None,None,C3,,7215,,562,Mycorrhizal ,Endozoochory,40,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,
Sarc_prot,Sapindaceae,Sarcotoechia,protracta  ,Short tree,Phanerophyte,13,None,None,C3,,6120,,659,Mycorrhizal ,Endozoochory,220,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,1,1,0,1,0,0,,
Sche_acti,Araliaceae,Schefflera,actinophylla  ,Tall tree,Phanerophyte,24,None,None,C3,,25200,,397,Mycorrhizal ,Endozoochory,2.7,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,0,0,0,1,1,Convolvulaceae,Licuala
Scol_brau,Flacourtiaceae,Scolopia,braunii  ,Tall tree,Phanerophyte,30,None,None,C3,,3600,,629,Mycorrhizal ,Endozoochory,3.3,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,1,1,0,1,0,0,,Aglaia
Sela_bris,Selaginellaceae,Selaginella,brisbanensis  ,Short basal,Chamaephyte,0.2,Clonal aboveground,None,C3,,0,,NA,Mycorrhizal ,Wind,0.001,No,None,Spore,Perennial,Short-lived (weeks),0,0,0,0,0,0,1,1,,
Sida_rhom,Malvaceae,Sida,rhombifolia  ,Erect leafy,Phanerophyte,1,None,None,C3,,1440,,NA,Mycorrhizal ,Endozoochory,0.86,Yes,Butterflies,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,0,1,0,0,0,,Psidium
Sloa_lang,Elaeocarpaceae,Sloanea,langii  ,Tall tree,Phanerophyte,25,None,None,C3,,25740,,565,Mycorrhizal ,Endozoochory,94,Yes,Hymenoptera (bees),"fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,1,0,1,1,1,1,Simaroubaceae,Austrosteenisia
Smil_blum,Smilacaceae,Smilax,blumei  ,Vine,Phanerophyte,NA,None,Spines or thorns,C3,,25500,,NA,Mycorrhizal ,Endozoochory,63,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,1,0,0,0,,
Smil_calo,Smilacaceae,Smilax,calophylla  ,Vine,Phanerophyte,NA,None,Spines or thorns,C3,,18000,,NA,Mycorrhizal ,Endozoochory,28,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,,
Sola_torv,Solanaceae,Solanum,torvum  ,Shrub,Phanerophyte,4,None,Spines or thorns,C3,,23760,,476,Mycorrhizal ,Endozoochory,1.1,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,1,0,1,1,1,,
Stac_jama,Verbenaceae,Stachytarpheta,jamaicensis  ,Shrub,Phanerophyte,2,Clonal belowground,None,C3,,2700,,321,Mycorrhizal ,Passive,0.82,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,0,,
Sten_palu,Blechnaceae,Stenochlaena,palustris  ,Long basal,Phanerophyte,1.6,Clonal aboveground,None,C3,,6000,,NA,Mycorrhizal ,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,0,0,0,0,1,0,1,Malvaceae,Celastrus
Stre_brun,Moraceae,Streblus,brunonianus  ,Tall tree,Phanerophyte,30,None,None,C3,,4620,,655,Mycorrhizal ,Endozoochory,19,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,1,0,0,1,1,1,,Gynochtodes
Stry_mino,Strychnaceae,Strychnos,minor  ,Liana,Phanerophyte,NA,None,None,C3,,10560,,NA,Mycorrhizal ,Endozoochory,27,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,1,1,1,1,1,1,,
Symp_coch,Symplocaceae,Symplocos,cochinchinensis var. pilosiuscula,Tall tree,Phanerophyte,25,None,None,C3,,6936,,564,Mycorrhizal ,Endozoochory,60,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,1,1,1,1,0,0,,
Syne_nodi,Asteraceae,Synedrella,nodiflora  ,Erect leafy,Phanerophyte,2,None,None,C3,,3600,,NA,Mycorrhizal ,Wind,1.5,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Long persistent in soil (more than 5 years),1,1,1,1,1,1,1,1,Lauraceae,Tournefortia
Syng_podo,Araceae,Syngonium,podophyllum  ,Vine,Phanerophyte,NA,Clonal aboveground,None,C3,,38760,,NA,Mycorrhizal ,Passive,94,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,Combretaceae,Schefflera
Syni_cord,Sapindaceae,Synima,cordierorum  ,Tall tree,Phanerophyte,27,None,None,C3,,3375,,773,Mycorrhizal ,Endozoochory,80,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,,
Syzy_ango,Myrtaceae,Syzygium,angophoroides  ,Tall tree,Phanerophyte,30,None,None,C3,,4200,,733,Mycorrhizal ,Endozoochory,5520,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,,Guioa
Syzy_aust,Myrtaceae,Syzygium,australe  ,Tall tree,Phanerophyte,24,None,None,C3,,2400,,597,Mycorrhizal ,Endozoochory,370,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,1,,Harpullia
Syzy_corm,Myrtaceae,Syzygium,cormiflorum  ,Tall tree,Phanerophyte,30,None,None,C3,,12600,,701,Mycorrhizal ,Endozoochory,7300,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,1,1,1,1,1,1,,Mischocarpus
