Genus_Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes 
Goodenia_ovata,Goodeniaceae,C3,,C3,TRY,,
Goodenia_pascua,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Goodenia_pinnatifida,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Goodenia_prostrata,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Goodenia_stobbsiana,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Goodenia_strangfordii,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Goodenia_triodiophila,Goodeniaceae,C3,,C3,TERN SIA,,
Goodenia_vernicosa,Goodeniaceae,C3,,C3,TERN SIA,,
Goodenia_vilmoriniae,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Gossypium_australe,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Gossypium_robinsonii,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_acuaria,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_agrifolia,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_albiflora,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_annulifera,Proteaceae,C3,,C3,TRY,,
Grevillea_aspera,Proteaceae,C3,,C3,TRY,,
Grevillea_australis,Proteaceae,C3,,C3,TRY,,
Grevillea_berryana,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_buxifolia,Proteaceae,C3,,C3,TRY,,
Grevillea_cagiana,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_ceratocarpa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_decurrens,Proteaceae,C3,,C3,TRY,,
Grevillea_didymobotrya,Proteaceae,C3,,C3,TERN SIA,,
Grevillea_dimidiata,Proteaceae,C3,,C3,TRY,,
Grevillea_dryandri,Proteaceae,C3,,C3,TRY,,
Grevillea_eremophila,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_eriostachya,Proteaceae,C3,,C3,TRY,,
Grevillea_excelsior,Proteaceae,C3,,C3,TRY,,
Grevillea_glauca,Proteaceae,C3,,C3,TRY,,
Grevillea_goodii,Proteaceae,C3,,C3,TRY,,
Grevillea_haplantha,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_heliosperma,Proteaceae,C3,,C3,TRY,,
Grevillea_hookeriana,Proteaceae,C3,,C3,TERN SIA,,
Grevillea_huegelii,Proteaceae,C3,,C3,TRY,,
Grevillea_juncifolia,Proteaceae,C3,,C3,TRY,,
Grevillea_lavandulacea,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_leptobotrys,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_mimosoides,Proteaceae,C3,,C3,TRY,,
Grevillea_nematophylla,Proteaceae,C3,,C3,TRY,,
Grevillea_obliquistigma,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_oncogyne,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_paradoxa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_parallela,Proteaceae,C3,,C3,TRY,,
Grevillea_phylicoides,Proteaceae,C3,,C3,TRY,,
Grevillea_pluricaulis,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_pteridifolia,Proteaceae,C3,,C3,TRY,,
Grevillea_pterosperma,Proteaceae,C3,,C3,TRY,,
Grevillea_pyramidalis,Proteaceae,C3,,C3,TRY,,
Grevillea_refracta,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_sarissa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_sericea,Proteaceae,C3,,C3,TRY,,
Grevillea_stenobotrya,Proteaceae,C3,,C3,TRY,,
Grevillea_striata,Proteaceae,C3,,C3,TRY,,Also found in Pate et al 1998
Grevillea_teretifolia,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_velutinella,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Grevillea_wickhamii,Proteaceae,C3,,C3,TRY,,
Grewia_retusifolia,Malvaceae,C3,,C3,TRY,,
Gunniopsis_calcarea,Aizoaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,Leaves suggest CAM potential although not reported
Gunniopsis_kochii,Aizoaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,Leaves suggest CAM potential although not reported 
Gunniopsis_quadrifida,Aizoaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,Leaves suggest CAM potential although not reported 
Gyrocarpus_americanus,Hernandiaceae,C3,,C3,TRY,,
Haemodorum_brevicaule,Haemodoraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Haemodorum_coccineum,Haemodoraceae,C3,,C3,TRY,,
Hakea_arborescens,Proteaceae,C3,,C3,TRY,,
Hakea_carinata,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hakea_ceratophylla,Proteaceae,C3,,C3,TRY,,
Hakea_chordophylla,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hakea_corymbosa,Proteaceae,C3,,C3,TRY,,
Hakea_cygna,Proteaceae,C3,,C3,TRY,,
Hakea_divaricata,Proteaceae,C3,,C3,TRY,,
Hakea_erecta,Proteaceae,C3,,C3,TRY,,
Hakea_eyreana,Proteaceae,C3,,C3,TRY,,
Hakea_francisiana,Proteaceae,C3,,C3,TRY,,
Hakea_laevipes,Proteaceae,C3,,C3,TRY,,
Hakea_leucoptera,Proteaceae,C3,,C3,TRY,,Also found in Pate et al 1998
Hakea_lissocarpha,Proteaceae,C3,,C3,TRY,,
Hakea_lorea,Proteaceae,C3,,C3,TRY,,
Hakea_macrocarpa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hakea_meisneriana,Proteaceae,C3,,C3,TRY,,
Hakea_microcarpa,Proteaceae,C3,,C3,TRY,,
Hakea_minyma,Proteaceae,C3,,C3,TRY,,
Hakea_platysperma,Proteaceae,C3,,C3,TRY,,
Hakea_propinqua,Proteaceae,C3,,C3,TRY,,
Hakea_prostrata,Proteaceae,C3,,C3,TRY,,
Hakea_rostrata,Proteaceae,C3,,C3,TRY,,
Hakea_rugosa,Proteaceae,C3,,C3,TERN SIA,,
Hakea_ruscifolia,Proteaceae,C3,,C3,TRY,,
Hakea_scoparia,Proteaceae,C3,,C3,TRY,,
Hakea_sericea,Proteaceae,C3,,C3,TRY,,
Hakea_tephrosperma,Proteaceae,C3,,C3,TRY,,
Hakea_trifurcata,Proteaceae,C3,,C3,TRY,,
Halgania_cyanea,Boraginaceae,C3,,C3,TERN SIA,,
Harmsiodoxa_puberula,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,"No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia ",
Helicteres_cana,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Helicteres_tenuipila,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Heliotropium_europaeum,Boraginaceae,C3,,C3,TRY,,
Hemiandra_pungens,Lamiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,,
Hemichroa_diandra,Amaranthaceae,C3,,C3,Kadereit et al. 2003 ,,
Hemigenia_purpurea,Lamiaceae,C3,,C3,TERN SIA,,
Herissantia_crispa,Malvaceae,C3,,C3,TRY,,
Heteropogon_contortus,Poaceae,C4,,C4,TRY,,
Heteropogon_triticeus,Poaceae,C4,,C4,TRY,,
Hibbertia_bracteata,Dilleniaceae,C3,,C3,TRY,,
Hibbertia_crinita,Dilleniaceae,C3,,C3,TERN SIA,,
Hibbertia_exutiacies,Dilleniaceae,C3,,C3,TERN SIA,,
Hibbertia_huegelii,Dilleniaceae,C3,,C3,TRY,,
Hibbertia_hypericoides,Dilleniaceae,C3,,C3,TRY,,
Hibbertia_obtusifolia,Dilleniaceae,C3,,C3,TRY,,
Hibbertia_riparia,Dilleniaceae,C3,,C3,TRY,,
Hibbertia_subvaginata,Dilleniaceae,C3,,C3,TRY,,
Hibiscus_brachysiphonius,Malvaceae,C3,,C3,TRY,,
Hibiscus_burtonii,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hibiscus_krichauffianus,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hibiscus_leptocladus,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hibiscus_meraukensis,Malvaceae,C3,,C3,TRY,,
Hibiscus_sturtii,Malvaceae,C3,,C3,TRY,,
Hibiscus_verdcourtii,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hierochloe_submutica,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Homalocalyx_aureus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Homalocalyx_grandiflorus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Homalocalyx_pulcherrimus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Homalocalyx_thryptomenoides,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Hovea_chorizemifolia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hovea_heterophylla,Fabaceae,C3,,C3,TRY,,
Hovea_montana,Fabaceae,C3,,C3,TRY,,
Hovea_parvicalyx,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hovea_trisperma,Fabaceae,C3,,C3,TRY,,
Hyalosperma_demissum,Asteraceae,C3,,C3,TRY,,
Hyalosperma_glutinosum,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hyalosperma_semisterile,Asteraceae,C3,,C3,TRY,,
Hybanthus_aurantiacus,Violaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hybanthus_enneaspermus,Violaceae,C3,,C3,TRY,,
Hybanthus_floribundus,Violaceae,C3,,C3,TRY,,
Hybanthus_monopetalus,Violaceae,C3,,C3,TRY,,
Hydrocotyle_algida,Araliaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hydrocotyle_diantha,Araliaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hydrocotyle_sibthorpioides,Araliaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hypericum_gramineum,Hypericaceae,C3,,C3,TRY,,
Hypericum_japonicum,Hypericaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hypericum_perforatum,Hypericaceae,C3,,C3,TRY,,
Hypocalymma_angustifolium,Myrtaceae,C3,,C3,TRY,,
Hypocalymma_strictum,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hypochaeris_glabra,Asteraceae,C3,,C3,TRY,,
Hypochaeris_radicata,Asteraceae,C3,,C3,TRY,,
Hypolaena_exsulca,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Hypolaena_fastigiata,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_colutea,Fabaceae,C3,,C3,TRY,,
Indigofera_cornuligera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_ewartiana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_haplophylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_hirsuta,Fabaceae,C3,,C3,TRY,,
Indigofera_linifolia,Fabaceae,C3,,C3,TRY,,
Indigofera_linnaei,Fabaceae,C3,,C3,TRY,,
Indigofera_longibractea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_monophylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_polygaloides,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_pratensis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_psammophila,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Indigofera_trita,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Ipomoea_coptica,Convolvulaceae,C3,,C3,TRY,,
Ipomoea_diversifolia,Convolvulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Ipomoea_lonchophylla,Convolvulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Ipomoea_muelleri,Convolvulaceae,C3,,C3,TRY,,
Ipomoea_plebeia,Convolvulaceae,C3,,C3,TRY,,
Ipomoea_polymorpha,Convolvulaceae,C3,,C3,TRY,,
Ischaemum_australe,Poaceae,C4,,C4,TRY,,
Iseilema_convexum,Poaceae,C4,,C4,TERN SIA,,
Iseilema_dolichotrichum,Poaceae,C4,,C4,TERN SIA,,
Iseilema_fragile,Poaceae,C4,,C4,TERN SIA,,
Iseilema_macratherum,Poaceae,U,C4,C4,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus ,
Iseilema_membranaceum,Poaceae,C4,,C4,TRY,,
Iseilema_vaginiflorum,Poaceae,C4,,C4,TRY,,
Isoetopsis_graminifolia,Asteraceae,C3,,C3,TERN SIA;Pate et al 1998,,
Isolepis_aucklandica,Cyperaceae,U,C3,C3,Sage 2016 (and references therein); Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Isolepis_marginata,Cyperaceae,C3,,C3,TERN SIA,,
Isopogon_anemonifolius,Proteaceae,C3,,C3,TRY,,
Isotropis_cuneifolia,Fabaceae,C3,,C3,TRY,,
Isotropis_forrestii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Ixiochlamys_cuneifolia,Asteraceae,C3,,C3,TERN SIA,,
Ixodia_achillaeoides,Asteraceae,C3,,C3,TERN SIA,,
Jacksonia_aculeata,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Jacksonia_dilatata,Fabaceae,C3,,C3,TRY,,
Jacksonia_forrestii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Jacksonia_furcellata,Fabaceae,C3,,C3,TRY,,
Jacksonia_nematoclada,Fabaceae,C3,,C3,TERN SIA,,
Jacksonia_odontoclada,Fabaceae,C3,,C3,TERN SIA,,
Jacksonia_sternbergiana,Fabaceae,C3,,C3,TRY,,
Jacquemontia_browniana,Convolvulaceae,C3,,C3,TRY,,
Jasminum_didymum,Oleaceae,C3,,C3,TRY,,
Jasminum_molle,Oleaceae,C3,,C3,TRY,,
Juncus_aridicola,Juncaceae,C3,,C3,TRY,,
Juncus_australis,Juncaceae,C3,,C3,TRY,,
Juncus_phaeanthus,Juncaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Juncus_subsecundus,Juncaceae,C3,,C3,TRY,,
Kennedia_coccinea,Fabaceae,C3,,C3,TRY,,
Kennedia_prorepens,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Kennedia_prostrata,Fabaceae,C3,,C3,TRY,,
Keraudrenia_velutina,Malvaceae,C3,,C3,TERN SIA,,
Kunzea_glabrescens,Myrtaceae,C3,,C3,TERN SIA,,
Kunzea_micrantha,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Kunzea_muelleri,Myrtaceae,C3,,C3,TRY,,
Kunzea_recurva,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Lactuca_serriola,Asteraceae,C3,,C3,TRY,,
Lagenophora_huegelii,Asteraceae,C3,,C3,TERN SIA,,
Lambertia_formosa,Proteaceae,C3,,C3,TRY,,
Lathyrus_tingitanus,Fabaceae,C3,,C3,TRY,,
Lawrencia_repens,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Lawrencia_squamata,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Laxmannia_gracilis,Asparagaceae,C3,,C3,TRY,,
Lechenaultia_divaricata,Goodeniaceae,C3,,C3,TERN SIA,,
Leiocarpa_leptolepis,Asteraceae,C3,,C3,TERN SIA,,
Leiocarpa_semicalva,Asteraceae,C3,,C3,TERN SIA,,
Leiocarpa_tomentosa,Asteraceae,C3,,C3,TERN SIA,,
Leiocarpa_websteri,Asteraceae,C3,,C3,TERN SIA,,
Leontodon_rhagadioloides,Asteraceae,C3,,C3,TERN SIA,,
Lepidium_muelleri-ferdinandi,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Lepidium_oxytrichum,Brassicaceae,C3,,C3,TRY,,
Lepidium_papillosum,Brassicaceae,C3,,C3,TERN SIA,,
Lepidium_phlebopetalum,Brassicaceae,C3,,C3,TRY,,
Lepidium_pseudohyssopifolium,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Lepidobolus_preissianus,Restionaceae,C3,,C3,TERN SIA,,
Lepidosperma_carphoides,Cyperaceae,C3,,C3,TRY,,
Lepidosperma_laterale,Cyperaceae,C3,,C3,TRY,,
Lepidosperma_leptostachyum,Cyperaceae,C3,,C3,Bruhl and Wilson 2007,,
Lepidosperma_lyonsii,Cyperaceae,U,C3,C3,Sage 2016 (and references therein); Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Lepidosperma_rigidulum,Cyperaceae,C3,,C3,TERN SIA,,
Lepidosperma_sanguinolentum,Cyperaceae,C3,,C3,TERN SIA,,
Lepidosperma_semiteres,Cyperaceae,C3,,C3,TRY,,
Lepidosperma_squamatum,Cyperaceae,C3,,C3,Bruhl and Wilson 2007,,
Lepidosperma_viscidum,Cyperaceae,C3,,C3,TRY,,
Lepidosperma_yonsii,Cyperaceae,U,C3,C3,Sage 2016 (and references therein); Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Leptocarpus_tenax,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Leptochloa_digitata,Poaceae,C4,,C4,TRY,,
Leptochloa_fusca,Poaceae,C4,,C4,TRY,,
Leptomeria_acida,Santalaceae,C3,,C3,TRY,,
Leptomeria_preissiana,Santalaceae,C3,,C3,TERN SIA,,
Leptomeria_scrobiculata,Santalaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Leptospermum_arachnoides,Myrtaceae,C3,,C3,TRY,,
Leptospermum_continentale,Myrtaceae,C3,,C3,TRY,,
Leptospermum_erubescens,Myrtaceae,C3,,C3,TRY,,
Leptospermum_fastigiatum,Myrtaceae,C3,,C3,TERN SIA,,
Leptospermum_incanum,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Leptospermum_myrsinoides,Myrtaceae,C3,,C3,TRY,,
Leptospermum_polygalifolium,Myrtaceae,C3,,C3,TRY,,
Leptospermum_spinescens,Myrtaceae,C3,,C3,TRY,,
Leptospermum_trinervium,Myrtaceae,C3,,C3,TRY,,
Lepyrodia_cryptica,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Leucochrysum_stipitatum,Asteraceae,C3,,C3,TERN SIA,,
Leucopogon_affinis,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),
Leucopogon_australis,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),
Leucopogon_concurvus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),
Leucopogon_cordatus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),
Leucopogon_cucullatus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),
Leucopogon_dielsianus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),
