Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data,time_to_flowering_min,time_to_flowering_max,time_to_flowering_mean,peak_flowering_min,peak_flowering_max,peak_flowering_mean,time_to_fruiting_min,time_to_fruiting_max,time_to_fruiting_mean
Macrozamia plurinervia,10531,P,NA,c,NA,Zamiaceae,D,S,R,NA,apical buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,1,-,1,1,-,1,-,-,-,-,-,Q,DSF W,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,IX-100; VII-134,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrozamia spiralis,6335,P,NA,NA,NA,Zamiaceae,Cy,S,R,NA,basal,transient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-20?,NA,NA,NA,NA,>60,NA,NA,NA,NA,NA,-,1,-,-,1,-,-,1,-,-,-,-,-,-,DSF,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5BM 9BN,NA,1,VC,4,4,NA,20,60,NA,>60,1,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maireana cheelii,2124,V,NA,NA,NA,Chenopodiaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,1,-,-,V,Saltbush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8CE,NA,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maireana erioclada,2130,NA,NA,n,NA,Chenopodiaceae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,1,V WA SA,Mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,139,C,1,4,1,NA,NA,NA,NA,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maireana humillima,2133,NA,NA,NA,NA,Chenopodiaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,1,1,1,1,-,-,V,various,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8CE,NA,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maireana lobiflora,2136,NA,NA,NA,NA,Chenopodiaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,1,1,V SA WA NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8CE,NA,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maireana pyramidata,2142,NA,NA,NA,NA,Chenopodiaceae,D,S,S,NA,NA,NA,NA,NA,103-338 sd/g,61-100%,NA,NA,NA,NA,none observed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,1,1,1,V SA WA,Saltbush Bluebush Belah Mallee,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,VIII-78,78; 93b,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maireana sedifolia,2147,NA,NA,NA,NA,Chenopodiaceae,D,S,Sr,"Vegetative response at 88% of sites (78), Mortality 77% (HG)",NA,NA,NA,NA,NA,41%,NA,NA,NA,NA,none observed (78),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,1,1,1,V NT SA WA,Bluebush Saltbush Belah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8C 8HG,IX-78,78; 93b,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maireana triptera,2151,NA,NA,NA,NA,Chenopodiaceae,D,S,S,NA,NA,NA,NA,NA,56-89 sd/g,6-100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,-,1,1,Q V NT SA WA,Mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8FO(1),NA,93b,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallotus philippensis,2735,NA,NA,NA,NA,Euphorbiaceae,D,T,S/R,Usually killed but can resprout (1),basal & root suckers,transient?,bird?,NA,NA,good,NA,NA,NA,NA,NA,NA,NA,fruit ripe spring-summer,NA,Sep-Feb,NA,NA,NA,NA,NA,>50,NA,NA,NA,NA,NA,1,1,-,-,-,-,-,1,-,-,-,-,-,Q,RF,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5SA 8BB 4BB 5BB,NA,1; 93a,D,4,4,NA,NA,50,NA,>50,3,4,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malva parviflora,3657,NA,*,NA,NA,Malvaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8BD,NA,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malva preissiana,13837,NA,NA,NA,Lavatera plebeia,Malvaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,-,1,-,-,-,-,-,-,-,1,1,1,1,Q V SA WA NT,various,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8C,NA,NA,A,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia australis,8908,NA,NA,NA,Leichhardtia australis,Asclepiadaceae,D,C,Rs,Variable (8&9FO),basal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,late spring-summer,Nov-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,1,-,1,1,1,1,Q V SA WA NT,W S,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,9FO 8FO 5FO(1) 9PL,NA,NA,V,4,4,NA,NA,NA,NA,NA,3,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia flavescens,1231,NA,NA,NA,NA,Asclepiadaceae,D,V,S,NA,NA,NA,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,summer,Dec-Feb,NA,NA,NA,NA,NA,NA,10-50?,NA,NA,NA,NA,NA,1,1,1,1,1,-,-,-,-,-,-,-,-,Q V,RF,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8CE,NA,1,C,1,4,NA,NA,10,50,50,2,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia longiloba,1233,E1,NA,NA,NA,Asclepiadaceae,D,C,S,NA,rootstock,short-lived soil,wind,NA,NA,seeds viable up to 1 year,NA,NA,fruiting rare and seasonal,NA,NA,NA,NA,Nov-Jan,Nov-Jan,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,RF (CT),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IX-74?; V-89; VIII-R36,89,C,1,4,2,NA,NA,NA,NA,1,4,1,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia rostrata,1234,NA,NA,c,NA,Asclepiadaceae,D,C,R,NA,rootstock; stem buds,NA,wind,NA,NA,NA,NA,NA,NA,NA,rare,"shade tolerant (96), seedlings present at 4 & 20 yo sites (105)",NA,spring-summer,Sep-Feb,NA,1,NA,NA,NA,NA,<5,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V,RF WSF,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9I 5CT 9M,IX-39; VI-134,1; 96; 105; M,VT,3,3,1,NA,NA,5,NA,1,1,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia suaveolens,1235,NA,NA,NA,NA,Asclepiadaceae,D,S or C,R,NA,root suckers,NA,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,summer,Dec-Feb,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-,1,-,-,-,-,-,-,-,-,-,H SF RF,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4S 9BM,IX-39; IV-105,1; 105,U,4,4,1,NA,NA,NA,NA,1,4,1,4,5,4,NA,NA,0.4,NA,NA,NA,NA,NA,NA
Marsdenia viridiflora subsp. viridiflora,10896,E2,NA,NA,NA,Asclepiadaceae,D,C,R,NA,tuber,NA,wind,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,spring,Sep-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,-,-,-,-,1,1,-,-,-,-,-,Q,W S,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,11HO 9BM,NA,1,VR,2,3,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maytenus bilocularis,2032,NA,NA,n,NA,Celastraceae,D,sT,R,NA,basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-Dec,Sep-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,1,-,-,1,-,-,1,-,-,-,Q,Dry RF eucalypt forest,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V,NA,V,4,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maytenus silvestris,2035,NA,NA,c,NA,Celastraceae,D,S,R,NA,basal,NA,a-ant,NA,NA,91.7%; good and variable,NA,NA,NA,NA,NA,NA,NA,Oct-Dec,Oct-Dec,NA,NA,3-Feb,NA,NA,NA,>30,NA,NA,NA,NA,NA,1,1,-,1,1,-,1,1,-,-,-,-,-,Q,F TOF RF,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5BB,IX-39; IX-100; V-134,"1; 93a,b",V,4,4,NA,NA,30,NA,>30,1,4,4,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA
Medicago minima,2920,NA,*,NA,NA,Fabaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8C,NA,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medicago polymorpha,2922,NA,*,NA,NA,Fabaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8C,VIII-95,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medicago truncatula,2926,NA,*,NA,NA,Fabaceae,D,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8C,NA,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medicosma cunninghamii,5803,NA,NA,n,NA,Rutaceae,C,T,R,NA,basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,RF,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V-134,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca acuminata subsp. acuminata,11116,NA,NA,NA,subsp. unspecified,Myrtaceae,D,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none observed,NA,NA,spring,Sep-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,1,-,-,V SA WA,Mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,IX-78,78,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca armillaris subsp. armillaris,11117,NA,NA,NA,NA,Myrtaceae,D,S,Sr,NA,NA,canopy,wind,NA,NA,NA,NA,NA,NA,NA,NA,seedlings shade intolerant,NA,summer,Dec-Feb,NA,5-Jan,NA,NA,NA,NA,20-30 (1) / >30 (96),NA,NA,NA,NA,NA,1,1,1,-,1,1,-,-,-,-,-,-,-,Q V T,H S,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9G 9CL,I-1; VIII-39?; VIII-70; VIII-96,1; 96,CI,1,1,1,5,20,30,30,3,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca biconvexa,6809,V,NA,NA,Melaleuca pauciflora,Myrtaceae,D,S,R,NA,epicormic & basal & root suckers,shed at maturity,NA,NA,NA,NA,NA,NA,NA,NA,few seedlings,NA,NA,summer,Dec-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-,-,-,-,-,-,-,-,-,-,-,OF Melaleuca-S,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,9WJ,V-1?; VI-105,1; 105,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca capitata,4247,NA,NA,NA,NA,Myrtaceae,D,S,R,No resprouting at 1 of 2 sites 4 months post-fire (105),NA,NA,NA,NA,12658-15625 sd/g,NA,NA,NA,NA,NA,NA,NA,NA,summer,Dec-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,1,-,1,1,-,-,-,-,-,-,-,-,H DSF,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,9I,V-105,93b,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca deanei,4248,V,NA,NA,NA,Myrtaceae,D,S,R,NA,epicormic & basal & root suckers,canopy,NA,NA,NA,NA,NA,require light,NA,NA,NA,I,exclusive?,"very erratic, Nov-Feb",Nov-Feb,NA,3-4?,<2,NA,NA,NA,>100,NA,NA,NA,8,NA,-,1,1,-,-,-,-,-,-,-,-,-,-,-,W wet-H,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,IV&V&VIa-1; IX-66,1; 71,UCI,2,1,2,8,100,NA,>100,1,1,2,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA
Melaleuca decora,4249,NA,NA,NA,NA,Myrtaceae,D,S or T,R,Saplings (5yo) 50% mortality (1),epicormic & basal,canopy,NA,NA,NA,NA,NA,require light,NA,NA,NA,I,NA,summer,Dec-Feb,NA,NA,NA,NA,NA,>5,>100,NA,NA,NA,NA,NA,1,1,1,-,-,-,-,1,-,-,-,-,-,Q,OF W S Swamp,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,V-1; VI-1,1,WCI,2,1,NA,7,100,NA,>100,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca ericifolia,6391,NA,NA,NA,NA,Myrtaceae,D,S,R,Stems killed (1),basal,canopy,wind,"local, 20m",NA,NA,NA,NA,NA,NA,NA,I,NA,summer,Dec-Feb,NA,NA,NA,NA,NA,NA,50-100,NA,NA,NA,NA,NA,1,1,1,-,-,-,-,-,-,-,-,-,-,V T,DSF W H Swamp,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,V-1; IV-38a&b,1,VCI,2,1,NA,NA,50,100,100,1,1,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca glomerata,4251,NA,NA,NA,NA,Myrtaceae,D,S,R,NA,NA,NA,NA,NA,4000 sd/g,NA,none,NA,NA,NA,NA,NA,NA,"sporadically, often winter-spring",Jun-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,1,-,SA WA NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9PL,NA,93b,VC,4,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca groveana,4252,V,NA,NA,NA,Myrtaceae,D,S,Rs,NA,epicormic & basal,canopy,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,Sep-Nov,Sep-Nov,NA,3-4?,NA,NA,NA,NA,>20?,NA,NA,NA,10,NA,1,1,-,1,-,-,-,-,-,-,-,-,-,Q,H,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5LE,IX-39; IX-66; V&VIa-71; VIII-74; IX-89,71; 74,VC,4,4,3,10,20,NA,>20,3,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca hypericifolia,4254,NA,NA,NA,NA,Myrtaceae,D,S,Sr,Some plants killed a few resprouted (high intensity fire) (1),NA,canopy,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,1,-,1,1,-,-,-,-,-,-,-,-,H SW,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,I-1; IX-1,93b,C,1,4,NA,NA,NA,NA,NA,3,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca lanceolata,4256,NA,NA,NA,NA,Myrtaceae,D,S,R,Vegetative response at 67% of sites (78),NA,NA,NA,NA,4193 sd/g,NA,none,NA,NA,NA,present at 63% of sites,NA,NA,"sporadically, chiefly summer",Dec-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,-,-,-,-,-,1,-,-,1,-,1,Q V T,Mallee OW,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,9C 9CH,IX-78,"78; 93a,b",VC,4,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca linariifolia,4257,NA,NA,NA,NA,Myrtaceae,D,S,Rs,Variable (39),epicormic,canopy / persistent soil,NA,NA,NA,NA,none,NA,NA,NA,NA,I,NA,spring-summer,Sep-Feb,NA,NA,4,NA,NA,NA,60-150,NA,NA,NA,NA,NA,1,1,1,-,1,1,-,-,-,-,-,-,-,Q,H DSF,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,9I 9KE,VI-1; IXa-2; VIII&IX-39; II-66; VI-105,1; 9; 93b,VCI,2,1,4,NA,60,150,150,3,1,1,2,1,2,NA,NA,4,NA,NA,NA,NA,NA,NA
Melaleuca linearis,n/a,NA,NA,n,Not in PlantNET,Myrtaceae,D,S,R,NA,basal buds,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,V-134,NA,VI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca nodosa,4258,NA,NA,NA,NA,Myrtaceae,D,S,R,NA,basal & epicormic,canopy,NA,NA,NA,good,NA,NA,NA,NA,NA,I,NA,spring-summer,Sep-Feb,NA,NA,<4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-,-,-,-,-,1,-,-,-,-,-,Q SA,H W DSF,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,5F 5S 9B 4BW,IXa-6; VI-8; IX-39,1; 9; 93a,VCI,2,1,4,NA,NA,NA,NA,1,1,2,4,5,4,NA,4,NA,NA,NA,NA,NA,NA,NA
Melaleuca pallida,n/a,NA,NA,n,Not in PlantNET,Myrtaceae,D,S,R,NA,basal buds,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,V-134,NA,VI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca paludicola,n/a,NA,NA,NR,Not in PlantNET,Myrtaceae,D,S,R,NA,basal buds,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V-134,NA,VI,2,1,4,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,4,NA,NA,NA,NA,NA,NA
Melaleuca pityoides,n/a,NA,NA,n,Not in PlantNET,Myrtaceae,D,S,R,NA,basal buds,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,V-134,NA,VI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca quinquenervia,4260,NA,NA,NA,NA,Myrtaceae,D,T,Rs,"Killed by crown fire, resprouts after partail burn (96)",epicormic,canopy,wind,NA,NA,good,none,NA,NA,NA,NA,I,NA,autumn-winter,Mar-Aug,NA,5-Jan,0.2,NA,NA,NA,>100,NA,NA,NA,NA,NA,1,1,-,-,-,-,-,-,-,-,-,-,-,Q,Swamp F,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2F 9B 9BW,VIa-1; IXa-6; VIII-96,"1; 6; 9; 93a,b; 96",UCI,2,1,1,5,100,NA,>100,3,1,1,2,1,2,NA,NA,0.2,NA,NA,NA,NA,NA,NA
Melaleuca sieberi,4261,NA,NA,NA,NA,Myrtaceae,D,S,R,NA,epicormic & basal,canopy (1; 9) / soil (6),NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,summer,Dec-Feb,NA,NA,3-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-,-,-,-,-,-,-,-,-,-,-,Q,wet-H,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,9B 9BW,V-1; IXb-6; VI-8; V-105,1; 6; 9,VCI,2,1,2,3,NA,NA,NA,1,1,1,4,5,4,2,3,NA,NA,NA,NA,NA,NA,NA
Melaleuca sp nov./comboynensis,n/a,NA,NA,n,Not in PlantNET,Myrtaceae,D,S,R,NA,NA,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,V-134,NA,VI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca sp. aff. comboynensis ('Big Red'),n/a,NA,NA,n,Not in PlantNET,Myrtaceae,D,S,R,NA,basal buds,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,V-134,NA,VI,2,1,3,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,3,NA,NA,NA,NA,NA,NA
