taxon_name,unit,original_name,observation_id,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaf_entity,leaf remove,plant_height_maximum,height_entity,height notes,seed_height_minimum,seed_height_maximum,seed_length_minimum,seed_length_maximum,seed_width_minimum,seed_width_maximum,leaf,seed_entity,seed notes,seed,form,,
Crotalaria novae-hollandiae,mm,Crotalaria novae-hollandiae,157,,,,,,,,,,,,,,,,"leaves 1-foliolate; rachis 6-26 mm long; petiolule 1-4 mm long; blades discolorous, obovate, narrowly lanceolate, narrowly elliptic or ovate, 31-110 mm long, 11-55 mm wide, l/w 1.6-6.6, base cuneate, attenuate or rounded, apex rounded to emarginate.",,"remove height, flattened","seeds 6-10, pale yellow to pale brown, cordiform, 3.5-6 mm long, 3-5 mm wide.","an erect perennial shrub to 1 m tall, branchlets stout, striate. all vegetative parts (except upper leaf surface) and calyx pilose to tomentose with hyaline to ferruginous short simple hairs.",,
Crotalaria novae-hollandiae,mm,Crotalaria novae-hollandiae,157,,,,,,,,,,,,,,,,"leaves 1-foliolate; leaflet elliptic to ovate or obovate, 2-10 cm long.",,"remove height, flattened",,"shrub to 1.5 m, stems pubescent.",,
Crotalaria novae-hollandiae,mm,Crotalaria novae-hollandiae,157,,,,,,,,,,,,,,,,"leaves 1-foliolate; blades discolorous, obovate, narrowly lanceolate, narrowly elliptic or ovate, 31-110 mm long.",,"remove height, flattened","seeds 6-10, pale yellow to pale brown, cordiform.",an erect perennial shrub to 1 m tall.,,
Dillenia alata,mm,Dillenia alata,205,,,,,,,,,,3,3,4,,3,,"petiole (1.6) 2.5-4 cm long, with 2-6 mm wide wings; wings of about even width throughout their length. lamina ovate to elliptic, occasionally oblong to obovate, (5) 8-28 cm long, (3) 5-15 cm wide, glabrous, slightly recurved margin, apex rounded.",,good,"seeds obovoid, 4 mm long, 3 mm wide, black, with reticulate surface, enclosed by waxy-white membranous aril.","tree to 20 m tall, trunk to 60 cm diam., with reddish brown bark peeling off in thin papery flakes.",,
Diplocyclos palmatus,mm,Diplocyclos palmatus,213,,,,,,,,,,1.5,2.5,,,,,"leaves simple; petioles 13-54 (94) mm long, glabrous; lamina widely ovate, palmately 3- (5-) lobed, (47) 65-110 (155) mm long, (66) 80-120 (170) mm wide; margins sinuate dentate; base cordate; apex mucronate; upper surface of lamina with scattered short prickles and occasionally surrounded by multicellular rings; lower surface of lamina glabrous or occasionally with scattered hooked hairs along prominent veins.",,good,"seeds obovate, attenuate, turgid, 5-7 mm long, 3-5 mm wide, 1.5-2.5 thick, broad margin, grey or brown.",perennial climber with a thickened rootstock;,,
Drosera burmanni,mm,Drosera burmanni,216,,,,,,,,,,,,0.3,,0.3,0.3,"leaves in a basal rosette; petiole absent or almost so; lamina obovate, 5.5-25 mm long, 2.5-11 mm wide, green or reddish;",,"remove height, shape not given","seeds circa 0.3 mm long, black, minutely pitted.",herb with a short underground stem and fibrous roots.,,
Elatine gratioloides,mm,Elatine gratioloides,230,,,,,,,,,,0.2,0.2,0.4,,0.2,0.2,"leaves more or less sessile, ovate to lanceolate or more or less linear, 5-20 mm long, 1-4.5 mm wide; nerves terminating at the leaf margin in a small gland.",,good,"seeds 20-45 or more, curved-cylindrical, circa 0.5 mm long, longitudinal and transverse ridges producing a reticulated surface.","prostrate, mat-forming herbs or when submerged stems ascending;",,
Elatine macrocalyx,mm,Elatine macrocalyx,231,,,,,,,,,,0.2,,,,0.2,0.2,"leaves opposite, with indistinct petioles, lamina obovate or spathulate, 3-7 mm long, 1-3 mm wide, apex obtuse, with 1 apical and 1-3 marginal hydathodes, venation not evident in fresh material;",,good,"seeds brown, subcylindrical, straight to slightly curved, 0.4-0.5 mm long, circa 0.2 mm thick, ends obtuse except for a tiny apiculum at one end; surface reticulated, each longitudinal row with 7-10 somewhat hexagonal alveolae.",prostrate glabrous annual herbs forming dense mats;,,
Entada rheedei,mm,Entada rheedii,234,,,,,,,,,,20,,40,40,40,,,,good,,,,
Excoecaria agallocha,mm,Excoecaria agallocha,275,,,,,,,,,,5,,5,,5,,"petioles 15-40 mm long, grooved above. leaf blades discolorous, ovate, obovate or elliptic, 44-115(157) mm long, 26-60(82) mm wide, l/b 1.4-2, base rounded to cuneate, margin crenate, apex acuminate or rounded, often emarginate.",,good,"seeds mottled, globular, circa 5 mm diam.",a small semideciduous tree to 8(15) m tall with 1 to several trunks.,,
Excoecaria ovalis,mm,Excoecaria ovalis,276,,,,,,,,,,4.5,,4.5,,4.5,,"petioles 10-22 mm long. leaf blades discolorous, elliptic or obovate, 40-87 mm long, 20-51 mm wide, l/b 1.3-2, base cuneate or rounded, margin entire or obscurely crenulate, apex rounded, often emarginate.",,good,"seeds brown, spherical, circa 4.5 mm long.",deciduous tree with 1 to several stems growing to 5 m tall.,,
Grevillea myosodes,mm,Grevillea myosodes,345,,,,,,,,,,14,14,18,,14,,"leaves sessile or shortly petiolate; blades narrowly elliptic to elliptic, 90-170 mm long, 11-35 mm wide, l/w (2.5)6.5-9.5, coriaceous, entire, obscurely veined.",,good,"seed oblong to orbicular, circa 18 mm long, 14 mm wide, wing circa 4 mm broad.","a resprouting, multi-stemmed, perennial shrub to 1.6 m. indumentum of branchlets and leaves of ferruginous medifixed hairs and septate glandular hairs, leaves sometimes lacking glandular hairs.",,
Hibbertia angulata,mm,Hibbertia angulata,359,,,,,,,,,,2,3,2,3,2,3,"leaves sessile or almost so, lamina tapering to stem, linear, 8-35 mm long, 0.8-2 mm wide, margin strongly revolute; upper surface with an indumentum of moderately dense spreading stellate hairs; lower surface with an indumentum of dense spreading stellate hairs, midrib prominently raised.",,good,"seed more or less globular, 2-3 mm in diam., light yellow-brown, glabrous.","erect subshrub to 50 cm tall, with perennial rootstock.",,
Hibbertia brevipedunculata,mm,Hibbertia brevipedunculata,360,,,,,,,,,,3,,3,,3,,"leaves sessile or almost so, with the lamina tapering to stem, linear-oblanceolate, 8.3-64 mm long, 1-10 mm wide, conduplicate and incurved in transverse section or straight and flat, margins entire; upper surface with a moderately dense indumentum of spreading stellate hairs, rarely appressed ciliate peltate/peltate scales;",,good,"seed globular to reniform, circa 3 mm diam., pale brown.",subshrub to 70 cm with perennial rootstock.,,
Hibbertia cistifolia,mm,Hibbertia cistifolia,363,,,,,,,,,,2,,2,,2,,"leaves with petioles circa 0.5-2 mm long. lamina oblong to elliptic, rarely narrowly obovate or linear, 10-57 mm long, (2 ) 5-15.5 (21) mm wide, margins mostly entire, occasionally wavy; upper surface moderately dense with stellate hairs; lower surface dense to very dense with stellate hairs;",,good,"seed globular, circa 2 mm long, circa 2 mm in diameter, red brown, smooth and glabrous.","prostrate subshrub with perennial rootstock up to 0.3 m high, branches trailing.",,
Hibbertia complanata,mm,Hibbertia complanata,364,,,,,,,,,,,,4.8,4.8,4.8,4.8,"leaves glabrous or with 1 or a few scabrous trichomes on the margin, 15-25 mm long, the petiole 2-5 mm long, the blade elliptic and decurrent to the petiole base, the midrib prominent on the abaxial surface and impressed on the adaxial surface, the primary veins prominulous on the abaxial surface and obscure on the adaxial surface, the margin serrate for the distal 1/2 to 2/5 and entire for the remainder.",,"remove height, flattened","seed depressed spheroidal, circa 4.8 mm in diameter.","rhizomatous subshrub to 1.5 m tall, erect, the stems dimorphic, the shorter stems much branched with flattened branchlets 3 10( 15) mm wide, the taller stems less branched with terete to flattened branchlets distinctly narrower than those of the shorter stems.",,
Hibbertia dilatata,mm,Hibbertia dilatata,366,,,,,,,,,,4,4,4,4,4,4,,,good,"seed spheroidal, 4.0 mm in diameter.","rhizomatous subshrub to 1 m tall, erect, the stems not dimorphic, the branchlets flattened and 5-20( 35) mm wide.",,
Hibbertia goyderi,mm,Hibbertia goyderi,368,,,,,,,,,,3,,3,,3,,leaves reduced to bracts;,,good,"seed globular, circa 3mm diameter, red-brown, seed coat reticulate.","apparently leafless subshrub to 0.5 m tall, with woody lower stem and perennial rootstock.",,
Hibbertia sphenandra,mm,Hibbertia sphenandra,373,,,,,,,,,,3,4,3,4,3,4,"leaves glabrous, broadly spathulate or obovate, 20-40 mm long, 8-25 mm wide, obtuse, the midrib prominulous on the abaxial surface and very slightly impressed on the adaxial surface, the primary veins obscure to prominulous, the margin serrate to incised serrate in the distal 1/2, entire below, attenuate, decurrent to the petiole base.",,good,"seeds spheroidal, 3.0-4.0 mm in diameter.","subshrub, to 0.25 m high.",,
Hibbertia tasmanica,mm,Hibbertia tasmanica,374,,,,,,,,,,5,,5,,5,,"leaves petiolate circa 1.6-6 mm long, lamina ovate to elliptic, rarely oblong to obovate, 28-76 mm long, 10-50 mm wide, margin entire, irregularly crenate or serrate, rarely shallowly lobed; upper surface sparse to moderately pubescent with erect, hooked or curved hairs;",,good,"seeds globular, 5 mm diameter, yellowish.",prostrate subshrub with perennial rootstock;,,
Mallotus dispersus,mm,Mallotus didymochryseus,412,,,,,,,,,,7,,7,7,7,,"leaves decussate; petioles 16-50 mm long; blades broadly ovate, 50-167 mm long, 35-140 mm wide, l/b 0.9-1.2, upper surface stellate pubescent, undersurface with a soft tomentose indumentum, glands obscure, hyaline, base rounded or cordate, margin entire to shallowly dentate, veins ending in glands covered with tufts of stellate hairs, apex acute to obtuse.",,good,"seeds dark brown, circa 7 mm diam.",an ?evergreen tree or shrub to 10 m tall.,,
Mallotus nesophilus,mm,Mallotus nesophilus,413,,,,,,,,,,4,,4,4,4,,"leaves alternate; petioles 6-82 mm long; blades ovate or orbicular, rarely deltoid, rhomboid or elliptic, 20-111 mm long, 15-95 mm wide, l/b 0.9-1.2(1.6), upper surface green, glabrescent with stellate and simple hairs, glands below numerous, yellow, base truncate or cuneate, margin entire, rarely sinuate, apex acute to rounded.",,good,seeds circa 4 mm diam.,a semideciduous tree to 8 m tall.,,
Mallotus philippensis,mm,Mallotus philippensis,414,,,,,,,,,,4,,4,4,4,,"leaves alternate; petioles 11-75(124) mm long; blades mostly lanceolate, also ovate or broadly elliptic, 35-210 mm long, 25-100 mm wide, l/b 1.1-3(3.6), upper surface glabrous or with scattered stellate hairs, glands below red, base cuneate or rounded, margin entire, marginal glands obscure, intramarginal glands absent, apex acute to acuminate.",,good,"seeds circa 4 mm diam., adhering to the placenta after the cocci walls fall.","an evergreen tree to 10 m tall, rarely more.",,
Margaritaria indica,mm,Margaritaria indica,417,,,,,,,,,,3,,3,3,3,,"petioles 4.6-12.5 mm long. leaf blades discolorous, elliptic, ovate or obovate, 11-115 mm long, 23-58 mm wide, apex acute, margin finely undulate, base attenuate.",,good,seeds circa 3 mm diam.,small tree 5-20 m tall.,,
Muellerargia timorensis,mm,Muellerargia timorensis,439,,,,,,,,,,2,,8.5,,,,"leaves simple,; petioles to 30 mm long with a dense covering of hairs approx. 0.3 mm long, with scattered striated hairs to 1.2 mm; lamina widely ovate, 90-98 mm long, 85-90 mm wide, shallowly palmately 3-lobed; margins sinuate dentate; base cordate; apex acute with a denticle; surfaces with a scattered cover of hairs, 0.2-1.5 mm long on lower surface, 0.5 to 2 mm on upper surface.",,good,"seeds many, 8.5 mm long, 3.5-4 mm wide, approx. 2 mm thick, unripe seeds asymmetrical, finely pitted, pale.","trailing or climbing, apparently annual vine, stems to 2 m long, with scattered hairs 0.2-0.5 mm long. tendrils simple.",,
Neptunia major,mm,Neptunia major,448,,,,,,,,,,3,4,4,,,,"leaf rachis (7)14-52 mm long with 1-3 pairs of pinnae; petiolar gland present; pinnae 32-80 mm long, stipels absent, 15-36 pairs of leaflets per pinnae; leaflets linear-oblong, 6-11 mm long, 1.5-2 mm wide, slightly discolorous, sensitive to touch.",,good,"seeds 1-3, obovoid, 4 mm long, 3-4 mm wide.","perennial shrubby herb, 0.6-2 m high, glabrous.",,
Trianthema rhynchocalyptrum,mm,Trianthema rhynchocalyptra,601,,,,,,,,,,,,1.5,1.5,1.5,1.5,"leaves clustered, petiolate; lamina elliptic, ovate to lanceolate or obovate, 3-20 mm long, 1-10 mm wide; petiole 0.5-6 mm long. basally dilated and forming a sheath.",,"remove height, flattened","seeds compressed, pea-shaped, longest axis circa 1.5 mm, initially minutely papillate but apparently shiny and finely striate at maturity.","herbs with perennial, somewhat fleshy rootstock, stems mostly glabrous and somewhat woody.",,
Adenanthera pavonina,mm,Adenanthera pavonina,038,,,,,,,,,,,,8,10,,,"leaf rachis glabrescent, 160-265 mm long, with 2-5 pairs of pinnae, often subopposite. glands absent; pinnae 50-190 mm long with 12-16 alternate leaflets; leaflets elliptic, 15-50 mm long, 8-25 mm wide. basal pair often much smaller, discolorous. sparsely hairy.",,good,"seeds persistent, bright red, shiny, irregularly discoid, 8-10 mm diam.",tree 8-20 m high.,,
Antidesma ghaesembilla,mm,Antidesma ghesaembilla,064,,,,,,,,,,,,,,,,,,"remove, fruit dimensions",,,,
Aristolochia holtzei,mm,Aristolochia holtzei,065,,,,,,,,,,,,,,,,"leaves linear to linear-lanceolate, 40-150 mm long; petioles up to 5 mm long.",,"remove ""min"", value = ""to …""","seeds many, triangular, to 4mm long, the convex surface tuberculate.","herb to circa 50 cm tall with perennial rootstock and annual aerial parts, stems usually erect , resprouting and flowering after fire.",,
Aristolochia pubera,mm,Aristolochia pubera,066,,,,,,,,,,,,,,,,"leaves linear to linear-lanceolate, 40-150 mm long; petioles up to 5 mm long.",,"remove ""min"", value = ""to …""","seeds many, triangular up to 4mm long, the convex surface tuberculate.","prostrate or twining herb with a perennial rootstock and annual aerial parts, pubescent to almost glabrous.",,
Banksia dentata,mm,Banksia dentata,072,,,,,,,,,,,,11,,,,"petiole 10-12 mm long. leaf blades strongly discolorous, oblanceolate to spathulate, 140-270 mm long, 47-70 mm wide, l/w 3.3-5.7, glabrous above, densely white arachnoid below, lateral veins + at right angles, deeply dentate with lobes spinose.",,good,"seeds 2, with a thickened separator between them, wedge-shaped, black, circa 11 mm long, wing on one end, circa 9 mm long.",shrub or small tree to 6 m.,,
Breynia cernua,mm,Breynia cernua,085,,,,,,,,,,,,4,,,,"leaves alternate; petioles 2.5-5 mm long; blades discolorous, elliptic or ovate but occasionally suborbicular, obovate or lanceolate, 25-95 mm long, 12-56 mm wide, l/b 1.2-2.2, base broadly cuneate, attenuate or rounded, rarely truncate, margin entire, apex obtuse to rounded, occasionally acute.",,good,"seeds brown, circa 4 mm long, 3-sided, with a straight inner angle and curved outer side, hilum small.",evergreen shrub or small tree to 4 m tall;,,
Capparis quiniflora,mm,Capparis quiniflora,111,,,,,,,,,,,,6,,,,"leaves with petiole 7-20 mm long; lamina ovate or elliptic, 40-105 mm long, 20-70 mm wide, apically acute to acuminate. basally commonly subcordate but sometimes acute, moderately hairy to glabrous.",,good,"seeds circa 10 to many, brown or black, circa 6 mm long.","scrambling shrub or vine to circa 10 m, appressed initially to the trunks of trees, at least young branchlets, leaves and inflorescences moderately to densely hairy but older growth becoming glabrous.",,
Chamaecrista nigricans,mm,Chamaecrista nictitans,126,,,,,,,,,,,,3.5,,2.5,,"leaves sometimes with sessile glands at base of rachis or between terminal or subterminal pairs of leaflets, rachis length 40-85 mm long, stipellae absent; leaflets 6-13 pairs, narrowly oblong or narrow-oblanceolate, slightly asymmetric, 7-25 mm long, 1.3-5.5 mm wide, l/w 4.5-7, apiculate.",,changed to match description,"seeds 4-7, dull brown, obovate, oblique, circa 3.5 x 2.5 mm.",erect annual to 1 m with zig-zag stems. indumentum throughout of simple curved yellow hairs.,,
Arivela linophylla,mm,Cleome linophylla,136,,,,,,,,,,,,1.15,1.3,0.9,1.2,,,good,,,,
Arivela microaustralica,mm,Cleome microaustralica,138,,,,,,,,,,,,1.1,1.5,,,,,good,,,,
Cochlospermum gillivraei,mm,Cochlospermum gillivrayi,145,,,,,,,,,,,,8,,,,"petiole to 150 mm long. lamina widely depressed obovate in outline, 40-150 mm long, 50-170 mm wide, palmatifid, divided for at least two-thirds its length; base shallowly to deeply cordate, margins serrate, apex acute, acuminate or rarely obtuse; lobes lanceolate, narrowly elliptic to elliptic.",,good,"seeds circa 8 mm long, 3-4 mm wide.",small tree or shrub to 7 m tall;,,
Corchorus aestuans,mm,Corchorus aestuans,148,,,,,,,,,,,,1.5,,,,"leaves with petiole 0.2-2.6 cm long; lamina ovate, less often elliptic to suborbicular, 1.7-8 cm long, 0.7-4 cm wide, base rounded to shallowly cordate, 3-5-nerved, often with 1-2 filiform auricles to 8 mm long, margins serrate, apex usually acute, sometimes obtuse or rounded;",,good,"seeds 11-15 per locule, dark brown, angular, rhombic-cylindric, circa 1.5 mm long.","prostrate to erect annual herb to 1 m tall, usually less.",,
Crotalaria quinquefolia,mm,Crotalaria quinquefolia,158,,,,,,,,,,,,4.5,,3.5,,"leaves digitately 5-foliolate; rachis 15-65 mm long; leaflets discolorous, unequal, linear or very narrowly elliptic, 25-95 mm long, 3-8 mm wide, l/w 6-16, upper surface vesicular glandular, base attenuate, apex rounded to acute or emarginate.",,good,"seeds 34-48, red-brown, cordiform, circa 4.5 mm long, 3.5 mm wide.",an erect annual herb to 1 m tall with striate stems. vegetative parts (except leaf upper surface) with adpressed white short hairs.,,
Croton schultzii,mm,Croton argyratus,160,,,,,,,,,,,,5,,,,"petioles 20-75 mm long, often ferruginous. leaf blades, ovate or broadly lanceolate, 60-120 mm long, 50-92 mm wide, l/b 1-1.9, often glabrescent above, silvery-shiny, with fine translucent pellucid dots below, base truncate, rounded to cordate, 3-5-nerved, margins + entire.",,good,"seeds mottled, circa 5 mm long.","shrub or small tree to 4 m, rarely 10 m. the whole plant covered to varying degrees in peltate scales.",,
Croton arnhemicus,mm,Croton arnhemicus,161,,,,,,,,,,,,5,,,,"petioles 20-110 mm long. leaf blades discolorous, ovate, lanceolate, broadly lanceolate, or suborbicular, 60-300 mm long, 40-280 mm wide, l/b 0.9-1.5. sparsely tomentose above, often hoary-tomentose beneath, strongly 5-7-nerved, base cordate or truncate, margin crenulate to irregularly serrulate, with small scattered + stipitate glands often present in the sinuses on the underside.",,good,"seeds circa 5 mm long, with occasional stellate hairs.","a deciduous shrub or small tree to 5(12) m tall, with leaves turning red before falling;",,
Aphyllodium biarticulatum,mm,Desmodium biarticulatum,190,,,,,,,,,,,,1.7,,1.3,,"leaf rachis 3-9 mm long; leaflets narrowly oblanceolate to obovate, 5-20 mm long, 3-7 mm wide, l/w 1.6-4, base cuneate, apex obtuse to rounded, often apiculate. cladode 4-6 mm long.",,good,"seeds dark brown, oblong, circa 2.7 mm long, 2.1 mm wide.","prostrate to erect shrub to 1 m tall. indumentum sparse to moderately dense on leaves and stems, of appressed to spreading, white, long, stout hairs.",,
Desmodiopsis campylocaulon,mm,Desmodium campylocaulon,193,,,,,,,,,,,,3,,,,,,good,,,,
Pleurolobus gangeticus,mm,Desmodium gangeticum,195,,,,,,,,,,,,1.6,,1.2,,,,good,,,,
Desmos wardianus,mm,Desmos wardianus,204,,,,,,,,,,,,7,,5,5,"leaves with the petiole 3-5 mm long, channelled above, with appressed copper or white hairs; lamina oblanceolate, narrowly elliptic to elliptic or narrowly oblong to oblong, 3-10 cm long, 1-3 cm wide, base cuneate or appearing shortly truncate with two minute lobes either side of midrib, apex acute to obtuse or somewhat emarginate, discolorous, oil glands present, the upper surface glabrous, the lower surface with appressed copper-coloured or rarely white hairs. cladode 5.4-10 mm long, 4.5-5 mm wide; stipe 11-20 mm long.",,good,"seeds 1 per article, brown, circa 7 mm long, circa 5 mm wide.",scrambling vine or scandent shrub;,,
Diospyros humilis,mm,Diospyros humilis,208,,,,,,,,,,,,7.5,,5.5,,"petiole 2-6 mm long, glabrescent, with short erect hairs and occasionally long appressed medifixed hairs. lamina elliptic to widely elliptic, obovate to widely obovate, 1.2-5.4 cm long, 1.0-3.2 cm wide, base obtuse to cuneate, apex rounded to acute or emarginate, coriaceous; upper surface glabrescent, with sparse short erect hairs concentrated along midrib; lower surface glabrescent, with appressed medifixed hairs with one very short arm, glands absent or occasionally with 1-4 (11) scattered across lamina.",,good,"seeds segment-shaped, circa 7.5 mm long, circa 5.5 mm wide, brown, rugose.",shrub or tree to 15 m.,,
Dubouzetia australiensis,mm,Dubouzetia australiensis,223,,,,,,,,,,,,,,,,"petioles 4-13 mm long, channelled on upper surface. lamina lanceolate or elliptic to narrowly elliptic, 36-130 mm long, 12-55 mm wide, upper surface occasionally glabrous, lower surface with minute domatia in the axils of the midvein and lateral veins; margin entire on adult foliage, glandular crenate on juvenile foliage.",,"removed, fruit dimensions",,"shrub to 2.5 m tall, growing in fissures of sandstone escarpments; indumentum of appressed to ascending hyaline hairs;",,
Endospermum myrmecophilum,mm,Endospermum medullosum,233,,,,,,,,,,,,7,,,,"leaves spirally arranged. petioles circa 315 mm long; blades circa 310 mm long, 260 mm wide. sparsely tomentose with simple hairs on both surfaces. adultleaves with petioles to 150 mm long; blades usually non-peltate, occasionally peltate, discolorous, ovate to orbicular, 65-165 mm long, 60-146 mm wide, l/b circa 1, 5-7-nerved, with 2 yellow-brown flattened glands at junction with petiole, margin entire with several small glands, apex rounded to shortly acuminate.",,good,"seeds ovoid, circa 7 mm long.","tree to 35 m, with pale yellow to white smooth bark.",,
Excoecaria parvifolia,mm,Excoecaria parviflora,277,,,,,,,,,,,,5,,,,"leaves clustered on short lateral shoots; petioles 1-8 mm long; blades oblanceolate, obovate or narrowly elliptical, 15-47 mm long, 4-22 mm wide, l/b (1.5)3-6.4, sometimes purplish above, base cuneate or attenuate, margin entire, apex obtuse, occasionally slightly emarginate. male nflorescence circa 10 mm long.",,good,"seeds pale brown, smooth, obovoid, circa 5 mm long. gutta percha",a semideciduous tree to 7 m tall.,,
Flemingia trifoliata,mm,Flemingia involucrata,299,,,,,,,,,,,,4,,3.5,,"leaf rachis 12-45 mm long; stipels +persistent, circa 4 mm long; leaflets elliptic or obovate, 40-115 mm long, 15-75 mm wide, l/w 1.7-3.8, base cuneate or rounded, apex acute to obtuse.",,good,"seed 1, black, depressed globular, circa 4 mm long, 3.5 mm wide,","an erect herb or shrub to 1.3 m high, with perennial roots. softly pilose throughout with patent white long hairs, yellow glandular hairs and red vesicular glands, the latter more dense on the under side of the leaves and calyx.",,
Flemingia lineata,mm,Flemingia lineata,300,,,,,,,,,,,,3,3,3,,"leaf rachis (3)8-40 mm long; leaflets oblanceolate, lanceolate, elliptic or narrowly elliptic, 21-157 mm long, 6-60 mm wide, l/w 2-5(7.2), strongly 3-nerved at base, tomentose or glabrate below or glabrate throughout, with vesicular glands below and sometimes throughout, base attenuate, apex acute to rounded.",,good,"seeds olivaceous to black, circa 3 mm diam",erect evergreen shrub to 2 m high.,,
Flemingia parviflora,mm,Flemingia parviflora,301,,,,,,,,,,,,2.5,2.5,2.5,,"leaf rachis (25)50-100 mm long, ridged or narrowly winged; leaflets lanceolate, elliptic or ovate, 32-125 mm long, 15-75 mm wide, l/w 1.6-2.7, bases rounded to cuneate, apices rounded to acute.",,good,"seeds black, circa 2.5 mm diam.",prostrate or erect rhizomatous subshrub with annual stems to circa 0.5 m high. vegetative parts tomentose and with minute black conical vesicular glands on leaf blades and rachis.,,
Flemingia pauciflora,mm,Flemingia pauciflora,302,,,,,,,,,,,,4.5,4.5,4.5,,"underside of leaves and calyx with pale yellow vesicular glands obscured by tomentum. leaf rachis 9-50 mm long; stipels absent; leaflets dorsiventral, oblanceolate, obovate, elliptic or narrowly elliptic, 15-65 mm long, 7-36 mm wide, l/w 1.5-3.6.",,good,"seeds mottled brown-purple, circa 4.5 mm diam.",erect or prostrate evergreen rhizomatous shrub. vegetative parts grey-velutinous with simple hairs;,,
Glinus lotoides,mm,Glinus lotoides,311,,,,,,,,,,,,0.4,,,,"cauline leaves barely petiolate or with stellate-hairy petioles to circa 1 cm long; lamina mostly very widely obovate to obovate, 0.8-2.3 cm long, 0.7-1.4 cm wide; margins entire, both surfaces greyish green and with a moderate to dense indumentum of stellate hairs.",,good,"seeds subreniform, circa 0.4 mm long,shiny reddish brown, with lines of tubercles.","annual or perennial herbs with stem and branches prostrate to ascending, to 10-40 cm long,with conspicuous indumentum of stellate hairs; taproot well-developed.",,
Glinus oppositifolius,mm,Glinus oppositifolius,312,,,,,,,,,,,,0.5,,,,"cauline leaves not or barely petiolate but tapering gradually to the base, elliptic, ovate or obovate,1-3.5 cm long, 0.4-1.3 cm wide; margins entire or obscurely dentate, glabrous or with curled simple hairs.",,good,"seeds subreniform, circa 0.5 mm long, shiny reddish-brown, with lines of tubercles.","annual herbs with stem and branches usually prostrate, to circa 50 cm long, glabrous or with simple, white, curled hairs especially on young growth; taproot well-developed.",,
Glycine hirticaulis,mm,Glycine hirticaulis,317,,,,,,,,,,,,3.8,,2.5,,"leaves digitately 3-foliolate, rachis 20-70 mm long; leaflets dorsiventral, + linear, 42-125 mm long, 2.5-9 mm wide, l/w 9.7-14(28), margins incurved, 2o veins at right angles to midvein, thinly pilose, the hairs mostly white.",,good,"seeds brown, circa 3.8 mm long, 2.5 mm wide.",,,
Glycine tomentella,mm,Glycine tomentella,318,,,,,,,,,,,,1.8,3,,,"leaves pinnately 3-foliolate; rachis to basal leaflets 5-60 mm, 7-72 mm overall, rachis above basal leaflets to 12 mm long; leaflets discolorous, elliptic or ovate, 25-50(70) mm long, 11-37 mm wide, venation prominent below; basal leaflets asymmetric, smaller than the terminal.",,good,"seeds 1-5, pale to dark brown, squared, 1.8-3 mm diam.",,,
Gompholobium subulatum,mm,Gompholobium subulatum,319,,,,,,,,,,,,2,,1.2,,"leaves imparipinnate; rachis to basal leaflets 1-7 mm, 7-32 mm overall; stipels absent; leaflets in (2)3-5(7) pairs, discolorous, linear, narrowly oblanceolate or filiform with recurved margins, 6-32 mm long, 0.2-5 mm wide.",,good,"seeds 1-2, pale brown, reniform, circa 2 mm long, 1.2 mm wide, minutely hoary- tomentose except for a thin transparent wrinkled membrane extending from the hilum around the narrow end;","an erect or spreading evergreen perennial shrub to 1 m tall. glabrous throughout except for minute simple hairs in the axils, on the leaf rachis and on the inside margins of the calyx lobes.",,
Gomphrena atrorubra,mm,Gomphrena atrorubra,320,,,,,,,,,,,,1.5,,,,"leaves cauline, sessile; lamina linear to lanceolate, 20-60 mm long, 1-4 mm wide; indumentum of dense appressed to spreading hairs.",,good,"seed compressed obovoid to compressed ellipsoid, circa 1.5 mm long.","annual erect herb to 60 cm high, only branching above the base;",,
Gomphrena canescens,mm,Gomphrena canescens,321,,,,,,,,,,,,,2,,,"leaves cauline, sessile; lamina linear or linear-lanceolate or narrowly elliptic, 20-110 mm long, 1-5 mm wide; hairs dense, appressed to spreading.",,changed,"seed compressed obovoid to compressed ellipsoid, to 2 mm long.","annual herb, erect to spreading, up to 90 cm high, single or multi-stemmed;",,
Gomphrena connata,mm,Gomphrena connata,322,,,,,,,,,,,,,,,,"leaves linear to linear-lanceolate, 40-150 mm long; petioles up to 5 mm long.",,"remove ""min"", value = ""to …""","seed compressed obovoid, to 1.4 mm long.","annual herb, prostrate or erect to spreading, up to 30 cm high, single or multi-stemmed;",,
Gomphrena flaccida,mm,Gomphrena flaccida,324,,,,,,,,,,,,,,,,"leaves linear to linear-lanceolate, 40-150 mm long; petioles up to 5 mm long.",,"remove ""min"", value = ""to …""","seed compressed ellipsoid, to 2.2 mm long.","annual erect herb to 90 cm high, single-stemmed;",,
Gomphrena floribunda,mm,Gomphrena floribunda,325,,,,,,,,,,,,1.4,,,,"leaves cauline, sessile; lamina usually lanceolate, 7-18 mm long, 2-4 mm wide; upper surface with sparse, spreading rough hairs; lower surface with dense, appressed, soft hairs.",,good,"seed compressed obovoid to compressed ellipsoid, circa 1.4 mm long.","annual herb, usually decumbent or erect, to 25 cm high, multi-stemmed;",,
