species_name,genus,species,intr rank,longevity,GF,leaf longevity,max height (m),glacous,leaf type,leaf shape,leaf length (mm),leaf width (mm),seed shape,seed length (mm),seed diameter (mm),seed depth (mm),flowering time,fruiting,dispersal appendage,aquatic,succulent
Dendrolobium stipatum,DENDROLOBIUM,stipatum,,perennial,subshrub,e,0.6,,c,,17-63,Nov-28,,3.5-5,2.3-3,,jul-oct,oct,,,
Dendrolobium ‘Green Ant Ck’,DENDROLOBIUM,‘Green Ant Ck’,,perennial,herb,e,0.3,,c,ovate,25-47,15-35,,4,2.5,,aug-mar,feb-apr,,,
Derris trifoliata,DERRIS,trifoliata,,perennial,vine,e,,,c,ovate,55-150,25-64,,,,,aug-nov,nov-dec,,,
Desmodium biarticulatum,DESMODIUM,biarticulatum,,annual,shrub,,1.5,,c,elliptic,13-60,3-Oct,oblong,1.7-2.5,1.3-1.9,,jan-jul,1.3-1.9,,,
Desmodium brachypodum,DESMODIUM,brachypodum,,perennial,shrub,,1,,c,ovate,25-67,13-43,oblong,3-3.2,1.7-2,,mar-jun,,,,
Desmodium brownii,DESMODIUM,brownii,,annual,herb,,0.6,,c,linear,6.5-60,1.5-4,reniform,1.8-2,1.1-1.5,,feb-apr,feb-apr,,,
Desmodium campylocaulon,DESMODIUM,campylocaulon,,perennial,herb,,0.2,,c,elliptic,22-101,6.5-18,oblong,3,1.9-2,,,,,,
Desmodium filiforme,DESMODIUM,filiforme,,annual,herb,,,,c,obovate,Aug-38,Feb-17,reniform,2.1-2.8,1.8-2.1,,mar-jun,mar-aug,,,
Desmodium gangeticum,DESMODIUM,gangeticum,,perennial,shrub,e,1.5,,c,ovate,19-120,18-60,reniform,1.6,1.2,,jan-mar,jan-jun,,,
Desmodium heterocarpon,DESMODIUM,heterocarpon,,perennial,shrub,e,1.5,,c,elliptic,26-70,15-38,reniform,1.5-2,1.5,,jan-mar,feb-jun,,,
Desmodium muelleri,DESMODIUM,muelleri,,annual,herb,,0.4,,c,lanceolate,Nov-58,3-Dec,reniform,2.5-3,1.5-2.2,,feb-jul,mar-jul,,,
Desmodium polyneurum,DESMODIUM,polyneurum,,perennial,shrub,e,1,,c,,24-72,14-38,,,,,jun-nov,,,,
Desmodium pulchellum,DESMODIUM,pulchellum,,annual,shrub,e,2,,c,ovate,35-70,18-55,reniform,3-3.5,2-2.8,,feb-jul,apr-jul,,,
Desmodium ichostachyum,DESMODIUM,ichostachyum,,annual,herb,,,,c,obcordate,3.5-16,Mar-18,,1.2-2,1.2-1.5,,feb-jun,feb-jun,,,
Desmodium velutinum,DESMODIUM,velutinum,,annual,shrub,,1.5,,c,ovate,42-135,30-100,oblong,1.8-2.7,1.3-2,,mar-jun,apr-jun,,,
Desmodium ‘Darwin’,DESMODIUM,‘Darwin’,,annual,herb,,,,c,obcordate,May-30,May-22,reniform,1.5-1.9,1-1.6,,feb-jun,feb-jun,,,
Desmodium ‘Limbunya’,DESMODIUM,‘Limbunya’,,annual,herb,,,,c,elliptic,Aug-31,Jun-23,reniform,2.8-3,1.8-2.2,,feb-may,mar-jun,,,
Desmodium Melville Is.,DESMODIUM,Melville Is.,,annual,herb,,,,c,ovate,16-54,18-42,oblong,1.6-2.8,1.3-2,,apr-may,apr-may,,,
Desmodium Pine Ck,DESMODIUM,Pine Ck,,annual,herb,,0.35,,c,oblong,Mar-32,Feb-17,reniform,2-2.2,1.5-1.8,,feb-apr,mar-jul,,,
Dunbaria rotundifolia,DUNBARIA,rotundifolia,,annual,vine,,,,c,,Nov-19,Dec-15,,2.5-3.5,2.5-3.5,,feb-apr,mar-may,,,
Dunbaria singuliflora,DUNBARIA,singuliflora,,perennial,vine,e,,,c,lanceolate,Jul-20,2-7.5,,3.5-5,3-3.5,,jan-mar,feb-may,,,
Eriosema chinense,ERIOSEMA,chinense,,perennial,herb,e,0.8,,c,lanceolate,35-100,1-Sep,ellipsoid,3-Apr,2-2.8,,nov-apr,dec-jul,,,
Erythrina vespertilio,ERYTHRINA,vespertilio,,perennial,tree,d,8,,c,elliptic,29-115,48-155,oblong,10-11.5,4-5.5,,may-oct,sep-oct,,,
Flemingia involucrata,FLEMINGIA,involucrata,,perennial,shrub,e,1.3,,c,elliptic,40-115,15-75,globular,4,3.5,,feb-jul,aug,,,
Flemingia lineata,FLEMINGIA,lineata,,perennial,shrub,e,2,,c,elliptic,21-157,Jun-60,,3,3,,may-oct,may-oct,,,
Flemingia parviflora,FLEMINGIA,parviflora,,perennial,subshrub,e,0.5,,c,elliptic,32-125,15-75,,2.5,2.5,,sep-jun,sep-jun,,,
Flemingia pauciflora,FLEMINGIA,pauciflora,,perennial,shrub,e,,,c,oblanceolate,15-65,Jul-36,,4.5,4.5,,jan-aug,jan-aug,,,
Flemingia trifoliastrum,FLEMINGIA,trifoliastrum,,perennial,herb,e,,,c,obovate,14-49,Oct-44,,,,,apr-aug,apr-aug,,,
Flemingia Rum Jungle,FLEMINGIA,Rum Jungle,,perennial,shrub,e,1.5,,c,elliptic,44-115,18-54,,3,3,,ay,ay,,,
Galactia megalophylla,GALACTIA,megalophylla,,perennial,shrub,e,2,,c,lanceolate,42-135,16-96,oblong,3-Apr,2.5-3.5,,dec-feb,jan-mar,,,
Galactia mueller,GALACTIA,mueller,,perennial,shrub,e,1.5,,c,lanceolate,22-60,Jul-32,,3.5-4,2.6-3,,dec-mar,dec-mar,,,
Galactia tenuiflora,GALACTIA,tenuiflora,,perennial,vine,e,,,c,lanceolate,20-80,Jul-42,,4-May,3-Apr,,jan-feb,jan-feb,,,
Galactia Litchfield,GALACTIA,Litchfield,,perennial,shrub,e,0.7,,c,lanceolate,34-77,May-20,,,,,jul,jul,,,
Glycine hirticaulis,GLYCINE,hirticaulis,,perennial,vine,e,,,c,linear,42-125,2.5-9,,3.8,2.5,,feb-may,feb-may,,,
Glycine tomentella,GLYCINE,tomentella,,perennial,vine,e,,,c,elliptic,25-70,Nov-37,square,1.8-3,1.8-3,,jan-may,mar-jul,,,
Gompholobium subulatum,GOMPHOLOBIUM,subulatum,,perennial,shrub,e,1,,c,linear,Jun-32,0.2-5,reniform,2,1.2,,ay,ay,,,
Indigofera colutea,INDIGOFERA,colutea,,annual,herb,e,0.5,,c,elliptic,2.5-13.5,1-6.5,,,,,feb-apr,feb-apr,,,
Indigofera hirsuta,INDIGOFERA,hirsuta,,annual,herb,e,1.5,,c,obovate,Apr-45,Feb-25,,,,,jan-apr,feb-jul,,,
Indigofera linifolia,INDIGOFERA,linifolia,,annual,herb,,0.5,,s,linear,Jun-50,1-Apr,,,,,feb-mar,mar-may,,,
Indigofera parviflora,INDIGOFERA,parviflora,,annual,herb,,1.5,,c,linear,Oct-42,1-Jun,,,,,feb-may,mar-may,,,
Indigofera polygaloides,INDIGOFERA,polygaloides,,perennial,herb,e,0.3,,c,obovate,May-20,3-Dec,,,,,jan-mar,mar-may,,,
Indigofera saxicola,INDIGOFERA,saxicola,,perennial,shrub,e,2,,c,ovate,15-40,Oct-22,,,,,nov-feb,mar-jun,,,
Indigofera schultziana,INDIGOFERA,schultziana,,perennial,subshrub,e,0.6,,c,ovate,25-103,20-60,,,,,aug-jan,aug-jan,,,
Indigofera trifoliata,INDIGOFERA,trifoliata,,perennial,herb,e,1.2,,c,elliptic,Dec-27,3-Sep,,,,,dec-mar,feb-apr,,,
Indigofera trita subsp. Trita,INDIGOFERA,trita,subsp. Trita,perennial,herb,e,0.45,,c,,Sep-20,4-Oct,,,,,jan-mar,mar-may,,,
Jacksonia dilatata,JACKSONIA,dilatata,,perennial,shrub,e,4,,s,elliptic,26-150,Apr-20,reniform,2.7,1.5,,may-nov,may-nov,,,
Leptosema sp. [Brachysema uniflorum Benth.],LEPTOSEMA,sp. [Brachysema uniflorum Benth.],,perennial,shrub,e,,,,,,,reniform,4,2.2,,apr-jul,apr-jul,,,
Mucuna gigantea,MUCUNA,gigantea,,perennial,liana,d,,,c,,67-140,33-78,,18-23,18-23,,feb-oct,apr-dec,,,
Mucuna reptans,MUCUNA,reptans,,perennial,vine,e,,,c,,80-120,44-83,,9-Oct,7-Sep,,jan-apr,apr,,,
Pongamia pinnata,PONGAMIA,pinnata,,perennial,tree,d,10,,c,elliptic,55-125,35-94,ellipsoid,18,11,,sep-oct,ay,,,
Psoralea badocana,PSORALEA,badocana,,perennial,shrub,e,2.5,,c,elliptic,43-118,20-47,,,,,jan-aug,may-jun,,,
Psoralea cinerea,PSORALEA,cinerea,,annual,herb,e,0.6,,c,lanceolate,Aug-74,Jun-46,,,,,ay,ay,,,
Pycnospora lutescens,PYCNOSPORA,lutescens,,perennial,shrub,e,,,c,oblanceolate,Nov-45,Jun-25,oblong,4,2,,jan-apr,jan-jun,,,
Rhynchosia australis,RHYNCHOSIA,australis,,perennial,vine,e,,,c,,20-53,Nov-34,,4,3,,mar-sep,apr-sep,,,
Rhynchosia minima,RHYNCHOSIA,minima,,perennial,vine,e,,,c,ovate,Oct-39,Jul-30,,2.8-4.5,2.5-4,,jan-jun,mar-aug,,,
Sesbania cannabina,SESBANIA,cannabina,,annual,shrub,e,2.5,,c,oblong,Aug-29,2-5.5,oblong,3-3.2,1.6-2,,ay,ay,,,
Sesbania erubescens,SESBANIA,erubescens,,perennial,shrub,e,3,,c,,Jun-19,1.5-4,,4,2.2,,mar-may,mar-may,,,
Sesbania formosa,SESBANIA,formosa,,perennial,tree,e,15,,c,,19-55,Jun-17,subcylindrical,5.5-8,3,,mar-sep,aug-sep,,,
Sesbania sesban,SESBANIA,sesban,,perennial,shrub,e,2,,c,oblong,Nov-28,1.8-7,,3.2-4,1.5-2.5,,mar-may,mar-may,,,
Smithia conferta,SMITHIA,conferta,,perennial,shrub,e,1,,c,oblong,7-Dec,2-Mar,subglobular,1,1,,mar-jun,apr-jun,,,
Sophora longipes,SOPHORA,longipes,,perennial,shrub,e,1,,c,elliptic,34-69,15-37,ellipsoid,7,5,,mar-oct,mar-oct,,,
Sophora tomentosa,SOPHORA,tomentosa,,perennial,shrub,e,3.5,,c,elliptic,20-48,Dec-29,globular,7-Aug,7-Aug,7-Aug,feb-jun,ay,,,
Templetonia hookeri,TEMPLETONIA,hookeri,,perennial,shrub,e,3,,c,elliptic,Oct-60,,obovoid,6,4.5,,ay,ay,,,
Tephrosia brachyodon var. longifolia,TEPHROSIA,brachyodon,var. longifolia,perennial,shrub,e,1.5,,c,oblanceolate,20-65,2-Aug,subcylindrical,3-May,2-Mar,,dec-apr,mar-jul,,,
Tephrosia coriacea,TEPHROSIA,coriacea,,perennial,shrub,e,1,,c,obovtae,31-76,Nov-41,oblong,3.5-4.5,2.5-3.5,,jan-apr,mar-apr,,,
Tephrosia filipes,TEPHROSIA,filipes,,perennial,herb,e,0.5,,c,elliptic,Jul-40,1.3-2,suborbicular,2-2.5,1.5-2,,jun,apr-jun,,,
Tephrosia juncea,TEPHROSIA,juncea,,annual,shrub,e,1,,c,elliptic,4-Dec,1.5-3,subcylindrical,3-Apr,1.5-2,,feb-jun,mar-sep,,,
Tephrosia lamproloboides,TEPHROSIA,lamproloboides,,perennial,subshrub,e,0.4,,s,elliptic,35-85,Oct-65,,,,,jul-mar,jan,,,
Tephrosia nematophylla,TEPHROSIA,nematophylla,,perennial,shrub,e,1.2,,c,obovate,20-63,0.5,orbicular,2.2-3,2-2.2,,jun-mar,nov-mar,,,
Tephrosia oblongata,TEPHROSIA,oblongata,,perennial,shrub,e,1.5,,c,obovate,25-95,Oct-40,oblong,2.8-3.2,2,,dec-mar,feb-jul,,,
Tephrosia phaeosperma,TEPHROSIA,phaeosperma,,perennial,shrub,e,1.5,,c,elliptic,Dec-50,Mar-18,globular,2.8-3.5,2.2-3,,feb-oct,feb-oct,,,
Tephrosia polyzyga,TEPHROSIA,polyzyga,,perennial,shrub,e,1,,c,elliptic,Feb-28,1-May,ellipsoid,2.5-4,2.5-4,,oct-jul,jan-jun,,,
Tephrosia porrecta,TEPHROSIA,porrecta,,perennial,subshrub,e,,,c,elliptic,Jun-37,2-Sep,ellipsoid,4,3,,aug-apr,nov-apr,,,
Tephrosia remotiflora,TEPHROSIA,remotiflora,,annual,herb,,0.8,,c,obovate,Aug-37,2-Oct,oblong,2.2-3,1.8-2,,feb-may,feb-june,,,
Tephrosia simplicifolia,TEPHROSIA,simplicifolia,,perennial,subshrub,e,0.5,,c,linear,52-133,1.2-3.5,oblong,2.1,1.9,,dec-apr,apr,,,
Tephrosia spechtii,TEPHROSIA,spechtii,,perennial,shrub,e,1.5,,c,oblanceolate,Oct-37,4-Oct,oblong,2.8-3,2-2.4,,jan-may,mar-jul,,,
Tephrosia subpectinata,TEPHROSIA,subpectinata,,perennial,shrub,e,0.6,,c,elliptic,Aug-30,1-Mar,oblong,3-3.5,2-2.5,,jan-mar,mar-may,,,
Tephrosia Hayes Ck,TEPHROSIA,Hayes Ck,,perennial,subshrub,e,,,c,elliptic,24-97,18-56,suborbicular,3-3.5,3-3.5,3-3.5,nov-apr,dec-mar,,,
Tephrosia Katherine Gorge,TEPHROSIA,Katherine Gorge,,perennial,shrub,e,1.5,,c,elliptic,19-46,3-Jun,ellipsoid,3,2.5,,jan-feb,apr,,,
Uraria lagopodioides,URARIA,lagopodioides,,perennial,herb,e,0.3,,c,oblong,20-105,Aug-62,,3,2,,jan-mar,mar-apr,,,
Uraria Litchfield,URARIA,Litchfield,,perennial,herb,e,0.3,,c,oblong,55-165,3-Sep,,,,,,,,,
Vigna adenantha,VIGNA,adenantha,,perennial,vine,e,,,c,ovate,62-123,40-102,,8,6,,jul-sep,aug-oct,,,
Vigna lanceolata var. filiformis,VIGNA,lanceolata,var. filiformis,perennial,vine,e,,,c,linear,40-80,3-Aug,,4.2-5,3-3.5,,jan-jun,apr-aug,,,
Vigna radiata var. sublobata,VIGNA,radiata,var. sublobata,perennial,vine,e,,,c,ovate,30-116,Jul-83,cylindrical,3-Apr,2-Mar,,mar-jun,mar-jun,,,
Vigna vexillata var. angustifolia,VIGNA,vexillata,var. angustifolia,perennial,vine,e,,,c,linear,43-53,52-85,,,,,nov-may,apr-jun,,,
Vigna vexillata var. vexillata,VIGNA,vexillata,var. vexillata,perennial,vine,e,,,c,lanceolate,33-65,Dec-31,,,,,nov-may,apr-jun,,,
Zornia acuta,ZORNIA,acuta,,annual,herb,,,,c,linear,18-38,1.3-2.3,,,,,,,,,
Zornia areolata,ZORNIA,areolata,,annual,herb,,,,c,linear,Jul-25,0.7-3,semicircular,1.7,1,,jan-apr,jan-apr,,,
Zornia chaetophora,ZORNIA,chaetophora,,perennial,subshrub,e,0.7,,c,linear,Oct-44,1-Jun,,,,,ay,ay,,,
Zornia disticha,ZORNIA,disticha,,perennial,herb,e,0.3,,c,elliptic,Oct-18,2.5-5,,,,,mar,mar,,,
Zornia muelleriana subsp. Mulleriana,ZORNIA,muelleriana,subsp. Mulleriana,perennial,herb,e,,,c,elliptic,14-21,6-Oct,,,,,,,,,
Zornia prostrata,ZORNIA,prostrata,,perennial,herb,e,,,c,elliptic,Jul-37,3.2-20,,,,,jan-jul,jan-jul,,,
Zornia Darwin Lawns,ZORNIA,Darwin Lawns,,perennial,herb,e,,,c,elliptic,Sep-28,4-Oct,,,,,feb-apr,feb-apr,,,
Antidesma ghesaembilla,ANTIDESMA,ghesaembilla,,perennial,tree,d,8,,s,elliptic,21-104,18-60,,5-Jun,4,,nov-feb,jan-jun,,,
Breynia cernua,BREYNIA,cernua,,perennial,shrub,e,4,,s,elliptic,25-95,Dec-56,triangular,4,,,ay,ay,,,
Briedelia tomentosa,BRIEDELIA,tomentosa,,perennial,shrub,d,5,,s,elliptic,32-99,15-51,,,,,mar-jun,mar-sep,,,
Choriceras tricorne,CHORICERAS,tricorne,,perennial,shrub,e,5,,s,elliptic,25-53,14-26,ovoid,,,,oct-jun,apr-oct,,,
Claoxylon tenerifolium,CLAOXYLON,tenerifolium,,perennial,tree,e,10,,s,ovate,116-223,62-130,globular,3,3,3,nov-jun,feb-may,,,
Croton argyratus,CROTON,argyratus,,perennial,shrub,d,10,,s,ovate,60-120,50-92,,5,,,nov,feb-may,,,
Croton arnhemicus,CROTON,arnhemicus,,perennial,shrub,d,12,,s,ovate,60-300,40-280,,5,,,sep-dec,oct-mar,,,
Croton sp. aff. dockr illii Airy Shaw,CROTON,sp. aff. dockr illii Airy Shaw,,perennial,tree,d,3.5,,s,elliptic,49-150,17-40,,,,,,,,,
Croton habrophyllus,CROTON,habrophyllus,,perennial,tree,d,6,,s,lanceolate,55-110,35-60,,,,,sep-dec,oct-feb,,,
Croton tomentellus,CROTON,tomentellus,,perennial,tree,d,4,,s,,65-150,37-90,,,,,oct-dec,dec,,,
Drypetes deplanchei,DRYPETES,deplanchei,,perennial,tree,d,15,,s,elliptic,33-130,18-62,,,,,sep-nov,dec-aug,,drupe,
Endospermum medullosum,ENDOSPERMUM,medullosum,,perennial,tree,e,35,,s,ovate,65-165,60-146,ovoid,7,,,,oct-nov,,,
Euphorbia armstrongiana,EUPHORBIA,armstrongiana,,annual,herb,,0.3,,s,orbicular,Jul-18,3-Dec,ovoid,1.5-1.9,0.9-1.2,,mar-may,mar-may,,,
Euphorbia atoto,EUPHORBIA,atoto,,perennial,subshrub,e,0.4,,s,elliptic,Dec-30,Jul-15,globular,1.7-2,1.6-2,,ay,ay,,,
Euphorbia muelleri,EUPHORBIA,muelleri,,perennial,herb,e,,,s,obovate,Apr-24,Apr-18,ovoid,1.3-1.8,1.2-1.6,,jan-nov,apr,,,
Euphorbia schizolepis,EUPHORBIA,schizolepis,,perennial,subshrub,e,1,,s,elliptic,Nov-20,Aug-25,ovoid,2.7-3.2,1.8-2.3,,jan-jun,jan-jun,,,
Euphorbia schultzii,EUPHORBIA,schultzii,,annual,herb,,,,s,elliptic,Sep-14,4-Jul,ovoid,1.1-1.4,0.7-0.9,,dec-jun,dec-jun,,,
Euphorbia vachellii,EUPHORBIA,vachellii,,perennial,herb,e,0.6,,s,linear,Oct-65,1.5-16,ovoid,1.1-1.5,0.7-1.3,,ay,ay,,,
Excoecaria agallocha,EXCOECARIA,agallocha,,perennial,tree,d,15,,s,ovate,44-157,26-82,globular,5,5,5,oct-feb,dec-mar,,,
Excoecaria ovalis,EXCOECARIA,ovalis,,perennial,tree,d,5,,s,elliptic,40-87,20-51,spherical,4.5,4.5,4.5,oct-dec,dec-feb,,,
Excoecaria parviflora,EXCOECARIA,parviflora,,perennial,tree,d,7,,s,oblanceolate,15-47,Apr-22,obovoid,5,,,jan-apr,jan-apr,,,
Flueggea virosa subsp. melanthesoides,FLUEGGEA,virosa,subsp. melanthesoides,perennial,shrub,e,4,,s,elliptic,26-125,15-63,,,,,nov-jun,jan-jul,,,
Glochidion perakense var. supra-axillare,GLOCHIDION,perakense,var. supra-axillare,perennial,tree,e,20,,s,elliptic,65-180,25-75,,3,,,sep-mar,sep-mar,,,
Glochidion xerocarpum,GLOCHIDION,xerocarpum,,perennial,tree,d,6,,s,elliptic,35-140,Oct-55,,5-Jun,,,sep-apr,sep-apr,,,
Leptopus decaisnei,LEPTOPUS,decaisnei,,annual,herb,e,1,,s,obovate,Jul-33,Jun-21,,,,,feb-jul,feb-jul,,,
Macaranga involucrata var. mallotoides,MACARANGA,involucrata,var. mallotoides,perennial,tree,e,12,,s,deltoid,75-220,50-171,,,,,mar-sep,sep-nov,,,
Macaranga tanarius,MACARANGA,tanarius,,perennial,shrub,e,9,,s,ovate,80-500,52-445,,,,,sep-oct,oct-nov,,,
Mallotus didymochryseus,MALLOTUS,didymochryseus,,perennial,tree,e,10,,s,ovate,50-167,35-140,,7,7,7,feb,feb-jul,,,
Mallotus nesophilus,MALLOTUS,nesophilus,,perennial,tree,d,8,,s,ovate,20-111,15-95,,4,4,4,ay,ay,,,
Mallotus philippensis,MALLOTUS,philippensis,,perennial,tree,e,10,,s,ovate,35-210,25-100,,4,4,4,jan-nov,nov-may,,,
Margaritaria dubium-traceyi,MARGARITARIA,dubium-traceyi,,perennial,tree,e,5,,s,elliptic,45-134,22-75,,4-May,4-May,4-May,oct-nov,ay,,,
Margaritaria indica,MARGARITARIA,indica,,perennial,tree,e,20,,s,elliptic,11-115,23-58,,3,3,3,nov-dec,jan-mar,,,
Omalanthus novo-guineensis,OMALANTHUS,novo-guineensis,,perennial,tree,e,15,,s,ovate,43-176,28-129,,,,,ay,jan-jul,,,
Petalostigma banksii,PETALOSTIGMA,banksii,,perennial,tree,d,4,,s,oblanceolate,19-50,Oct-30,,,,,sep-nov,jan-jul,,,
Petalostigma pubescens,PETALOSTIGMA,pubescens,,perennial,tree,e,6,,s,ovate,18-60,Sep-40,,,,,sep-dec,feb-oct,,,
Petalostigma quadriloculare,PETALOSTIGMA,quadriloculare,,perennial,subshrub,e,1,,s,ovate,22-70,Oct-50,,,,,may-nov,mar-jul,,,
Phyllanthus flagellaris,PHYLLANTHUS,flagellaris,,perennial,herb,e,,,s,elliptic,May-13,4-Sep,,2.5,,,nov-jul,nov-jul,,,
Phyllanthus grandisepalus,PHYLLANTHUS,grandisepalus,,perennial,shrub,e,2,,s,obovate,Jul-25,May-15,,2,,,dec-jun,dec-jun,,,
Phyllanthus leai,PHYLLANTHUS,leai,,annual,herb,,0.4,,s,oblong,2.5-14,1-May,,1,,,mar-jun,mar-jun,,,
Phyllanthus maderaspatensis,PHYLLANTHUS,maderaspatensis,,annual,herb,,0.7,,s,oblanceolate,Sep-35,2-Jun,,1.5,,,jan-jul,jan-jul,,,
Phyllanthus reticulatus,PHYLLANTHUS,reticulatus,,perennial,shrub,d,,,s,ovate,13-64,Nov-36,,2.5,,,ay,ay,,,
Phyllanthus trachygyne,PHYLLANTHUS,trachygyne,,perennial,subshrub,e,0.6,,s,lanceolate,Jun-22,2-May,,2,,,jan-may,jan-may,,,
Phyllanthus urinaria,PHYLLANTHUS,urinaria,,annual,herb,e,1,,s,lanceolate,May-15,3-May,,2,,,feb-jun,feb-jun,,,
Phyllanthus ‘Golden Sands’,PHYLLANTHUS,‘Golden Sands’,,perennial,subshrub,e,0.5,,s,elliptic,Sep-28,1-Sep,,2,,,aug-feb,aug-feb,,,
Phyllanthus sp. aff. virgatus,PHYLLANTHUS,sp. aff. virgatus,,perennial,subshrub,e,0.6,,s,linear,Apr-15,1-3.5,,2,,,dec-jul,dec-jul,,,
Poranthera microphylla,PORANTHERA,microphylla,,annual,herb,e,0.07,,s,spathulate,Dec-20,4-Jun,,6,,,mar-jul,mar-jul,,,
Sauropus ditassoides,SAUROPUS,ditassoides,,,herb,e,0.45,,s,ovate,Apr-35,May-32,,6,,,oct-jul,oct-jul,,,
Sauropus glaucus,SAUROPUS,glaucus,,perennial,subshrub,e,0.5,,s,linear,Apr-14,0.5-0.6,,8,,,aug-may,aug-may,,,
Sauropus ochrophyllus,SAUROPUS,ochrophyllus,,perennial,subshrub,e,0.7,,s,elliptic,Aug-47,Apr-30,,,,,oct-dec,oct-dec,,,
Sauropus Darwin’,SAUROPUS,Darwin’,,perennial,subshrub,e,0.5,,s,lanceolate,30-55,Mar-27,,7,,,oct-jan,oct-jan,,,
Sauropus Melville Is.',SAUROPUS,Melville Is.',,perennial,subshrub,e,0.5,,,,,,,,,,,,,,
Sauropus Tiwi',SAUROPUS,Tiwi',,perennial,subshrub,e,0.3,,s,elliptic,Nov-40,1.5-9,,6-Sep,,,sep-may,,,,
Sebastiania chamaelea,SEBASTIANIA,chamaelea,,perennial,shrub,e,1,,s,elliptic,Dec-70,Feb-18,oblong,5,,,ay,ay,,,
Ludwigia adscendens,LUDWIGIA,adscendens,,perennial,herb,e,,,s,elliptic,Nov-80,Apr-34,,2,,,ay,ay,,y,
Ludwigia hyssopifolia,LUDWIGIA,hyssopifolia,,annual,herb,,0.8,,s,lanceolate,Oct-90,Jan-20,lenticular,0.5-0.7,,,ay,ay,,,
Ludwigia perennis,LUDWIGIA,perennis,,annual,herb,,1,,s,elliptic,18-110,2-Oct,ellipsoid,0.3-0.5,,,feb-jul,feb-jul,,,
Cansjera leptostachya,CANSJERA,leptostachya,,perennial,liana,e,,,s,ovate,29-95,Oct-46,,,,,jul-sep,sep-dec,,,
Opilia amentacea,Opilia,amentacea,,perennial,liana,e,,,s,lanceolate,50-140,20-54,,,,,aug-oct,oct-feb,,,
Sonneratia alba,SONNERATIA,alba,,perennial,tree,e,8,,s,orbicular,40-95,18-80,,,,,ay,ay,,,
Sonneratia lanceolata,SONNERATIA,lanceolata,,perennial,tree,e,14,,s,elliptic,60-130,17-37,,,,,jun-oct,jun-oct,,,
Ammannia baccifera,AMMANNIA,baccifera,,annual,herb,,1,,s,elliptic,8-110,Mar-38,,,,,ay,ay,,,
Ammannia multiflora,AMMANNIA,multiflora,,annual,herb,,0.6,,s,oblong,18-44,1.5-9,,,,,ay,ay,,,
Nesaea striatiflora,Nesaea,striatiflora,,annual,herb,,0.25,,s,linear,15-30,,,,,,mar-apr,mar-apr,,,
Pemphis acidula,Pemphis,acidula,,perennial,shrub,e,5,,s,elliptic,Oct-23,3-Aug,,,,,ay,ay,,,
Rotala diandra,Rotala,diandra,,annual,herb,,,,s,elliptic,4-Dec,2.5-9.5,,,,,apr-aug,apr-aug,,,
Rotala occultiflora,Rotala,occultiflora,,annual,herb,,,,s,ovate,3.5-12,0.8-3.5,,,,,apr-sep,apr-sep,,,
Rotala mexicana,Rotala,mexicana,,annual,herb,,,,s,elliptic,3.5-9,0.9-1.5,,,,,feb-aug,feb-aug,,,
Rotala rosea,Rotala,rosea,,annual,herb,,,,s,elliptic,20,,,,,,may-jun,may-jun,,,
Olax imbricata,Olax,imbricata,,perennial,liana,e,,,s,lanceolate,120-200,50-103,,,,,sep,nov,,,
Ximenia americana,Ximenia,americana,,perennial,shrub,d,,,s,elliptic,30-60,Oct-35,,,,,sep-dec,ay,,,
Phaleria octandra,Phaleria,octandra,,perennial,shrub,e,3,,s,elliptic,75-230,40-90,,,,,nov-mar,nov-mar,,,
Thecanthes punicea,Thecanthes,punicea,,annual,herb,,0.6,y,s,lanceolate,Jul-35,2-Dec,obclavate,3.5,,,feb-jul,feb-jul,,,
Anthobolus filifolius,ANTHOBOLUS,filifolius,,perennial,shrub,e,3,,s,,Oct-60,,,,,,ay,ay,,,
Dendromyza reinwardtiana,DENDROMYZA,reinwardtiana,,perennial,vine,e,,,s,elliptic,20-100,,,,,,jan-sep,jan-sep,,,
exocarpus latifolius,exocarpus,latifolius,,perennial,shrub,e,10,,s,elliptic,18-110,Aug-62,,,,,ay,ay,,,
Santalum album,Santalum,album,,perennial,s,e,7,,s,ovate,40-90,18-44,,,,,dec-jul,apr-sep,,,
Santalum lanceolata,Santalum,lanceolata,,perennial,s,e,7,,s,elliptic,31-117,Aug-27,,,,,ay,ay,,,
Gonocarpus chinensis,Gonocarpus,chinensis,,perennial,herb,e,0.3,,s,lanceolate,Aug-22,1-Jun,,,,,apr-sep,apr-sep,,,
Gonocarpus leptothecus,Gonocarpus,leptothecus,,perennial,subshrub,e,1,,s,lanceolate,Nov-47,Apr-19,,,,,feb-jul,feb-jul,,,
Myriophyllum muricatum,MYRIOPHYLLUM,muricatum,,annual,herb,,,,s,lanceolate,25-50,20-40,,,,,feb-oct,feb-oct,,y,
Myriophyllum trachycarpum,MYRIOPHYLLUM,trachycarpum,,annual,herb,,,,,,,,,,,,apr-jul,apr-jul,,y,
Myriophyllum ,MYRIOPHYLLUM,,,,,,,,,,,,,,,,,,,,
Banksia dentata,BANKSIA,dentata,,perennial,tree,e,6,,s,oblanceolate,140-270,47-70,wedge-shaped,11,,,mar-apr,jun-sug,,,
Grevillea angulata,GREVILLEA,angulata,,perennial,shrub,e,2,,s,oblong,35-110,24-40,,7.5-10,,,ay,ay,,,
