species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),abaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")",site_name,leaf_lamina_division,leaf_compoundness,leaf_margin,leaf_shape
Conospermum galeatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum huegelii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum incurvum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum microflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum multispicatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum paniculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum petiolare,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum polycephalum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum quadripetalum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum scaposum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum sigmoideum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum spectabile,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum sphacelatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum tenuifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum teretifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum toddii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum undulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum unilaterale,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Conospermum wycherleyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea acacioides,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea acerata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea acrobotrya,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea acropogon,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea acuaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,NA,NA,NA,NA,NA
Grevillea adenotricha,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea albiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea alpivaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea althoferorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea anethifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea aneura,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea annulifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea arenaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea argyrophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea armigera,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea aspera,HO528934,NA,"St Marys Peak, side. Flinders Ranges",-31.481902,147.567566,800,NA,NA,NA,woody,perennial,26,NA,425.5141511,NA,NA,NA,y,n,n,0,0,0,365,NA,NA,NA,NA,2.108038,NA,NA,hypostomatic,0,28,0,0,0,4,1,0,0,0,3,0,0,1,0,NA,NA,open,hypo,NA,NA,NA,NA,NA
Grevillea asteriscosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea aurea,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea banyabba,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea batrachioides,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea baueri,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea baxteri,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea beadleana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea beardiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea bedggoodiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea benthamiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea berryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea biformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,amphi,NA,NA,NA,NA,NA
Grevillea bipinnatifida,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea biternata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea brachystachya,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,NA,NA,NA,NA,NA
Grevillea brachystylis,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea bracteosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,NA,NA,NA,NA,NA
Grevillea brevifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea brevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea bronwenae,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea byrnesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea cagiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea calcicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea calliantha,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea candelabroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea candicans,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea candolleana,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea celata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea centristigma,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea ceratocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea cheilocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea christinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea cirsiifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grevillea coccinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea corrugata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea costata,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea crassifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea cravenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
Grevillea crithmifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,NA,NA,NA,NA,NA
