Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Goodenia lunata,Goodeniaceae,C3,NA,C3,TERN SIA,NA,NA,133.612075,-22.29108056,site_at_-22.291_deg_lat_133.612_deg_long
Goodenia microptera,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Goodenia nuda,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Goodenia odonnellii,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Goodenia ovata,Goodeniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Goodenia pascua,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Goodenia pinnatifida,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Goodenia prostrata,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Goodenia stobbsiana,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Goodenia strangfordii,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Goodenia triodiophila,Goodeniaceae,C3,NA,C3,TERN SIA,NA,NA,120.2171194,-23.30198611,site_at_-23.302_deg_lat_120.217_deg_long
Goodenia vernicosa,Goodeniaceae,C3,NA,C3,TERN SIA,NA,NA,138.5663667,-31.31546111,site_at_-31.315_deg_lat_138.566_deg_long
Goodenia vilmoriniae,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Gossypium australe,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Gossypium robinsonii,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea acuaria,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea agrifolia,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea albiflora,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea annulifera,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea aspera,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea australis,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea berryana,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea buxifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea cagiana,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea ceratocarpa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea decurrens,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea didymobotrya,Proteaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Grevillea dimidiata,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea dryandri,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea eremophila,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea eriostachya,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea excelsior,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea glauca,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea goodii,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea haplantha,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea heliosperma,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea hookeriana,Proteaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Grevillea huegelii,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea juncifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea lavandulacea,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea leptobotrys,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea mimosoides,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea nematophylla,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea obliquistigma,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea oncogyne,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea paradoxa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea parallela,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea phylicoides,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea pluricaulis,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea pteridifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea pterosperma,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea pyramidalis,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea refracta,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea sarissa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea sericea,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea stenobotrya,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grevillea striata,Proteaceae,C3,NA,C3,TRY,NA,Also found in Pate et al 1998,NA,NA,no site data
Grevillea teretifolia,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea velutinella,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Grevillea wickhamii,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Grewia retusifolia,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Gunniopsis calcarea,Aizoaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,Leaves suggest CAM potential although not reported,NA,NA,no site data
Gunniopsis kochii,Aizoaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,Leaves suggest CAM potential although not reported,NA,NA,no site data
Gunniopsis quadrifida,Aizoaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,Leaves suggest CAM potential although not reported,NA,NA,no site data
Gyrocarpus americanus,Hernandiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Haemodorum brevicaule,Haemodoraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Haemodorum coccineum,Haemodoraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea arborescens,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea carinata,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hakea ceratophylla,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea chordophylla,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hakea corymbosa,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea cygna,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea divaricata,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea erecta,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea eyreana,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea francisiana,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea laevipes,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea leucoptera,Proteaceae,C3,NA,C3,TRY,NA,Also found in Pate et al 1998,NA,NA,no site data
Hakea lissocarpha,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea lorea,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea macrocarpa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hakea meisneriana,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea microcarpa,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea minyma,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea platysperma,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea propinqua,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea prostrata,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea rostrata,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea rugosa,Proteaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Hakea ruscifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea scoparia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea sericea,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea tephrosperma,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hakea trifurcata,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Halgania cyanea,Boraginaceae,C3,NA,C3,TERN SIA,NA,NA,138.3932722,-33.55308333,site_at_-33.553_deg_lat_138.393_deg_long
Harmsiodoxa puberula,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,"No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia",NA,NA,NA,no site data
Helicteres cana,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Helicteres tenuipila,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Heliotropium europaeum,Boraginaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hemiandra pungens,Lamiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,NA,NA,NA,NA,no site data
Hemichroa diandra,Amaranthaceae,C3,NA,C3,Kadereit et al. 2003,NA,NA,NA,NA,no site data
Hemigenia purpurea,Lamiaceae,C3,NA,C3,TERN SIA,NA,NA,151.1349611,-33.67334444,site_at_-33.673_deg_lat_151.135_deg_long
Herissantia crispa,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Heteropogon contortus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Heteropogon triticeus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Hibbertia bracteata,Dilleniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibbertia crinita,Dilleniaceae,C3,NA,C3,TERN SIA,NA,NA,138.9086,-34.68309722,site_at_-34.683_deg_lat_138.909_deg_long
Hibbertia exutiacies,Dilleniaceae,C3,NA,C3,TERN SIA,NA,NA,137.9682707,-32.31052104,site_at_-32.311_deg_lat_137.968_deg_long
Hibbertia huegelii,Dilleniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibbertia hypericoides,Dilleniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibbertia obtusifolia,Dilleniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibbertia riparia,Dilleniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibbertia subvaginata,Dilleniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibiscus brachysiphonius,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibiscus burtonii,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hibiscus krichauffianus,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hibiscus leptocladus,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hibiscus meraukensis,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibiscus sturtii,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hibiscus verdcourtii,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hierochloe submutica,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Homalocalyx aureus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Homalocalyx grandiflorus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Homalocalyx pulcherrimus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Homalocalyx thryptomenoides,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Hovea chorizemifolia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hovea heterophylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hovea montana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hovea parvicalyx,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hovea trisperma,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hyalosperma demissum,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hyalosperma glutinosum,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hyalosperma semisterile,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hybanthus aurantiacus,Violaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hybanthus enneaspermus,Violaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hybanthus floribundus,Violaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hybanthus monopetalus,Violaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hydrocotyle algida,Araliaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hydrocotyle diantha,Araliaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hydrocotyle sibthorpioides,Araliaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hypericum gramineum,Hypericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hypericum japonicum,Hypericaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hypericum perforatum,Hypericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hypocalymma angustifolium,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hypocalymma strictum,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hypochaeris glabra,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hypochaeris radicata,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Hypolaena exsulca,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Hypolaena fastigiata,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera colutea,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Indigofera cornuligera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera ewartiana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera haplophylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera hirsuta,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Indigofera linifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Indigofera linnaei,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Indigofera longibractea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera monophylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera polygaloides,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera pratensis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera psammophila,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Indigofera trita,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Ipomoea coptica,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ipomoea diversifolia,Convolvulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Ipomoea lonchophylla,Convolvulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Ipomoea muelleri,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ipomoea plebeia,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ipomoea polymorpha,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Ischaemum australe,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Iseilema convexum,Poaceae,C4,NA,C4,TERN SIA,NA,NA,143.0502306,-22.51617778,site_at_-22.516_deg_lat_143.05_deg_long
Iseilema dolichotrichum,Poaceae,C4,NA,C4,TERN SIA,NA,NA,117.7047278,-21.66288333,site_at_-21.663_deg_lat_117.705_deg_long
Iseilema fragile,Poaceae,C4,NA,C4,TERN SIA,NA,NA,137.3258,-20.02463611,site_at_-20.025_deg_lat_137.326_deg_long
Iseilema macratherum,Poaceae,U,C4,C4,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Iseilema membranaceum,Poaceae,C4,NA,C4,TRY,NA,NA,136.9389,-17.75178889,site_at_-17.752_deg_lat_136.939_deg_long
Iseilema vaginiflorum,Poaceae,C4,NA,C4,TRY,NA,NA,133.4389333,-17.35820833,site_at_-17.358_deg_lat_133.439_deg_long
Isoetopsis graminifolia,Asteraceae,C3,NA,C3,TERN SIA;Pate et al 1998,NA,NA,145.6993694,-33.19214722,site_at_-33.192_deg_lat_145.699_deg_long
Isolepis aucklandica,Cyperaceae,U,C3,C3,Sage 2016 (and references therein); Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Isolepis marginata,Cyperaceae,C3,NA,C3,TERN SIA,NA,NA,138.7269537,-34.93342691,site_at_-34.933_deg_lat_138.727_deg_long
Isopogon anemonifolius,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Isotropis cuneifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Isotropis forrestii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Ixiochlamys cuneifolia,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.717325,-31.06597778,site_at_-31.066_deg_lat_141.717_deg_long
Ixodia achillaeoides,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,138.7082603,-34.88076551,site_at_-34.881_deg_lat_138.708_deg_long
Jacksonia aculeata,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Jacksonia dilatata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Jacksonia forrestii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Jacksonia furcellata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Jacksonia nematoclada,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Jacksonia odontoclada,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,135.8300389,-16.82389444,site_at_-16.824_deg_lat_135.83_deg_long
Jacksonia sternbergiana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
