species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),adaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")"
Conospermum stoechadis,,sw WA,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,,,,,,,n/y,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,terete
Conospermum triplinervium,,sw WA,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,30.5,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Isopogon cuneatus,,sw WA,,,,,"simple, entire",amphistomatic,heath,woody,perennial,34.3,,293.2839488,,,169.4825016,n,n,n,0,0,0,757.1,33.08,14.91,842.0884503,16.6823272,7.14393,flat entire,,amphistomatic,0,2.81,1,0,0,2.8,0,0,0,0,1,0,0,0,1,,,open,amphi
Persoonia brevirhachis,,sw WA,,,,,"simple, entire",amphistomatic,heath,woody,perennial,80.4,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia inconspicua,,sw WA,,,,,"simple, entire",amphistomatic,heath,woody,perennial,80.8,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia longifolia,,sw WA,,,,,"simple, entire",amphistomatic,woodland,woody,perennial,76,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,amphistomatic,0,6,1,0,0,10,0,0,0,0,1,0,0,0,0,,,open,amphi
Persoonia pungens,,sw WA,,,,,"simple, entire",amphistomatic,heath,woody,perennial,55.8,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia quinquenervis,,sw WA,,,,,"simple, entire",amphistomatic,dry sclerophyll- heath,woody,perennial,81.7,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia rufiflora,,sw WA,,,,,"simple, entire",amphistomatic,heath,woody,perennial,64.1,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia saundersiana,,sw WA,,,,,"simple, entire",amphistomatic,heath,woody,perennial,74.4,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia striata,,sw WA,,,,,"simple, entire",amphistomatic,heath,woody,perennial,66.7,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Petrophile linearis,,sw WA,,,,,"simple, entire",amphistomatic,heath to woodland,woody,perennial,47.7,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Adenanthos acanthophyllus,,sw WA,,,,,"simple, irregularly spiny trilobed",amphistomatic,heath,woody,perennial,36.9,,,,,,n,n,n,0,0,0,,,,,,,"simple, irregularly spiny trilobed",,,,,,,,,,,,,,,,,,121,,open,amphi
Isopogon scabriusculus,,sw WA,,,,,"simple, or sometimes with 1-3 lobes",amphistomatic,heath to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, or sometimes with 1-3 lobes",,,,,,,,,,,,,,,,,,,,open,subterete
Petrophile acicularis,,sw WA,,,,,"simple, terete",amphistomatic,heath to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, terete",,,,,,,,,,,,,,,,,,,,open,terete
Petrophile brevifolia,,sw WA,,,,,"simple, terete",amphistomatic,heath to woodland,woody,perennial,42.8,,,,,,n,n,n,0,0,0,,,,,,,"simple, terete",,,,,,,,,,,,,,,,,,,,open,terete
Petrophile longifolia,,sw WA,,,,,"simple, terete",amphistomatic,heathland to woodland,woody,perennial,48.2,,,,,,n,n,n,0,0,0,,,,,,,"simple, terete",,,,,,,,,,,,,,,,,,,,open,terete
Petrophile teretifolia,,sw WA,,,,,"simple, terete",amphistomatic,heathland to woodland,woody,perennial,48.7,,,,,,n,n,n,0,0,0,,,,,,,"simple, terete",,,,,,,,,,,,,,,,,,,,open,terete
Isopogon formosus,,sw WA,,,,,variously divided,amphistomatic,"heath, often swampy",woody,perennial,,,,,,,n,n,,,,,,,,,,,variously divided,,,,,,,,,,,,,,,,,,,,open,subterete
Grevillea synapheae,HO529006,sw WA,"Lesmurdie Scarp, Kalamunda",-31.983333,116.033333,,,,open,woody,perennial,,,180,,,,n,n,n,0,0,0,,,,,,4,"lobed, toothed",,hypostomatic,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,,,open,hypo
Strangea stenocarpoides,HO528929,sw WA,Rosa Brook Margaret River region,-33.933333,115.183333,,,,heathlands,woody,perennial,64,,451.8221135,,,,n,n,n,0,0,0,725,,,,,12.161866,"simple,entire",,amphistomatic,1,9,0,0,0,6,0,0,0,0,4,0,6,0,4,,,open,amphi
Hakea erinacea,,swWA,,,,,"compound terete, 2-8 segments",amphistomatic,heathland,woody,perennial,48.15,,,,,,n,n,n,0,1,0,,,,,,,"compound terete, 2-8 segments",,,,,,,,,,,,,,,,,,A2,trifurcata,open,terete
Hakea lissocarpha,,swWA,,,,,"compound terete, up to 14 segments",amphistomatic,"open woodlands, heath",woody,perennial,49.4,,,,,,n,n,n,0,1,0,,,,,,,"compound terete, up to 14 segments",,,,,,,,,,,,,,,,,,A1,lissocarpha,open,terete
Hakea cucullata,,swWA,,,,,crenulate/denticulate,amphistomatic,heathland,woody,perennial,,,,,,,n,n,n,0,1,0,,,,,,,crenulate/denticulate,,,,,,,,,,,,,,,,,,B2,cucullata,open,amphi
Hakea incrassata,,swWA,,,,,entire,amphistomatic,heathland,woody,perennial,30.94,,,,,,n,n,n,0,1,0,,,,,,,entire,,,,,,,,,,,,,,,,,,A2,incrassata,open,amphi
Hakea lasiantha,,swWA,,,,,entire,amphistomatic,"heathland, woodland",woody,perennial,,,,,,,n,n,n,0,1,0,,,,,,,entire,,,,,,,,,,,,,,,,,,A2,trifurcata,open,terete
Hakea linearis,,swWA,,,,,entire or 1-5 toothed,amphistomatic,swampy heathlands,woody,perennial,,,,,,,n,n,n,0,1,0,,,,,,,entire or 1-5 toothed,,,,,,,,,,,,,,,,,,A1,linearis,open,amphi
Hakea ceratophylla,,swWA,,,,,entire to 3-5 lobed,amphistomatic,swampy heathlands,woody,perennial,,,,,,,n,n,n,0,1,0,,,,,,,entire to 3-5 lobed,,,,,,,,,,,,,,,,,,A2,ceratophylla,open,amphi
Hakea elliptica,,swWA,,,,,finely crenate,amphistomatic,heathland,woody,perennial,,,,,,,n,n,n,0,1,0,,,,,,,finely crenate,,,,,,,,,,,,,,,,,,B2,undulata,open,amphi
Hakea flabellifolia,,swWA,,,,,"flabelliform, toothed",amphistomatic,heathland,woody,perennial,37.92,,,,,,n,n,n,0,1,0,,,,,,,"flabelliform, toothed",,,,,,,,,,,,,,,,,,A2,ceratophylla,open,amphi
Hakea multilineata,,swWA,,,,,flat entire,amphistomatic,heathlands,woody,perennial,29.35,,,,,,n,n,n,0,1,0,,,,,,,flat entire,,,,,,,,,,,,,,,,,,B2,multilineata,open,amphi
Hakea myrtoides,,swWA,,,,,flat entire,amphistomatic,"woodlands, heathlands",woody,perennial,,,,,,,n,n,n,0,1,0,,,,,,,flat entire,,,,,,,,,,,,,,,,,,B2,ulicina,open,amphi
Hakea petiolaris,,swWA,,,,,flat entire,amphistomatic,woodlands,woody,perennial,38.17,,,,,,n,n,n,0,1,0,,,,,,,flat entire,,,,,,,,,,,,,,,,,,B2,petiolaris,open,amphi
Hakea stenocarpa,,swWA,,,,,flat entire,amphistomatic,heathlands,woody,perennial,32.14,,,,,,n,n,n,0,1,0,,,,,,,flat entire,,,,,,,,,,,,,,,,,,B2,ulicina,open,amphi
Hakea prostrata,,swWA,,,,,flat toothed,amphistomatic,"heathlands, woodlands",woody,perennial,37.7,,,,,,n,n,n,0,1,0,,,,,,,flat toothed,,,,,,,,,,,,,,,,,,A1,prostrata,open,amphi
Hakea strumosa,,swWA,,,,,simple entire papillose,amphistomatic,heathlands,woody,perennial,45.15,,,,,,n,n,n,0,1,0,,,,,,,simple entire papillose,,,,,,,,,,,,,,,,,,A1,strumosa,open,terete
Lambertia echinata,,swWA,,,,,"simple, 3-5 prickly lobed",hypostomatic,heath,woody,perennial,35.41,,,,,,n,n,n,0,0,0,395,,,,,,"simple, 3-5 prickly lobed",,hypostomatic,0,4,1,0,0,3,1,0,0,0,2,0,0,1,2,,,open,hypo
Grevillea amplexans,,swWA,,,,,"simple, auriculate, toothed",hypostomatic,heathland,woody,perennial,30.35,,,,,,n,n,n,0,0,0,,,,,,,"simple, auriculate, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia bipinnatifida,,swWA,,,,,"simple, bipinnatipartite",hypostomatic,"shrublands, most 600-800mm, up to 1000mm ",woody,perennial,27.7,,,,,,y,n,n,1,0,0,,,,,,,"simple, bipinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia biterax,,swWA,,,,,"simple, deeply pinnatifid",hypostomatic,"shrublands, 800-1000mm",woody,perennial,29.6,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia mucronulata,,swWA,,,,,"simple, deeply pinnatifid",hypostomatic,"shrublands, 600-800mm",woody,perennial,27.6,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia pteridifolia,,swWA,,,,,"simple, deeply pinnatipartite",hypostomatic,"shrublands, 350-650mm",woody,perennial,29.3,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia acanthopoda,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 400-500mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia ashbyi,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 25-350mm",woody,perennial,32.6,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia concinna,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 500-600mm",woody,perennial,30,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia cuneata,,swWA,,,,,"simple, deeply toothed",hypostomatic,"woodland, shrubland, 400mm",woody,perennial,28.7,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia elegans,,swWA,,,,,"simple, deeply toothed",hypostomatic,"woodland, shrubland, 500-600mm",woody,perennial,29.9,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia hewardiana,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 500-600mm",woody,perennial,30.8,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia hookeriana,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 600mm",woody,perennial,30,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia prionotes,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, low woodland, 300-900mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia proteoides,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 450-550mm",woody,perennial,31.7,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia serra,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 800-1000mm",woody,perennial,35.6,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia stuposa,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 400-500mm",woody,perennial,27.4,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia undata,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 600-800mm",woody,perennial,30.5,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia victoriae,,swWA,,,,,"simple, deeply toothed",hypostomatic,"shrublands, 350mm",woody,perennial,29.2,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia densa,,swWA,,,,,"simple, deeply toothed to pinnatifid",hypostomatic,"shrublands, 300-600mm",woody,perennial,32.4,,,,,,y,n,n,1,0,0,,,,,,,"simple, deeply toothed to pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea asparagoides,,swWA,,,,,"simple, divaricately tripartite to pinnatipartite",hypostomatic,heathland,woody,perennial,,,,,,,y,y,,,,,,,,,,,"simple, divaricately tripartite to pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea dielsiana,,swWA,,,,,"simple, divaricately tri-sect, each lobe tri-sect",amphistomatic,heathland,woody,perennial,37.19,,,,,,y,n,n,0,0,0,,,,,,,"simple, divaricately tri-sect, each lobe tri-sect",,,,,,,,,,,,,,,,,,,,open,amphi
Banksia subulata,,swWA,,,,,"simple, entire",hypostomatic,"heathlands, 450-550mm",woody,perennial,27.8,,,,,,y,n,n,1,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea depauperata,,swWA,,,,,"simple, entire",hypostomatic,open woodlands,woody,perennial,32.18,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea disjuncta,,swWA,,,,,"simple, entire",hypostomatic,"heathlands, open woodland",woody,perennial,,,,,,,y,y,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea granulosa,,swWA,,,,,"simple, entire",hypostomatic,open woodland,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea haplantha,,swWA,,,,,"simple, entire",hypostomatic,"open woodland, heath",woody,perennial,,,,,,,y,y,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea integrifolia,,swWA,,,,,"simple, entire",hypostomatic,heathlands,woody,perennial,31.63,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Lambertia inermis,HO528968,swWA,"Cultivated National Botanic Gardens, Australian Capital Territory",35° 17' S,149° 07' E,,"simple, entire",hypostomatic,heath to low woodland,woody,perennial,43.1,10.38907766,260.83,124.6882683,,95.64156947,n,n,n,0,0,0,244.25,34.0548619,19.72,931.6197323,9.308791608,0.78,"simple, entire",,hypostomatic,0,9,0,1,0,1,0,0,0,0,3,0,0,0,2,,,open,hypo
Lambertia multiflora,,swWA,,,,,"simple, entire",hypostomatic,heath to dry woodland,woody,perennial,39.78,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Lambertia orbifolia,,swWA,,,,,"simple, entire",hypostomatic,dry woodland  ,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Lambertia ilicifolia,,swWA,,,,,"simple, entire to prickly bilobed",hypostomatic,heath,woody,perennial,40.15,,,,,,y,n,n,0,0,1,,,,,,,"simple, entire to prickly bilobed",,hypostomatic,,,,,,,,,,,,,,,,,,open,hypo
Xylomelum occidentale,,swWA,,,,,"simple, entire to toothed",amphistomatic,dry woodlands,woody,perennial,45.34,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire to toothed",,,,,,,,,,,,,,,,,,,,open,amphi
Grevillea diversifolia,,swWA,,,,,"simple, entire, or apically 2-3fid or partite",hypostomatic,"heathlands, open woodland",woody,perennial,26.64,,,,,,n/y,n,n,0,0,0,,,,,,,"simple, entire, or apically 2-3fid or partite",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea concinna,,swWA,,,,,"simple, entire, rarely multipartite",hypostomatic,heathland,woody,perennial,,,,,,,y,y,,,,,,,,,,,"simple, entire, rarely multipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea commutata,,swWA,,,,,"simple, entire, sometimes lobed",hypostomatic,heathland,woody,perennial,38.12,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire, sometimes lobed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia baxteri,,swWA,,,,,"simple, lobes cut to midvein",hypostomatic,"heathland, 500-700mm",woody,perennial,31.4,,,,,,y,n,n,1,0,0,,,,,,,"simple, lobes cut to midvein",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia candolleana,,swWA,,,,,"simple, lobes cut to midvein",hypostomatic,"heathlands, 600-700mm",woody,perennial,24.5,,,,,,y,n,n,1,0,0,,,,,,,"simple, lobes cut to midvein",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia nivea,,swWA,,,,,"simple, lobes cut to midvein",hypostomatic,"shrublands, 400-1000mm",woody,perennial,28.7,,,,,,y,n,n,1,0,0,,,,,,,"simple, lobes cut to midvein",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia speciosa,,swWA,,,,,"simple, lobes cut to midvein",hypostomatic,"heathland, woodland, 400-500mm",woody,perennial,27.9,,,,,,y,n,n,1,0,0,,,,,,,"simple, lobes cut to midvein",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia cynaroides,,swWA,,,,,"simple, pinnatifid",hypostomatic,"shrublands, 400-500mm",woody,perennial,29.2,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia epimicta,,swWA,,,,,"simple, pinnatifid",hypostomatic,"shrublands, 350-400mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia kippistiana,,swWA,,,,,"simple, pinnatifid",hypostomatic,"shrublands, 500-600mm",woody,perennial,36.8,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia obtusa,,swWA,,,,,"simple, pinnatifid",hypostomatic,"shrublands, 500-600mm",woody,perennial,33.3,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia vestita,,swWA,,,,,"simple, pinnatifid",hypostomatic,"shrublands, 350-600mm",woody,perennial,32.6,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia rufa,,swWA,,,,,"simple, pinnatifid or pinnatipartite",hypostomatic,"shrublands, 350-400mm",woody,perennial,30.4,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid or pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia tenuis,,swWA,,,,,"simple, pinnatifid or toothed to entire",hypostomatic,"shrublands, 500-600mm",woody,perennial,26.7,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid or toothed to entire",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia plumosa,,swWA,,,,,"simple, pinnatifid to pinnatipartite",hypostomatic,"shrublands, 500-600mm",woody,perennial,27.3,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid to pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia drummondii,,swWA,,,,,"simple, pinnatifid to pinnatisect",hypostomatic,"shrublands, 400-550mm",woody,perennial,31.4,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatifid to pinnatisect",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia arctotidis,,swWA,,,,,"simple, pinnatipartite",hypostomatic,"shrublands, 400-800mm",woody,perennial,28.5,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia aurantia,,swWA,,,,,"simple, pinnatipartite",hypostomatic,"shrublands, 500-600mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia borealis,,swWA,,,,,"simple, pinnatipartite",hypostomatic,"heathland, woodland, 350-500mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia cirsioides,,swWA,,,,,"simple, pinnatipartite",hypostomatic,"shrublands, 400-500mm",woody,perennial,31,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia nobilis,,swWA,,,,,"simple, pinnatipartite",hypostomatic,"shrublands, 400-500mm",woody,perennial,26.7,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea eryngioides,,swWA,,,,,"simple, pinnatipartite",amphistomatic,heathlands ,woody,perennial,31.03,,,,,,n,n,n,0,0,0,,,,,,,"simple, pinnatipartite",,,,,,,,,,,,,,,,,,,,open,amphi
Banksia bella,,swWA,,,,,"simple, pinnatisect",hypostomatic,"shrublands, 350-400mm",woody,perennial,27.4,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatisect",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia fraseri,,swWA,,,,,"simple, pinnatisect",hypostomatic,"shrublands, 350-600mm",woody,perennial,33,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatisect",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia polycephala,,swWA,,,,,"simple, pinnatisect",hypostomatic,"shrublands, 500-600mm",woody,perennial,28.2,,,,,,y,n,n,1,0,0,,,,,,,"simple, pinnatisect",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia attenuata,,swWA,,,,,"simple, toothed",hypostomatic,"heathland, woodland, 300-900mm",woody,perennial,38.5,,,,,,y,n,n,1,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia burdettii,,swWA,,,,,"simple, toothed",hypostomatic,"heathlands, 550-600mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia carlinoides,,swWA,,,,,"simple, toothed",hypostomatic,"shrublands, 500mm",woody,perennial,31.5,,,,,,y,n,n,1,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia coccinea,,swWA,,,,,"simple, toothed",hypostomatic,"heathland, woodland, 400-800mm",woody,perennial,31,,,,,,y,n,n,0,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia comosa,,swWA,,,,,"simple, toothed",hypostomatic,"shrublands, 350-400mm",woody,perennial,30,,,,,,y,n,n,1,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia lindleyana,,swWA,,,,,"simple, toothed",hypostomatic,"shrublands, 300-350mm",woody,perennial,31.5,,,,,,y,n,n,1,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia menziesii,,swWA,,,,,"simple, toothed",hypostomatic,"woodland, shrubland, 350-900mm",woody,perennial,31.1,,,,,,y,n,n,1,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia mimica,,swWA,,,,,"simple, toothed",hypostomatic,"shrublands, 500-600mm",woody,perennial,28.9,,,,,,y,n,n,1,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia sceptrum,,swWA,,,,,"simple, toothed",hypostomatic,"shrublands, 300-400mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea insignis,,swWA,,,,,"simple, toothed to pinnatifid",hypostomatic,"woodlands, heathlands",woody,perennial,24.02,,,,,,n,n,n,0,0,0,,,,,,,"simple, toothed to pinnatifid",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea hookeriana,,swWA,,,,,"simple, variably partite",hypostomatic,heathlands,woody,perennial,36.53,,,,,,y,y,n,0,0,0,,,,,,,"simple, variably partite",,,,,,,,,,,,,,,,,,,,open,hypo
Strangea cynanchicarpa,,swWA,,,,,"simple,entire",amphistomatic,heathlands,woody,perennial,41.3,,,,,,n,n,n,0,0,0,,,,,,,"simple,entire",,,,,,,,,,,,,,,,,,,,open,amphi
Xylomelum angustifolium,,swWA,,,,,"simple,entire",amphistomatic,heath,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple,entire",,,,,,,,,,,,,,,,,,,,open,amphi
Hakea undulata,,swWA,,,,,spinulose to dentate,amphistomatic,open woodland,woody,perennial,31.71,,,,,,n,n,n,0,1,0,,,,,,,spinulose to dentate,,,,,,,,,,,,,,,,,,B2,undulata,open,amphi
Hakea sulcata,,swWA,,,,,usually subterete,amphistomatic,swampy heathlands,woody,perennial,44.83,,,,,,n,n,n,0,1,0,,,,,,,usually subterete,,,,,,,,,,,,,,,,,,B2,ulicina,open,terete
Banksia aculeata,,swWA,,,,,,hypostomatic,"shrublands, 600mm",woody,perennial,27.8,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia acuminata,,swWA,,,,,,hypostomatic,shrublands,woody,perennial,28.9,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia anatona,,swWA,,,,,,hypostomatic,"shrublands, 500-600mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia arborea,,swWA,,,,,,hypostomatic,"shrublands, 250-300mm",woody,perennial,,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
