Species,Long,Lat,log_LA.SA,Sample,basis_of_record,entity_type,value_type,Height,Alpha,MI,References,location_name,source_id
Eremophila longifolia ,146.15,-32.96666667,3.209714836,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Eucalyptus intertexta ,146.15,-32.96666667,3.242603971,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Geijera parviflora,146.15,-32.96666667,3.360513511,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Melaleuca uncinata ,146.15,-32.96666667,2.625251654,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Philotheca difformis ,146.15,-32.96666667,2.283162277,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Pimelea microcephala ,146.15,-32.96666667,2.982966661,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Senna artemisioides ,146.15,-32.96666667,2.928117993,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Eucalyptus globulus ,147.6,-42.81666667,3.770852012,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus globulus ,147.6,-42.81666667,3.770852012,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus globulus ,147.6,-42.81666667,3.86923172,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus globulus ,147.6,-42.81666667,3.763427994,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus globulus ,147.6,-42.81666667,3.919078092,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus globulus ,147.6,-42.81666667,3.698970004,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus nitens ,147.6,-42.81666667,3.633468456,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus nitens ,147.6,-42.81666667,3.681241237,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus nitens ,147.6,-42.81666667,3.72427587,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus nitens ,147.6,-42.81666667,3.653212514,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus nitens ,147.6,-42.81666667,3.86332286,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus nitens ,147.6,-42.81666667,3.653212514,trunk sample,captive_cultivated,individual,raw,,,,White et al. 1998,lat_-42.82_lon_147.6,White_1998
Eucalyptus camaldulensis,145.9333333,-36.6,3.70333481,trunk sample,field,individual,raw,,0.25297794,0.183616391,Yunusa et al. 2010,lat_-36.6_lon_145.93,Yunusa_2010
Eucalyptus camaldulensis,145.9333333,-36.6,4.197226275,trunk sample,field,individual,raw,,0.25297794,0.183616391,Yunusa et al. 2010,lat_-36.6_lon_145.93,Yunusa_2010
Eucalyptus camaldulensis,145.9333333,-36.6,3.735182177,trunk sample,field,individual,raw,,0.345641533,0.422069741,Yunusa et al. 2010,lat_-36.6_lon_145.93,Yunusa_2010
Eucalyptus camaldulensis,145.9333333,-36.6,4.119758224,trunk sample,field,individual,raw,,0.345641533,0.422069741,Yunusa et al. 2010,lat_-36.6_lon_145.93,Yunusa_2010
Eucalyptus crebra,150.1166667,-31.08333333,3.22184875,trunk sample,field,individual,raw,,0.243877675,0.184060819,Zeppel and Eamus 2008 ,lat_-31.08_lon_150.12,Zeppel_2008 
Eucalyptus crebra,150.1166667,-31.08333333,3.22184875,trunk sample,field,individual,raw,,0.32862791,0.34594555,Zeppel and Eamus 2008 ,lat_-31.08_lon_150.12,Zeppel_2008 
Eucalyptus crebra,150.1166667,-31.08333333,3.397940009,trunk sample,field,individual,raw,,0.389023417,0.483191794,Zeppel and Eamus 2008 ,lat_-31.08_lon_150.12,Zeppel_2008 
Eucalyptus crebra,150.1166667,-31.08333333,2.93930216,trunk sample,field,individual,raw,,0.243877675,0.184060819,Zeppel and Eamus 2008 ,lat_-31.08_lon_150.12,Zeppel_2008 
Eucalyptus crebra,150.1166667,-31.08333333,3.15490196,trunk sample,field,individual,raw,,0.32862791,0.34594555,Zeppel and Eamus 2008 ,lat_-31.08_lon_150.12,Zeppel_2008 
Eucalyptus crebra,150.1166667,-31.08333333,3.346787486,trunk sample,field,individual,raw,,0.389023417,0.483191794,Zeppel and Eamus 2008 ,lat_-31.08_lon_150.12,Zeppel_2008 
Alphitonia whitei,145.632222,-17.119444,3.798602876,branch sample,field,population,mean,,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Alstonia muelleriana,145.632222,-17.119444,4,branch sample,field,population,mean,19,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Argyrodedron trifoliolatum,145.632222,-17.119444,4.02475374,branch sample,field,population,mean,19,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Cardwellia sublimis,145.632222,-17.119444,3.8569852,branch sample,field,population,mean,,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Ceratopelatum sucirubrum,145.632222,-17.119444,3.815308569,branch sample,field,population,mean,14,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Cryptocarya mackinnoniana,145.632222,-17.119444,3.869666232,branch sample,field,population,mean,,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Doryphora aromatica,145.632222,-17.119444,3.536107011,branch sample,field,population,mean,19,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Flindersia brayleyana,145.632222,-17.119444,3.832682665,branch sample,field,population,mean,,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Gillbeea adenopetala,145.632222,-17.119444,3.8569852,branch sample,field,population,mean,,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Syzygium johnsonii,145.632222,-17.119444,3.653647026,branch sample,field,population,mean,13,0.763847246,1.359507943,Togashi et al. 2015,lat_-17.12_lon_145.63,Togashi_2015
Eucalyptus globulus ,147.5,-42.816667,3.673664139,trunk sample,captive_cultivated,individual,raw,,,,O'Glady et al. 2006,lat_-42.82_lon_147.5,O'Glady_2006
Eucalyptus globulus ,147.5,-42.816667,3.752026734,trunk sample,captive_cultivated,individual,raw,,,,O'Glady et al. 2006,lat_-42.82_lon_147.5,O'Glady_2006
Eucalyptus globulus ,147.5,-42.816667,3.725842151,trunk sample,captive_cultivated,individual,raw,,,,O'Glady et al. 2006,lat_-42.82_lon_147.5,O'Glady_2006
Eucalyptus globulus ,147.5,-42.816667,3.928117993,trunk sample,captive_cultivated,individual,raw,,,,O'Glady et al. 2006,lat_-42.82_lon_147.5,O'Glady_2006
Eucalyptus nitens ,146.683333,-38.383333,3.49757288,trunk sample,captive_cultivated,individual,raw,,0.760906206,1.454812733,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.543633967,trunk sample,captive_cultivated,individual,raw,,0.760906206,1.454812733,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.602059991,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.583359493,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.605548319,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.610833916,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.571865206,trunk sample,captive_cultivated,individual,raw,,0.760906206,1.454812733,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.630784143,trunk sample,captive_cultivated,individual,raw,,0.760906206,1.454812733,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.728158393,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.709965389,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.71219827,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.688246139,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.73754891,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.716698771,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus nitens ,146.683333,-38.383333,3.707743929,trunk sample,captive_cultivated,individual,raw,,0.70997679,0.988317034,Forrester et al. 2012,lat_-38.38_lon_146.68,Forrester_2012
Eucalyptus kochii ,118.089167,-34.598611,3.26760624,trunk sample,,population,mean,2.23,0.821507541,0.822644775,Brooksbank et al. (submitted),lat_-34.6_lon_118.09,Brooksbank_2015
Eucalyptus loxophleba ,118.089167,-34.598611,3.552841969,trunk sample,,population,mean,3.94,0.821507541,0.822644775,Brooksbank et al. (submitted),lat_-34.6_lon_118.09,Brooksbank_2015
Eucalyptus polybractea,118.089167,-34.598611,3.468521083,trunk sample,,population,mean,4.28,0.821507541,0.822644775,Brooksbank et al. (submitted),lat_-34.6_lon_118.09,Brooksbank_2015
Acacia colletioides,151.15,-33.383333,2.151195299,branch sample,field,population,mean,2.6,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Acacia havilandiorum,151.15,-33.383333,2.427128398,branch sample,field,population,mean,4,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Acacia wilhelmiana,151.15,-33.383333,2.482804102,branch sample,field,population,mean,2.3,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Bertya cunninghamii,151.15,-33.383333,2.216811309,branch sample,field,population,mean,2.1,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Beyeria opaca,151.15,-33.383333,2.469800302,branch sample,field,population,mean,0.7,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Cassinia laevis,151.15,-33.383333,2.847711656,branch sample,field,population,mean,2.4,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Eremophila deserti,151.15,-33.383333,3.107905397,branch sample,field,population,mean,1.2,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Eucalyptus dumosa,151.15,-33.383333,3.249491605,branch sample,field,population,mean,6,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Eucalyptus socialis,151.15,-33.383333,3.22475374,branch sample,field,population,mean,8.3,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Eutaxia microphylla,151.15,-33.383333,2.326979093,branch sample,field,population,mean,0.7,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Olearia decurrens,151.15,-33.383333,2.610833916,branch sample,field,population,mean,1.8,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Olearia pimelioides,151.15,-33.383333,2.537602002,branch sample,field,population,mean,1.2,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Philotheca difformis,151.15,-33.383333,2.129011186,branch sample,field,population,mean,1.8,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Santalum acuminatum,151.15,-33.383333,2.869666232,branch sample,field,population,mean,6,0.441029132,0.497835351,Pickup et al. 2005,lat_-33.38_lon_151.15,Pickup_2005
Acacia doratoxylon,151.316667,-33.383333,3.588380294,branch sample,field,population,mean,12,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Brachychiton populneus,151.316667,-33.383333,3.185086819,branch sample,field,population,mean,8.3,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Dodonaea viscosa ,151.316667,-33.383333,3.295849483,branch sample,field,population,mean,4,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Eremophila glabra,151.316667,-33.383333,2.896196279,branch sample,field,population,mean,1.9,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Eremophila longifolia,151.316667,-33.383333,3.209011525,branch sample,field,population,mean,3.5,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Eucalyptus intertexta,151.316667,-33.383333,3.241845378,branch sample,field,population,mean,16.9,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Geijera parviflora,151.316667,-33.383333,3.364516253,branch sample,field,population,mean,10.3,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Melaleuca uncinata,151.316667,-33.383333,2.617982957,branch sample,field,population,mean,6.5,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Philotheca difformis,151.316667,-33.383333,2.261219442,branch sample,field,population,mean,2,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Pimelea microcephala,151.316667,-33.383333,2.974694135,branch sample,field,population,mean,3,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Senna artemisioides,151.316667,-33.383333,2.935542011,branch sample,field,population,mean,2.7,0.720538731,0.873260439,Pickup et al. 2005,lat_-33.38_lon_151.32,Pickup_2005
Acacia floribunda,151.292222,-33.578889,3.958607315,branch sample,,population,mean,,0.587406394,0.562145741,"Zanne (2007, unpublished)",lat_-33.58_lon_151.29,Zanne_2007
Astrotricha floccosa,151.292222,-33.578889,3.782516056,branch sample,,population,mean,,0.587406394,0.562145741,"Zanne (2007, unpublished)",lat_-33.58_lon_151.29,Zanne_2007
Lasiopetalum ferrugineum,151.292222,-33.578889,3.388276692,branch sample,,population,mean,,0.587406394,0.562145741,"Zanne (2007, unpublished)",lat_-33.58_lon_151.29,Zanne_2007
Lomatia silaifolia,151.292222,-33.578889,3.627087997,branch sample,,population,mean,,0.587406394,0.562145741,"Zanne (2007, unpublished)",lat_-33.58_lon_151.29,Zanne_2007
Persoonia linearis,151.292222,-33.578889,3.730487056,branch sample,,population,mean,,0.587406394,0.562145741,"Zanne (2007, unpublished)",lat_-33.58_lon_151.29,Zanne_2007
Pultenea flexilis,151.292222,-33.578889,3.735182177,branch sample,,population,mean,,0.587406394,0.562145741,"Zanne (2007, unpublished)",lat_-33.58_lon_151.29,Zanne_2007
Synoum glandulosum,151.292222,-33.578889,3.562249437,branch sample,,population,mean,,0.587406394,0.562145741,"Zanne (2007, unpublished)",lat_-33.58_lon_151.29,Zanne_2007
Syncarpia glomulifera,151.292222,-33.578889,3.798602876,branch sample,,population,mean,,0.587406394,0.562145741,"Zanne (2007, unpublished)",lat_-33.58_lon_151.29,Zanne_2007
Acacia suaveolens,151.143056,-33.693889,3.254144805,branch sample,,population,mean,,0.587847044,0.618866817,"Zanne (2007, unpublished)",lat_-33.69_lon_151.14,Zanne_2007
Boronia ledifolia,151.143056,-33.693889,3.067526235,branch sample,,population,mean,,0.587847044,0.618866817,"Zanne (2007, unpublished)",lat_-33.69_lon_151.14,Zanne_2007
Eriostemon australasius,151.143056,-33.693889,3.361510743,branch sample,,population,mean,,0.587847044,0.618866817,"Zanne (2007, unpublished)",lat_-33.69_lon_151.14,Zanne_2007
Hakea dactyloides,151.143056,-33.693889,3.514278574,branch sample,,population,mean,,0.587847044,0.618866817,"Zanne (2007, unpublished)",lat_-33.69_lon_151.14,Zanne_2007
Lambertia formosa,151.143056,-33.693889,3.625251654,branch sample,,population,mean,,0.587847044,0.618866817,"Zanne (2007, unpublished)",lat_-33.69_lon_151.14,Zanne_2007
Leptospermum trinervium,151.143056,-33.693889,3.732828272,branch sample,,population,mean,,0.587847044,0.618866817,"Zanne (2007, unpublished)",lat_-33.69_lon_151.14,Zanne_2007
Persoonia levis,151.143056,-33.693889,3.600326279,branch sample,,population,mean,,0.587847044,0.618866817,"Zanne (2007, unpublished)",lat_-33.69_lon_151.14,Zanne_2007
Phyllota phylicoides,151.143056,-33.693889,3.118615343,branch sample,,population,mean,,0.587847044,0.618866817,"Zanne (2007, unpublished)",lat_-33.69_lon_151.14,Zanne_2007
Acacia havilandiorum,146.154722,-32.966667,2.756961951,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.97_lon_146.15,Zanne_2007
Brachychiton populneus,146.154722,-32.966667,3.946921557,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.97_lon_146.15,Zanne_2007
Dodonaea viscosa,146.154722,-32.966667,3.452225295,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.97_lon_146.15,Zanne_2007
Eremophila longifolia,146.154722,-32.966667,3.54668166,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.97_lon_146.15,Zanne_2007
Geijera parviflora,146.154722,-32.966667,3.320572103,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.97_lon_146.15,Zanne_2007
Hakea tephrosperma,146.154722,-32.966667,3.284832642,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.97_lon_146.15,Zanne_2007
Philotheca difformis,146.154722,-32.966667,3.389339837,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.97_lon_146.15,Zanne_2007
Senna artemisioides,146.154722,-32.966667,3.274088368,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.97_lon_146.15,Zanne_2007
Acacia doratoxylon,146.145833,-32.976389,3.617982957,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.98_lon_146.15,Zanne_2007
Bertya cunninghamii,146.145833,-32.976389,3.277366077,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.98_lon_146.15,Zanne_2007
Beyeria opaca,146.145833,-32.976389,3.104025268,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.98_lon_146.15,Zanne_2007
Cassinia laevis,146.145833,-32.976389,3.194499142,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.98_lon_146.15,Zanne_2007
Eremophila glabra,146.145833,-32.976389,3.043351421,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.98_lon_146.15,Zanne_2007
Eucalyptus socialis,146.145833,-32.976389,3.474955193,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.98_lon_146.15,Zanne_2007
Melaleuca uncinata,146.145833,-32.976389,3.111820506,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.98_lon_146.15,Zanne_2007
Olearia pimelioides,146.145833,-32.976389,3.055517328,branch sample,,population,mean,,0.180596464,0.219482338,"Zanne (2007, unpublished)",lat_-32.98_lon_146.15,Zanne_2007
Eucalyptus globulus,147.6833333,-41.78333333,3.292422027,trunk sample,captive_cultivated,individual,raw,,0.504729578,0.4691112,Feikema et al. 2010,lat_-41.78_lon_147.68,Feikema_2010
Eucalyptus globulus,147.6833333,-41.78333333,3.252435134,trunk sample,captive_cultivated,individual,raw,,0.561061247,0.76939883,Feikema et al. 2010,lat_-41.78_lon_147.68,Feikema_2010
Eucalyptus globulus,143.5833333,-38.86666667,3.434784787,trunk sample,captive_cultivated,individual,raw,,,,Feikema et al. 2010,lat_-38.87_lon_143.58,Feikema_2010
Eucalyptus globulus,144.6,-38.58333333,3.53516951,trunk sample,captive_cultivated,individual,raw,,,,Feikema et al. 2010,lat_-38.58_lon_144.6,Feikema_2010
Eucalyptus globulus,148.3166667,-38.3,3.391881201,trunk sample,captive_cultivated,individual,raw,,,,Feikema et al. 2010,lat_-38.3_lon_148.32,Feikema_2010
Eucalyptus globulus,147.1166667,-37.28333333,3.427141597,trunk sample,captive_cultivated,individual,raw,,0.69539884,1.001286807,Feikema et al. 2010,lat_-37.28_lon_147.12,Feikema_2010
Eucalyptus globulus,144.483333,-37.566667,3.594698512,trunk sample,captive_cultivated,individual,raw,,,,Feikema et al. 2010,lat_-37.57_lon_144.48,Feikema_2010
Eucalyptus nitens,147.6833333,-41.78333333,3.231570162,trunk sample,captive_cultivated,individual,raw,,0.504729578,0.4691112,Feikema et al. 2010,lat_-41.78_lon_147.68,Feikema_2010
Eucalyptus nitens,147.6833333,-41.78333333,3.242176521,trunk sample,captive_cultivated,individual,raw,,0.561061247,0.76939883,Feikema et al. 2010,lat_-41.78_lon_147.68,Feikema_2010
Eucalyptus nitens,143.5833333,-38.86666667,3.371859947,trunk sample,captive_cultivated,individual,raw,,,,Feikema et al. 2010,lat_-38.87_lon_143.58,Feikema_2010
Eucalyptus nitens,148.3166667,-38.3,3.34540368,trunk sample,captive_cultivated,individual,raw,,,,Feikema et al. 2010,lat_-38.3_lon_148.32,Feikema_2010
Eucalyptus nitens,149.3833333,-37.38333333,3.514262964,trunk sample,captive_cultivated,individual,raw,,0.627386437,0.622543882,Feikema et al. 2010,lat_-37.38_lon_149.38,Feikema_2010
Eucalyptus nitens,147.1166667,-37.28333333,3.436022193,trunk sample,captive_cultivated,individual,raw,,0.69539884,1.001286807,Feikema et al. 2010,lat_-37.28_lon_147.12,Feikema_2010
