speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample,ternPrimaryGeneticBarcodeAdditionalSample,plantMaterialTypeAdditionalSample,latitudeAdditionalSample,longitudeOfAdditionalSample,dateSurveyedAdditionalSample,facilityYear,species_name,taxon_name,old_pathway,photosyntheticPathway_combined2
Melaleuca_bracteata,Melaleuca,bracteata,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca bracteata,Melaleuca bracteata,c3,NA
Melaleuca_calyptroides,Melaleuca,calyptroides,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca calyptroides,Melaleuca calyptroides,c3,NA
Melaleuca_cardiophylla,Melaleuca,cardiophylla,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca cardiophylla,Melaleuca cardiophylla,NA,C3
Melaleuca_carrii,Melaleuca,carrii,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca carrii,Melaleuca carrii,c3,NA
Melaleuca_citrolens,Melaleuca,citrolens,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca citrolens,Melaleuca citrolens,c3,NA
Melaleuca_cordata,Melaleuca,cordata,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca cordata,Melaleuca cordata,c3,NA
Melaleuca_dealbata,Melaleuca,dealbata,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca dealbata,Melaleuca dealbata,NA,C3
Melaleuca_decussata,Melaleuca,decussata,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca decussata,Melaleuca decussata,c3,NA
Melaleuca_depauperata,Melaleuca,depauperata,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca depauperata,Melaleuca depauperata,NA,C3
Melaleuca_dissitiflora,Melaleuca,dissitiflora,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca dissitiflora,Melaleuca dissitiflora,NA,C3
Melaleuca_eleuterostachya,Melaleuca,eleuterostachya,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca eleuterostachya,Melaleuca eleuterostachya,c3,NA
Melaleuca_filifolia,Melaleuca,filifolia,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca filifolia,Melaleuca filifolia,c3,NA
Melaleuca_foliolosa,Melaleuca,foliolosa,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca foliolosa,Melaleuca foliolosa,NA,C3
Melaleuca_gibbosa,Melaleuca,gibbosa,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca gibbosa,Melaleuca gibbosa,NA,C3
Melaleuca_glomerata,Melaleuca,glomerata,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca glomerata,Melaleuca glomerata,c3,NA
Melaleuca_hamata,Melaleuca,hamata,Myrtaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca hamata,Melaleuca hamata,c3,NA
Melaleuca_hypericifolia,Melaleuca,hypericifolia,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca hypericifolia,Melaleuca hypericifolia,NA,C3
Melaleuca_idana,Melaleuca,idana,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca idana,Melaleuca idana,c3,NA
Melaleuca_interioris,Melaleuca,interioris,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca interioris,Melaleuca interioris,NA,C3
Melaleuca_lanceolata,Melaleuca,lanceolata,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca lanceolata,Melaleuca lanceolata,c3,NA
Melaleuca_lara,Melaleuca,lara,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca lara,Melaleuca lara,NA,C3
Melaleuca_lasiandra,Melaleuca,lasiandra,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca lasiandra,Melaleuca lasiandra,NA,C3
Melaleuca_lateriflora,Melaleuca,lateriflora,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca lateriflora,Melaleuca lateriflora,c3,NA
Melaleuca_laxiflora,Melaleuca,laxiflora,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca laxiflora,Melaleuca laxiflora,c3,NA
Melaleuca_leucadendra,Melaleuca,leucadendra,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca leucadendra,Melaleuca leucadendra,c3,NA
Melaleuca_nervosa,Melaleuca,nervosa,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca nervosa,Melaleuca nervosa,c3,NA
Melaleuca_pauperiflora,Melaleuca,pauperiflora,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca pauperiflora,Melaleuca pauperiflora,c3,NA
Melaleuca_platycalyx,Melaleuca,platycalyx,Myrtaceae,NA,U,C3,C3,"Kattge et al., 2020",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca platycalyx,Melaleuca platycalyx,NA,C3
Melaleuca_protrusa,Melaleuca,protrusa,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca protrusa,Melaleuca protrusa,c3,NA
Melaleuca_psammophila,Melaleuca,psammophila,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca psammophila,Melaleuca psammophila,NA,C3
Melaleuca_quadrifaria,Melaleuca,quadrifaria,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca quadrifaria,Melaleuca quadrifaria,c3,NA
Melaleuca_saligna,Melaleuca,saligna,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca saligna,Melaleuca saligna,NA,C3
Melaleuca_scalena,Melaleuca,scalena,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca scalena,Melaleuca scalena,c3,NA
Melaleuca_spicigera,Melaleuca,spicigera,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca spicigera,Melaleuca spicigera,NA,C3
Melaleuca_stenostachya,Melaleuca,stenostachya,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca stenostachya,Melaleuca stenostachya,c3,NA
Melaleuca_subtrigona,Melaleuca,subtrigona,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca subtrigona,Melaleuca subtrigona,c3,NA
Melaleuca_thymoides,Melaleuca,thymoides,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca thymoides,Melaleuca thymoides,c3,NA
Melaleuca_trichophylla,Melaleuca,trichophylla,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca trichophylla,Melaleuca trichophylla,c3,NA
Melaleuca_trichostachya,Melaleuca,trichostachya,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca trichostachya,Melaleuca trichostachya,c3,NA
Melaleuca_tuberculata,Melaleuca,tuberculata,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca tuberculata,Melaleuca tuberculata,c3,NA
Melaleuca_uncinata,Melaleuca,uncinata,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca uncinata,Melaleuca uncinata,c3,NA
Melaleuca_villosisepala,Melaleuca,villosisepala,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca villosisepala,Melaleuca villosisepala,c3,NA
Melaleuca_vinnula,Melaleuca,vinnula,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca vinnula,Melaleuca vinnula,NA,C3
Melaleuca_viridiflora,Melaleuca,viridiflora,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melaleuca viridiflora,Melaleuca viridiflora,c3,NA
Melhania_oblongifolia,Melhania,oblongifolia,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melhania oblongifolia,Melhania oblongifolia,c3,NA
Melia_azedarach,Melia,azedarach,Meliaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melia azedarach,Melia azedarach,NA,C3
Melichrus_urceolatus,Melichrus,urceolatus,Ericaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melichrus urceolatus,Melichrus urceolatus,NA,C3
Melicytus_angustifolius,Melicytus,angustifolius,Violaceae,NA,U,C3,C3,"Kattge et al., 2020; Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melicytus angustifolius,Melicytus angustifolius,c3,NA
Melilotus_indicus,Melilotus,indicus,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melilotus indicus,Melilotus indicus,c3,NA
Melinis_repens,Melinis,repens,Poaceae,NA,C4,NA,C4,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melinis repens,Melinis repens,c4,NA
Melochia_corchorifolia,Melochia,corchorifolia,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melochia corchorifolia,Melochia corchorifolia,c3,NA
Melochia_pyramidata,Melochia,pyramidata,Malvaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melochia pyramidata,Melochia pyramidata,c3,NA
Memecylon_pauciflorum,Memecylon,pauciflorum,Melastomataceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memecylon pauciflorum,Memecylon pauciflorum,NA,C3
Menkea_australis,Menkea,australis,Brassicaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards","No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Menkea australis,Menkea australis,NA,C3
Menkea_sphaerocarpa,Menkea,sphaerocarpa,Brassicaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards","No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Menkea sphaerocarpa,Menkea sphaerocarpa,NA,C3
Menkea_villosula,Menkea,villosula,Brassicaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards","No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Menkea villosula,Menkea villosula,NA,C3
Merremia_dissecta,Merremia,dissecta,Convolvulaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merremia dissecta,Distimake dissectus,NA,C3
Merremia_quinata,Merremia,quinata,Convolvulaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merremia quinata,Distimake quinatus,NA,C3
Merremia_tridentata,Merremia,tridentata,Convolvulaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merremia tridentata,Xenostegia tridentata,c3,NA
Mesembryanthemum_crystallinum,Mesembryanthemum,crystallinum,Aizoaceae,NA,C3-CAM,NA,C3-CAM,"Kattge et al., 2020; Winter 2019",NA,"Listed in TRY database (Kattge et al., 2020) as both either C3 or CAM, but as C3-CAM in Winter 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,c3-cam,NA
Mesembryanthemum_nodiflorum,Mesembryanthemum,nodiflorum,Aizoaceae,NA,C3-CAM,NA,C3-CAM,"Kattge et al., 2020; Winter 2019",NA,"Listed in TRY database (Kattge et al., 2020) as both either C3 or CAM, but as C3-CAM in Winter 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum,cam,C3-CAM
Mesomelaena_preissii,Mesomelaena,preissii,Cyperaceae,NA,C3,NA,C3,TERN SIA,NA,NA,-27.82,NA,NA,WAA016764,stem,WAAMAL0002-58521,-32.814725,119.1428361,7/10/2016,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Mesomelaena preissii,Mesomelaena preissii,c3,NA
Mesomelaena_stygia,Mesomelaena,stygia,Cyperaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mesomelaena stygia,Mesomelaena stygia,c3,NA
Micrantheum_demissum,Micrantheum,demissum,Picrodendraceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micrantheum demissum,Micrantheum demissum,NA,C3
Micrantheum_ericoides,Micrantheum,ericoides,Picrodendraceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micrantheum ericoides,Micrantheum ericoides,NA,C3
Microcorys_macredieana,Microcorys,macredieana,Lamiaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microcorys macredieana,Microcorys macredieana,NA,C3
Microcorys_tenuifolia,Microcorys,tenuifolia,Lamiaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microcorys tenuifolia,Microcorys tenuifolia,NA,C3
Microcybe_multiflora,Microcybe,multiflora,Rutaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microcybe multiflora,Microcybe multiflora,c3,NA
Microcybe_pauciflora,Microcybe,pauciflora,Rutaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microcybe pauciflora,Microcybe pauciflora,NA,C3
Microlaena_stipoides,Microlaena,stipoides,Poaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microlaena stipoides,Microlaena stipoides,c3,NA
Micromyrtus_clavata,Micromyrtus,clavata,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus clavata,Micromyrtus clavata,NA,C3
Micromyrtus_erichsenii,Micromyrtus,erichsenii,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus erichsenii,Micromyrtus erichsenii,c3,NA
Micromyrtus_flaviflora,Micromyrtus,flaviflora,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus flaviflora,Micromyrtus flaviflora,c3,NA
Micromyrtus_greeniana,Micromyrtus,greeniana,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus greeniana,Micromyrtus greeniana,c3,NA
Micromyrtus_monotaxis,Micromyrtus,monotaxis,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus monotaxis,Micromyrtus monotaxis,c3,NA
Micromyrtus_obovata,Micromyrtus,obovata,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus obovata,Micromyrtus obovata,c3,NA
Micromyrtus_obovatus,Micromyrtus,obovatus,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus obovatus,Micromyrtus obovata,c3,NA
Micromyrtus_sessilis,Micromyrtus,sessilis,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus sessilis,Micromyrtus sessilis,NA,C3
Micromyrtus_triptycha,Micromyrtus,triptycha,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micromyrtus triptycha,Micromyrtus triptycha,NA,C3
