species_name,plant_height_max_Barlow_1981,plant_height_max_CPBR_2002,plant_height_max_GrassBase_2014,plant_height_max_Mokany_2015,plant_height_max_RBGSYD_2014_2,plant_height_max_SAH_2014,plant_height_max_TMAG_2009,plant_height_max_WAH_1998,plant_height_to_keep_max,plant_height_unique,original_name
Gaultheria hispida,NA,NA,NA,2,NA,NA,NA,NA,keep,plant_height_to_keep,Gaultheria hispida
Gaultheria tasmanica,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Gaultheria tasmanica
Genoplesium archeri,NA,NA,NA,0.2,0.2,0.25,NA,NA,omit,NA,Corunastylis archeri
Genoplesium archeri,NA,NA,NA,0.2,0.2,0.25,NA,NA,omit,NA,Genoplesium archeri
Gentianella diemensis,NA,NA,NA,0.36,0.3,NA,NA,NA,keep,plant_height_to_keep,Chionogentias diemensis
Gentianella diemensis,NA,NA,NA,0.36,0.3,NA,NA,NA,keep,plant_height_to_keep,Gentianella diemensis
Gentianella eichleri,NA,NA,NA,0.36,NA,NA,NA,NA,keep,plant_height_to_keep,Chionogentias eichleri
Gentianella pleurogynoides,NA,NA,NA,0.36,NA,NA,NA,NA,keep,plant_height_to_keep,Chionogentias pleurogynoides
Geranium potentilloides,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Geranium potentilloides
Geranium sessiliflorum,NA,NA,NA,0.2,0.15,NA,NA,NA,keep,plant_height_to_keep,Geranium sessiliflorum
Geranium solanderi,NA,NA,NA,0.5,NA,NA,NA,0.3,keep,plant_height_to_keep,Geranium solanderi
Gleichenia alpina,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Gleichenia alpina
Gleichenia dicarpa,NA,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Gleichenia dicarpa
Gleichenia microphylla,NA,NA,NA,1.5,NA,2,NA,NA,keep,plant_height_to_keep,Gleichenia microphylla
Glossodia major,NA,NA,NA,0.3,0.32,0.25,NA,NA,keep,plant_height_to_keep,Glossodia major
Glossostigma elatinoides,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Glossostigma elatinoides
Glycine clandestina,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Glycine clandestina
Glycine latrobeana,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Glycine latrobeana
Gnaphalium indutum,NA,NA,NA,0.08,0.08,0.08,NA,0.06,omit,NA,Gnaphalium indutum
Gompholobium huegelii,NA,NA,NA,1,1,NA,NA,NA,omit,NA,Gompholobium huegelii
Gonocarpus humilis,0.3,NA,NA,0.3,0.3,NA,NA,NA,omit,NA,Gonocarpus humilis
Gonocarpus micranthus,NA,NA,NA,0.1,NA,0.1,NA,NA,omit,NA,Gonocarpus micranthus
Gonocarpus montanus,0.15,NA,NA,0.15,0.15,NA,NA,NA,omit,NA,Gonocarpus montanus
Gonocarpus serpyllifolius,0.25,NA,NA,0.25,NA,NA,NA,NA,omit,NA,Gonocarpus serpyllifolius
Gonocarpus tetragynus,0.3,NA,NA,0.3,0.3,0.3,NA,NA,omit,NA,Gonocarpus tetragynus
Gonocarpus teucrioides,0.35,NA,NA,0.4,0.4,NA,NA,NA,omit,NA,Gonocarpus teucrioides
Gonocarpus teucrioides,0.35,NA,NA,0.4,0.4,NA,NA,NA,omit,NA,Haloragis teucrioides
Goodenia elongata,0.4,NA,NA,0.2,0.4,0.3,0.45,NA,keep,plant_height_to_keep,Goodenia elongata
Goodenia humilis,0.2,NA,NA,0.1,0.2,0.16,0.2,NA,keep,plant_height_to_keep,Goodenia humilis
Goodenia lanata,0.3,NA,NA,0.1,NA,NA,0.3,NA,keep,plant_height_to_keep,Goodenia lanata
Goodenia ovata,2,NA,NA,2,2,2,2,NA,omit,NA,Goodenia ovata
Goodia lotifolia,NA,NA,NA,4,4,NA,NA,NA,omit,NA,Goodia lotifolia
Grammitis billardierei,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Grammitis billardierei
Grammitis magellanica,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Grammitis magellanica
Grammitis poeppigiana,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Grammitis poeppigiana
Gratiola nana,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Gratiola nana
Gratiola pubescens,NA,NA,NA,0.2,0.2,0.2,NA,0.3,omit,NA,Gratiola pubescens
Grevillea australis,1,NA,NA,2,1.2,NA,NA,NA,keep,plant_height_to_keep,Grevillea australis
Gunnera cordifolia,0.1,NA,NA,0.1,NA,NA,NA,NA,omit,NA,Gunnera cordifolia
Gymnoschoenus sphaerocephalus,NA,NA,NA,0.5,NA,1,NA,NA,keep,plant_height_to_keep,Gymnoschoenus sphaerocephalus
Gyrostemon thesioides,NA,NA,NA,0.8,0.7,0.7,0.8,0.7,omit,NA,Gyrostemon thesioides
Haemodorum distichophyllum,0.1,NA,NA,0.1,NA,NA,NA,NA,omit,NA,Haemodorum distichophyllum
Hakea epiglottis,3,NA,NA,4,NA,NA,NA,NA,keep,plant_height_to_keep,Hakea epiglottis
Hakea lissosperma,5,NA,NA,6,4,NA,NA,NA,keep,plant_height_to_keep,Hakea lissosperma
Hakea microcarpa,2,NA,NA,2,2,NA,NA,NA,omit,NA,Hakea microcarpa
Hakea nodosa,4,NA,NA,4,NA,NA,NA,NA,omit,NA,Hakea nodosa
Hakea sericea,5,NA,NA,3.8,3,5,NA,NA,keep,plant_height_to_keep,Hakea sericea
Hakea teretifolia,NA,NA,NA,3,3,NA,NA,NA,omit,NA,Hakea teretifolia
Haloragis heterophylla,0.5,NA,NA,0.5,0.5,0.5,NA,NA,omit,NA,Haloragis heterophylla
Haloragis myriocarpa,0.6,NA,NA,0.6,NA,0.6,NA,NA,omit,NA,Haloragis myriocarpa
Helichrysum leucopsideum,NA,NA,NA,0.5,0.5,0.5,NA,0.5,omit,NA,Helichrysum leucopsideum
Helichrysum pumilum,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Helichrysum pumilum
Helichrysum rutidolepis,NA,NA,NA,0.4,0.4,0.4,NA,NA,omit,NA,Helichrysum rutidolepis
Helichrysum scorpioides,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Helichrysum scorpioides
Helichrysum stoechas,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Gnaphalium collinum
Helictotrichon neesii,NA,NA,NA,1.5,1.5,NA,NA,NA,omit,NA,Amphibromus neesii
Helictotrichon recurvatum,NA,NA,1.5,1,NA,1.5,NA,NA,keep,plant_height_to_keep,Amphibromus recurvatus
Hemarthria uncinata,NA,NA,1.1,1,1,0.8,NA,NA,omit,NA,Hemarthria uncinata
Herpolirion novae-zelandiae,0.2,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Herpolirion novae-zelandiae
Hibbertia acicularis,NA,NA,NA,1.5,1.5,0.3,NA,NA,omit,NA,Hibbertia acicularis
Hibbertia aspera,NA,NA,NA,0.6,0.5,2,NA,NA,keep,plant_height_to_keep,Hibbertia aspera
Hibbertia basaltica,NA,NA,NA,0.2,NA,NA,0.3,NA,keep,plant_height_to_keep,Hibbertia basaltica
Hibbertia empetrifolia,NA,NA,NA,1,0.4,NA,NA,NA,keep,plant_height_to_keep,Hibbertia empetrifolia
Hibbertia hirsuta,NA,NA,NA,0.8,NA,NA,0.3,NA,keep,plant_height_to_keep,Hibbertia hirsuta
Hibbertia hirticalyx,NA,NA,NA,0.7,NA,NA,1,NA,keep,plant_height_to_keep,Hibbertia hirticalyx
Hibbertia procumbens,NA,NA,NA,0.2,NA,NA,0.3,NA,keep,plant_height_to_keep,Hibbertia procumbens
Hibbertia prostrata,NA,NA,NA,0.2,NA,0.5,0.9,NA,keep,plant_height_to_keep,Hibbertia prostrata
Hibbertia riparia,NA,NA,NA,1.2,0.6,0.5,0.9,NA,keep,plant_height_to_keep,Hibbertia riparia
Hibbertia sericea,NA,NA,NA,0.7,1,0.5,NA,NA,keep,plant_height_to_keep,Hibbertia sericea
Hibbertia serpyllifolia,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Hibbertia serpyllifolia
Hierochloe fraseri,NA,NA,0.5,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Hierochloe fraseri
Hierochloe rariflora,NA,NA,1,0.1,1,NA,NA,NA,keep,plant_height_to_keep,Hierochloe rariflora
Hierochloe redolens,NA,NA,1,1,1,NA,NA,NA,omit,NA,Hierochloe redolens
Histiopteris incisa,NA,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Histiopteris incisa
Hovea heterophylla,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Hovea heterophylla
Hovea linearis,NA,NA,NA,1.2,0.5,NA,NA,NA,keep,plant_height_to_keep,Hovea linearis
Hovea longifolia,NA,NA,NA,3,3,NA,NA,NA,omit,NA,Hovea longifolia
Huperzia australiana,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Huperzia australiana
Huperzia varia,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Huperzia varia
Hyalosperma demissum,NA,NA,NA,0.02,0.2,0.02,NA,0.02,omit,NA,Hyalosperma demissum
Hydrocotyle callicarpa,NA,NA,NA,0.08,0.08,0.08,NA,0.08,omit,NA,Hydrocotyle callicarpa
Hydrocotyle capillaris,NA,NA,NA,0.05,NA,0.1,NA,NA,keep,plant_height_to_keep,Hydrocotyle capillaris
Hydrocotyle hirta,NA,NA,NA,0.05,NA,NA,NA,0.1,keep,plant_height_to_keep,Hydrocotyle hirta
Hydrocotyle pterocarpa,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Hydrocotyle pterocarpa
Hydrocotyle sibthorpioides,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Hydrocotyle sibthorpioides
Hydrocotyle tripartita,NA,NA,NA,0.05,0.1,NA,NA,NA,keep,plant_height_to_keep,Hydrocotyle muscosa
Hymenanthera dentata,NA,NA,NA,4,4,NA,NA,NA,omit,NA,Hymenanthera dentata
Hymenophyllum australe,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Hymenophyllum australe
Hymenophyllum cupressiforme,NA,NA,NA,0.09,NA,NA,NA,NA,keep,plant_height_to_keep,Hymenophyllum cupressiforme
Hymenophyllum darwinii,NA,NA,NA,0.15,NA,NA,NA,NA,keep,plant_height_to_keep,Hymenophyllum rarum
Hymenophyllum flabellatum,NA,NA,NA,0.25,NA,NA,NA,NA,keep,plant_height_to_keep,Hymenophyllum flabellatum
Hymenophyllum peltatum,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Hymenophyllum peltatum
Hypericum gramineum,NA,NA,NA,0.4,0.4,0.4,NA,0.5,omit,NA,Hypericum gramineum
Hypericum japonicum,NA,NA,NA,0.15,0.15,NA,NA,0.12,omit,NA,Hypericum japonicum
Hypolaena fastigiata,NA,NA,NA,0.65,0.65,NA,NA,0.3,omit,NA,Hypolaena fastigiata
Hypolepis rugosula,NA,NA,NA,1.2,NA,NA,NA,NA,keep,plant_height_to_keep,Hypolepis rugosula
Hypolepis villoso-viscida,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Hypolepis amaurorachis
Hypoxis glabella,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Hypoxis glabella
Hypoxis hygrometrica,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Hypoxis hygrometrica
Hypoxis vaginata,0.35,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Hypoxis vaginata
Indigofera australis,NA,NA,NA,2.5,2.5,2,NA,NA,omit,NA,Indigofera australis
Isoetes gunnii,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Isoetes gunnii
Isoetopsis graminifolia,NA,NA,NA,0.05,0.05,0.05,NA,0.05,omit,NA,Isoetopsis graminifolia
Isolepis alpina,NA,NA,NA,0.25,NA,NA,NA,NA,keep,plant_height_to_keep,Isolepis alpina
Isolepis aucklandica,NA,NA,NA,0.12,0.12,NA,NA,NA,omit,NA,Isolepis aucklandica
Isolepis cernua,NA,NA,NA,0.2,0.2,0.1,NA,0.3,omit,NA,Isolepis cernua
Isolepis cernua var. platycarpa,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Isolepis platycarpa
Isolepis crassiuscula,NA,NA,NA,0.25,NA,NA,NA,NA,keep,plant_height_to_keep,Isolepis crassiuscula
Isolepis fluitans,NA,NA,NA,0.1,0.1,NA,NA,0.1,omit,NA,Isolepis fluitans
Isolepis hookeriana,NA,NA,NA,0.12,0.12,0.12,NA,NA,omit,NA,Isolepis hookeriana
Isolepis inundata,NA,NA,NA,0.5,0.5,0.3,NA,0.45,omit,NA,Isolepis inundata
Isolepis marginata,NA,NA,NA,0.1,0.1,0.02,NA,0.2,omit,NA,Isolepis marginata
Isolepis montivaga,NA,NA,NA,0.04,0.04,NA,NA,NA,omit,NA,Isolepis montivaga
Isolepis subtilissima,NA,NA,NA,0.1,0.09,0.12,NA,NA,keep,plant_height_to_keep,Isolepis subtilissima
Isophysis tasmanica,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Isophysis tasmanica
Isopogon ceratophyllus,1,NA,NA,1,NA,1.2,NA,NA,omit,NA,Isopogon ceratophyllus
Isotoma fluviatilis,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Isotoma fluviatilis
Juncus amabilis,NA,NA,NA,1.1,NA,1.2,NA,1,keep,plant_height_to_keep,Juncus amabilis
Juncus antarcticus,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus antarcticus
Juncus astreptus,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus astreptus
Juncus australis,NA,NA,NA,1,NA,1.2,NA,NA,keep,plant_height_to_keep,Juncus australis
Juncus bassianus,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus bassianus
Juncus bufonius,NA,NA,NA,0.2,NA,0.3,NA,NA,keep,plant_height_to_keep,Juncus bufonius
Juncus caespiticius,NA,NA,NA,0.55,NA,0.4,NA,0.6,keep,plant_height_to_keep,Juncus caespiticius
Juncus curtisiae,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus curtisiae
Juncus falcatus,NA,NA,NA,0.35,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus falcatus
Juncus filicaulis,NA,NA,NA,0.45,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus filicaulis
Juncus gregiflorus,NA,NA,NA,1.4,NA,NA,NA,1.5,keep,plant_height_to_keep,Juncus gregiflorus
Juncus holoschoenus,NA,NA,NA,0.75,NA,0.45,NA,1,keep,plant_height_to_keep,Juncus holoschoenus
Juncus kraussii,NA,NA,NA,1.5,NA,1,NA,1.2,keep,plant_height_to_keep,Juncus kraussii
Juncus pallidus,NA,NA,NA,1.35,NA,2,NA,2,keep,plant_height_to_keep,Juncus pallidus
Juncus pauciflorus,NA,NA,NA,0.85,NA,1,NA,1,keep,plant_height_to_keep,Juncus pauciflorus
Juncus planifolius,NA,NA,NA,0.6,NA,0.3,NA,0.75,keep,plant_height_to_keep,Juncus planifolius
Juncus procerus,NA,NA,NA,1.45,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus procerus
Juncus ratkowskyanus,NA,NA,NA,0.81,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus ratkowskyanus
Juncus revolutus,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus revolutus
Juncus sandwithii,NA,NA,NA,0.14,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus sandwithii
Juncus sarophorus,NA,NA,NA,1.7,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus sarophorus
Juncus subsecundus,NA,NA,NA,0.9,NA,NA,NA,1,keep,plant_height_to_keep,Juncus subsecundus
Juncus vaginatus,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Juncus vaginatus
Kennedia prostrata,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Kennedia prostrata
Kunzea ambigua,NA,NA,NA,4,35,NA,NA,NA,keep,plant_height_to_keep,Kunzea ambigua
Lagarostrobos franklinii,30,NA,NA,20,NA,NA,NA,NA,keep,plant_height_to_keep,Lagarostrobos franklinii
Lagenophora huegelii,NA,NA,NA,0.1,NA,NA,NA,0.35,keep,plant_height_to_keep,Lagenifera huegelii
Lagenophora lanata,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Lagenifera gracilis
Lagenophora stipitata,NA,NA,NA,0.93,NA,NA,NA,NA,keep,plant_height_to_keep,Lagenifera stipitata
Lagenophora stipitata,NA,NA,NA,0.93,NA,NA,NA,NA,keep,plant_height_to_keep,Lagenophora stipitata
Laphangium luteoalbum,NA,NA,NA,0.45,0.45,NA,NA,NA,omit,NA,Pseudognaphalium luteoalbum
Lasiopetalum macrophyllum,NA,NA,NA,3,2,NA,NA,NA,keep,plant_height_to_keep,Lasiopetalum macrophyllum
Lasiopetalum micranthum,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Lasiopetalum micranthum
Lastreopsis acuminata,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Lastreopsis acuminata
Laxmannia orientalis,0.15,NA,NA,0.15,0.15,NA,NA,NA,omit,NA,Laxmannia orientalis
Lemna disperma,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Lemna disperma
Leontodon taraxacoides,NA,NA,NA,0.4,NA,0.35,NA,NA,keep,plant_height_to_keep,Leontodon taraxacoides subsp taraxacoides
Lepidium africanum,NA,NA,NA,0.5,0.7,0.5,NA,NA,omit,NA,Lepidium hyssopifolium
Lepidium pseudotasmanicum,NA,NA,NA,0.4,0.4,0.6,NA,0.4,omit,NA,Lepidium pseudotasmanicum
Lepidosperma concavum,NA,NA,NA,0.6,0.6,0.6,NA,NA,omit,NA,Lepidosperma concavum
Lepidosperma curtisiae,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Lepidosperma curtisiae
Lepidosperma elatius,NA,NA,NA,1.8,1.8,NA,NA,NA,omit,NA,Lepidosperma elatius
Lepidosperma ensiforme,NA,NA,NA,2.5,NA,NA,NA,NA,keep,plant_height_to_keep,Lepidosperma ensiforme
Lepidosperma filiforme,NA,NA,NA,1,1,NA,NA,NA,omit,NA,Lepidosperma filiforme
Lepidosperma gladiatum,NA,NA,NA,3,1,1,NA,1.5,keep,plant_height_to_keep,Lepidosperma gladiatum
Lepidosperma globosum,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Lepidosperma globosum
Lepidosperma gunnii,NA,NA,NA,0.4,0.4,NA,NA,NA,omit,NA,Lepidosperma gunnii
Lepidosperma inops,NA,NA,NA,0.25,NA,NA,NA,NA,keep,plant_height_to_keep,Lepidosperma inops
Lepidosperma laterale,NA,NA,NA,1,1,1,NA,NA,omit,NA,Lepidosperma laterale
Lepidosperma longitudinale,NA,NA,NA,2,2,0.1,NA,2,omit,NA,Lepidosperma longitudinale
Lepidosperma neesii,NA,NA,NA,0.8,NA,NA,NA,NA,keep,plant_height_to_keep,Lepidosperma neesii
Lepidosperma oldfieldii,NA,NA,NA,0.8,NA,NA,NA,NA,keep,plant_height_to_keep,Lepidosperma oldfieldii
Lepilaena cylindrocarpa,NA,NA,NA,0.25,NA,0.25,NA,NA,omit,NA,Lepilaena cylindrocarpa
Leptecophylla divaricata,NA,NA,NA,0.9,NA,NA,NA,NA,keep,plant_height_to_keep,Leptecophylla divaricata
Leptecophylla juniperina,NA,NA,NA,5,NA,NA,NA,NA,keep,plant_height_to_keep,Leptecophylla juniperina
Leptecophylla pendulosa,NA,NA,NA,1.45,NA,NA,NA,NA,keep,plant_height_to_keep,Cyathodes pendulosa
Leptinella filicula,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Cotula filicula
Leptinella filicula,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Leptinella filicula
Leptinella longipes,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Leptinella longipes
Leptinella reptans,NA,NA,NA,0.15,NA,0.05,NA,NA,keep,plant_height_to_keep,Cotula reptans
Leptinella reptans,NA,NA,NA,0.15,NA,0.05,NA,NA,keep,plant_height_to_keep,Leptinella reptans
Leptocarpus tenax,NA,NA,NA,1.3,1.3,1,NA,1,omit,NA,Leptocarpus tenax
Leptoceras menziesii,NA,NA,NA,0.28,NA,0.2,NA,0.3,keep,plant_height_to_keep,Leptoceras menziesii
Leptomeria drupacea,2.5,NA,NA,2.5,3,NA,2.5,NA,omit,NA,Leptomeria drupacea
Leptomeria glomerata,0.3,NA,NA,0.3,NA,NA,0.3,NA,omit,NA,Leptomeria glomerata
Leptorhynchos nitidulus,NA,NA,NA,0.4,0.25,NA,NA,NA,keep,plant_height_to_keep,Leptorhynchos linearis
Leptorhynchos squamatus,NA,NA,NA,0.4,0.4,0.4,NA,NA,omit,NA,Leptorhynchos squamatus
Leptospermum glaucescens,NA,NA,NA,18,NA,NA,NA,NA,keep,plant_height_to_keep,Leptospermum glaucescens
Leptospermum grandiflorum,NA,NA,NA,5,NA,NA,NA,NA,keep,plant_height_to_keep,Leptospermum grandiflorum
Leptospermum laevigatum,NA,NA,NA,5,NA,3,NA,NA,keep,plant_height_to_keep,Leptospermum laevigatum
Leptospermum lanigerum,NA,NA,NA,18,NA,5,NA,NA,keep,plant_height_to_keep,Leptospermum lanigerum
Leptospermum nitidum,NA,NA,NA,12,NA,NA,NA,NA,keep,plant_height_to_keep,Leptospermum nitidum
Leptospermum riparium,NA,NA,NA,4,NA,NA,NA,NA,keep,plant_height_to_keep,Leptospermum riparium
Leptospermum rupestre,NA,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Leptospermum rupestre
Leptospermum scoparium,NA,NA,NA,5,2,NA,NA,NA,keep,plant_height_to_keep,Leptospermum scoparium
Leucophyta brownii,NA,NA,NA,1,NA,1,NA,1,omit,NA,Leucophyta brownii
Leucopogon australis,NA,NA,NA,2,NA,NA,NA,2,omit,NA,Leucopogon australis
Leucopogon collinus,NA,NA,NA,0.6,1,NA,NA,NA,keep,plant_height_to_keep,Leucopogon collinus
Leucopogon ericoides,NA,NA,NA,2,0.9,0.9,NA,NA,keep,plant_height_to_keep,Leucopogon ericoides
Leucopogon milliganii,NA,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Leucopogon milliganii
Leucopogon montanus,NA,NA,NA,1.27,0.35,NA,NA,NA,keep,plant_height_to_keep,Leucopogon montanus
Leucopogon parviflorus,NA,NA,NA,5,5,5,NA,3,omit,NA,Leucopogon parviflorus
Leucopogon piliferus,NA,NA,NA,0.1,0.09,NA,NA,NA,keep,plant_height_to_keep,Leucopogon pilifer
Leucopogon stuartii,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Leucopogon stuartii
Leucopogon virgatus,NA,NA,NA,0.5,0.45,0.6,NA,NA,keep,plant_height_to_keep,Leucopogon virgatus
Libertia pulchella,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Libertia pulchella
Lilaeopsis polyantha,NA,NA,NA,0.3,NA,NA,NA,0.25,keep,plant_height_to_keep,Lilaeopsis polyantha
Lindsaea linearis,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Lindsaea linearis
Linum albidum,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Linum albidum
Linum marginale,NA,NA,NA,1,NA,0.5,1,0.6,omit,NA,Linum marginale
Liparophyllum exiguum,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Nymphoides exigua
Liparophyllum gunnii,NA,NA,NA,0.85,NA,NA,NA,NA,keep,plant_height_to_keep,Liparophyllum gunnii
Lissanthe divaricata,NA,NA,NA,0.9,NA,NA,NA,NA,keep,plant_height_to_keep,Cyathodes divaricata
Lissanthe strigosa,NA,NA,NA,1,0.7,1,NA,NA,omit,NA,Lissanthe strigosa
Lobelia anceps,NA,NA,NA,0.57,NA,NA,NA,1.2,keep,plant_height_to_keep,Lobelia alata
Lobelia anceps,NA,NA,NA,0.57,NA,NA,NA,1.2,keep,plant_height_to_keep,Lobelia anceps
Lobelia gibbosa,NA,NA,NA,0.65,0.65,0.3,NA,0.5,omit,NA,Lobelia gibbosa
Lobelia irrigua,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Pratia irrigua
Lobelia pedunculata,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Pratia pedunculata
Lomandra longifolia,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Lomandra longifolia
Lomandra nana,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Lomandra nana
Lomatia polymorpha,4,NA,NA,4,NA,NA,NA,NA,omit,NA,Lomatia polymorpha
Lomatia tinctoria,2,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Lomatia tinctoria
Lotus tenuis,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Lotus corniculatus var tenuifolius
Luzula australasica,NA,NA,NA,0.35,NA,0.4,NA,NA,keep,plant_height_to_keep,Luzula australasica
Luzula densiflora,NA,NA,NA,0.3,NA,0.4,NA,NA,keep,plant_height_to_keep,Luzula densiflora
Luzula flaccida,NA,NA,NA,0.4,NA,0.3,NA,NA,keep,plant_height_to_keep,Luzula flaccida
Luzula meridionalis,NA,NA,NA,0.3,NA,0.5,NA,0.4,keep,plant_height_to_keep,Luzula meridionalis
Luzula modesta,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Luzula modesta
Luzula novae-cambriae,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Luzula novae-cambriae
Lycopodiella diffusa,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Lycopodiella diffusa
Lycopodiella lateralis,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Lycopodiella lateralis
Lycopodium deuterodensum,NA,NA,NA,1,1,NA,NA,NA,omit,NA,Lycopodium deuterodensum
Lycopodium gayanum,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Lycopodium scariosum
Lythrum hyssopifolia,0.6,NA,NA,0.6,0.5,0.5,NA,NA,omit,NA,Lythrum hyssopifolia
Lythrum salicaria,1.5,NA,NA,1.5,1,1.5,1.8,NA,omit,NA,Lythrum salicaria
Machaerina acuta,NA,NA,NA,0.3,0.35,NA,NA,0.4,keep,plant_height_to_keep,Baumea acuta
Machaerina arthrophylla,NA,NA,NA,1,1,2,NA,1.2,omit,NA,Baumea arthrophylla
Machaerina gunnii,NA,NA,NA,0.7,1,1,NA,NA,keep,plant_height_to_keep,Baumea gunnii
Machaerina juncea,NA,NA,NA,1.2,0.9,1,NA,1.2,omit,NA,Baumea juncea
Machaerina rubiginosa,NA,NA,NA,0.8,0.2,1,NA,4,keep,plant_height_to_keep,Baumea rubiginosa
Machaerina tetragona,NA,NA,NA,0.8,1,NA,NA,NA,keep,plant_height_to_keep,Baumea tetragona
Mazus pumilio,NA,NA,NA,1.24,NA,NA,NA,NA,keep,plant_height_to_keep,Mazus pumilio
