taxon_name,growth_form_icons,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Endiandra anthropophagorum,shrub tree,tree,,,,,,
Endiandra bellendenkerana,tree,tree,,,,,,
Endiandra bessaphila,tree,,,,,,,
Endiandra collinsii,tree,tree,,,,,,
Endiandra compressa,tree,,,,,,,
Endiandra cooperana,tree,,,,,,,
Endiandra cowleyana,tree,,,,,,,
Endiandra dichrophylla,tree,,,,,,,
Endiandra dielsiana,tree,,,,,,,
Endiandra discolor,shrub tree,tree,,,,,,
Endiandra glauca,shrub tree,,,,,,,
Endiandra globosa,tree,,,,,,,
Endiandra grayi,tree,tree,,,,,,
Endiandra hypotephra,tree,,,,,,,
Endiandra impressicosta,tree,,,,,,,
Endiandra inopinata,tree,tree,,,,,,
Endiandra insignis,tree,,,,,,,
Endiandra jonesii,tree,,,,,,,
Endiandra leptodendron,tree,tree,,,,,,
Endiandra limnophila,tree,tree,,,,,,
Endiandra longipedicellata,tree,,,,,,,
Endiandra microneura,tree,,,,,,,
Endiandra monothyra subsp. monothyra,tree,,,,,,,
Endiandra monothyra subsp. trichophylla,tree,,,,,,,
Endiandra montana,tree,,,,,,,
Endiandra muelleri subsp. bracteata,tree,tree,,,,,,
Endiandra palmerstonii,tree,,,,,,,
Endiandra phaeocarpa,tree,,,,,,,
Endiandra sankeyana,tree,,,,,,,
Endiandra sideroxylon,tree,,,,,,,
Endiandra wolfei,tree,,,,,,,
Endiandra xanthocarpa,tree,,,,,,,
Endospermum myrmecophilum,tree,,,,,,,
Entada phaseoloides,climber_vine,climber_vine,,,,,,
Entada rheedei,climber_vine,climber_vine,,,,,,
Epipogium roseum,epiphyte,,,,,,,
Epipremnum amplissimum,climber_vine,climber_vine,,,,,,
Epipremnum pinnatum,climber_vine,climber_vine,,,,,,
Epipremnum pinnatum cv. aureum,climber_vine,climber_vine,,,,,,
Eragrostis cumingii,,,tufted erect,,,,,
Eranthemum pulchellum,herb,,,,,,,
Erechtites valerianifolius f. valerianifolius,herb shrub,,,,,,,
Eriachne pallescens,,,tufted erect,,perennial,,,
Erigeron canadensis,herb shrub,,,,,,,
Erigeron sumatrensis,herb shrub,herb,erect,,,,,
Eriostemon banksii,herb shrub tree,tree,,,,,,
Erycibe coccinea,climber_vine,climber_vine,,,,,,
Erythrina insularis,tree,tree,,,,,,
Erythrina variegata,tree,,,,,,,
Erythrina vespertilio,tree,,,,,,,
Erythrophleum chlorostachys,tree,,,,,,,
Erythroxylum australe,shrub tree,,,,,,,
Erythroxylum sp  brewer la b.hyland 13373,tree,,,,,,,
Erythroxylum sp  mosquito point j r.clarkson 9991,shrub tree,tree,,,,,,
Eschenbachia leucantha,herb shrub,,,,,,,
Etlingera australasica,herb shrub,,,,,,,
Eucalyptus crebra,tree,,,,,,,
Eucalyptus grandis,tree,tree,,,,,,
Eucalyptus houseana,tree,,,,,,,
Eucalyptus pellita,tree,,,,,,,
Eucalyptus resinifera subsp. resinifera,tree,,,,,,,
Eucalyptus tereticornis subsp. tereticornis,tree,tree,,,,,,
Eucryphia wilkiei,shrub,,,,,,,
Eugenia reinwardtiana,herb shrub tree,tree,,,,,,
Eulophia zollingeri,herb,,,,,,,
Eumachia frutescens,herb shrub,,,,,,,
Euodia hylandii,shrub tree,tree,,,,,,
Euodia pubifolia,herb shrub,tree,,,,,,
Euonymus australiana,shrub tree,tree,,,,,,
Euphorbia cyathophora,herb shrub,,,,,,,
Euphorbia hirta,herb,,,,,,,
Euphorbia hyssopifolia,herb,subshrub,erect,,perennial,,,
Euphorbia plumerioides,shrub tree,,,,,,,
Euphorbia tannensis subsp. eremophila,herb shrub,,,,,,,
Eupomatia barbata,herb shrub,,,,,,,
Eupomatia laurina,shrub tree,,,,,,,
Euroschinus falcatus var. falcatus,tree,,,,,,,
Eustrephus latifolius,climber_vine_herbaceous,climber_vine,,,,,,
Everistia vacciniifolia var. vacciniifolia,shrub,,,,,,,
Excoecaria agallocha,shrub tree,,,,,,,
Excoecaria dallachyana,tree,tree,,,,,,
Exocarpos latifolius,shrub tree,tree,,,,,,
Exocarya scleroides,,,,,,,,
Fagraea berteroana,shrub tree,,,,,,,
Fagraea cambagei,shrub tree,,,,,,,
Fagraea fagraeacea,shrub tree,,,,,,,
Fagraea racemosa,shrub tree,tree,,,,,,
Falcataria toona,tree,,,,,,,
Fatoua villosa,herb,subshrub herb,,,,,,
Ficus aculeata,shrub tree,,,,,,,
Ficus adenosperma,shrub tree,,,,,,,
Ficus albipila,tree,,,,,,,
Ficus atricha,tree,,,,,,,
Ficus benjamina,tree,,,,,,,
Ficus brachypoda,shrub tree,,,,,,,
Ficus congesta var. congesta,shrub tree,,,,,,,
Ficus copiosa,shrub tree,,,,,,,
Ficus coronata,tree,tree shrub,,,,,,
Ficus coronulata,shrub tree,,,,,,,
Ficus crassipes,tree,,,,,,,
Ficus destruens,tree,,,,,,,
Ficus drupacea,tree,,,,,,,
Ficus fraseri,tree,,,,,,,
Ficus henneana,tree,,,,,,,
Ficus hispida,shrub tree,,,,,,,
Ficus leptoclada,shrub tree,,,,,,,
Ficus melinocarpa,tree,,,,,,,
Ficus microcarpa,tree,,,,,,,
Ficus mollior,tree,,,,,,,
Ficus nodosa,tree,,,,,,,
Ficus obliqua,tree,,,,,,,
Ficus opposita,shrub tree,,,,,,,
Ficus pantoniana,climber_vine,climber_vine,,,,,,
Ficus platypoda,tree,,,,,,,
Ficus pleurocarpa,tree,,,,,,,
Ficus podocarpifolia,herb shrub,,prostrate creeper,,,,,
Ficus racemosa,tree,,,,,,,
Ficus rubiginosa f. glabrescens,tree,,,,,,lithophyte hemiepiphyte,
Ficus rubiginosa f. rubiginosa,tree,,,,,,lithophyte hemiepiphyte,
Ficus scobina,shrub tree,tree shrub,spreading,,,,,
Ficus septica,shrub tree,,,,,,,
Ficus subnervosa,tree,,,,,,,
Ficus subpuberula,tree,tree,,,,,lithophyte,
Ficus tinctoria subsp. tinctoria,tree,,,,,,,
Ficus triradiata,tree,,,,,,,
Ficus variegata,tree,,,,,,,
Ficus virens var. virens,tree,,,,,,,
Ficus virgata,shrub tree,,,,,,,
Ficus watkinsiana,tree,,,,,,,
Fimbristylis depauperata,,,,,annual,,,
Fimbristylis dichotoma,,,tufted,,perennial,rhizome,,
Fimbristylis microcarya,,,tufted,,annual,,,
Fimbristylis pauciflora,,,tufted,,perennial,,,
Firmiana papuana,tree,,,,,,,
Flacourtia jangomas,shrub tree,tree,,,,,,
Flacourtia sp  shiptons flat l w jessup gj.d3200,tree,tree,,,,,,
Flacourtia territorialis,shrub,,,,,,,
Flagellaria indica,climber_vine_herbaceous,climber_vine,,,,,,
Flindersia acuminata,tree,,,,,,,
Flindersia australis,tree,tree,,,,,,
Flindersia bourjotiana,tree,,,,,,,
Flindersia brassii,tree,,,,,,,
Flindersia brayleyana,tree,,,,,,,
Flindersia collina,tree,tree,,,,,,
Flindersia ifflana,tree,tree,,,,,,
Flindersia laevicarpa var. laevicarpa,tree,,,,,,,
Flindersia oppositifolia,tree,,,,,,,
Flindersia pimenteliana,tree,,,,,,,
Flindersia schottiana,tree,,,,,,,
Floscopa scandens,herb,,,,,,,
Flueggea leucopyrus,shrub,,,,,,,
Flueggea virosa subsp. melanthesoides,shrub,,,,,,,
Fontainea picrosperma,shrub tree,,,,,,,
Franciscodendron laurifolium,tree,,,,,,,
Freycinetia excelsa,climber_vine_herbaceous,climber_vine,,,,,,
Freycinetia marginata,climber_vine,climber_vine,,,,,,
Freycinetia percostata,climber_vine_herbaceous,climber_vine,,,,,,
Freycinetia scandens,climber_vine_herbaceous,climber_vine,,,,,,
Freycinetia sp. claudie river rt 286,climber_vine_herbaceous,climber_vine,,,,,,
Fuirena ciliaris,,,tufted,,annual,,,
Fuirena umbellata,,herb,,,perennial,,,
Gahnia aspera,,herb,,,,rhizome,,
Gahnia sieberiana,,herb,,,,rhizome,,
Galactia sp  laura j c.tothill jt53a,climber_vine_herbaceous,climber_vine,,,,,,
Galactia tenuiflora,climber_vine_herbaceous,climber_vine,,,,,,
Galbulimima baccata,tree,,,,,,,
Ganophyllum falcatum,tree,,,,,,,
Garcinia brassii,shrub tree,tree,,,,,,
Garcinia dulcis,tree,tree,,,,,,
Garcinia gibbsiae,shrub tree,tree,,,,,,
Garcinia jensenii,shrub tree,tree shrub,,,,,,
Garcinia mestonii,shrub tree,tree shrub,,,,,,
Garcinia russellii,shrub tree,tree shrub,,,,,,
Garcinia warrenii,tree,tree,,,,,,
Garcinia xanthochymus,tree,tree,,,,,,
Garcinia zichii,shrub tree,tree,,,,,,
Gardenia actinocarpa,herb shrub,,,,,,,
Gardenia ovularis,tree,,,,,,,
Gardenia psidioides,herb shrub,,,,,,,
Gardenia scabrella,herb shrub tree,tree,,,,,,
Gardenia vilhelmii,shrub,tree,,,,,,
Garnotia stricta var. longiseta,,,,,annual,,,
Garuga floribunda var. floribunda,tree,,,,,,,
Geijera parviflora,shrub tree,tree shrub,,,,,,
Geijera salicifolia,shrub tree,,,,,,,
Geitonoplesium cymosum,climber_vine_herbaceous,climber_vine,,,,,,
Gen  aq520454 sp  shute harbour d a.halford q811,herb shrub,,,,,,,
Geniostoma rupestre var. australianum,shrub,tree,,,,,,
Geophila repens,herb,herb,,,,,,
Geosiris australiensis,herb,,,,perennial,rhizome,,
Gillbeea adenopetala,tree,,,,,,,
Gillbeea whypallana,tree,,,,,,,
Glochidion apodogynum,shrub,tree,,,,,,
Glochidion benthamianum,shrub,,,,,,,
Glochidion disparipes,tree,,,,,,,
Glochidion ferdinandi,shrub tree,tree shrub,,,,,,
Glochidion harveyanum var. harveyanum,shrub tree,,,,,,,
Glochidion harveyanum var. pubescens,tree,tree,,,,,,
Glochidion hylandii,shrub tree,tree,,,,,,
Glochidion lobocarpum,shrub tree,tree,,,,,,
Glochidion philippicum,tree,,,,,,,
Glochidion pungens,tree,,,,,,,
Glochidion sessiliflorum var. pedicellatum,tree,,,,,,,
Glochidion sessiliflorum var. sessiliflorum,shrub tree,,,,,,,
Glochidion sessiliflorum var. stylosum,tree,,,,,,,
Glochidion sumatranum,tree,,,,,,,
Glochidion xerocarpum,tree,tree,,,,,,
Glossocarya calcicola,shrub climber_vine,climber_vine,,,,,,
Glossocarya hemiderma,shrub climber_vine,tree climber_vine,,,,,,
Glycine cyrtoloba,climber_vine_herbaceous,climber_vine,,,,,,
Glycosmis trifoliata,herb shrub,,,,,,,
Gmelina australis,tree,,,,,,,
Gmelina dalrympleana,shrub tree,,,,,,,
Gmelina fasciculiflora,tree,,,,,,,
Gmelina leichhardtii,tree,tree,,,,,,
Gomphandra australiana,shrub tree,,,,,,,
Gomphocarpus physocarpus,herb shrub,,,,,,,
Goniothalamus australis,shrub tree,,,,,,,
Gonocarpus acanthocarpus,herb,herb,,,,,,
Gossia bamagensis,tree,tree,,,,,,
Gossia bidwillii,shrub tree,tree,,,,,,
Gossia dallachiana,shrub tree,,,,,,,
Gossia floribunda,shrub tree,,,,,,,
Gossia grayi,tree,,,,,,,
Gossia hillii,tree,tree,,,,,,
Gossia lewisensis,tree,,,,,,,
Gossia lucida,shrub tree,tree,,,,,,
Gossia macilwraithensis,shrub tree,,,,,,,
Gossia myrsinocarpa,shrub tree,,,,,,,
Gossia pubiflora,shrub tree,tree shrub,,,,,,
Gossia retusa,herb shrub tree,,,,,,,
Gossia sankowskyorum,shrub tree,tree,,,,,,
Gossia shepherdii,shrub tree,,,,,,,
Gossia sp  green bark b.hyland 25370rfk,tree,tree,,,,,,
Gouania australiana,climber_vine,climber_vine,,,,,,
Gouania exilis,climber_vine_herbaceous,climber_vine,,,,,,
Graptophyllum excelsum,shrub,,,,,,,
Graptophyllum ilicifolium,shrub,shrub,,,,,,
Graptophyllum spinigerum,shrub,,,,,,,
Grevillea agrifolia,shrub,,,,,,,
Grevillea baileyana,tree,,,,,,,
Grevillea heliosperma,shrub,,,,,,,
Grevillea helmsiae,shrub tree,tree shrub,,,,,,
Grevillea hilliana,tree,,,,,,,
Grevillea pteridifolia,shrub,tree,,,,,,
Grevillea robusta,tree,,,,,,,
Grewia australis,shrub,,,,,,,
Grewia breviflora,shrub tree,,,,,,,
Grewia glabra,shrub tree,tree shrub,,,,,,
Grewia mesomischa,shrub climber_vine_herbaceous,,,,,,,
Grewia oxyphylla,shrub climber_vine,climber_vine,,,,,,
Grewia papuana,shrub tree,,,,,,,
Grewia retusifolia,herb shrub,,,,,,,
Grewia scabrella,shrub,tree,,,,,,
Guettarda speciosa,shrub tree,tree,,,,,,
Guilandina bonduc,shrub climber_vine,climber_vine,,,,,,
Guilfoylia monostylis,tree,tree,,,,,,
Guioa acutifolia,shrub tree,,,,,,,
Guioa lasioneura,shrub tree,,,,,,,
Guioa montana,shrub tree,,,,,,,
Guioa sarcopterifructa,shrub tree,,,,,,,
Guioa semiglauca,shrub tree,tree,,,,,,
Gunnessia pepo,climber_vine_herbaceous,climber_vine,,,,,,
Gymnanthera oblonga,climber_vine,climber_vine,,,,,,
Gymnosporia inermis,shrub climber_vine,,,,,,,
Gymnostachys anceps,herb shrub,,,,,,,
Gymnostoma australianum,shrub tree,,,,,,,
Gynochthodes ammitia,shrub climber_vine,shrub climber_vine,twining scandent,,,,,
Gynochthodes australiensis,climber_vine_herbaceous,climber_vine,,,,,,
Gynochthodes canthoides,climber_vine,climber_vine,,,,,,
Gynochthodes constipata,climber_vine,climber_vine,twining,,,,,
Gynochthodes jasminoides,climber_vine,climber_vine,,,,,,
Gynochthodes oresbia,shrub climber_vine,climber_vine,,,,,,
Gynochthodes podistra,climber_vine_herbaceous,shrub climber_vine,twining scandent,,,,,
Gynochthodes retropila,climber_vine_herbaceous,climber_vine,,,,,,
Gynochthodes sessilis,climber_vine,climber_vine,,,,,,
Gynochthodes sp  iron range b.hyland 11587,climber_vine,climber_vine,,,,,,
Gynochthodes umbellata,climber_vine,climber_vine,,,,,,
Gynura drymophila var. drymophila,herb,herb,,,,,,
Gynura drymophila var. glabrifolia,herb,herb,,,,,,
Gyrocarpus americanus,shrub tree,,,,,,,
Halfordia kendack,shrub tree,tree shrub,,,,,,
Hanguana malayana,herb shrub,,erect,,,,,
Hanslia ormocarpoides,herb shrub,,,,,,,
Hardenbergia violacea,climber_vine_herbaceous,climber_vine,,,,,,
Harnieria hygrophiloides,herb shrub,,,,,,,
Harpullia arborea,tree,tree,,,,,,
Harpullia frutescens,herb shrub,,,,,,,
Harpullia hillii,tree,tree,,,,,,
Harpullia pendula,tree,tree,,,,,,
Harpullia ramiflora,shrub tree,,,,,,,
Harpullia rhyticarpa,shrub,tree,,,,,,
Harrisonia brownii,herb shrub,tree,,,,,,
Harungana madagascariensis,shrub tree,,,,,,,
Hedraianthera porphyropetala,shrub tree,tree,,,,,,
Hedycarya loxocarya,tree,,,,,,,
Hedychium coronarium,herb shrub,,,,,,,
Hedyotis auricularia var. melanesica,herb,herb,decumbent,,,,,
Hedyotis novoguineensis,herb,,erect decumbent,,perennial,,,
Hedyotis radicans,herb,herb,decumbent,,perennial,,,
Helicia australasica,shrub tree,,,,,,,
Helicia blakei,shrub tree,,,,,,,
Helicia grayi,shrub tree,,,,,,,
Helicia lamingtoniana,shrub tree,,,,,,,
Helicia lewisensis,shrub tree,tree,,,,,,
Helicia nortoniana,shrub tree,,,,,,,
Helicia recurva,tree,tree,,,,,,
Helicteres hirsuta,herb shrub,,,,,,,
Helicteres isora,herb shrub,,,,,,,
Helicteres semiglabra,herb shrub,,,,,,,
Heliotropium foertherianum,shrub,shrub,,,,,,
Heliotropium muelleri,shrub,,,,,,,
Heliotropium sarmentosum,climber_vine,climber_vine,,,,,,
Heliotropium tenuifolium,herb,,spreading,,,,,
Helmholtzia acorifolia,herb shrub,,,,,rhizome,,
Hemigraphis alternata,herb,herb,sprawling,,,,,
Hemigraphis ciliata,herb,herb,decumbent,,,,,
Hemmantia webbii,herb shrub,,,,,,,
Herissantia crispa,herb shrub,,,,,,,
Heritiera littoralis,tree,tree,,,,,,
Hernandia albiflora,shrub tree,tree,,,,,,
Hernandia bivalvis,shrub tree,tree,,,,,,
Hernandia nymphaeifolia,shrub tree,,,,,,,
Heteropogon contortus,,,tufted,,perennial,,,
Heterostemma acuminatum,climber_vine_herbaceous,climber_vine,,,,,,
Hexaspora pubescens,shrub,tree,,,,,,
Hibbertia banksii,herb shrub,,,,,,,
Hibbertia melhanioides,herb shrub,,,,,,,
Hibbertia scandens,climber_vine,climber_vine,,,,,,
Hibiscus diversifolius subsp. rivularis,shrub,,,,,,,
Hibiscus geranioides,herb shrub,,,,,,,
Hibiscus heterophyllus,shrub,,,,,,,
Hibiscus krichauffianus,herb,subshrub,,,,,,
Hibiscus macilwraithensis,shrub,,,,,,,
Hibiscus meraukensis,herb shrub,,,,,,,
Hibiscus normanii,herb shrub,,,,,,,
Hibiscus peralbus,shrub,,,,,,,
Hibiscus propulsator,herb shrub,,,,,,,
Hibiscus sankowskyorum,shrub,,,,,,,
Hibiscus tiliaceus,shrub tree,tree,,,,,,
Hibiscus tozerensis,shrub tree,tree,,,,,,
Hibiscus vitifolius,herb shrub,,,,,,,
Hicksbeachia pilosa,shrub tree,,,,,,,
Hippocratea barbata,climber_vine,climber_vine,,,,,,
Hiptage benghalensis,climber_vine,climber_vine,,,,,,
Hodgkinsonia ovatiflora,shrub tree,tree,,,,,,
Hollandaea diabolica,tree,tree,,,,,,
Hollandaea porphyrocarpa,tree,tree,,,,,,
Hollandaea riparia,shrub tree,tree,,,,,,
Hollandaea sayeriana,shrub tree,,,,,,,
Homalanthus novoguineensis,shrub tree,,,,,,,
Homalanthus populifolius,shrub tree,tree,,,,,,
Homalium alnifolium,shrub tree,tree shrub,,,,,,
Homalium brachybotrys,shrub tree,tree,,,,,,
Homalium circumpinnatum,tree,,,,,,,
Homalium sp  south molle island j a.gresty aq208995,shrub tree,tree shrub,,,,,,
Hornstedtia scottiana,herb shrub,,,,,,,
Horsfieldia australiana,tree,,,,,,,
Hovea longipes,herb shrub,,,,,,,
Hovea nitida,herb shrub,,,,,,,
Hoya anulata,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Hoya australis subsp. australis,epiphyte climber_vine_herbaceous,,,,,,,
Hoya australis subsp. sanae,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Hoya australis subsp. tenuipes,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Hoya macgillivrayi,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Hoya pottsii,epiphyte climber_vine_herbaceous,,,,,,,
Hoya sussuela,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Huberantha nitidissima,shrub tree,,,,,,,
Hugonia jenkinsii,climber_vine,climber_vine,,,,,,
Hydriastele costata,tree,palm,,,,,,
Hydriastele wendlandiana,shrub tree,,,,,,,
Hydrocotyle acutiloba,herb,,stoloniferous,,,rhizome stolon,,
Hydrocotyle digitata,herb,herb,,,perennial,,,
Hydrocotyle miranda,herb,,,,,,,
Hydrocotyle pedicellosa,herb,,prostrate,,,,,
Hydrocotyle peduncularis,herb,herb,mat_forming,,,,,
Hydrocotyle tripartita,herb,,prostrate,,,,,
Hylandia dockrillii,tree,,,,,,,
Hymenosporum flavum,shrub tree,tree,,,,,,
Hypericum gramineum,herb,,,,,,,
Hypoestes floribunda,herb shrub,,,,,,,
Hypoestes phyllostachya,herb shrub,,,,,,,
Hypolytrum compactum,,,,,,,,
Hypolytrum nemorum,,herb,,,,,,
Hypolytrum proliferum,,,,,,rhizome,,
Hypserpa decumbens,climber_vine,climber_vine,,,,,,
Hypserpa laurina,climber_vine,climber_vine,,,,,,
Hypserpa polyandra,climber_vine,climber_vine,,,,,,
Hypserpa smilacifolia,climber_vine,climber_vine,,,,,,
Hypsophila dielsiana,shrub tree,,,,,,,
Hypsophila halleyana,shrub tree,,,,,,,
Hyptis capitata,herb shrub,,,,,,,
Ibatiria furfuracea,climber_vine,climber_vine,twining,,,,,
Ichnocarpus frutescens,climber_vine,climber_vine,,,,,,
Ichnocarpus rhombifolius,climber_vine,climber_vine,,,,,,
Idiospermum australiense,tree,,,,,,,
Ilex arnhemensis subsp. arnhemensis,tree,,,,,,,
Ilex arnhemensis subsp. ferdinandi,tree,,,,,,,
Ilex sp  gadgarra b p.hyland rfk 2011,tree,,,,,,,
Impatiens walleriana,shrub,,,,,,,
Indagator fordii,tree,tree,,,,,,
Indigofera colutea,herb,,,,short_lived_perennial annual,,,
Indigofera linnaei,herb,shrub,,,,,,
Indigofera suffruticosa,herb shrub,,,,,,,
Intsia bijuga,tree,,,,,,,
Ipomoea abrupta,climber_vine climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea aculeata,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea cairica,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea eriocarpa,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea gracilis,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea hederifolia,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea indica,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea littoralis,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea mauritiana,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea muelleri,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea nil,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea obscura,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea pescaprae subsp. brasiliensis,climber_vine_herbaceous,climber_vine,trailing,,,,,
Ipomoea plebeia,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea quamoclit,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea saintronanensis,climber_vine,climber_vine,,,,,,
Ipomoea sp  merluna b.hyland 21374v,climber_vine,climber_vine,,,,,,
Ipomoea trichosperma,climber_vine,climber_vine,,,,,,
Ipomoea triloba,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea velutina,climber_vine_herbaceous,climber_vine,,,,,,
Ipomoea violacea,climber_vine climber_vine_herbaceous,climber_vine,,,,,,
Irvingbaileya australis,shrub tree,,,,,,,
Isachne confusa,,,erect decumbent,,perennial,,,
Isachne sharpii,,,,,,,,
Isolepis humillima,,herb,tufted decumbent,,annual,,,
Ixora baileyana,herb shrub,,,,,,,
Ixora biflora,herb shrub,,,,,,,
Ixora oreogena,shrub tree,tree,,,,,,
Ixora queenslandica,shrub,tree shrub,,,,,,
Ixora timorensis,shrub tree,tree,,,,,,
Jacquemontia paniculata,herb climber_vine_herbaceous,climber_vine,,,,,,
Jagera madida,tree,tree,,,,,,
Jagera pseudorhus var. integerrima,tree,,,,,,,
Jagera pseudorhus var. pseudorhus,tree,tree,,,,,,
Jasminum dallachii,climber_vine,climber_vine,,,,,,
Jasminum didymum subsp. didymum,shrub climber_vine,climber_vine,,,,,,
Jasminum didymum subsp. racemosum,herb shrub climber_vine_herbaceous,climber_vine_woody,,,,,,
Jasminum elongatum,shrub climber_vine,climber_vine,,,,,,
Jasminum kajewskii,climber_vine,climber_vine,,,,,,
Jasminum longipetalum,climber_vine_herbaceous,shrub,,,,,,
Jasminum molle,shrub climber_vine,,,,,,,
Jasminum simplicifolium subsp. australiense,shrub climber_vine,,,,,,,
Josephinia eugeniae,herb,herb,,,,,,
Josephinia imperatricis,herb shrub,herb,trailing,,,,,
Juncus usitatus,shrub,,,,,,,
Justicia sp  marr creek b.hyland 16069,herb shrub,,,,,,,
Karrabina biagiana,tree,,,,,,,
Kennedia rubicunda,climber_vine_herbaceous,climber_vine,,,,,,
Kleinhovia hospita,tree,,,,,,,
Kopsia arborea,shrub tree,tree,,,,,,
Korthalsella grayi,,,,,,,,
Korthalsella japonica subsp. brassiana,,,,,,,,
Korthalsella papuana,,,,,,,,
Korthalsella rubra subsp. rubra,,,,,,,,
Kuntheria pedunculata,herb shrub,,,,,,,
Labichea nitida,shrub,,,,,,,
Laccospadix australasicus,shrub tree,,,,,,,
Lagerstroemia archeriana,shrub tree,tree,,,,,,
Lagunaria queenslandica,shrub tree,tree,,,,,,
Lantana camara,herb shrub climber_vine,,,,,,,
Laportea interrupta,herb shrub,,,,,,,
Larsenaikia jardinei,shrub tree,tree shrub,,,,,,
Larsenaikia ochreata,shrub tree,,,,,,,
Lasianthus chlorocarpus,herb shrub,,,,,,,
Lasianthus hirsutus,herb shrub,,,,,,,
Lasjia claudiensis,tree,,,,,,,
Lasjia grandis,tree,,,,,,,
Lasjia whelanii,tree,,,,,,,
Leea novoguineensis,shrub,,,,,,,
Leea rubra,herb shrub,,,,,,,
Legnephora moorei,climber_vine,climber_vine,,,,,,
Leionema ellipticum,herb shrub,tree shrub,,,,,,
Lenbrassia australiana var. australiana,shrub,,,,,,,
Lenbrassia australiana var. glabrescens,shrub,,,,,,,
Lenwebbia lasioclada,shrub tree,tree,,,,,,
Leonotis nepetifolia,herb shrub,,,,,,,
Lepidagathis royenii,herb,herb,erect,,,,,
Lepiderema hirsuta,shrub tree,tree,,,,,,
Lepiderema ixiocarpa,herb shrub,tree,,,,,,
Lepiderema largiflorens,shrub tree,tree,,,,,,
Lepiderema punctulata,shrub tree,tree,,,,,,
Lepiderema sericolignis,shrub tree,tree,,,,,,
Lepiderema sp  impulse creek a b.pollock 73,shrub tree,tree,,,,,,
Lepidopetalum fructoglabrum,tree,,,,,,,
Lepidozamia hopei,shrub tree,tree,,,,,,
Lepisanthes rubiginosa,tree,tree,,,,,,
Lepisanthes senegalensis,shrub,,,,,,,
Lepistemon urceolatus,climber_vine_herbaceous,climber_vine,,,,,,
Leptaspis banksii,shrub,,,,,,,
Leptospermum wooroonooran,shrub tree,tree,prostrate,,,,,
Lethedon setosa,shrub tree,,,,,,,
Leucaena leucocephala,shrub tree,tree,,,,,,
Leucas decemdentata,herb,,,,annual,,,
Leucopogon malayanus subsp. novoguineensis,shrub tree,tree,,,,,,
Leucopogon ruscifolius,shrub,,,,,,,
Leucopogon yorkensis,shrub,tree,,,,,,
Levieria acuminata,shrub tree,,,,,,,
Licuala ramsayi var. ramsayi,tree,palm,,,,,,
Licuala ramsayi var. tuckeri,tree,palm,,,,,,
Ligustrum australianum,shrub tree,,,,,,,
Ligustrum lucidum,shrub tree,tree,,,,,,
Ligustrum sinense,shrub,,,,,,,
Lindera queenslandica,tree,,,,,,,
Lindernia crustacea,herb,,,,annual,,,
Lindsayomyrtus racemoides,tree,,,,,,,
Linospadix apetiolatus,shrub tree,palm,,,,,,
Linospadix microcaryus,shrub tree,palm,,,,,,
Linospadix minor,shrub tree,palm,,,,,,
Linospadix palmerianus,shrub tree,palm,,,,,,
Lithomyrtus obtusa,herb shrub,,,,,,,
Litsea bennettii,shrub tree,,,,,,,
Litsea bindoniana,tree,,,,,,,
Litsea breviumbellata,shrub tree,,,,,,,
Litsea connorsii,shrub tree,,,,,,,
Litsea fawcettiana,tree,,,,,,,
Litsea glutinosa,shrub tree,tree,,,,,,
Litsea granitica,tree,,,,,,,
Litsea leefeana,shrub tree,,,,,,,
Litsea macrophylla,tree,,,,,,,
Livistona australis,tree,,,,,,,
Livistona benthamii,tree,,,,,,,
Livistona concinna,tree,,,,,,,
Livistona decora,tree,,,,,,,
Livistona drudei,tree,,,,,,,
Livistona muelleri,tree,,,,,,,
Livistona rigida,tree,,,,,,,
Livistona victoriae,tree,,,,,,,
Lobelia trigonocaulis,herb climber_vine_herbaceous,climber_vine,,,,,,
Lomandra banksii,herb shrub,,,,,,,
Lomandra hystrix,herb shrub,,,,,,,
Lomandra longifolia,herb,,tufted,,perennial,,,
Lomandra tropica,herb,tussock,,,perennial,,,
Lomatia milnerae,shrub tree,,,,,,,
Lophatherum gracile,,,tufted,,,,,
Lophopetalum arnhemicum,tree,,,,,,,
